repository_name,Training Set,Test Set,Model,Loop Size,accuracy_mean,accuracy_std,AUC_mean,AUC_std,F-measure_mean,F-measure_std,MCC_mean,MCC_std
Relink,Safe,Zxing,LR,1,0.684,0,0.547,0,0.284,0,0.122,0
Relink,Safe,Zxing,TCA_NoN,1,0.576,0,0.552,0,0.407,0,0.096,0
Relink,Safe,Zxing,TCA_N1,1,0.549,0,0.584,0,0.467,0,0.154,0
Relink,Safe,Zxing,TCA_N2,1,0.659,0,0.62,0,0.477,0,0.229,0
Relink,Safe,Zxing,TCA_N3,1,0.411,0,0.488,0,0.405,0,-0.023,0
Relink,Safe,Zxing,TCA_N4,1,0.657,0,0.582,0,0.407,0,0.166,0
Relink,Safe,Zxing,TCA+_N2,1,0.659,0,0.62,0,0.477,0,0.229,0
Relink,Zxing,Safe,LR,1,0.679,0,0.687,0,0.64,0,0.366,0
Relink,Zxing,Safe,TCA_NoN,1,0.643,0,0.698,0,0.677,0,0.428,0
Relink,Zxing,Safe,TCA_N1,1,0.661,0,0.624,0,0.513,0,0.264,0
Relink,Zxing,Safe,TCA_N2,1,0.696,0,0.678,0,0.605,0,0.359,0
Relink,Zxing,Safe,TCA_N3,1,0.696,0,0.718,0,0.679,0,0.428,0
Relink,Zxing,Safe,TCA_N4,1,0.625,0,0.635,0,0.588,0,0.264,0
Relink,Zxing,Safe,TCA+_N3,1,0.696,0,0.718,0,0.679,0,0.428,0
Relink,Safe,Apache,LR,1,0.686,0,0.686,0,0.687,0,0.371,0
Relink,Safe,Apache,TCA_NoN,1,0.649,0,0.65,0,0.622,0,0.304,0
Relink,Safe,Apache,TCA_N1,1,0.691,0,0.69,0,0.712,0,0.384,0
Relink,Safe,Apache,TCA_N2,1,0.706,0,0.707,0,0.682,0,0.42,0
Relink,Safe,Apache,TCA_N3,1,0.474,0,0.477,0,0.271,0,-0.055,0
Relink,Safe,Apache,TCA_N4,1,0.686,0,0.686,0,0.687,0,0.371,0
Relink,Safe,Apache,TCA+_N1,1,0.691,0,0.69,0,0.712,0,0.384,0
Relink,Apache,Safe,LR,1,0.393,0,0.5,0,0.564,0,0,0
Relink,Apache,Safe,TCA_NoN,1,0.518,0,0.595,0,0.609,0,0.252,0
Relink,Apache,Safe,TCA_N1,1,0.714,0,0.749,0,0.714,0,0.497,0
Relink,Apache,Safe,TCA_N2,1,0.75,0,0.738,0,0.682,0,0.476,0
Relink,Apache,Safe,TCA_N3,1,0.661,0,0.705,0,0.678,0,0.422,0
Relink,Apache,Safe,TCA_N4,1,0.75,0,0.722,0,0.65,0,0.464,0
Relink,Apache,Safe,TCA+_N1,1,0.714,0,0.749,0,0.714,0,0.497,0
Relink,Zxing,Apache,LR,1,0.686,0,0.684,0,0.726,0,0.385,0
Relink,Zxing,Apache,TCA_NoN,1,0.608,0,0.605,0,0.705,0,0.276,0
Relink,Zxing,Apache,TCA_N1,1,0.68,0,0.681,0,0.677,0,0.361,0
Relink,Zxing,Apache,TCA_N2,1,0.68,0,0.681,0,0.663,0,0.364,0
Relink,Zxing,Apache,TCA_N3,1,0.546,0,0.542,0,0.681,0,0.153,0
Relink,Zxing,Apache,TCA_N4,1,0.541,0,0.538,0,0.651,0,0.097,0
Relink,Zxing,Apache,TCA+_N3,1,0.546,0,0.542,0,0.681,0,0.153,0
Relink,Apache,Zxing,LR,1,0.296,0,0.5,0,0.456,0,0,0
Relink,Apache,Zxing,TCA_NoN,1,0.328,0,0.508,0,0.455,0,0.032,0
Relink,Apache,Zxing,TCA_N1,1,0.549,0,0.601,0,0.489,0,0.187,0
Relink,Apache,Zxing,TCA_N2,1,0.519,0,0.533,0,0.411,0,0.06,0
Relink,Apache,Zxing,TCA_N3,1,0.398,0,0.541,0,0.467,0,0.1,0
Relink,Apache,Zxing,TCA_N4,1,0.669,0,0.564,0,0.353,0,0.141,0
Relink,Apache,Zxing,TCA+_N1,1,0.549,0,0.601,0,0.489,0,0.187,0
PROMISE,camel-1.6,forrest-0.8,LR,1,0.719,0,0.383,0,0,0,-0.137,0
PROMISE,camel-1.6,forrest-0.8,TCA_NoN,1,0.531,0,0.75,0,0.211,0,0.243,0
PROMISE,camel-1.6,forrest-0.8,TCA_N1,1,0.344,0,0.65,0,0.16,0,0.162,0
PROMISE,camel-1.6,forrest-0.8,TCA_N2,1,0.656,0,0.583,0,0.154,0,0.085,0
PROMISE,camel-1.6,forrest-0.8,TCA_N3,1,0.781,0,0.417,0,0,0,-0.111,0
PROMISE,camel-1.6,forrest-0.8,TCA_N4,1,0.656,0,0.583,0,0.154,0,0.085,0
PROMISE,camel-1.6,forrest-0.8,TCA+_N1,1,0.344,0,0.65,0,0.16,0,0.162,0
PROMISE,forrest-0.8,camel-1.6,LR,1,0.735,0,0.533,0,0.229,0,0.073,0
PROMISE,forrest-0.8,camel-1.6,TCA_NoN,1,0.538,0,0.53,0,0.303,0,0.047,0
PROMISE,forrest-0.8,camel-1.6,TCA_N1,1,0.606,0,0.586,0,0.354,0,0.138,0
PROMISE,forrest-0.8,camel-1.6,TCA_N2,1,0.724,0,0.522,0,0.213,0,0.049,0
PROMISE,forrest-0.8,camel-1.6,TCA_N3,1,0.789,0,0.5,0,0.047,0,-0.001,0
