@relation S_TCAed_data_dim10_JDT_for_EQ_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.427,0.21717,-0.17386,0.31808,0.007231,0.056007,0.034591,0.12571,0.07109,0.12177,-1
1.5134,0.080376,-0.079275,-0.055062,0.004624,0.002388,0.014542,-0.010614,-0.007772,0.029705,-1
1.4631,0.4856,-0.078806,0.23205,-0.028505,0.085009,-0.001072,-0.009394,0.062888,-0.009997,-1
1.3524,1.4899,0.32649,0.066226,-0.06358,-0.10365,0.035503,0.13417,-0.081631,-0.010659,1
-0.18744,1.2093,0.1081,0.072411,-0.00286,0.089189,0.02456,-0.04483,0.006423,0.053184,-1
1.1464,1.3259,0.13444,-0.22267,0.010036,0.016042,0.18786,0.22219,0.069905,0.091047,1
1.5892,0.002483,0.1633,-0.033319,0.005918,-0.023534,-0.031063,0.086026,-0.032406,-0.000541,1
1.343,0.081201,-0.086361,-0.070918,0.0363,-0.015854,0.025088,-0.022213,0.071986,0.047932,-1
1.4806,0.10205,-0.033311,0.018313,0.006221,-0.051634,0.060535,0.000471,-0.016692,-0.016848,1
0.067549,0.14911,0.083242,0.092194,-0.012089,0.005667,0.003354,0.025144,-0.044168,-0.010455,1
-0.22603,1.4825,0.054489,0.14179,-0.003856,-0.067427,0.036097,0.004113,-0.020007,0.005087,-1
1.4995,0.55844,0.008155,0.23942,-0.036396,0.10381,0.043013,0.077339,0.051162,-0.01566,1
1.3981,0.43217,-0.005501,0.14124,0.38236,-0.14839,0.057782,0.00165,-0.021475,-0.047437,-1
1.435,0.64375,-0.026209,-0.005779,-0.076651,0.096489,-0.001359,-0.019708,0.010065,0.012273,-1
1.5085,0.28136,-0.15112,0.11241,-0.023934,-0.086941,0.048882,0.001208,-0.049901,0.049207,-1
1.4916,0.29293,-0.1289,0.12013,-0.028114,-0.10521,0.12633,-0.045247,-0.058972,0.007209,-1
1.5081,0.07492,-0.10086,-0.035692,0.011503,0.001211,0.03565,-0.015745,-0.012984,0.025205,-1
1.2109,1.5843,-0.007302,0.032593,-0.000337,-0.053819,0.044826,-0.001104,-0.048448,0.061201,-1
0.084677,0.027526,0.060105,0.046291,-0.00678,0.007855,0.014911,0.031982,-0.072152,0.03007,-1
1.7376,0.22471,0.36392,0.097516,-0.069759,0.006524,-0.054848,0.079276,-0.083781,-0.020243,1
-0.25109,1.3537,0.097999,-0.10973,-0.004068,-0.01822,0.089927,0.10393,-0.0041,0.05141,-1
1.474,0.039152,-0.04251,-0.061352,0.000841,-0.014727,0.020515,-0.010683,0.002414,0.003789,-1
0.24143,0.0008,0.29848,0.10509,-0.039624,-0.056911,0.008345,0.098489,-0.17088,0.094224,-1
0.011582,0.002771,0.00532,0.011006,-0.000013,-0.001952,0.004415,0.004397,-0.013052,0.005677,-1
1.5612,0.15367,0.006567,0.13103,-0.007451,0.017737,-0.001239,0.021022,-0.048442,0.030145,-1
0.007316,0.031459,-0.000788,0.071494,-0.003094,-0.046005,-0.004123,0.007491,-0.006776,-0.009819,-1
