@relation S_TCAed_data_dim10_JDT_for_LC_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.3794,-0.087754,-0.38054,-0.21496,0.057031,-0.097273,0.10842,0.054638,-0.056204,-0.19007,-1
1.4732,0.020277,-0.003637,-0.067298,0.030424,-0.000416,-0.015432,-0.048638,-0.008576,0.033542,-1
1.432,-0.35795,-0.32123,-0.098132,0.042756,-0.10228,-0.038334,0.025806,0.01342,0.02204,-1
1.417,-1.3467,-0.24456,0.20947,-0.20916,0.028741,0.016507,-0.020598,-0.078964,0.040705,1
-0.11088,-1.1409,-0.19685,0.065598,0.098483,-0.031034,0.002142,-0.074168,0.042148,0.002218,-1
1.1849,-1.2375,0.15769,0.11145,0.036118,-0.006914,0.15945,-0.033873,-0.10739,-0.14293,1
1.5574,0.097743,-0.076059,0.13545,-0.044002,0.031412,-0.021612,0.000832,-0.017872,-0.005595,1
1.3817,0.02952,0.051285,-0.082365,0.029083,0.007111,-0.010305,0.020272,0.066694,-0.001979,-1
1.4623,0.000968,-0.052201,-0.056252,-0.043905,-0.000394,0.046007,-0.005068,-0.010266,0.026668,1
0.062655,-0.13265,-0.11114,0.057029,-0.037368,-0.023459,0.015746,0.002676,-0.050852,0.017588,1
-0.12826,-1.4891,-0.20162,-0.016356,-0.093529,0.017279,0.018457,-0.020602,-0.002587,0.028893,-1
1.4623,-0.44044,-0.31884,-0.029419,0.028436,-0.13836,-0.00408,0.039184,-0.055473,-0.001708,1
1.3995,-0.44875,-0.29624,-0.10497,0.040581,0.393,0.094484,0.016375,-0.0085,0.013037,-1
1.412,-0.53439,-0.011713,-0.022873,0.031683,-0.15066,-0.044064,-0.044375,-0.001535,0.022191,-1
1.493,-0.157,-0.16646,-0.18306,-0.075784,-0.009655,0.007296,-0.07013,-0.013015,0.033016,-1
1.4802,-0.16374,-0.1515,-0.1699,-0.10011,-0.026601,0.1083,-0.074031,0.019124,0.048932,-1
1.4717,0.016848,-0.005175,-0.09679,0.032402,-0.012263,0.001209,-0.044412,-0.003722,0.033926,-1
1.268,-1.4624,-0.12221,-0.068513,-0.032326,-0.004392,0.007454,-0.06359,-0.023175,0.014795,-1
0.087981,-0.005251,-0.068263,0.03476,-0.01122,-0.008847,0.012565,-0.031029,-0.040694,-0.003669,-1
1.6978,-0.024266,-0.23032,0.27671,-0.10847,-0.038285,-0.062668,-0.038307,-0.10281,0.017002,1
-0.16721,-1.3683,0.071223,0.067529,-0.024568,0.00175,0.044838,-0.054093,-0.037822,-0.009573,-1
1.4564,0.0471,0.005547,-0.033378,-0.003061,0.014354,0.000793,-0.019873,0.037429,0.035214,-1
0.26893,0.077134,-0.18021,0.21033,-0.13934,0.056933,-0.018806,-0.17256,-0.084928,-0.062246,-1
0.010698,0.001513,-0.010636,-0.000289,-0.005243,-0.002099,0.004303,-0.00739,-0.005408,-0.004069,-1
1.5048,0.002219,-0.22131,-0.028442,0.009336,-0.026968,-0.012036,-0.015481,-0.036195,-0.003048,-1
0.012895,-0.030467,-0.0732,-0.021691,-0.05455,0.01586,0.003667,0.005801,-0.009202,-0.004102,-1
0.04882,-0.031726,-0.11441,-0.026721,-0.057313,0.012496,0.013262,-0.032209,-0.010636,-0.006521,-1
1.3848,-0.9737,-0.80103,-0.098464,0.39094,-0.094551,0.007935,-0.10575,0.035678,-0.038695,1
1.4849,-1.3653,-0.062756,0.21395,-0.12979,0.026324,0.02951,-0.066373,-0.15224,0.030285,-1
1.5017,-0.1519,-0.16948,-0.16824,-0.077539,-0.010868,0.008532,-0.062349,-0.023982,0.02457,1
0.2313,-0.19529,-0.56022,-0.23979,-0.4456,0.073982,0.017304,0.004462,0.004524,-0.027525,-1
1.409,-0.026833,-0.18371,-0.05741,-0.047524,0.011302,0.052914,0.030904,0.065995,0.021149,-1
0.007268,-0.33568,-0.042234,0.044208,-0.035608,-0.11804,-0.014778,-0.040687,-0.008178,-0.021981,-1
0.10873,-0.52936,-0.23091,0.27449,0.094794,0.1293,0.041221,-0.020152,-0.037197,-0.030732,1
1.4788,-0.63957,-0.17336,0.47469,-0.027427,0.03478,0.35529,0.009659,0.12428,0.046815,1
0.079401,0.053203,-0.24383,0.090464,-0.075367,-0.018076,0.072711,-0.05046,-0.046519,-0.0569,-1
1.4637,-0.18704,-0.2298,-0.21526,-0.10417,-0.007984,0.038843,-0.045673,0.005249,0.04615,-1
1.6034,0.012448,-0.050775,-0.014211,0.007817,-0.012755,0.040455,-0.061623,-0.052539,0.062019,-1
