@relation S_TCAed_data_dim10_JDT_for_PDE_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.4504,-0.11192,-0.20657,0.32861,-0.004183,-0.044324,0.019003,-0.043386,0.013265,-0.20161,-1
1.5417,-0.21166,-0.028954,-0.004141,0.017153,0.029203,-0.069964,-0.006263,0.019237,-0.023841,-1
1.4846,0.11748,-0.29762,0.22703,-0.016515,-0.057002,-0.090395,0.024301,-0.05288,-0.020515,-1
1.5706,1.0559,-0.5821,-0.14843,0.11242,-0.085224,0.058712,0.13125,0.1347,-0.014567,1
0.043907,1.0403,-0.29884,0.050518,-0.1356,-0.002139,0.018866,-0.083355,0.077143,0.030488,-1
1.3699,0.98814,-0.16818,-0.29116,-0.020961,0.003245,-0.056958,-0.002976,0.06425,-0.24281,1
1.4946,-0.29413,-0.15998,-0.10794,-0.007938,-0.02747,0.035422,0.063572,0.062912,-0.008075,1
1.3552,-0.16134,0.037805,-0.005933,0.032954,0.05318,-0.084941,-0.025772,-0.022124,-0.011008,-1
1.4754,-0.19268,-0.068636,0.014599,0.073366,0.004762,-0.030207,0.049675,0.014716,-0.03125,1
0.058037,0.088003,-0.14766,0.013994,0.011373,-0.05509,-0.005005,0.057182,0.009802,-0.003156,1
0.087526,1.3496,-0.37959,0.032421,0.086697,-0.001954,-0.009504,0.052887,0.026518,-0.015109,-1
1.5025,0.18706,-0.35724,0.16905,-0.028564,-0.10968,-0.10492,0.070867,-0.022785,-0.067224,1
1.4627,0.10532,-0.22121,0.13193,0.054343,0.29248,0.047399,0.22425,0.023775,-0.042063,-1
1.5315,0.32398,-0.13423,-0.046903,-0.024971,-0.082529,-0.13,0.009387,-0.034421,-0.026227,-1
1.5691,-0.056927,-0.13146,0.13414,0.12303,0.015162,-0.033564,-0.02665,0.062503,-0.004255,-1
1.5807,-0.043307,-0.09889,0.13231,0.13156,0.006434,0.006655,-0.026212,0.081304,-0.031872,-1
1.53,-0.19939,-0.004886,0.015824,0.019014,0.026916,-0.070099,-0.005232,0.029391,-0.01888,-1
1.5158,1.1653,-0.32438,-0.026768,0.068415,0.026394,-0.072355,-0.008639,0.051247,-0.009054,-1
0.053657,-0.019302,-0.10248,-0.009533,-0.007647,-0.030192,-0.010208,0.019636,0.04951,0.004099,-1
1.6978,-0.22305,-0.39675,-0.113,0.008602,-0.149,0.001597,0.15685,0.079277,0.051359,1
0.029189,1.2765,-0.17616,-0.17382,0.005739,-0.003651,-0.031799,0.011661,0.06824,-0.068198,-1
1.49,-0.22223,-0.019396,-0.03165,0.021463,0.028263,-0.015185,0.004708,0.01631,-0.021738,-1
0.14956,-0.15742,-0.42407,-0.14589,0.047959,-0.073101,-0.014036,0.071628,0.13299,0.048465,-1
0.008725,-0.002811,-0.006924,0.001053,0.001252,-0.004112,0.006862,-0.002229,0.008831,0.002364,-1
1.5394,-0.20693,-0.19162,0.091759,-0.005603,-0.017973,-0.006987,-0.007487,0.03829,0.014253,-1
0.022252,0.018138,-0.048244,0.044795,0.05719,-0.007222,0.008329,0.031102,0.000717,0.00778,-1
0.044472,0.002057,-0.10891,0.053497,0.047586,-0.015995,-0.004451,0.029263,0.033683,0.00136,-1
1.5524,0.57577,-0.56475,0.4591,-0.36453,-0.016963,-0.095758,-0.018176,-0.048894,0.029782,1
1.6406,1.0295,-0.39143,-0.24382,0.049523,-0.068055,0.009478,0.11419,0.12156,-0.018658,-1
1.5633,-0.05987,-0.14151,0.12521,0.12093,0.011374,-0.02267,-0.024264,0.060828,-0.004777,1
0.22366,0.14263,-0.29252,0.36855,0.40337,-0.03151,0.25074,0.055594,0.062192,0.060637,-1
1.4133,-0.19507,-0.10768,0.12042,0.051148,0.00036,0.007897,0.062428,-0.000915,0.002543,-1
0.03402,0.32998,-0.12031,-0.048197,0.000052,-0.11607,-0.039979,0.053908,-0.018724,-0.002257,-1
0.062504,0.35818,-0.33854,-0.091944,-0.15661,-0.020433,0.040434,0.16552,0.019664,-0.062436,1
1.3724,0.34253,-0.4007,-0.29196,-0.17863,-0.089555,0.20015,0.25846,0.079586,-0.099105,1
0.0367,-0.08816,-0.27621,0.04389,0.023435,-0.066462,0.045721,0.034329,0.078513,-0.04731,-1
1.5569,-0.032013,-0.14301,0.2046,0.1563,0.015806,-0.004697,-0.014172,0.035388,-0.011749,-1
1.6483,-0.22192,-0.096948,-0.024013,0.019728,-0.010724,-0.0551,0.042542,0.068119,-0.030448,-1
0.15264,0.22709,-0.31583,0.36172,0.029023,-0.12441,0.19205,-0.080184,0.052901,0.083396,-1
1.5595,-0.20267,-0.083757,-0.031888,0.016191,0.017427,-0.052182,0.00068,0.036195,-0.027695,1
0.043606,0.003962,-0.10235,0.083615,0.014385,-0.023875,0.019222,0.016406,0.015268,0.006519,-1
0.080344,-0.054911,-0.1808,-0.042277,-0.022314,-0.062694,0.005598,0.041292,0.056505,0.013503,-1
0.034288,-0.013274,-0.062202,0.011863,-0.005594,-0.017473,0.004535,-0.001229,0.044677,0.002756,-1
0.077063,1.3224,-0.2802,-0.061442,0.084057,-0.012342,-0.007025,0.058973,0.04898,0.006579,-1
1.4376,-0.030863,-0.12392,-0.025458,-0.12376,0.46676,0.083852,0.16649,0.08866,0.036213,-1
1.5612,-0.062702,-0.15465,0.11913,0.12087,0.010978,-0.022755,-0.021193,0.080809,-0.019937,-1
0.041231,0.56809,-0.25906,-0.082371,-0.11169,-0.017624,0.02009,0.21027,-0.010105,-0.10466,-1
1.6389,1.1656,-0.48334,0.11352,0.13612,0.013704,-0.056403,0.037601,0.051625,-0.001313,1
0.1455,1.2244,-0.39817,-0.26861,0.017523,-0.036363,-0.036982,0.039688,0.11678,0.005322,1
0.07873,0.19314,-0.32498,0.22549,0.085854,-0.08974,0.05018,0.086361,-0.020605,0.013014,-1
0.11592,0.064179,-0.17209,0.17868,0.1704,-0.041403,0.15903,-0.012647,0.092834,0.044758,-1
1.4839,1.1268,-0.22861,-0.055712,0.011309,0.049374,-0.092841,-0.029963,0.028951,-0.020345,-1
0.073682,0.21169,-0.28239,-0.24009,-0.070355,-0.24944,0.072963,0.14615,0.085343,0.079351,1
0.053653,-0.052531,-0.12444,-0.022497,-0.009931,-0.04981,0.027703,0.039054,0.074346,-0.085135,-1
0.065516,0.11032,-0.12185,0.22756,0.22528,-0.017599,0.14278,0.027998,0.022828,0.030215,-1
