@relation S_TCAed_data_dim10_LC_for_EQ_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.20754,-0.087695,0.08332,-0.09742,0.042968,-0.084297,0.010059,0.027455,0.032688,-0.015967,-1
0.042,-0.013421,0.020795,0.006405,-0.002391,-0.043046,0.003899,-0.015315,-0.025096,-0.021142,-1
0.27119,-0.15954,0.012207,0.089208,-0.068266,-0.33239,-0.001229,-0.07841,0.18958,0.013043,-1
0.35321,0.010641,0.043411,0.079063,-0.16939,-0.34389,-0.08937,-0.067253,0.059565,-0.053028,-1
0.24962,0.019789,0.037137,0.036787,-0.084846,-0.051893,0.037851,0.00262,-0.050359,-0.013322,-1
0.60699,0.093189,-0.3062,-0.17914,0.005812,-0.089981,0.11411,0.002097,0.032894,0.027463,-1
0.44552,-0.067702,0.09966,-0.078303,-0.021485,-0.045329,0.034656,-0.022431,0.006481,0.007527,1
0.076336,-0.042641,0.05269,0.031058,0.003096,-0.10096,0.049487,-0.0235,-0.059161,-0.043801,-1
0.20318,-0.056596,0.067458,-0.03208,0.095766,-0.067136,0.055796,-0.002393,0.015502,0.026145,-1
0.25618,-0.34827,0.062867,0.006846,0.00251,-0.01514,0.08606,-0.010406,0.090711,-0.17542,-1
0.8037,-0.14761,0.10847,0.045141,-0.025871,-0.069596,-0.1015,0.053338,-0.173,0.015925,-1
0.12125,-0.080114,0.086344,0.067812,0.017086,-0.15352,0.11263,-0.032445,-0.101,-0.070254,-1
0.3193,0.031671,0.023731,0.036164,-0.073847,-0.10411,-0.011133,0.003824,-0.048713,0.000999,-1
0.067826,-0.019834,0.022071,0.013916,-0.000878,-0.074126,0.000909,-0.008474,-0.020053,-0.021646,-1
0.63801,-0.14229,0.095811,0.027891,0.070279,0.097367,-0.021098,-0.075332,0.23414,-0.25566,-1
0.65525,-0.019363,0.082015,0.008272,-0.10674,-0.09525,0.041861,0.012544,-0.036263,0.038903,1
0.6931,0.043263,-0.22396,-0.1089,0.00511,-0.11178,0.057168,-0.022751,0.003441,-0.02138,-1
0.39838,-0.016547,0.078819,-0.05351,-0.045431,-0.072262,0.021374,-0.043705,-0.014933,0.027934,-1
0.24191,-0.13968,0.085202,0.023216,0.10632,-0.057387,0.14664,-0.022956,0.042221,0.034834,-1
0.63748,-0.040202,0.070662,0.010032,0.005094,0.15296,0.10046,-0.015148,0.18366,0.099739,-1
0.25474,-0.070217,0.1136,0.001098,0.074682,-0.14344,0.084683,-0.01382,-0.009789,-0.028479,-1
0.20241,-0.016946,0.029534,0.026636,-0.090589,-0.071111,0.054912,0.016456,-0.028035,0.032263,-1
0.073619,-0.19139,0.049542,-0.01932,-0.06766,-0.029811,0.02822,0.013473,0.016456,-0.21146,-1
0.25305,-0.10924,0.041499,0.017605,0.13754,0.001434,0.10767,-0.014895,0.072702,0.099672,-1
0.21884,-0.11082,0.089544,0.052231,0.052137,-0.15338,0.11135,-0.031024,-0.079911,-0.035281,-1
0.62842,0.071749,-0.31108,-0.16891,0.010995,-0.10964,0.12619,-0.00056,0.041617,0.047562,-1
0.19867,0.012021,0.021889,0.023502,-0.087412,-0.035928,0.030063,0.011422,-0.023581,0.022586,-1
0.24442,-0.1098,0.10618,0.032001,0.095627,-0.14299,0.1341,-0.026699,-0.066966,-0.019594,-1
0.10459,-0.28318,-0.015179,0.067326,-0.010819,0.12515,0.087909,-0.033117,0.14373,-0.08945,-1
0.24941,-0.13668,0.13765,-0.066977,0.062434,-0.15051,0.09833,0.017142,-0.028124,-0.058652,1
0.17995,-0.41977,0.29476,-0.6396,-0.16705,-0.074076,0.076919,-0.097321,-0.008474,0.017395,1
0.30945,-0.80558,-0.093678,0.26785,-0.074078,0.11202,0.090239,-0.05561,0.025348,-0.32691,1
0.14401,-0.071751,0.05832,-0.000231,0.050902,-0.05478,0.033102,-0.013,0.00362,-0.00691,-1
0.27977,-0.364,0.21491,-0.32648,-0.029624,-0.17047,0.058137,0.19625,0.045629,-0.018035,-1
0.5105,-0.10924,0.13242,0.053695,0.081439,-0.10829,0.099275,-0.020466,-0.095892,0.033697,-1
0.54031,-0.013851,0.097955,0.084807,-0.11875,0.020759,0.14316,-0.039307,0.045829,0.038579,-1
0.24323,-0.052276,0.11558,0.019411,-0.035523,-0.056912,-0.03069,0.043419,-0.13595,-0.032959,1
0.13203,-0.018112,0.037718,0.01172,-0.006171,-0.12743,-0.021659,-0.004238,-0.036941,-0.046041,-1
0.45363,-0.20613,0.08113,0.093715,-0.028579,-0.13668,0.10345,-0.010305,-0.15352,-0.078694,-1
0.052182,-0.017767,0.019662,0.009777,-0.005747,-0.054895,0.001191,-0.006589,-0.018718,-0.02232,-1
0.66346,0.028626,-0.32467,-0.14981,0.005484,-0.13286,0.12003,-0.005763,0.037507,0.069785,-1
0.67058,-0.029196,-0.32668,-0.14045,0.011053,-0.089515,0.12094,-0.00388,0.032194,0.082637,-1
0.36702,-0.30857,0.09754,-0.008423,0.037289,-0.071762,0.082015,0.014593,0.068103,-0.15633,-1
0.39932,-0.11682,0.12012,-0.089157,-0.083184,-0.10945,0.017649,0.050066,0.043456,-0.090055,-1
0.14506,-0.059555,0.079535,0.026911,0.055769,-0.10091,0.08052,-0.020045,-0.055413,-0.035397,-1
0.15222,-0.057756,0.043198,0.005267,0.071066,-0.048698,0.06065,-0.005523,-0.032045,0.01417,-1
0.44056,0.019791,0.080794,-0.010047,-0.018778,-0.11092,-0.001181,-0.007902,0.001378,-0.010643,-1
0.18386,-0.08987,0.034518,0.00404,0.068506,-0.046644,0.026241,-0.015674,0.012584,0.010634,-1
0.56443,-0.43744,0.14845,0.064561,-0.028401,-0.13749,0.13927,0.021956,-0.093017,-0.20963,1
0.66317,-0.097713,0.31913,-0.055043,0.19472,-0.14753,-0.080969,0.031423,-0.10095,-0.073385,1
0.54104,0.070371,0.090647,0.079219,-0.16783,-0.17711,0.02867,-0.002659,-0.116,-0.058932,-1
0.42317,-0.02936,0.060538,-0.002975,-0.03599,-0.11793,0.018851,-0.032638,-0.034162,0.027895,-1
0.34252,-0.96264,-0.10537,0.39524,0.044948,0.046618,0.082177,-0.13174,0.093276,0.11636,1
0.21071,-0.043823,0.060585,-0.031211,0.09558,-0.058205,0.04333,-0.005883,0.018602,0.025378,-1
0.20405,-0.058883,0.050525,-0.015949,0.092452,-0.086898,0.051831,-0.009072,0.005578,0.035413,-1
0.34539,-0.000095,0.069329,0.011412,-0.04349,-0.08042,0.03281,-0.013919,0.012717,0.009968,-1
0.33133,-0.056956,0.12804,0.001201,0.097902,-0.20093,0.046815,-0.022198,-0.048605,-0.055683,-1
0.54616,-0.078523,0.23495,-0.073358,0.26973,-0.11655,0.1017,-0.054576,0.13313,0.004494,-1
0.28358,-0.092241,0.039556,0.09632,-0.052342,-0.006064,0.1192,-0.027362,-0.058739,-0.045643,1
