@relation S_TCAed_data_dim10_LC_for_ML_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.03469,-0.14115,-0.031025,0.10997,-0.017388,-0.060859,-0.030054,0.04058,0.035142,0.058172,-1
-0.015154,-0.029003,-0.013295,0.000491,-0.02807,-0.007918,-0.002449,0.015874,0.001681,0.004573,-1
-0.03225,-0.18208,-0.061437,-0.038093,-0.11754,-0.08224,0.025941,0.30104,0.11169,0.052124,-1
-0.00686,-0.25267,0.04589,-0.12478,-0.14209,-0.087495,-0.02008,0.26601,0.071774,-0.043642,-1
-0.038241,-0.20259,0.013123,-0.071042,-0.051817,-0.035732,0.004944,0.012503,0.003898,0.028485,-1
0.016266,-0.44251,0.086185,-0.0617,0.05215,0.11604,-0.17475,0.047704,-0.071024,0.15702,-1
-0.070366,-0.3378,-0.00014,0.070254,-0.028752,-0.067793,-0.013378,0.029104,-0.00243,0.057929,1
-0.10398,-0.06342,-0.026954,0.000748,-0.071766,-0.018846,-0.000102,0.036663,0.002399,0.013942,-1
-0.045159,-0.13399,-0.000519,0.10808,-0.046664,-0.006728,0.008578,0.029787,0.036478,0.093578,-1
-0.10099,-0.17523,-0.27981,0.088314,0.058538,-0.10047,0.04019,0.063052,0.030738,0.097327,-1
-0.12018,-0.55618,-0.091494,0.019974,-0.060547,-0.014526,-0.014259,0.019356,0.23453,0.098143,-1
-0.16898,-0.10267,-0.06464,0.001625,-0.12947,-0.014798,0.010089,0.041841,0.000438,0.026055,-1
-0.010568,-0.2444,0.03322,-0.062767,-0.055865,-0.041939,0.004749,0.069272,-0.008312,0.049664,-1
-0.022619,-0.03942,-0.01283,-0.004384,-0.040797,-0.011186,-0.003109,0.04291,0.004138,0.007542,-1
-0.12269,-0.55497,-0.099041,0.19297,0.18376,-0.067402,0.18088,0.10584,0.012154,0.074875,-1
-0.087917,-0.50155,0.042995,-0.034436,-0.08637,-0.074662,-0.002057,0.053015,-0.001944,0.076655,1
0.013086,-0.54391,0.046461,-0.020729,0.015081,0.088294,-0.12101,0.04194,0.00158,0.14579,-1
-0.036916,-0.28876,0.03423,0.0202,-0.064904,-0.061851,-0.013151,0.041658,-0.001788,0.052754,-1
-0.15228,-0.17391,-0.064951,0.098481,-0.078005,-0.030223,0.03392,0.036729,-0.077052,0.051641,-1
-0.070541,-0.53423,-0.004611,0.061492,0.035025,-0.055007,0.11919,-0.014425,-0.08393,0.073658,-1
-0.15163,-0.18513,-0.025673,0.086523,-0.098555,-0.037043,0.008777,0.076383,0.01388,0.052499,-1
-0.012228,-0.17203,0.020359,-0.072003,-0.043776,-0.043033,0.004607,0.002498,0.15577,0.17388,-1
-0.047847,-0.071694,-0.20751,-0.000653,0.06792,-0.11538,-0.007964,0.066065,-0.004598,0.013883,-1
-0.094829,-0.16284,-0.057342,0.10645,-0.055484,-0.000374,0.048123,0.033862,-0.094287,0.063515,-1
-0.16122,-0.15929,-0.078397,0.042332,-0.15128,-0.005992,0.010602,0.046062,-0.018997,0.026498,-1
0.006274,-0.45917,0.07276,-0.064169,0.032634,0.11333,-0.1734,0.065913,-0.081195,0.16425,-1
-0.002777,-0.17265,0.028675,-0.069868,-0.027787,-0.037496,0.004476,0.002925,0.069722,0.088745,-1
-0.17,-0.18469,-0.049678,0.090397,-0.13459,-0.008155,0.019213,0.055576,-0.023776,0.053787,-1
-0.1295,-0.047958,-0.28547,-0.009263,0.079394,-0.055381,0.13852,0.069131,-0.1071,0.039539,-1
-0.1139,-0.18552,-0.080611,0.12707,-0.083772,-0.082657,-0.033371,0.052978,0.008015,0.062385,1
0.071546,-0.10203,-0.15389,0.21524,0.003391,-0.40081,-0.30574,-0.039232,-0.026522,-0.000758,1
