@relation S_TCAed_data_dim10_PDE_for_ML_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.068481,0.35861,0.000053,-0.11184,-0.13417,0.032491,-0.073448,-0.02468,0.015226,0.11364,-1
-0.001833,0.17153,-0.15418,-0.11098,0.10111,0.001347,0.002865,-0.005829,-0.003155,0.036338,-1
0.046414,0.39278,0.069825,0.00043,0.11619,-0.04954,-0.068286,-0.000106,-0.036855,0.011706,-1
0.064264,0.31468,0.11121,0.018832,0.080111,-0.073545,-0.073249,-0.021209,-0.055249,0.025719,1
0.043766,0.40974,0.19982,0.030836,0.064725,-0.016653,0.033408,-0.12739,-0.11506,0.059782,-1
0.060783,0.45107,0.14882,0.019345,0.080665,-0.080549,-0.06417,-0.042401,-0.070096,0.009899,1
0.098388,0.29116,0.14434,-0.028203,0.043219,-0.025174,-0.046734,-0.00112,-0.035417,-0.003485,1
0.023557,0.081951,-0.042868,-0.046056,0.027797,-0.02861,-0.010303,-0.00575,-0.004664,0.020478,-1
0.00579,0.18896,-0.041383,-0.000156,0.058744,-0.040875,-0.024948,-0.008397,-0.025401,0.021353,-1
0.024292,0.040925,0.00903,-0.007738,0.006687,-0.025523,-0.01603,-0.00617,-0.01044,0.006043,-1
0.018164,0.071711,-0.020865,0.025095,-0.01342,-0.033215,-0.005679,-0.002809,-0.008087,0.002382,-1
0.046866,0.13181,-0.023985,-0.043155,0.039496,-0.036265,-0.022516,0.002634,-0.003536,0.015306,1
0.004599,0.11459,-0.055486,0.000091,-0.090561,0.047813,-0.14389,-0.016257,0.019309,0.15212,-1
0.042566,0.51208,-0.20786,-0.077898,0.19055,-0.082186,-0.057929,-0.063907,-0.092146,0.083725,-1
0.05822,0.61133,-0.017719,0.035129,0.082171,-0.008948,0.002129,0.00495,-0.022081,0.019769,1
0.071013,0.33811,0.16667,-0.032709,0.003863,-0.005268,0.001915,-0.045337,-0.050953,0.032545,-1
0.016012,0.17833,-0.13589,-0.038245,0.018842,-0.035078,-0.000343,-0.006677,-0.015091,0.003258,-1
-0.006196,0.10159,-0.06804,-0.010377,0.003036,-0.021313,0.025669,-0.014995,-0.005405,0.012955,1
-0.015082,0.18953,0.12508,0.010136,-0.01258,-0.099556,0.056434,-0.16084,-0.12828,0.067129,-1
0.063847,0.87204,0.35055,-0.034696,0.019641,0.23383,0.002612,0.065073,0.08549,0.036969,1
0.015275,0.36118,-0.20291,0.18467,-0.058343,-0.095325,0.011856,0.008814,-0.025355,-0.050751,1
0.035558,0.2132,0.037225,0.046535,0.060761,-0.065915,-0.051346,-0.013249,-0.040034,0.01841,-1
0.066493,0.27869,-0.080846,-0.044974,0.057302,-0.043983,-0.006932,-0.028818,-0.025868,0.053235,-1
0.036852,0.20088,-0.043539,-0.005074,0.046423,-0.062405,-0.020626,-0.021762,-0.029753,0.03593,-1
-0.10532,0.16914,-0.2241,-0.069528,0.027312,-0.036713,-0.021344,-0.11028,-0.021968,0.17929,-1
