@relation T_TCAed_data_dim10_EQ_for_LC_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.176,-0.41044,-0.002834,0.0598,-0.032594,-0.058508,0.026311,-0.000808,-0.075829,-0.040343,1
0.48156,-1.3466,-0.21791,0.45575,-0.093035,0.063988,-0.18155,-0.14877,-0.05887,0.31808,1
0.17711,-0.46907,0.26506,-0.69135,-0.20701,-0.097393,0.088777,-0.37956,-0.15696,0.10855,-1
0.53634,-0.94635,-0.054365,0.079776,-0.032949,-0.026354,0.016911,0.040582,-0.085866,0.18251,1
0.5804,-0.053959,0.080807,0.051828,-0.11826,-0.040916,0.068146,-0.004509,-0.042529,0.009075,1
0.018474,0.006988,0.001573,0.000781,-0.001129,-0.016979,-0.013656,-0.001541,-0.005043,-0.007853,-1
0.51666,-0.20889,0.009937,0.12176,-0.12009,0.045163,-0.14755,0.017164,-0.23042,0.085061,1
0.036792,-0.005063,0.006658,0.000789,0.003984,-0.028471,-0.012314,0.000223,-0.011376,-0.007043,-1
0.34508,-0.72475,-0.10232,0.20478,-0.007989,-0.050004,-0.11316,-0.075366,-0.004639,0.12697,1
0.22885,-0.2296,0.080969,-0.069585,-0.022793,-0.12985,-0.002251,-0.022796,0.013893,-0.053781,1
0.10429,-0.22402,0.14699,-0.34342,-0.13296,-0.040703,0.050008,-0.26089,-0.082681,-0.011302,-1
1.2589,0.000573,0.31107,-0.12927,0.24911,-0.11755,-0.065362,-0.034639,0.12398,0.02858,1
0.032776,-0.0074,0.007648,0.003634,-0.012466,-0.055555,-0.027627,-0.007009,0.012052,-0.009441,-1
0.028224,-0.001614,0.004815,0.001103,0.001269,-0.021216,-0.010148,0.000584,-0.00941,-0.006155,-1
0.35988,-0.004032,-0.053752,0.042912,-0.13935,0.003875,-0.037005,0.007219,-0.032288,0.027168,-1
0.036792,-0.005063,0.006658,0.000789,0.003984,-0.028471,-0.012314,0.000223,-0.011376,-0.007043,-1
0.6289,-0.22423,-0.68498,-0.26798,0.034492,-0.099037,0.035233,0.035014,-0.13409,0.071356,1
0.035972,-0.004611,0.006775,0.000645,0.003763,-0.026715,-0.011105,0.000853,-0.012685,-0.006869,-1
0.46166,-0.54149,0.097229,0.035473,0.12454,-0.005408,-0.12559,0.00477,-0.11064,0.031591,1
0.018474,0.006988,0.001573,0.000781,-0.001129,-0.016979,-0.013656,-0.001541,-0.005043,-0.007853,-1
0.16487,-0.11456,0.069731,-0.003684,0.006748,-0.15298,0.024651,-0.010205,0.015185,-0.004488,-1
0.12753,-0.2511,-0.012375,0.027171,0.002836,0.007841,0.056764,0.017683,-0.040835,0.029054,-1
