@relation T_TCAed_data_dim10_LC_for_PDE_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.16253,0.10382,-0.12004,-0.05019,-0.056779,-0.071286,-0.052168,0.0184,-0.032019,-0.028159,-1
-0.026255,0.020535,-0.005155,-0.015315,-0.059974,-0.022667,-0.008836,0.018072,0.007467,0.007347,-1
-0.21586,0.020977,0.060895,-0.069324,-0.20389,0.01061,-0.14571,0.11092,-0.063026,0.11785,-1
-0.24256,0.13998,0.15606,-0.085784,-0.27093,-0.017463,-0.16166,0.020377,-0.034783,0.05224,-1
-0.17964,0.12305,0.12315,-0.036757,-0.058436,-0.038805,-0.024993,0.056473,0.033127,0.003011,-1
-0.33063,0.35333,0.095749,0.30213,0.041846,-0.007982,-0.1438,0.10802,-0.009818,0.00656,-1
-0.35993,0.20267,-0.020564,-0.061026,-0.018409,-0.073347,-0.044139,0.037495,0.007339,0.012846,1
-0.059424,0.014759,-0.001289,-0.045012,-0.095249,-0.028969,-0.030459,0.08201,0.03407,0.010179,-1
-0.17783,0.064284,-0.10118,-0.051297,-0.037297,0.007929,-0.028889,0.045578,-0.022794,0.008551,-1
-0.22141,-0.014919,-0.10273,0.000299,-0.066976,-0.21561,0.039911,0.14367,0.008256,-0.005053,-1
-0.6374,0.26504,0.09587,-0.093048,-0.1585,-0.11462,-0.046165,0.00998,0.15789,-0.099024,-1
-0.097243,0.008974,0.001564,-0.073322,-0.13702,-0.045793,-0.038325,0.16013,0.063661,0.022603,-1
-0.20177,0.1543,0.10368,-0.035727,-0.17458,-0.059707,-0.020236,0.00396,-0.021698,0.016161,-1
-0.053276,0.017404,0.003087,-0.023844,-0.072688,-0.013245,-0.033543,0.025117,0.012692,0.005958,-1
-0.62772,0.26358,-0.17314,0.024588,-0.05881,-0.093746,0.092302,0.001307,-0.008985,0.038809,-1
-0.54769,0.27967,0.13599,-0.075116,-0.084994,-0.06072,-0.069435,0.056751,0.02626,-0.011416,1
