@relation T_TCAed_data_dim10_PDE_for_EQ_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.47144,-0.002628,-0.14624,-0.13785,-0.094279,-0.062042,-0.018551,0.053575,-0.084098,0.12878,-1
0.21689,-0.17128,0.16629,-0.064127,-0.023994,-0.060396,-0.021253,0.005365,-0.01095,0.005523,-1
0.55733,0.087692,0.086947,0.0173,0.014887,-0.078281,-0.12169,0.01968,-0.020637,0.067747,-1
0.42302,0.12718,0.03056,0.048641,-0.024919,-0.067674,-0.14033,0.016066,-0.035022,0.089353,1
0.56495,0.22157,0.03168,0.060977,-0.19595,-0.067323,-0.080118,0.23194,0.07314,0.10369,-1
0.62401,0.15991,0.023296,0.070991,-0.016447,-0.047455,-0.17149,0.000964,0.007766,0.090413,1
0.40381,0.1586,0.037162,-0.003264,-0.016895,-0.029764,-0.061864,0.007467,-0.012933,0.039785,1
0.11693,-0.053156,0.055326,-0.005166,-0.019623,-0.036451,-0.025558,0.011872,-0.026302,0.032951,-1
0.24917,-0.045825,0.044761,0.02618,0.001598,-0.050698,-0.07131,-0.010421,0.001402,0.019798,-1
0.056133,0.010797,0.007408,0.014182,-0.005859,-0.014541,-0.031564,0.002845,-0.009822,0.024756,-1
0.094454,-0.029097,-0.02666,0.040038,-0.000692,-0.005467,-0.023043,-0.003822,-0.006088,0.020002,-1
0.17757,-0.02415,0.059277,-0.00155,-0.012996,-0.041389,-0.032996,0.017313,-0.029187,0.040947,1
0.17454,-0.05057,-0.21742,-0.15775,-0.038975,-0.13943,-0.071045,-0.0074,0.000329,0.015093,-1
0.68137,-0.23887,0.20577,0.010685,-0.041678,-0.12691,-0.20429,-0.003559,-0.025402,0.071401,-1
0.79052,-0.018021,0.044551,0.02516,0.029525,-0.043174,-0.045054,0.032507,-0.015582,0.039311,1
0.44915,0.19866,0.017867,-0.000291,-0.091945,-0.018767,-0.045086,0.072561,-0.025944,0.1028,-1
0.25141,-0.16382,0.06141,0.001858,-0.023239,-0.008653,-0.041865,0.023642,-0.035925,0.012094,-1
0.136,-0.088046,0.021306,0.027097,-0.034657,-0.019406,-0.002059,-0.00502,-0.01924,0.004919,1
0.30977,0.141,0.000482,0.12506,-0.26695,-0.085315,-0.064716,0.29146,0.095975,0.087171,-1
1.0758,0.41501,-0.025612,-0.23894,-0.060396,0.031323,0.14986,0.08127,-0.023859,0.001157,1
0.47765,-0.24413,-0.12438,0.1575,0.056575,0.05177,-0.085092,0.044715,-0.039284,-0.053079,1
0.31069,0.050662,0.006181,0.065294,0.018739,-0.063538,-0.11967,-0.008295,0.004894,0.026701,-1
0.37758,-0.094595,0.083295,0.016498,-0.043188,-0.074128,-0.063812,0.023389,-0.053296,0.079326,-1
0.28219,-0.053683,0.040837,0.047912,-0.021555,-0.064242,-0.087532,-0.001426,-0.026606,0.048785,-1
0.26504,-0.25641,-0.007977,-0.067467,-0.18037,-0.2346,-0.026651,0.26864,0.091719,-0.003364,-1
-0.020644,0.000111,-0.02412,0.18927,-0.31855,-0.15488,-0.037752,0.61537,0.39468,-0.033462,-1
0.17861,0.045281,0.02223,0.033805,0.004323,-0.044303,-0.089336,0.002623,-0.007981,0.041594,-1
1.1745,-0.15877,0.14673,0.060479,0.08231,-0.12136,-0.16494,-0.011898,0.053312,-0.058771,-1
0.10972,0.023054,0.004885,0.023036,-0.014126,-0.023621,-0.049666,0.010495,-0.02188,0.052263,-1
0.39484,0.13361,0.0018,0.015913,-0.028426,-0.000453,-0.057929,0.048918,-0.040365,0.18965,-1
0.14836,-0.023331,-0.020873,0.058537,-0.016786,-0.024751,-0.054712,-0.00314,-0.01948,0.038751,-1
0.1959,0.064304,0.014596,0.015234,-0.01212,-0.01331,-0.067666,0.01018,-0.009204,0.063359,-1
0.71601,0.24961,0.018108,0.028212,-0.091828,-0.012744,-0.097424,0.059767,0.006328,0.13248,-1
0.15688,0.057086,-0.002671,-0.004137,-0.017455,0.00637,-0.011086,0.018232,-0.021208,0.087637,1
0.10314,0.022791,0.017271,0.026508,-0.007523,-0.030011,-0.059668,0.005472,-0.011246,0.035853,-1
0.39375,-0.042388,0.010473,0.058958,-0.010236,-0.04186,-0.053954,0.021556,-0.045021,0.078786,-1
0.3956,0.10076,0.03252,0.20918,-0.26069,-0.17205,-0.17927,0.2152,0.16135,-0.031721,-1
0.41838,0.16519,0.012923,-0.025967,0.004295,0.002102,-0.033807,0.027195,0.016073,0.15466,-1
0.40342,-0.011018,0.018942,0.02033,0.004196,-0.019861,-0.003861,0.019612,-0.015507,0.041695,-1
0.28934,0.017128,-0.000789,0.069471,-0.005029,-0.0459,-0.10892,0.005622,-0.007176,0.043781,1
0.28375,-0.22855,-0.095554,0.12274,0.030612,0.004986,0.018938,-0.00427,-0.0147,-0.00464,-1
0.13411,-0.023258,-0.033104,0.049069,-0.018053,-0.011318,-0.03745,0.003234,-0.027681,0.057309,1
0.47876,0.17366,0.002645,0.003255,-0.080525,0.008151,-0.021471,0.11341,0.002652,0.20229,-1
0.57877,-0.23812,0.051741,0.064422,-0.030176,-0.052132,-0.066645,0.036483,-0.067743,0.04891,-1
0.73738,-0.21468,-0.18025,0.20192,0.045481,0.008709,0.030914,-0.011476,-0.011521,0.037316,-1
0.48296,0.1488,-0.002347,0.072143,-0.18125,-0.034098,-0.061421,0.026025,-0.023103,0.048975,-1
0.67631,-0.64365,0.18252,-0.009947,-0.080293,-0.039584,0.01429,-0.014338,-0.030626,0.038889,-1
0.089001,0.021981,0.008607,0.020043,-0.019293,-0.020067,-0.039438,0.002727,-0.018149,0.034551,-1
0.43049,-0.035461,0.12837,-0.001781,-0.032931,-0.092509,-0.1114,0.02437,-0.044938,0.08249,1
0.22001,0.074904,0.020887,0.011803,-0.016282,-0.035472,-0.085103,0.010301,-0.01369,0.059169,-1
0.37469,-0.11001,-0.036379,0.082044,-0.026532,-0.022741,-0.026462,-0.001143,-0.034384,0.053731,-1
0.55598,-0.10866,0.020216,0.044872,-0.041973,-0.018837,-0.022404,0.045359,-0.06324,0.093603,-1
0.257,0.056332,0.033212,0.052531,-0.004241,-0.079937,-0.1474,-0.000369,-0.015106,0.056144,-1
0.24854,0.094132,0.029769,-0.008335,-0.006315,-0.022772,-0.058194,0.000675,0.006617,0.026714,1
