@relation S_TCAed_data_dim10_Apache_for_Safe_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.4312,-0.068817,0.23845,0.038188,0.006767,-0.095112,0.027673,0.021109,0.048829,0.035784,1
0.021285,0.008769,-0.001747,-0.000693,-0.004113,0.000684,-0.001059,0.001781,-0.009196,-0.001992,-1
1.2411,0.078495,0.044177,0.03374,0.10118,0.001254,-0.19234,-0.34793,0.068019,0.045941,1
0.81462,0.003153,0.15012,0.046371,-0.023407,-0.044077,0.008857,0.015067,0.019531,-0.016308,-1
0.1361,-0.069911,0.11248,0.10054,0.003017,-0.000406,-0.000099,-0.007995,0.019707,0.005052,-1
0.26705,-0.21733,0.49037,0.83726,0.14422,-0.037714,-0.060271,-0.029524,0.088414,-0.048411,-1
0.15968,-0.13723,0.26498,0.44621,0.075333,-0.027028,-0.026318,-0.017901,0.050763,-0.022035,-1
0.19009,-0.058819,0.074794,0.02148,-0.006197,-0.050775,0.001099,-0.004111,0.015638,-0.020609,-1
0.2763,-0.058625,0.13275,0.08295,-0.01086,0.002382,0.009771,0.004208,0.036608,0.030518,-1
0.28044,-0.034492,0.069186,0.036881,-0.002368,-0.035606,0.008996,0.000183,0.02565,0.002637,-1
0.34009,-0.15265,0.19447,0.04627,-0.034573,0.011559,0.01447,-0.019795,0.030729,0.014922,1
0.51133,-0.098695,0.20557,0.00628,0.01185,0.019041,-0.003814,0.008742,0.035029,0.023643,1
0.23597,-0.15172,0.36071,0.14199,-0.059433,0.08698,-0.031519,-0.051949,0.06528,0.037901,-1
0.039435,0.016135,-0.00322,-0.001269,-0.00756,0.001227,-0.002015,0.003161,-0.016835,-0.00376,1
0.48803,-0.37173,0.15046,0.048243,0.036003,-0.12922,0.065269,-0.02946,0.007344,0.065097,-1
1.3819,0.13772,0.1248,0.073434,-0.036916,-0.076924,0.020013,0.044523,0.050792,-0.051507,1
0.22761,-0.15291,0.24464,0.089982,-0.064526,0.037828,0.00162,-0.037382,0.031275,-0.003648,1
2.9382,0.48687,0.15137,0.16553,-0.14067,-0.21693,0.03918,0.050674,0.076987,-0.0501,1
0.57076,0.006667,0.14022,0.065049,-0.055279,-0.067078,0.016097,0.027286,0.050012,-0.019581,1
0.56834,-0.48938,0.39967,-0.033066,0.19203,-0.20256,-0.038348,-0.010197,-0.026773,0.092655,-1
0.006223,0.002656,-0.000524,-0.000216,-0.001253,0.000234,-0.000265,0.000635,-0.002856,-0.000525,-1
0.005117,0.002121,-0.000545,-0.000144,-0.001057,0.000246,-0.000242,0.000536,-0.002468,-0.000555,-1
0.087892,-0.058451,0.064287,0.074344,0.005142,-0.024063,0.001212,-0.008737,0.010654,-0.008302,1
0.11654,-0.06951,0.064776,0.05329,0.009333,-0.031753,0.004222,-0.005026,0.011746,0.001253,-1
0.33727,-0.10652,0.07962,0.050942,-0.005259,-0.052278,0.02467,-0.014618,0.011516,0.008224,-1
0.31607,-0.27988,0.38097,-0.016474,0.019967,-0.024989,-0.043448,-0.038343,-0.002667,0.015296,-1
0.21029,-0.10788,0.19454,0.27002,0.044674,-0.036436,-0.01,0.002709,0.012497,-0.007462,-1
0.45676,-0.058899,0.080838,0.002829,0.050576,-0.014244,0.002174,0.014637,0.04438,-0.013229,1
0.28731,-0.080666,0.081742,0.021628,0.027238,-0.049548,0.004108,0.005281,0.021754,-0.000966,1
0.49198,-0.1291,0.18213,0.021237,0.008487,-0.010098,0.004213,-0.00776,0.023665,0.033518,1
0.30098,-0.081774,0.13514,0.053466,-0.029255,0.002947,0.014392,-0.005856,0.033838,0.009709,1
1.9341,0.23745,0.16264,0.086167,-0.072625,-0.032888,0.03499,0.041141,-0.028451,0.004029,1
0.38398,-0.07348,0.2089,0.048311,-0.055944,0.05025,-0.003399,-0.020011,0.010698,0.009628,1
0.52436,-0.4158,0.24168,-0.005501,0.003326,-0.15986,0.029212,-0.057066,-0.03045,-0.068726,-1
1.4341,0.10679,0.21762,0.08077,-0.096046,-0.12691,0.049072,0.073609,0.11153,0.007943,-1
0.10561,-0.07524,0.10849,0.14455,0.016007,-0.027334,-0.003698,-0.008621,0.017081,-0.012193,-1
0.37528,-0.10422,0.11635,0.03315,-0.028298,-0.03475,0.017167,-0.019869,0.014373,-0.005647,1
0.16381,-0.059042,0.073172,0.039301,0.00572,-0.024921,0.003181,-0.003533,0.013269,-0.007151,-1
1.0715,0.012421,0.19564,0.084172,-0.085758,-0.11793,0.037812,0.036552,0.044144,-0.016135,1
0.5869,-0.035024,0.13411,0.041937,-0.025791,-0.024941,0.019291,0.016089,0.034749,-0.00426,1
0.45649,-0.21467,0.1677,0.041324,0.046342,-0.10349,0.010803,-0.008464,-0.002219,0.015859,1
0.41386,-0.20997,0.21627,-0.02738,-0.004073,-0.050578,-0.022526,-0.036149,-0.028989,-0.12753,1
0.44435,-0.37457,-0.14962,0.11869,-0.18912,-0.032486,-0.2231,0.22341,0.021707,0.038166,-1
0.24981,-0.1159,0.11138,0.061248,0.01374,-0.043455,0.014991,0.006034,0.021243,-0.008456,-1
0.51393,-0.066976,0.11854,0.03758,-0.017,-0.068935,0.026372,0.013077,0.057219,0.004418,1
0.26243,-0.23599,0.14884,0.044871,-0.019603,-0.071739,0.02716,-0.033421,-0.003599,-0.028303,-1
0.42165,-0.36595,-0.13927,0.1316,-0.19481,-0.013544,-0.22325,0.22572,0.02424,0.031001,1
0.2568,-0.11172,0.12346,0.078371,0.001228,-0.032982,0.018753,0.00872,0.030549,-0.001524,-1
0.34994,-0.12352,0.098209,0.050764,-0.006286,-0.073382,0.02945,0.002421,0.029313,-0.011886,-1
1.3569,0.077442,0.13747,0.07581,-0.027277,-0.096223,0.031578,0.041226,0.022988,-0.021638,1
0.9432,-0.16955,0.22926,0.037761,-0.026719,-0.087945,0.044835,0.014472,0.058662,-0.017005,1
1.7696,0.033902,0.18463,0.043375,0.058207,-0.083677,0.035233,0.027699,0.05904,0.044272,1
0.26968,-0.14974,0.16646,0.023807,-0.006712,-0.025676,0.005838,-0.010879,0.030577,0.00266,1
0.65747,-0.056913,0.23943,0.018145,-0.03411,0.089709,0.016723,0.039273,0.055738,-0.000594,1
