@relation S_TCAed_data_dim10_Apache_for_Zxing_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-1.4155,0.22985,-0.31148,-0.077883,-0.054918,-0.098721,0.068531,-0.024157,0.080301,-0.023909,1
0.01084,0.016926,0.003734,-0.001259,-0.005249,-0.005209,-0.003865,0.001616,0.001676,0.004819,-1
-1.721,0.040476,0.040989,0.0955,0.23588,-0.1386,0.18884,-0.1811,0.055269,0.000165,1
-0.8159,0.17339,-0.17857,-0.01582,-0.012289,-0.05498,0.013029,0.009955,-0.00092,-0.012698,-1
-0.12886,-0.00906,-0.14749,0.085786,-0.00063,-0.008372,0.00157,-0.017584,0.002754,-0.010238,-1
-0.28151,-0.064725,-0.71388,0.87227,-0.023336,-0.025969,0.018874,0.009142,0.054459,0.04676,-1
-0.17495,-0.049304,-0.39383,0.45841,-0.017427,-0.02207,0.016765,0.000959,0.02868,0.020684,-1
-0.17821,0.012322,-0.10532,-0.0071,0.011021,-0.039503,0.028166,0.017222,-0.003032,-0.004209,-1
-0.25655,0.030005,-0.15475,0.056071,-0.015461,-0.015375,-0.004646,-0.032965,0.015619,-0.035835,-1
-0.277,0.032883,-0.094434,0.009218,-0.016434,-0.03043,0.02128,0.003116,0.006557,-0.015398,-1
-0.31433,-0.006395,-0.23209,-0.011643,0.017162,-0.013198,-0.00093,-0.056436,-0.006257,-0.031478,1
-0.4822,0.064904,-0.21265,-0.040475,0.020505,0.026204,0.008873,-0.02767,0.027601,-0.032602,1
-0.15683,0.022911,-0.3589,0.1084,0.093223,0.03485,-0.05147,-0.1232,-0.004677,-0.056592,-1
0.020071,0.031216,0.006854,-0.002279,-0.009655,-0.009651,-0.007066,0.002995,0.003107,0.008891,1
-0.51705,-0.18108,-0.33033,-0.06166,-0.075957,-0.11374,0.13883,-0.042155,0.031423,-0.012866,-1
-1.371,0.36217,-0.1469,-0.005148,-0.081833,-0.085814,0.007983,0.072615,-0.024714,-0.023892,1
-0.18882,-0.001882,-0.27205,0.035143,0.052889,0.008912,-0.031358,-0.069196,-0.037435,-0.022907,1
-2.8088,0.9202,-0.17421,-0.012221,-0.2314,-0.2368,0.01481,0.10273,-0.031241,0.014564,1
-0.51868,0.15593,-0.15534,0.012917,-0.018405,-0.080907,0.003032,0.029826,-0.020889,-0.050042,1
-0.50199,-0.15145,-0.56679,-0.12301,0.078257,-0.074616,0.26284,0.021835,0.12081,0.005657,-1
0.003179,0.005068,0.001146,-0.000412,-0.001592,-0.001522,-0.00121,0.000472,0.000489,0.001439,-1
0.002508,0.004041,0.00097,-0.000193,-0.001266,-0.0015,-0.000978,0.000496,0.000142,0.001033,-1
-0.084819,-0.016927,-0.10302,0.060237,-0.004663,-0.022944,0.014708,-0.000681,0.002939,0.004035,1
-0.1075,-0.017461,-0.10458,0.034543,-0.008334,-0.026201,0.024398,0.000564,0.007209,-0.001667,-1
-0.35449,-0.015837,-0.14528,0.000621,-0.030644,-0.053187,0.040514,-0.013467,0.000723,-0.003551,-1
-0.20863,-0.004368,-0.40866,-0.086042,0.14408,0.032319,0.069776,-0.037379,-0.00011,0.004178,-1
-0.21757,-0.014557,-0.28447,0.26077,-0.014947,-0.036186,0.021591,0.006182,0.020218,0.010131,-1
-0.47262,0.028018,-0.10961,-0.017199,-0.007369,-0.004288,0.031735,0.015836,0.042535,-0.020577,1
-0.29794,-0.00427,-0.12518,-0.004985,-0.005555,-0.034373,0.045024,0.01666,0.02101,-0.015297,1
-0.4744,0.01983,-0.22313,-0.030616,0.006843,-0.018465,0.029294,-0.0439,0.03545,-0.025795,1
