@relation S_TCAed_data_dim10_Zxing_for_Apache_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.51092,0.13091,-0.21167,-0.19113,-0.052785,-0.017895,0.007312,0.014248,-0.01729,-0.012813,-1
-0.23119,0.098113,-0.10181,-0.019805,-0.038025,-0.060728,0.013107,0.030962,0.007736,-0.023783,1
-0.60653,0.071912,-0.072163,-0.012099,0.023615,-0.11988,-0.034408,-0.040511,0.089802,-0.066258,-1
-0.99015,0.063187,0.009084,-0.15315,0.047063,-0.060798,0.000986,0.090423,-0.010086,0.037752,-1
-1.3347,-0.12215,-0.088308,-0.024719,-0.000496,-0.27904,0.057189,0.041581,-0.10468,0.07311,1
-0.54116,0.10285,-0.052468,-0.030158,-0.021429,-0.080408,-0.016825,0.014559,0.005282,-0.032861,1
-0.7447,0.23312,-0.21974,0.044721,0.048615,-0.072106,0.014199,-0.083843,0.074615,0.01805,-1
-0.51565,0.16891,-0.20127,0.042366,0.095427,-0.051203,-0.000825,-0.10859,0.030212,0.049423,-1
-0.45888,0.15073,-0.2087,0.037991,0.092274,-0.051684,-0.011393,-0.099784,0.041313,0.053951,-1
-0.62325,0.18796,-0.10715,0.012796,-0.029159,-0.076972,-0.02246,-0.003475,-0.058018,-0.03774,-1
-0.51751,0.17236,-0.16412,0.034349,0.026787,-0.046882,0.030397,-0.002984,-0.029714,-0.018924,-1
-0.58696,0.21401,-0.13709,0.003693,-0.045205,-0.083526,0.013367,-0.01004,0.056481,-0.030867,-1
-0.34649,0.11958,-0.11815,-0.081037,-0.044945,-0.069432,-0.002484,0.002429,0.00391,-0.020929,-1
-0.50819,0.16949,-0.087801,0.021677,0.010277,-0.043489,-0.010965,-0.044135,0.004252,-0.017663,1
-0.15235,0.1008,-0.061619,0.013368,-0.05525,-0.04576,-0.009506,0.018365,0.008461,-0.007764,-1
-0.16938,0.10545,-0.068134,0.015405,-0.051463,-0.056941,-0.005796,0.017425,0.002191,-0.008331,-1
-0.20116,0.098541,-0.061548,0.012583,-0.051503,-0.051156,-0.010077,0.018555,0.005876,-0.010417,-1
-1.8197,0.65575,-0.65347,0.27606,0.027443,0.17348,0.24777,0.033916,-0.092001,-0.14038,-1
-0.18695,0.10295,-0.083286,-0.029382,-0.056731,-0.048969,-0.010457,0.012421,0.017663,-0.010074,-1
-0.60193,0.10986,-0.042378,-0.083689,-0.013399,-0.056639,-0.010326,0.027651,-0.004388,0.004447,1
-0.22418,0.099039,-0.053472,0.003089,-0.050523,-0.053718,-0.014971,0.015945,0.020563,-0.013704,-1
-0.60888,0.19135,-0.17748,-0.054503,0.003377,-0.02427,0.013128,-0.043097,-0.016589,-0.024634,-1
-0.28402,0.082046,-0.046418,0.007507,-0.051923,-0.038995,-0.016658,0.022966,0.009063,-0.004519,-1
-0.18695,0.10295,-0.083286,-0.029382,-0.056731,-0.048969,-0.010457,0.012421,0.017663,-0.010074,-1
-0.18695,0.10295,-0.083286,-0.029382,-0.056731,-0.048969,-0.010457,0.012421,0.017663,-0.010074,-1
-1.4794,0.074065,0.015671,-0.17692,-0.048052,0.044197,-0.03338,-0.009719,0.021638,-0.004539,-1
-0.25607,0.14186,-0.0979,0.024242,-0.047262,-0.068738,-0.015595,0.013718,-0.022285,-0.010926,-1
-0.81091,0.12004,-0.15183,-0.14358,-0.023216,-0.071324,0.001598,0.006491,-0.002976,-0.060215,1
-0.6227,0.12258,-0.037783,-0.073153,-0.04305,-0.006864,-0.013368,-0.017952,-0.012783,-0.021488,1
-0.28352,0.11354,-0.11927,-0.024312,-0.014979,-0.10104,0.01942,0.037536,-0.011211,-0.023793,-1
-0.19718,0.10146,-0.05729,0.004214,-0.050489,-0.057239,-0.013543,0.015224,0.019846,-0.015458,-1
-1.0837,0.13178,-0.058421,-0.025983,0.017249,-0.10961,-0.052472,0.021842,-0.055139,-0.048628,-1
-0.37523,0.10349,-0.036291,-0.009884,-0.052474,-0.046841,-0.015541,0.002875,0.030267,-0.019449,1
-2.4772,0.44698,-0.15744,-0.052812,-0.14769,-0.11528,-0.035013,0.093694,0.041019,0.001975,1
-0.37881,0.10461,-0.15472,-0.16815,-0.052437,-0.052007,-0.01089,0.005374,0.020488,-0.009856,-1
-2.0993,0.3835,-0.12577,-0.02949,-0.096914,-0.11514,-0.046517,0.053184,0.013906,0.012841,-1
-3.6598,0.47519,0.00316,-0.095241,-0.000223,0.014293,-0.025229,-0.047146,-0.019869,-0.096083,-1
-3.2503,-0.005172,0.15954,-0.197,0.066269,-0.000417,-0.060492,0.062774,0.079514,0.001846,-1
-0.82792,0.1341,-0.033464,-0.079812,-0.003651,-0.071217,-0.025876,0.013565,-0.01001,-0.01459,1
-0.34342,0.10765,-0.036933,-0.005837,-0.047748,-0.043835,-0.012981,0.008071,0.018834,-0.018672,1
-0.53468,0.13999,-0.030182,-0.012808,-0.009027,-0.078189,0.001372,0.013108,-0.020406,-0.021667,-1
-0.26938,0.11836,-0.10501,-0.025009,-0.029578,-0.10125,-0.000843,0.018276,-0.010077,-0.014188,-1
