@relation T_TCAed_data_dim10_Zxing_for_Safe_flag_1

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.48554,0.16666,-0.25808,-0.027793,0.020921,0.01529,-0.033599,-0.002135,-0.001029,0.00985,-1
0.22009,0.13877,-0.059392,0.027116,0.043309,0.027249,-0.018713,-0.011188,0.010364,0.026243,1
0.54377,0.073799,-0.04544,0.089965,0.016233,0.10804,0.065264,0.039784,0.01312,0.087296,-1
0.91099,-0.058634,-0.13024,0.056724,0.033105,0.016553,-0.05911,-0.021274,0.011312,-0.042376,-1
1.2839,-0.13689,-0.056014,0.22877,0.016986,-0.089271,-0.083363,0.072394,0.056103,-0.03267,1
0.50726,0.085336,-0.046418,0.037075,0.052042,0.061054,-0.026354,0.017578,0.009074,0.034322,1
0.6306,0.28029,-0.045708,0.050161,-0.061345,0.10584,0.077702,0.004883,-0.006819,-0.017467,-1
0.41564,0.2072,-0.036342,0.043906,-0.11088,0.073931,0.057814,0.028786,-0.03733,-0.043788,-1
0.36078,0.20048,-0.043971,0.047829,-0.10476,0.06775,0.06903,0.026794,-0.047707,-0.041368,-1
0.60079,0.19106,-0.020999,0.004627,0.022508,0.043521,-0.074205,0.045117,-0.0034,0.039912,-1
0.47172,0.2079,-0.026093,0.020796,-0.038014,0.033313,-0.040074,-0.012408,-0.002602,0.018856,-1
0.53922,0.24406,-0.052151,0.030321,0.037167,0.078791,0.029597,0.005056,0.035569,0.017802,-1
0.32944,0.14586,-0.12184,0.018238,0.041712,0.041696,-0.018502,0.020794,0.016407,0.019724,-1
0.46127,0.16834,-0.009195,0.006699,-0.023865,0.059077,-0.000602,0.036093,0.015896,0.008954,1
0.14722,0.13237,-0.012484,0.006113,0.051424,0.022469,-0.008043,0.006892,0.001678,0.007426,-1
0.1634,0.13866,-0.012845,0.014139,0.051051,0.024857,-0.01515,0.008268,0.002706,0.008947,-1
0.19214,0.1251,-0.012475,0.01086,0.053145,0.02601,-0.011446,0.006767,-0.000012,0.010786,-1
1.6658,0.92248,0.019881,-0.16936,-0.2981,-0.069662,-0.072991,-0.21816,0.072071,0.15899,-1
0.18274,0.13562,-0.061624,0.0066,0.051156,0.028636,0.000315,0.010484,0.00134,0.014846,-1
0.56337,0.064144,-0.08863,0.02034,0.042469,0.039526,-0.033947,0.010625,0.010521,-0.008991,1
0.21689,0.1192,-0.019161,0.012945,0.053772,0.031456,0.002238,0.010596,0.002155,0.020088,-1
0.56041,0.21336,-0.11531,-0.015752,-0.046441,0.041527,-0.017256,0.023131,0.016003,0.010904,-1
0.26977,0.091376,-0.009531,0.003418,0.05933,0.024527,-0.005668,-0.000145,-0.01076,0.007311,-1
0.18274,0.13562,-0.061624,0.0066,0.051156,0.028636,0.000315,0.010484,0.00134,0.014846,-1
0.18274,0.13562,-0.061624,0.0066,0.051156,0.028636,0.000315,0.010484,0.00134,0.014846,-1
1.3937,-0.09729,-0.15679,-0.079973,0.062978,0.057693,0.024209,-0.019518,-0.047323,0.034009,-1
0.2522,0.1808,-0.012916,0.011168,0.039945,0.021993,-0.036208,0.023692,-0.008353,0.020033,-1
0.76145,0.11631,-0.19575,0.022225,0.030311,0.057191,-0.03303,0.009785,0.007579,0.071285,1
0.58091,0.10405,-0.075243,-0.033226,0.013531,0.009629,-0.010219,0.033554,0.026249,0.023367,1
0.26713,0.15518,-0.068693,0.060709,0.037854,0.034158,-0.04715,-0.002661,0.019218,0.025587,-1
0.19171,0.12758,-0.020085,0.015902,0.05181,0.030347,0.000989,0.013295,0.006036,0.020295,-1
1.0198,0.071968,-0.032952,0.053514,0.032764,0.068873,-0.091727,0.052706,-0.009719,0.053237,-1
0.36665,0.097002,-0.024006,0.002821,0.055025,0.044074,0.015561,0.011427,0.004734,0.030114,1
2.3003,0.32803,-0.093272,-0.015015,0.18992,0.12111,-0.021373,-0.035204,-0.017734,0.007679,1
0.36264,0.13057,-0.21821,0.00445,0.043925,0.035457,-0.000277,0.017184,0.005347,0.012912,-1
1.9517,0.28037,-0.054704,0.000023,0.13856,0.10924,-0.028853,-0.000721,-0.026638,0.009409,-1
3.4035,0.1132,-0.047004,-0.095075,0.018666,0.21025,-0.065355,0.026094,0.084513,-0.020296,-1
3.0025,-0.40144,-0.10879,0.014348,0.096191,0.12269,0.05044,-0.086273,-0.088725,0.056323,-1
0.77759,0.071132,-0.078808,0.022942,0.030846,0.044884,-0.03412,0.034746,0.008399,0.026158,1
0.3289,0.10505,-0.0191,0.002811,0.04963,0.03891,0.00107,0.012169,0.010311,0.020003,1
0.50684,0.10258,-0.015749,0.031644,0.03299,0.049173,-0.050474,0.024598,0.036457,0.00086,-1
0.25625,0.15397,-0.063956,0.049535,0.045844,0.038478,-0.038019,0.02029,0.011465,0.017159,-1
1.2785,0.1288,-0.000936,-0.024623,0.016059,0.046743,-0.14227,0.047352,-0.067308,0.032989,-1
0.63544,0.16956,-0.23453,-0.003955,-0.03246,0.048274,-0.003868,0.034336,0.012721,-0.004524,1
1.9836,0.68625,-0.089975,0.084077,0.066187,0.17154,0.043924,-0.070149,-0.037336,0.01506,-1
1.0947,-0.085016,-0.12918,0.008616,0.060249,0.051706,0.055196,0.008527,-0.001826,0.053869,-1
0.83837,0.23463,-0.23385,-0.016232,0.06684,0.021198,-0.027522,-0.054378,-0.000937,0.053104,-1
0.26149,0.11308,-0.022442,0.021291,0.054489,0.035917,0.00295,0.013302,0.00299,0.025373,-1
2.0558,0.21308,-0.020033,0.030967,-0.12908,0.14553,0.013365,0.025029,0.048658,-0.12085,1
1.0213,0.27169,-0.095602,-0.058679,-0.013062,0.081527,-0.006734,0.028039,0.07283,0.011818,1
2.603,1.008,0.069358,0.013089,-0.34615,-0.019136,0.01915,0.015979,0.000767,-0.057118,1
0.2191,0.12088,-0.021203,0.015071,0.053414,0.033242,0.004595,0.012438,0.003863,0.023206,-1
0.34316,0.19201,-0.14311,-0.012311,0.031406,0.029158,-0.032116,0.029266,-0.001245,0.020576,-1
0.40331,0.098889,-0.025835,-0.005784,0.048569,0.048017,0.016854,0.016064,0.016942,0.02881,-1
0.219,0.12841,-0.018638,0.024847,0.051131,0.032738,-0.01174,0.013631,0.006253,0.018525,-1
0.14722,0.13237,-0.012484,0.006113,0.051424,0.022469,-0.008043,0.006892,0.001678,0.007426,-1
0.32147,0.10223,-0.015419,0.001748,0.048727,0.027692,-0.001399,0.011216,0.010036,0.010338,1
0.1668,0.13725,-0.012712,0.014661,0.050619,0.025602,-0.016814,0.00808,0.002686,0.00788,-1
0.67847,0.50548,-0.035906,-0.000369,0.14781,0.098224,0.014703,0.023765,0.01809,-0.021733,-1
