@relation S_TCAed_data_dim10_EQ_for_JDT_flag_2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.1719,0.12489,0.069373,-0.021767,0.13113,0.027564,0.040355,-0.033384,0.010254,0.047417,1
1.4132,0.19738,0.2321,-0.12389,-0.17635,0.16263,0.38444,-0.14207,0.13362,-0.029911,1
0.1795,0.18339,-0.085396,-0.032216,0.11986,0.11823,-0.56834,-0.50801,0.12707,-0.15245,-1
0.95696,0.081826,0.094578,-0.035706,0.000629,0.040827,0.080585,-0.025401,-0.017429,0.083011,1
0.034763,-0.0087,-0.10953,0.021282,0.053298,-0.089401,0.037212,-0.036938,-0.030962,-0.033604,1
-0.2087,0.03826,0.049201,-0.004848,-0.029728,0.021932,0.024025,-0.002647,-0.020135,-0.011273,-1
0.12008,-0.44953,0.14064,0.22431,0.16013,0.18602,0.091759,-0.053322,0.071643,0.010553,1
-0.2047,0.03463,0.044847,-0.005524,-0.022819,0.020343,0.020967,-0.005891,-0.017211,-0.005684,-1
0.67002,0.19958,0.13679,0.025025,-0.13432,0.070397,0.10824,-0.000594,-0.048026,-0.008397,1
0.031936,0.06516,-0.018549,0.033482,0.023521,-0.026732,-0.085464,0.009431,0.016721,0.053802,1
-0.052514,0.12888,-0.21507,-0.056638,0.051534,0.21134,-0.15686,-0.20259,0.045317,-0.13732,-1
0.17252,-0.22254,-0.48194,0.1703,-0.1431,-0.50068,0.02997,-0.12686,-0.066757,0.010141,1
-0.19956,0.046923,0.041432,-0.005666,-0.014336,0.016546,0.01776,0.003787,-0.007948,-0.007631,-1
-0.20445,0.036869,0.048669,-0.004013,-0.025495,0.021621,0.021568,-0.002898,-0.020293,-0.005777,-1
0.003217,-0.11852,0.004678,0.062269,-0.009216,-0.00126,0.079847,0.20523,-0.1193,-0.51644,-1
-0.2047,0.03463,0.044847,-0.005524,-0.022819,0.020343,0.020967,-0.005891,-0.017211,-0.005684,-1
0.16291,-0.51028,0.084171,-0.34068,-0.016606,0.051582,-0.000355,-0.000899,-0.03395,0.044363,1
-0.20277,0.035689,0.046819,-0.005298,-0.026056,0.020632,0.021176,-0.005294,-0.016568,-0.005286,-1
0.54068,-0.11161,0.058976,0.09602,-0.038322,0.020198,0.027337,-0.012135,-0.1329,0.11963,1
-0.2087,0.03826,0.049201,-0.004848,-0.029728,0.021932,0.024025,-0.002647,-0.020135,-0.011273,-1
-0.089679,0.087136,-0.015484,0.02639,0.06706,-0.013448,0.005963,0.035546,-0.003669,0.070063,-1
