@relation S_TCAed_data_dim10_LC_for_JDT_flag_2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.032953,0.091201,-0.007971,0.001088,0.06971,0.007371,-0.037431,0.056842,-0.041718,0.007191,-1
0.010029,0.15804,-0.053014,-0.074112,0.015158,-0.000016,-0.040851,-0.016532,0.008869,-0.02197,-1
0.13728,0.05783,-0.15245,-0.076039,-0.14635,-0.18011,0.23927,0.13796,-0.10711,0.084949,-1
-0.008097,0.08833,-0.024956,-0.11289,-0.14536,-0.25958,0.20071,0.094788,-0.026086,0.014231,-1
-0.031942,0.09462,-0.013848,-0.062719,-0.017937,-0.004509,-0.020327,-0.027071,0.046767,-0.056387,-1
-0.64119,-0.17674,-0.28472,0.093168,0.046123,0.020797,-0.00174,-0.014008,-0.0188,0.002297,-1
0.009419,-0.001868,0.041652,0.027992,0.068941,0.016165,0.003978,0.00121,-0.029047,-0.030729,1
0.054124,0.11262,-0.062852,-0.04798,-0.075153,-0.062351,-0.085321,-0.03648,0.035715,-0.001394,-1
0.013095,0.12555,-0.022839,-0.000969,0.037586,0.065498,-0.04867,-0.002623,-0.05142,0.007468,-1
0.25754,-0.13241,-0.054514,0.060066,0.011166,0.000612,-0.067278,0.072054,0.030377,-0.106,-1
0.02167,-0.32739,0.18846,-0.1569,0.032779,0.074117,0.009904,0.053782,-0.038297,-0.11895,-1
0.096314,0.054467,-0.052014,-0.028971,-0.14793,-0.099186,-0.12144,-0.063302,0.039305,-0.009503,-1
-0.049473,0.10537,-0.005443,-0.056671,-0.012383,-0.009923,0.035063,0.028434,0.012355,-0.076285,-1
0.006369,0.15039,-0.057671,-0.080409,0.003532,-0.008791,-0.026321,-0.008933,-0.005311,-0.022362,-1
0.16907,-0.073257,0.031001,0.23578,0.038598,0.20769,0.059582,0.16666,-0.030106,-0.21445,-1
-0.03275,-0.038489,0.043979,0.010453,-0.005541,0.006798,0.073164,0.047368,-0.009645,-0.044213,1
-0.31873,-0.15881,0.052918,-0.022879,0.025026,0.072333,0.05325,0.03455,-0.07465,-0.0649,-1
-0.008207,0.045328,0.009677,-0.000241,0.034471,-0.029678,0.017318,-0.027997,-0.029593,-0.026454,-1
0.1042,0.036846,-0.040748,0.018362,-0.062305,0.021357,-0.087759,-0.039107,0.021908,0.071319,-1
-0.029044,-0.013765,0.045246,0.075801,0.062811,0.22985,0.13481,-0.086901,0.11757,0.17321,-1
0.070995,0.062589,-0.053604,0.016367,-0.093332,-0.043079,-0.073705,-0.014767,-0.014454,0.037229,-1
-0.04504,0.10064,-0.035773,-0.076001,0.042519,0.010356,-0.02336,-0.015604,0.023487,-0.066991,-1
0.15335,-0.016864,-0.062657,-0.039989,0.04304,-0.029252,-0.10824,0.07682,0.074574,-0.1215,-1
0.043504,0.05602,-0.041621,-0.018032,0.040743,0.12359,-0.023003,-0.067629,-0.033571,0.062447,-1
0.084421,0.013773,-0.033792,-0.03439,-0.097383,-0.059239,-0.077074,-0.037322,-0.03107,-0.004892,-1
-0.63494,-0.19895,-0.29259,0.088023,0.038745,0.010701,0.010276,-0.014434,-0.032151,0.01447,-1
-0.044076,0.12165,-0.032945,-0.072512,0.02913,0.010773,-0.011749,-0.014374,0.042693,-0.052966,-1
0.10157,0.043221,-0.027088,0.024852,-0.10348,-0.024072,-0.11567,-0.04471,-0.008908,0.012887,-1
0.1887,-0.049599,-0.12971,-0.09973,0.072203,0.18548,0.12968,-0.14056,0.18881,0.27598,-1
0.10518,0.024984,-0.01184,0.02764,-0.045492,-0.049428,-0.121,0.029415,-0.001149,0.019788,1
0.17906,-0.12873,0.15116,0.089903,0.48384,-0.36145,-0.22163,0.048558,0.095951,0.24834,1
0.55226,-0.67073,-0.21908,-0.15438,0.079153,0.20097,0.10298,-0.040303,0.17783,-0.059882,1
0.028398,0.086659,-0.035111,-0.032827,0.035762,0.051338,-0.023026,-0.019763,-0.033185,-0.014634,-1
0.15199,-0.07915,0.088567,0.023767,0.19199,-0.17669,-0.1844,0.17684,0.085691,0.1118,-1
0.066341,-0.093889,0.041989,0.005398,-0.10545,0.003504,-0.076069,-0.052687,-0.019298,0.003048,-1
0.020375,-0.037211,0.038421,0.021965,-0.077135,0.029639,0.031928,-0.083964,0.12409,0.019489,-1
-0.018287,0.016904,0.052993,-0.15222,-0.014456,-0.023835,-0.083763,-0.024155,0.049266,-0.052965,1
0.016307,0.14001,-0.053437,-0.067108,-0.007563,-0.028325,-0.006897,0.032424,-0.023784,-0.046718,-1
