@relation S_TCAed_data_dim10_ML_for_JDT_flag_2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.11376,0.092445,0.17657,0.028871,0.034299,-0.041802,0.13525,-0.017278,0.031171,0.10125,-1
-0.15755,0.005368,-0.13649,-0.010501,-0.015193,0.071035,-0.016959,0.076228,-0.009567,-0.089587,1
0.25178,0.063217,0.044302,-0.015375,0.039877,-0.003215,0.016409,0.004091,-0.001678,-0.026869,1
-0.16044,0.074824,-0.026337,0.063143,-0.067243,-0.01619,-0.036072,-0.15176,0.024423,-0.024338,-1
-0.21062,-0.24519,0.053714,-0.017776,-0.013204,-0.00772,-0.11537,-0.011489,0.16165,-0.004613,-1
-0.005927,-0.015085,-0.1483,-0.045712,0.039539,0.009157,0.022031,-0.018736,0.02734,0.002883,-1
-0.30854,0.067048,0.048324,-0.06854,0.10321,0.049446,0.14262,0.14634,0.13533,0.1486,-1
0.22074,0.049675,0.063962,0.031655,-0.019507,-0.011921,0.039465,-0.01661,-0.030472,-0.029829,-1
-0.047657,0.012358,-0.12486,-0.028669,0.024483,0.045353,-0.009601,0.013763,0.012681,-0.01977,-1
0.18264,-0.017044,0.10384,-0.025706,0.044414,-0.004733,0.00794,-0.014798,-0.073086,-0.085019,-1
-0.053209,-0.33089,0.016424,0.002172,0.014201,-0.002185,-0.000442,-0.081805,-0.12438,0.07615,-1
0.21297,0.061285,0.034704,-0.010232,0.0321,0.002664,0.029067,0.00448,0.017324,-0.044897,-1
-0.003258,-0.050697,-0.15192,0.020744,-0.019573,-0.08682,-0.002024,0.023152,-0.032937,0.061159,-1
0.038859,-0.15328,0.32569,-0.026471,-0.026431,0.008693,-0.040103,0.020698,0.067744,0.017927,-1
0.15844,0.000425,0.089457,0.024478,0.002763,0.035017,-0.005556,0.02005,-0.014364,-0.015894,1
0.20951,0.055902,0.057253,0.012233,-0.007036,-0.010005,0.009596,0.00217,-0.007407,-0.029511,-1
-0.03595,0.00232,-0.12967,-0.044624,0.032819,0.014306,0.018486,-0.004945,0.024136,-0.008832,-1
-0.074396,-0.002964,-0.10678,0.023093,-0.003715,0.027824,-0.040247,-0.009031,-0.008561,0.02047,-1
0.25471,0.066098,0.042976,-0.030401,0.037531,-0.002484,0.024127,0.005486,0.008822,-0.03565,-1
0.21766,0.036873,0.068078,0.008977,0.037866,0.010785,-0.033756,0.016357,-0.025396,-0.013528,-1
0.20788,0.082312,0.080455,0.057673,0.005854,-0.003409,-0.051667,-0.020119,-0.006501,0.015176,-1
0.2063,-0.15133,0.17671,0.12255,-0.099283,0.037172,0.017326,0.032318,0.007532,0.011931,-1
0.1845,-0.004758,0.17521,0.082988,-0.030954,0.011308,-0.025246,0.003186,-0.074201,0.056962,-1
0.23592,0.067631,0.053645,-0.007578,0.035944,-0.012999,0.003539,-0.018273,0.003406,-0.027884,-1
-0.028195,-0.063462,-0.12904,0.010737,-0.025748,0.017251,0.045103,-0.022101,-0.034289,0.034909,-1
-0.2665,0.12903,0.062184,0.027739,-0.040918,-0.003057,0.045571,-0.1108,0.024986,-0.060189,-1
-0.40734,0.19166,0.057232,-0.006525,-0.014693,0.12937,-0.028166,0.11122,-0.041724,-0.06027,-1
