@relation S_TCAed_data_dim10_PDE_for_JDT_flag_2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.16906,0.16942,-0.20507,0.15565,-0.10669,0.005741,0.013468,-0.045986,0.081966,0.085812,-1
-0.19237,-0.00186,0.012583,-0.015056,0.043991,0.015151,-0.026818,0.082928,0.042478,0.01929,-1
0.11218,-0.032404,-0.033135,-0.048785,0.025885,-0.003626,-0.052712,-0.008997,-0.014892,0.016017,-1
0.088851,-0.075228,-0.037683,-0.014767,0.004255,-0.028583,-0.010636,-0.020912,-0.048597,-0.007644,1
0.12867,-0.04702,0.16862,-0.004461,-0.31819,-0.1152,-0.15305,0.012064,0.016527,-0.030649,-1
0.30609,-0.063489,-0.011031,-0.025502,-0.014049,-0.008898,-0.073163,-0.046341,-0.10785,0.005474,1
0.1342,-0.067865,-0.072948,-0.025659,0.022886,-0.043729,0.031474,-0.01053,-0.03707,0.000672,1
-0.18196,-0.057571,-0.031988,-0.010082,0.001273,-0.009007,0.000516,0.007258,0.029597,0.011448,-1
-0.10691,-0.057238,0.000794,-0.004849,0.026461,0.000676,-0.011681,0.007791,-0.013784,-0.011777,-1
-0.18404,-0.079531,-0.039128,0.000007,0.002427,-0.025837,0.001658,-0.024602,0.013778,-0.011573,-1
-0.18757,-0.067264,-0.013564,0.008093,0.007029,-0.010462,0.017297,-0.040469,0.020608,-0.022074,-1
-0.12623,-0.056697,-0.037909,-0.011138,0.000503,-0.008762,-0.003813,0.000434,0.024155,0.015497,1
-0.17357,0.14932,-0.27279,0.38747,-0.11718,0.028842,0.001555,0.012794,-0.02624,0.002355,-1
0.015089,0.11044,0.089511,-0.047787,0.079135,0.043299,-0.063586,0.12644,-0.091544,0.023087,-1
0.17449,0.014005,0.002421,-0.027805,-0.004821,0.085122,-0.019287,-0.008343,0.008698,-0.005341,1
0.087335,-0.059425,-0.025911,-0.010085,-0.048349,-0.092446,-0.00666,-0.012341,0.049002,-0.017649,-1
-0.15177,0.05911,-0.004564,-0.057101,0.009628,-0.003779,0.013673,0.006142,0.015862,0.006922,-1
