@relation T_TCAed_data_dim10_JDT_for_LC_flag_2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.095588,0.17606,0.18612,0.3736,0.12906,-0.22742,0.24006,-0.37406,-0.028786,-0.092932,-1
0.15162,0.060177,-0.058868,0.025805,-0.098312,-0.037185,-0.080554,-0.03523,-0.004298,0.010349,-1
0.040825,0.007954,0.11388,0.14031,-0.074636,0.037001,-0.022979,-0.024188,0.026848,0.090286,-1
-0.11614,-0.57293,0.15475,-0.082271,-0.025509,-0.005762,-0.020764,-0.084464,-0.004453,-0.020968,1
-0.31654,-0.04487,0.096739,-0.025558,0.044678,0.074191,0.019794,0.02826,-0.060559,0.068604,-1
-0.14075,-0.24349,0.048202,-0.075568,0.20321,-0.27931,-0.016025,-0.32066,-0.085022,-0.043487,1
0.33547,-0.17113,-0.073257,0.014674,-0.023131,0.03032,-0.070265,-0.002762,-0.000155,-0.1246,1
0.13838,0.11475,-0.094352,0.010474,-0.010645,0.057633,0.034415,-0.059606,0.096054,0.22065,-1
0.17541,0.003709,-0.024581,-0.00484,-0.031506,-0.051225,-0.069833,0.008978,0.047191,-0.021212,1
0.047125,0.13499,-0.015571,-0.023108,0.049852,0.060289,-0.027504,-0.001356,-0.010413,-0.006953,1
-0.45532,-0.073372,0.11521,-0.077421,0.024198,0.013878,0.020683,0.000895,0.040807,0.002475,-1
0.099756,-0.075068,0.12693,0.11524,-0.003268,0.016975,-0.056204,-0.075974,0.011491,0.06333,1
-0.49039,-0.33595,-0.45944,0.19443,0.004086,-0.088183,0.012703,0.02067,0.042027,-0.038001,-1
0.064615,0.032919,0.049896,-0.00327,-0.093394,-0.026852,-0.095103,-0.035339,0.006042,0.028787,-1
0.074234,0.057349,-0.001486,0.052261,-0.13979,-0.088808,-0.012235,0.010842,0.030857,0.003362,-1
0.084145,0.024355,0.017097,0.051236,-0.06619,-0.15643,-0.022704,0.075964,0.066937,0.013345,-1
0.13599,0.098392,-0.051141,0.029655,-0.092951,-0.045319,-0.087718,-0.023691,0.02081,0.014302,-1
-0.33673,-0.20183,0.12615,-0.058592,-0.1089,-0.050544,-0.054932,-0.010962,-0.001369,0.015308,-1
0.076037,0.18904,-0.067224,-0.024992,0.024943,0.039004,-0.005815,0.013437,-0.036485,0.000336,-1
0.36073,-0.38151,-0.0065,-0.049514,-0.05142,0.061069,-0.019734,-0.13664,-0.000454,0.13007,1
-0.36254,-0.021824,0.040462,-0.16797,0.10401,-0.047328,-0.038851,-0.07421,-0.022965,-0.003834,-1
0.17601,0.039561,-0.065004,0.030238,-0.061671,-0.035834,-0.099739,0.013114,0.038214,-0.067835,-1
0.21056,-0.025153,-0.15485,-0.1458,-0.061061,-0.086953,0.15873,0.017053,-0.16192,0.041207,-1
0.041003,0.23661,-0.065221,-0.024527,0.036248,0.050948,-0.007459,0.001866,-0.008146,-0.008619,-1
0.16307,-0.023534,0.016484,0.11059,-0.094073,0.012276,-0.050709,-0.019519,-0.02034,0.038679,-1
