@relation T_TCAed_data_dim10_ML_for_EQ_flag_2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.076552,-0.23678,-0.014905,0.037012,-0.09902,0.11013,0.017407,0.001009,0.11884,-0.10565,-1
0.11865,0.10034,0.053241,-0.02194,0.12464,0.006367,0.062577,-0.07231,-0.097189,0.026295,1
-0.23736,-0.093725,0.058893,0.002591,-0.007563,0.054559,0.000906,-0.003858,-0.026204,0.02884,1
0.20504,0.021923,0.055346,0.081805,0.001181,-0.091487,0.071348,0.18751,0.017702,0.02806,-1
0.14959,0.12289,-0.23566,-0.009585,-0.008184,-0.057486,-0.054755,0.014809,0.090674,0.21339,-1
-0.0191,0.10866,0.071156,-0.042649,0.036293,0.061981,0.004729,0.020023,0.025779,-0.002548,-1
0.32729,-0.079807,0.015259,-0.024002,-0.040826,0.18061,0.060498,-0.10445,0.2232,-0.059253,-1
-0.21155,-0.087306,0.004409,0.02076,-0.01955,0.024018,0.03614,0.031254,-0.044347,0.005638,-1
0.064476,0.080369,0.10954,-0.029049,0.099101,0.015027,0.015782,-0.016345,-0.004318,-0.000731,-1
-0.19382,-0.096306,-0.013649,-0.000289,-0.014086,0.065443,-0.037074,0.034437,-0.099715,0.036817,-1
-0.061984,0.11677,-0.27812,-0.017006,0.007016,0.01326,-0.13647,0.10039,-0.07374,-0.18263,-1
-0.21539,-0.085824,0.056284,-0.000254,-0.006018,0.060306,0.04055,-0.012736,-0.017813,0.034296,-1
-0.030957,0.17314,0.031999,0.001749,-0.072886,-0.025701,-0.011704,-0.014006,-0.001982,-0.079698,-1
-0.032375,-0.26019,-0.30932,-0.066348,-0.002459,0.013937,-0.013587,-0.018428,-0.12387,-0.019782,-1
-0.17976,-0.10488,-0.039003,0.04745,0.022377,0.002149,0.02575,-0.039427,-0.041969,-0.058237,1
-0.19283,-0.079504,0.034057,0.015674,-0.019122,0.005618,0.017427,0.001179,-0.013145,0.034991,-1
0.015559,0.09421,0.072247,-0.040403,0.033743,0.059419,0.01094,0.006623,0.017443,0.005692,-1
0.07038,0.097402,0.039722,0.03723,0.040561,-0.029013,-0.031829,0.004809,0.034636,0.009813,-1
-0.23768,-0.095926,0.06677,-0.014232,-0.007814,0.060058,0.014923,-0.006726,-0.022213,0.037107,-1
-0.21627,-0.097294,0.019899,0.044541,0.006659,0.007291,-0.034125,-0.026592,-0.03392,-0.00586,-1
-0.16265,-0.10156,0.047074,0.092086,-0.007203,-0.051763,-0.036519,0.018291,0.021285,0.03802,-1
-0.24632,-0.09613,-0.24277,0.085319,-0.005232,-0.077064,0.077395,-0.03586,-0.021621,-0.05464,-1
-0.16501,-0.16172,-0.10781,0.066684,0.006157,-0.044865,-0.088034,-0.000923,-0.036735,0.00148,-1
-0.22295,-0.099198,0.058216,0.020643,-0.018245,0.040722,0.004584,0.024031,-0.025434,0.03297,-1
-0.018545,0.13651,-0.024603,-0.017795,0.03809,0.011948,0.013558,0.018751,0.012097,-0.075791,-1
0.35154,-0.043418,0.06571,0.012878,0.018859,-0.028859,0.10478,0.12855,-0.03574,-0.00196,-1
0.46333,-0.085392,0.042951,-0.018312,0.13663,-0.043294,0.021432,-0.10279,-0.14139,0.051372,-1
-0.18644,-0.093828,-0.14617,0.064086,-0.020748,-0.049701,0.16056,-0.009357,-0.019656,-0.003297,-1
-0.14027,-0.14779,0.085983,0.13004,-0.09051,-0.071313,-0.028176,0.13314,0.042267,0.042563,1
0.085699,-0.22049,0.032755,0.13035,0.10538,-0.10233,-0.09908,-0.1203,-0.11549,0.14822,-1
0.12194,0.074499,0.068838,-0.000966,0.068761,0.005699,-0.020174,-0.035244,0.007867,0.025869,-1
0.003949,0.087872,0.041611,-0.018898,0.018972,0.037186,0.000661,0.029205,0.039412,-0.011032,-1
0.02184,0.18572,-0.27424,-0.10918,-0.018934,0.037394,-0.066808,-0.065028,0.10396,0.19982,-1
0.089258,0.18205,0.14252,0.041327,-0.20661,-0.05529,0.048018,0.11152,0.005719,0.012867,-1
0.13399,0.031276,-0.07206,-0.06553,-0.022077,0.061037,-0.031017,0.078284,-0.086148,-0.063232,-1
