@relation T_TCAed_data_dim10_ML_for_PDE_flag_2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.003351,-0.006062,-0.061188,0.074953,-0.16191,-0.037523,0.10453,0.065987,-0.10081,-0.018808,-1
-0.061283,-0.056678,0.015374,-0.025607,0.12224,-0.020468,0.023286,-0.037857,0.00511,0.058292,1
0.16777,-0.043792,-0.062698,0.008986,-0.044438,0.00789,0.008579,0.021108,-0.013568,-0.019448,1
-0.1011,-0.06924,0.04496,0.00585,-0.017858,-0.10052,0.024656,0.017051,0.12372,0.002776,-1
-0.054848,0.13588,0.073473,0.003881,0.10459,0.089844,0.075841,0.040582,0.091134,0.017453,-1
0.078892,-0.04328,-0.020534,-0.056413,0.062352,0.000964,0.006908,0.004229,0.001479,0.002621,-1
-0.19436,-0.017175,-0.051959,-0.01243,-0.042756,-0.009893,0.23397,0.022417,-0.17774,0.069267,-1
0.13166,-0.001541,-0.020391,0.0321,-0.061669,-0.032147,0.020115,-0.0025,0.001212,-0.002536,-1
0.036892,-0.067643,-0.030098,-0.049842,0.077092,0.006101,0.011235,-0.007772,-0.002113,0.026889,-1
0.06564,0.045777,-0.10153,-0.090969,-0.059415,-0.048176,-0.07208,-0.040003,-0.007324,-0.081623,-1
0.03503,0.30109,0.003499,-0.044775,-0.006189,-0.09811,-0.083169,0.012287,-0.017756,0.1041,-1
0.14647,-0.056127,-0.062532,-0.010336,-0.029058,0.001149,0.023889,0.009302,-0.010921,-0.0278,-1
0.064491,-0.01223,0.14205,-0.035987,0.018107,-0.007393,-0.032545,-0.003028,-0.028171,0.004336,-1
-0.012581,0.2654,-0.030713,0.11648,-0.11766,0.058464,0.10411,0.080124,0.022155,0.17211,-1
0.072562,-0.0015,-0.02813,0.068302,-0.021076,-0.012576,0.009189,-0.011482,-0.028671,0.013262,1
0.11885,-0.043812,-0.024678,0.022898,-0.045003,0.001961,0.00005,-0.013872,-0.004665,-0.038411,-1
0.050161,-0.043333,-0.023584,-0.056559,0.060206,0.005623,0.014825,-0.001643,0.003259,0.013879,-1
-0.027621,-0.018864,0.033835,0.001833,0.074598,-0.007669,-0.036631,0.006541,0.002966,0.011333,-1
0.17328,-0.057577,-0.069466,-0.000689,-0.045511,0.012405,0.015051,0.00872,-0.012058,-0.032586,-1
0.1187,-0.038848,-0.039862,0.055279,-0.02487,0.007438,-0.029308,0.016659,-0.01918,-0.021263,-1
0.078047,-0.056789,-0.012269,0.071121,-0.033929,0.005994,-0.049471,0.027783,0.010757,-0.066542,-1
0.10717,0.18177,0.048232,0.14624,-0.063618,-0.047161,0.03595,-0.039057,-0.031918,0.001482,-1
0.060018,0.1427,-0.003237,0.15381,-0.074229,0.007795,-0.027113,0.082279,-0.018882,0.030957,-1
0.14735,-0.050392,-0.05207,0.012504,-0.052115,-0.006902,0.009056,0.032862,0.005912,-0.019771,-1
0.055532,0.020432,0.037629,0.001359,0.067706,-0.034129,0.001809,-0.040965,-0.006193,0.009643,-1
-0.26672,-0.072413,-0.017155,-0.033911,-0.028463,-0.098178,0.077939,0.004847,0.10879,0.047046,-1
-0.36195,-0.067586,-0.075415,-0.006122,0.062325,0.030832,0.04093,-0.072401,0.02657,0.083312,-1
0.073895,0.080874,0.033994,0.081571,-0.063403,-0.064909,0.042901,-0.075545,-0.010301,-0.065285,-1
0.060517,-0.076177,0.011786,0.066236,-0.12172,-0.039465,-0.015609,0.12589,0.092307,-0.053046,1
-0.21658,-0.085097,-0.047571,0.10192,0.035117,0.025775,-0.12806,0.043918,-0.014516,-0.033769,-1
-0.05066,-0.050916,-0.019535,-0.047831,0.08807,0.02271,-0.006489,0.005697,0.004551,0.047773,-1
0.040824,-0.026312,0.001506,-0.029977,0.052229,-0.01227,-0.010387,0.002178,-0.006525,-0.012697,-1
0.038465,0.18494,0.051586,-0.040466,0.12224,0.13901,0.079465,0.012075,0.037687,-0.005107,-1
0.003876,-0.10217,0.19352,-0.098375,-0.043751,-0.047585,-0.007567,0.06251,0.064293,0.001805,-1
-0.10012,0.11589,-0.045744,-0.1172,-0.031661,-0.072352,-0.057804,-0.049383,0.015249,-0.061888,-1
-0.033971,-0.042127,0.050604,-0.008346,0.068674,0.032492,-0.068787,-0.017039,0.018448,0.006858,-1
