@relation S_TCAed_data_dim10_Safe_for_Apache_flag_2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.18805,-0.38162,-0.056776,-0.067478,-0.21007,0.015304,0.02338,0.10381,-0.023894,0.04034,-1
1.0595,0.28648,-0.045706,-0.097959,0.10215,0.007092,0.16038,-0.069904,-0.21364,0.11583,1
-0.22162,-0.30721,0.077159,0.5252,0.069844,0.087491,0.17751,0.077712,-0.14434,-0.025639,-1
0.59331,0.15677,-0.045204,-0.10755,0.005329,-0.049401,0.005302,0.003788,-0.067123,-0.046356,1
0.56865,0.040362,-0.029416,-0.089342,-0.10657,-0.013533,-0.070535,0.034017,-0.042253,-0.032709,1
0.54137,-0.46461,0.12721,-0.15169,-0.010417,-0.14296,-0.21793,-0.06746,-0.07774,-0.06045,1
1.81,0.2303,-0.033971,-0.075172,0.095954,-0.088141,0.018505,0.002784,0.009096,-0.17712,1
-0.10648,-0.47173,0.028142,-0.26962,0.072702,-0.33682,-0.13612,0.075706,0.1362,0.095884,1
0.5162,-0.26141,0.063721,-0.012335,-0.14337,-0.037688,-0.21239,-0.050136,-0.01859,-0.066875,1
0.90784,0.18561,-0.02591,-0.093079,0.1147,-0.005001,-0.01337,0.003107,-0.063942,-0.055157,1
-0.17733,-0.050685,-0.038738,0.14558,0.071868,0.019053,-0.007629,-0.019558,-0.004645,-0.004647,1
0.30507,-0.034967,-0.042229,-0.14882,-0.004919,-0.023086,0.01621,0.029455,-0.058155,0.007551,-1
0.15745,-0.11462,-0.053899,-0.098484,0.006567,0.032635,-0.090587,0.079741,-0.012293,-0.094983,1
0.24991,0.13489,-0.068918,-0.13287,-0.26451,0.056992,-0.075095,0.19481,0.18849,0.095766,-1
-0.14879,0.068227,-0.001583,0.016471,-0.16914,0.088114,-0.052581,0.053452,0.10797,0.002079,-1
-0.37765,0.033403,-0.11204,0.003977,0.094499,0.14756,-0.027367,-0.064084,0.017626,-0.072078,1
-0.51108,0.23045,-0.14472,0.013935,0.010439,0.045291,0.076748,0.13683,0.071767,0.032651,1
-0.027666,-0.096861,0.001939,0.12242,0.099347,-0.013185,-0.052342,0.032378,0.021076,-0.052868,-1
-0.53227,0.18871,0.53399,0.050228,-0.004733,0.072097,0.01008,-0.10129,0.037151,-0.078205,-1
-0.47809,-0.010917,-0.082118,-0.028116,0.016536,0.014666,-0.040022,-0.098083,0.020574,0.006571,-1
-0.54624,0.058568,-0.123,0.007975,0.008378,0.10004,-0.001081,-0.12352,0.005971,-0.025852,-1
-0.053734,-0.082552,-0.018285,-0.12571,-0.02904,0.001642,-0.099051,-0.24479,-0.10742,-0.032977,-1
-0.54794,0.077378,-0.13225,0.001193,0.014949,0.093872,0.023202,-0.13072,-0.003339,0.00028,-1
-0.27935,-0.018621,-0.012593,-0.052086,0.013466,-0.034888,-0.063071,-0.064167,0.079389,-0.045726,-1
-0.39967,0.045281,-0.044753,0.1598,0.10033,0.032769,-0.002394,-0.058546,0.037844,0.012141,-1
-0.36948,-0.16309,-0.074617,-0.10111,0.092457,-0.025879,-0.020671,-0.032013,0.062999,0.023172,-1
-0.015068,-0.1808,0.029119,0.34104,-0.29707,0.20248,-0.24417,-0.061555,-0.062226,-0.036405,-1
-0.6869,0.37725,0.57641,-0.06091,-0.079408,-0.038999,0.11558,0.088812,0.079328,0.035321,-1
1.172,0.0157,0.037234,0.13493,-0.050684,-0.0659,0.080998,0.11161,-0.15609,-0.004626,1
-0.6806,0.21628,-0.22219,0.025686,-0.060652,0.004805,0.12691,0.059053,0.045888,0.10189,-1
-0.54175,0.053889,-0.12197,0.002378,0.012674,0.08822,0.006434,-0.12567,0.001941,-0.016298,-1
-0.68847,0.23889,-0.11351,0.014311,-0.064441,-0.001984,0.12569,0.061287,0.045712,0.094292,-1
-0.66909,0.23074,-0.15618,0.01857,-0.055418,0.005608,0.12038,0.068587,0.047253,0.09086,-1
2.1834,0.04916,0.065923,-0.062771,0.009462,-0.10103,0.014,-0.1063,0.030077,-0.004249,1
-0.30667,-0.082462,0.001227,-0.071697,-0.013497,-0.020809,-0.031289,-0.050451,0.026745,-0.014628,-1
-0.4962,0.064503,0.10904,-0.023447,0.015229,0.060874,-0.022664,-0.098998,0.014847,-0.036325,-1
-0.40547,-0.024765,-0.025335,-0.036278,0.008673,0.070538,0.00391,-0.063973,-0.016206,-0.034127,-1
-0.65476,0.21272,-0.22045,0.025147,-0.047696,0.012011,0.12262,0.068292,0.047515,0.094703,-1
2.3069,0.39097,-0.01099,-0.050141,-0.20719,-0.012521,-0.16776,0.18207,-0.13982,-0.056549,1
-0.27961,-0.034482,-0.087553,-0.046716,0.036219,0.069027,-0.032092,-0.024517,0.002548,-0.032863,1
0.047155,-0.003427,-0.018039,0.13786,0.16229,-0.042905,-0.11223,0.050417,-0.019108,-0.087405,-1
-0.49607,0.025861,-0.058732,0.086152,0.025264,0.047557,-0.019891,-0.095603,0.011891,-0.004782,-1
-0.44359,0.0147,-0.057057,-0.031857,0.024238,0.021194,-0.033027,-0.094941,0.0305,0.000677,-1
-0.58969,0.23273,-0.12681,0.013873,-0.021038,0.025544,0.10073,0.10263,0.060871,0.062696,-1
-0.49805,0.46745,0.891,-0.10828,-0.078251,-0.037446,0.066183,0.17793,0.2592,-0.05461,1
1.305,-0.063333,0.065316,-0.072952,0.11316,-0.16451,0.048097,0.027708,-0.18421,-0.1287,1
0.032941,-0.039841,-0.053525,0.080055,-0.12845,0.031717,0.1051,0.053709,-0.0767,0.060061,1
-0.049668,-0.017492,-0.053456,0.04482,0.075317,0.027009,-0.017177,-0.025375,-0.037916,-0.099375,1
-0.40352,-0.007737,-0.079622,-0.055354,0.090152,0.012577,-0.052075,-0.056758,0.050696,-0.000365,-1
-0.059499,-0.01318,-0.068849,-0.082744,0.023113,0.024879,0.037988,-0.033099,-0.069542,0.018397,1
