@relation T_TCAed_data_dim10_Apache_for_Safe_flag_2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.0233,-0.10503,-0.034368,-0.019198,-0.12989,-0.068831,0.023922,0.006432,-0.007387,-0.2129,1
-0.60725,0.2033,-0.38265,0.019659,-0.10868,-0.14837,0.071154,-0.031888,0.031847,-0.10166,-1
1.112,0.13185,-0.022073,-0.024578,0.020521,-0.18514,0.14687,0.0496,-0.63604,-0.32843,1
0.2819,0.057712,-0.043671,0.00404,0.000959,0.004828,-0.032411,0.029184,0.01619,0.00143,-1
-0.55297,0.13701,0.019265,0.028819,-0.02896,-0.005361,0.011092,-0.010649,-0.0278,0.0192,-1
-0.76228,0.51452,1.7575,-0.20433,-0.097471,-0.16218,0.033285,-0.037746,-0.067357,-0.13278,-1
-0.68533,0.3234,0.84129,-0.10967,-0.046169,-0.046527,-0.008625,-0.026501,-0.056349,-0.018515,-1
-0.44611,0.05657,-0.16398,-0.054252,0.04528,0.008241,-0.01597,0.012054,0.006197,0.039262,-1
-0.36878,0.11532,0.000198,0.07976,-0.003074,0.046148,0.003444,0.027852,-0.040189,0.01628,-1
-0.35146,0.10486,-0.14411,-0.020242,0.019768,0.029034,-0.000673,0.019539,-0.028802,0.047584,-1
-0.31106,-0.079655,0.02461,0.1075,0.01446,0.033452,0.010976,-0.014545,-0.030269,0.006408,1
-0.049785,-0.10318,-0.012607,0.074431,-0.058861,0.019638,0.056274,0.08243,-0.021178,0.047254,1
-0.46989,-0.004256,0.36182,0.32073,0.040772,-0.010094,0.10743,0.031401,-0.086358,0.029184,-1
-0.58737,0.23178,-0.4824,0.026889,-0.16969,-0.2707,0.13658,-0.054729,0.06903,-0.24056,1
-0.23576,-0.29495,-0.018784,-0.14542,0.06188,0.14748,-0.001001,-0.1319,-0.094778,-0.069526,-1
0.96256,0.19896,-0.032779,-0.032157,0.062414,0.058885,-0.082463,0.087592,0.017113,0.059581,1
-0.43066,-0.048134,0.14478,0.18069,0.070582,0.003612,0.033443,-0.041894,-0.014878,0.013312,1
2.7924,0.40161,0.014271,-0.099516,0.20122,0.018481,0.033742,-0.024013,0.000341,0.067058,1
0.021884,0.10374,-0.062993,-0.00064,0.12101,0.061949,-0.049579,0.097803,0.027384,-0.000308,1
-0.24506,-0.637,0.046631,-0.34591,0.020081,0.034301,0.32499,0.19914,-0.055826,0.046872,-1
-0.62374,0.17967,-0.29987,0.01366,-0.058045,-0.046861,0.01686,-0.012934,0.000991,0.0136,-1
-0.6253,0.17843,-0.29369,0.013232,-0.05446,-0.039395,0.012447,-0.011286,-0.001469,0.021849,-1
-0.57415,0.13309,-0.059171,-0.030648,-0.009627,-0.000655,-0.017557,-0.023332,-0.01695,0.03945,1
-0.54028,0.10176,-0.10482,-0.032458,-0.005348,0.015212,-0.005474,-0.01186,-0.021407,0.038041,-1
-0.3527,0.028078,-0.10375,-0.04652,0.042917,0.046332,-0.011002,-0.058572,-0.036224,0.020567,-1
-0.34266,-0.42826,0.092603,0.008986,0.095154,-0.071661,0.28133,0.15074,0.005424,0.065374,-1
-0.52064,0.20447,0.42398,-0.1008,-0.026489,-0.026859,-0.008448,0.020376,-0.00719,-0.007241,-1
-0.16951,0.044665,-0.15463,-0.023758,-0.15541,-0.006431,-0.044139,0.065141,-0.026857,0.014823,1
-0.35731,0.041077,-0.14915,-0.060112,-0.031172,0.021159,-0.016756,0.029309,-0.020514,0.020154,1
