@relation T_TCAed_data_dim10_Safe_for_Zxing_flag_2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.011574,-0.11115,-0.3634,0.037252,0.079117,0.17801,-0.096885,0.042808,0.12823,-0.096076,-1
-1.1823,0.018529,0.3342,0.068191,-0.092652,0.036024,0.010475,-0.17016,-0.083341,0.091736,1
0.42692,-0.049541,-0.10542,0.058038,0.05557,-0.087831,0.027135,0.12708,-0.00942,-0.11674,-1
-0.4932,-0.002303,0.1498,0.019357,0.042713,-0.005414,-0.036748,-0.012378,0.014062,0.061657,1
-0.5582,-0.033492,0.008316,0.051867,0.053168,0.058832,-0.003531,-0.018818,0.010354,0.020737,1
-0.7726,-0.11004,-0.32429,-0.11442,0.1506,-0.022536,-0.00657,-0.067146,-0.066281,0.075609,1
-1.4278,0.02865,0.44517,0.023469,0.04567,-0.079426,0.046024,-0.039548,0.098509,0.11185,1
-0.033657,-0.16186,-0.22245,-0.42461,0.002714,0.11125,0.039018,-0.095035,-0.026752,0.10097,1
-0.945,-0.10331,-0.28018,0.016467,0.05284,-0.056791,-0.038539,0.059207,0.000036,-0.026131,1
-0.72528,0.010473,0.23193,0.016373,0.036401,-0.048266,-0.03992,-0.05732,-0.028775,0.046917,1
0.2465,-0.076513,-0.004938,-0.025898,-0.021931,-0.04868,0.005329,0.036104,-0.045671,-0.008372,1
-0.4074,-0.038057,0.014456,-0.004243,0.049423,0.021467,-0.099441,-0.029806,0.004138,0.023643,-1
-0.1109,-0.04972,-0.047298,0.00194,0.088289,0.014526,-0.099,-0.020747,0.02204,-0.025401,1
-0.31515,-0.016531,0.010058,0.22833,-0.08069,0.041883,-0.015287,0.1757,0.001476,-0.10026,-1
-0.11149,0.016549,-0.071055,0.10532,-0.000349,0.00418,0.009294,0.16178,0.069021,-0.012752,-1
0.51156,-0.083569,0.031735,0.078046,-0.024848,-0.083247,-0.022921,-0.037574,0.014715,-0.00817,1
0.64386,0.025406,0.20378,-0.022741,-0.016145,0.079165,-0.028945,0.042038,0.021247,-0.042811,1
0.10389,-0.066392,-0.005205,-0.067819,0.046553,-0.048858,0.043755,0.056418,-0.015508,0.015303,-1
0.63052,0.61187,-0.10786,0.072318,-0.052632,-0.083173,0.028634,-0.05103,-0.020769,-0.031379,-1
0.50468,-0.098366,-0.032064,0.003671,-0.012474,-0.03486,0.033766,-0.034724,-0.031933,0.034935,-1
0.60277,-0.090652,-0.001818,0.092309,-0.036225,-0.070316,-0.009303,-0.031508,0.005748,-0.015992,-1
-0.24195,-0.087215,-0.15398,0.10421,0.061064,-0.13683,-0.022999,-0.085973,-0.094596,0.072283,-1
0.56585,-0.086276,0.007452,0.090737,-0.038677,-0.05961,-0.010273,-0.029733,0.001208,-0.006577,-1
0.33821,-0.033149,-0.028,-0.022901,0.030152,-0.040051,0.069041,-0.002779,0.012941,0.067651,-1
0.41936,-0.048816,0.036795,-0.034672,-0.080416,-0.092618,-0.002077,0.049354,-0.062275,-0.010961,-1
0.38912,-0.11779,-0.081993,-0.098626,-0.027202,0.000855,-0.003798,-0.052105,0.017623,0.046425,-1
-0.34231,-0.11506,-0.34891,0.24194,-0.048146,-0.08335,0.010068,0.11511,-0.13134,-0.19798,-1
0.76146,0.80817,0.035771,-0.041835,-0.036562,0.10877,0.020264,-0.046636,-0.007106,-0.048516,-1
-1.2315,-0.017627,0.09631,0.035872,0.071338,0.0358,-0.034809,0.089912,0.033822,-0.022108,1
0.74957,-0.060905,0.18499,-0.014664,-0.058172,0.097534,0.000227,0.009018,0.015686,-0.064833,-1
0.58035,-0.092327,-0.002929,0.084888,-0.029599,-0.06259,0.000399,-0.033006,0.00321,-0.005443,-1
0.75678,0.057554,0.16351,-0.017588,-0.053409,0.099702,0.001012,0.00048,0.008231,-0.063032,-1
0.74338,0.011186,0.17502,-0.01672,-0.050361,0.097013,-0.002985,0.008604,0.011246,-0.061545,-1
-2.493,-0.098287,0.14017,0.012072,-0.14598,-0.06528,0.064178,0.086111,0.20883,0.14286,1
0.3121,-0.034257,-0.090856,-0.002665,0.073319,0.007838,0.051395,0.000669,0.028476,0.06822,-1
0.56009,0.13177,-0.057235,0.058705,0.003779,-0.047253,0.040056,-0.042786,-0.01222,0.026725,-1
0.43821,-0.018479,-0.078046,0.078461,0.063964,-0.012022,0.014789,-0.009699,0.039664,0.026496,-1
0.73588,-0.059651,0.18996,-0.016698,-0.056061,0.0956,-0.002085,0.008475,0.016784,-0.063553,-1
-2.3581,0.076351,0.30322,0.050166,-0.013099,0.09778,-0.11842,-0.015331,-0.16945,-0.1068,1
0.31262,-0.077377,-0.036884,0.038074,0.027822,-0.018662,-0.037069,-0.014292,0.015734,0.009323,1
0.017618,-0.063123,0.065935,-0.097024,0.07318,-0.083575,0.039956,0.034104,-0.089853,-0.006734,-1
0.5457,-0.065109,-0.015147,0.024349,-0.049278,-0.067924,0.016892,-0.002713,-0.047597,-0.011199,-1
0.46612,-0.060462,-0.020237,0.006836,-0.024787,-0.041021,0.027329,-0.034114,-0.019823,0.031306,-1
0.69416,0.042426,0.18484,-0.021867,-0.038177,0.089796,-0.010886,0.018832,0.018474,-0.053642,-1
0.57351,1.1527,0.003621,-0.062267,-0.045685,0.086765,0.069703,0.033986,0.12315,-0.010891,1
-1.2077,0.017934,0.20693,-0.081798,0.18047,-0.012941,-0.018864,-0.11095,0.036683,0.007862,1
-0.094489,-0.044397,-0.10227,0.11888,0.032902,0.069467,-0.028284,0.085704,0.050769,-0.087007,1
0.12019,-0.050048,0.047673,0.016581,0.071126,-0.083371,-0.039058,-0.008469,0.013957,-0.03883,1
0.42294,-0.083839,-0.003335,-0.047632,-0.030903,-0.048125,-0.012008,-0.025403,-0.030836,0.041389,-1
-0.007902,-0.055615,-0.038246,0.049686,0.069674,0.033195,-0.036793,-0.010899,0.030305,0.037042,1
0.50144,-0.078937,0.027528,0.085142,-0.029362,-0.059344,-0.020028,-0.024745,-0.001833,0.004204,1
0.45774,-0.17375,-0.030716,-0.30585,-0.034609,-0.090298,0.35054,0.12875,-0.33279,0.044809,-1
0.022661,-0.17319,-0.4132,-0.48231,0.01134,0.20199,0.007934,-0.0417,0.19483,0.1066,-1
-0.076317,-0.068859,0.12096,0.070583,-0.13907,0.024985,0.035318,-0.095175,-0.064931,0.041893,-1
-0.51687,-0.072104,-0.32851,0.11002,0.000118,0.15948,-0.23038,-0.017762,0.18385,-0.042257,-1
0.50898,0.018558,-0.023659,-0.1253,-0.10581,-0.077651,0.065378,-0.000201,-0.061942,0.027548,-1
