@relation S_TCAed_data_dim10_EQ_for_LC_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.013365,-0.1426,0.015784,0.18619,0.051436,-0.043507,0.078643,-0.043923,-0.019463,0.023252,1
0.029447,-0.25337,0.2041,0.77043,0.73173,-0.41841,0.12859,0.070555,-0.030755,-0.038168,1
0.18472,0.039231,-0.073923,0.14146,-0.020693,0.027187,0.003007,-0.003355,0.001714,-0.035523,-1
0.015335,-0.21197,0.12104,0.56264,0.5366,-0.23235,0.052137,0.020469,-0.041515,-0.013929,1
-0.049004,0.10945,-0.014139,0.055669,-0.065113,-0.07967,-0.063354,-0.063902,-0.013979,0.016943,1
-0.006203,-0.016934,-0.04965,-0.13342,-0.049647,0.071924,-0.003875,0.000714,0.026973,0.005968,-1
0.009076,-0.11328,0.16022,0.11977,0.10731,-0.14564,-0.070261,-0.03232,-0.12123,-0.018436,1
-0.008471,-0.010449,-0.044578,-0.12737,-0.048325,0.067861,-0.001548,0.00501,0.022309,0.006637,-1
0.020039,-0.16777,0.043966,0.53325,0.41179,-0.25129,0.09158,-0.00084,0.012125,-0.005465,1
-0.038181,0.0256,-0.009756,0.02568,-0.042593,-0.0113,0.037365,0.013349,0.007712,-0.028416,1
-0.01123,0.090872,-0.013272,-0.029937,-0.015795,0.033797,0.000393,0.011069,0.017518,-0.004649,-1
-0.17907,0.47709,-0.11271,-0.006706,-0.081027,-0.1173,-0.055566,0.022179,-0.058611,0.033019,1
-0.001453,-0.011256,-0.040115,-0.13255,-0.09566,0.022225,0.04852,0.012436,0.021669,0.001643,-1
-0.005405,-0.010033,-0.042279,-0.12763,-0.050586,0.071271,-0.004206,0.000859,0.022899,0.002936,-1
-0.070651,-0.015288,-0.17371,0.038663,-0.078356,-0.034086,-0.065868,-0.098044,0.049749,0.026765,-1
-0.008471,-0.010449,-0.044578,-0.12737,-0.048325,0.067861,-0.001548,0.00501,0.022309,0.006637,-1
0.17009,0.04038,0.31546,0.15235,0.10674,-0.019491,-0.056389,0.202,-0.000064,0.12135,1
-0.005801,-0.014368,-0.04428,-0.12666,-0.046824,0.071009,-0.005087,0.003909,0.021783,0.005022,-1
-0.058373,-0.1257,0.077824,0.3545,0.31682,-0.091543,-0.0156,-0.097163,-0.088975,0.008023,1
-0.006203,-0.016934,-0.04965,-0.13342,-0.049647,0.071924,-0.003875,0.000714,0.026973,0.005968,-1
0.007273,0.046351,-0.009377,-0.049436,-0.081273,-0.018119,0.07504,-0.027865,0.014788,-0.03371,-1
0.031638,-0.087543,-0.00159,0.072477,0.081374,0.029364,-0.031044,-0.030905,0.012011,-0.01455,-1
-0.022449,0.095309,0.019218,0.017272,-0.11161,-0.16922,-0.16117,-0.009512,-0.076523,-0.006986,1
-0.006203,-0.016934,-0.04965,-0.13342,-0.049647,0.071924,-0.003875,0.000714,0.026973,0.005968,-1
-0.014741,0.064414,-0.010172,-0.078495,-0.059937,0.042407,0.019799,-0.014272,0.010927,-0.015268,-1
-0.074439,0.24448,-0.045669,-0.049011,-0.062028,0.020814,0.034968,-0.037892,0.01734,0.005948,-1
-0.003174,-0.0618,-0.040393,-0.073183,0.010928,0.049962,0.008637,0.008221,0.008919,0.015368,-1
-0.003286,-0.013178,-0.045029,-0.1343,-0.049994,0.071315,-0.004726,0.000497,0.023807,0.005041,-1
-0.015241,0.031279,-0.047087,-0.064741,-0.04545,0.019622,0.062759,-0.076898,0.015224,0.039965,1
0.14619,0.044918,0.35292,0.43408,0.39503,-0.22788,-0.01168,0.14637,-0.0197,0.034314,1
-0.005801,-0.014368,-0.04428,-0.12666,-0.046824,0.071009,-0.005087,0.003909,0.021783,0.005022,-1
-0.003286,-0.013178,-0.045029,-0.1343,-0.049994,0.071315,-0.004726,0.000497,0.023807,0.005041,-1
0.05868,-0.092973,0.03451,0.091626,0.026841,-0.003639,0.021527,-0.042832,-0.068293,-0.081722,-1
-0.005801,-0.014368,-0.04428,-0.12666,-0.046824,0.071009,-0.005087,0.003909,0.021783,0.005022,-1
0.004402,0.050799,-0.005035,-0.10447,-0.096679,-0.008766,-0.0954,-0.024837,-0.002325,-0.014806,-1
-0.03128,0.069452,-0.068127,-0.088702,-0.042903,0.042029,0.009806,-0.026838,0.025685,0.02956,-1
0.077694,-0.005712,-0.02526,0.09376,-0.043691,0.069608,-0.028993,0.029111,-0.020301,-0.004495,1
-0.022052,0.00192,-0.048305,0.016793,0.036626,0.002583,0.040719,-0.034867,0.000398,0.016806,1
-0.005801,-0.014368,-0.04428,-0.12666,-0.046824,0.071009,-0.005087,0.003909,0.021783,0.005022,-1
0.001859,0.028156,0.039055,-0.062895,-0.020058,0.028398,0.036271,0.022292,-0.008304,0.01364,1
-0.024768,0.009324,-0.018024,-0.059881,-0.047483,0.00959,0.03681,0.028982,0.000145,0.019707,1
-0.057986,-0.19686,0.084856,0.51857,0.41675,-0.32321,0.16517,-0.011159,-0.043182,0.019405,1
0.064524,-0.046362,0.013343,-0.014265,-0.03038,0.034718,-0.040236,0.008982,0.018315,-0.027528,1
0.022465,0.026749,0.048321,-0.017607,-0.071053,-0.029921,0.048761,-0.006101,-0.019942,-0.062612,-1
-0.013198,-0.1697,-0.030332,0.21835,0.20696,-0.059038,0.026166,0.03619,-0.033105,0.021007,-1
0.011175,-0.007978,-0.021898,-0.12217,-0.059511,0.051337,0.007576,0.009338,0.00703,-0.004457,-1
-0.001268,-0.007487,-0.042648,-0.11767,-0.02654,0.067985,0.000965,-0.007531,0.016651,0.002253,-1
0.050008,0.034761,0.045332,-0.044548,-0.16606,-0.14501,-0.16509,0.03586,-0.06387,-0.028852,1
-0.17573,0.18374,-0.072823,0.13175,-0.030808,0.002357,0.059893,-0.014595,0.065736,0.004467,-1
0.039399,-0.025813,0.029099,0.0575,0.029789,-0.051634,0.10112,-0.046946,-0.045936,-0.034685,1
-0.036788,0.031283,-0.007297,-0.012808,0.005247,0.037872,0.018268,-0.025714,0.002219,0.013422,-1
-0.011795,-0.005761,0.014808,0.094614,0.06877,-0.007979,-0.003592,-0.038503,-0.002511,-0.000319,-1
-0.025574,0.006961,-0.031874,-0.072115,-0.081503,0.056799,0.029248,-0.027615,-0.002157,0.006019,1
-0.011182,-0.014012,-0.03626,-0.10805,-0.068913,0.040582,0.018393,0.010913,0.014127,-0.007696,-1
-0.02959,0.098036,-0.027457,-0.087927,-0.044282,0.063851,-0.008153,-0.043956,0.030037,0.004057,1
-0.021117,-0.12137,0.02179,0.19669,0.24816,-0.014014,0.032812,-0.006508,-0.050313,0.062819,-1
0.031523,0.02491,0.073832,0.12131,0.054757,-0.15257,0.18317,0.003927,-0.018607,-0.12928,-1
0.053673,-0.059333,-0.018548,0.091548,0.030371,0.002236,0.021887,-0.069857,-0.004159,-0.01902,1
-0.003286,-0.013178,-0.045029,-0.1343,-0.049994,0.071315,-0.004726,0.000497,0.023807,0.005041,-1
-0.016628,0.21085,0.006895,-0.043581,-0.11208,-0.066879,-0.071769,-0.051998,-0.003878,-0.019016,-1
-0.003174,-0.0618,-0.040393,-0.073183,0.010928,0.049962,0.008637,0.008221,0.008919,0.015368,-1
0.005222,-0.008318,-0.017205,-0.024123,0.00126,0.061692,-0.011362,-0.010985,0.006839,0.011812,1
0.20726,0.12338,0.35055,0.064494,0.000547,-0.013931,-0.064709,0.20515,0.020122,0.089198,-1
0.16864,0.19375,0.19104,0.056823,-0.055084,0.039561,-0.10527,0.1657,0.074268,0.18893,1
0.074511,-0.33074,0.14467,0.79482,0.81488,-0.43305,0.15635,0.023765,0.003301,-0.15115,1
0.17842,0.24616,0.34481,0.20618,0.097498,-0.077177,-0.043336,0.12098,0.057242,0.066206,1
-0.05652,-0.26507,-0.019778,0.059157,0.053192,0.09103,-0.039855,0.088378,-0.12103,-0.063946,1
-0.00235,-0.023891,-0.026233,-0.093707,-0.034922,0.054802,0.006932,-0.00727,0.010082,0.010567,-1
0.018124,0.01678,0.032484,-0.005676,-0.13698,-0.16252,-0.16028,-0.013458,-0.051402,0.007563,1
0.010744,0.004051,-0.02695,-0.12383,-0.04263,0.056191,0.001122,-0.002935,0.016055,-0.004542,1
-0.005346,-0.055695,0.022691,0.010668,-0.12526,-0.17872,-0.17854,-0.003916,-0.11639,-0.012122,1
-0.002136,0.00943,-0.02216,-0.11138,-0.085133,-0.007516,0.081932,0.027499,0.020197,-0.020071,-1
-0.069412,-0.014328,0.001172,0.26492,0.15113,-0.099944,0.16244,-0.047878,0.017481,-0.041248,1
-0.035153,0.013539,-0.048729,-0.057079,-0.015632,0.040489,0.017023,-0.02391,0.012416,0.020482,-1
-0.011286,0.098596,0.011388,0.010491,-0.13734,-0.18348,-0.16062,-0.050077,-0.047026,0.001897,1
0.044679,0.006489,-0.012453,0.12097,0.040983,0.073463,-0.001045,0.053566,-0.00782,-0.072084,-1
0.14331,0.13916,0.13504,0.051943,-0.053363,0.063465,-0.10577,0.14849,0.079665,0.18283,1
0.075824,-0.109,0.035329,0.24206,0.055781,-0.15206,-0.055624,-0.054308,0.002564,-0.13942,1
-0.01857,0.043503,-0.04604,-0.12289,-0.057122,0.066316,0.000595,-0.004045,0.02332,0.001611,1
-0.020216,0.000872,-0.050384,-0.10451,-0.052118,0.048218,0.010899,0.007233,0.019702,0.017569,-1
0.00754,-0.046118,-0.032793,-0.11539,-0.071388,0.025974,0.023265,0.038944,0.004225,0.008027,-1
-0.005219,-0.027148,-0.010496,0.088017,0.10737,-0.030989,0.021674,-0.064719,0.049076,0.055201,1
0.16758,0.19381,0.33571,0.01476,-0.015666,-0.002092,-0.062882,0.19577,0.028346,0.077895,1
