@relation S_TCAed_data_dim10_EQ_for_ML_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.062601,0.039466,-0.031742,-0.066391,0.074773,-0.012466,0.009131,0.011126,-0.018592,-0.025187,1
0.003011,0.26131,0.20742,-0.26304,0.9815,-0.033684,-0.20978,0.1097,0.14672,0.075105,1
0.021952,0.033959,-0.007912,-0.08271,0.10854,-0.077167,-0.009992,0.011106,-0.022301,-0.039022,-1
0.14332,0.064141,0.14195,-0.23809,0.70049,-0.007868,-0.12329,0.026193,0.098848,0.006208,1
0.006928,0.052033,-0.016871,-0.024043,-0.014195,0.009486,-0.007305,-0.02101,-0.033409,-0.052277,1
-0.030924,-0.057888,-0.038585,0.052864,-0.1305,0.006813,0.030156,-0.009568,0.011664,0.019495,-1
0.16236,0.086296,0.15224,-0.027057,0.15193,-0.014737,-0.021583,0.000436,0.003774,0.01044,1
-0.036733,-0.054782,-0.036521,0.050145,-0.13049,0.004761,0.033417,-0.010224,0.011023,0.018394,-1
-0.044627,0.21875,0.10262,-0.20298,0.55392,0.041664,-0.14205,0.0198,0.070864,0.005686,1
0.03911,0.025198,-0.024898,-0.002368,-0.005225,0.005187,0.002791,0.032506,-0.019182,0.001046,1
-0.056745,0.0066,0.00483,-0.032436,-0.052832,-0.063823,-0.063203,0.035459,-0.053917,-0.036742,-1
0.12559,-0.026075,0.084351,0.014432,0.027474,-0.005738,-0.002371,-0.051914,0.005454,-0.015575,1
-0.000428,-0.052508,-0.032871,0.046027,-0.11473,0.005801,0.026393,-0.007345,0.005573,0.013194,-1
-0.032111,-0.053531,-0.038034,0.048809,-0.12684,0.005431,0.031642,-0.009146,0.010069,0.019435,-1
-0.063735,-0.048127,-0.11052,-0.056733,-0.24987,0.097255,-0.51807,0.34545,-0.018381,-0.015726,-1
-0.036733,-0.054782,-0.036521,0.050145,-0.13049,0.004761,0.033417,-0.010224,0.011023,0.018394,-1
0.14238,0.066148,0.22943,0.006075,0.16973,0.014801,-0.04657,-0.028112,0.047539,-0.032413,1
-0.035239,-0.052203,-0.03583,0.049382,-0.1263,0.006027,0.031284,-0.010631,0.010286,0.019099,-1
-0.12086,0.26062,0.074261,-0.25996,0.42893,0.023831,-0.10277,0.001358,-0.013072,0.051444,1
-0.030924,-0.057888,-0.038585,0.052864,-0.1305,0.006813,0.030156,-0.009568,0.011664,0.019495,-1
0.023975,-0.008908,-0.04436,0.016057,-0.067209,-0.007202,0.025737,-0.017455,-0.029758,-0.032052,-1
-0.004818,-0.026626,-0.045405,-0.027296,0.041764,-0.021024,0.003658,-0.004382,-0.010461,-0.021441,-1
0.10975,-0.014326,0.062153,0.010738,0.01327,0.011344,0.007196,-0.023632,0.00874,-0.024877,1
-0.030924,-0.057888,-0.038585,0.052864,-0.1305,0.006813,0.030156,-0.009568,0.011664,0.019495,-1
0.004786,-0.027361,-0.040752,0.023546,-0.093621,0.002602,0.036181,-0.009433,-0.001881,0.007658,-1
