@relation S_TCAed_data_dim10_ML_for_PDE_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.21766,0.14436,-0.060402,-0.05323,0.13282,-0.013431,-0.087391,0.10124,0.10327,-0.051154,-1
-0.18039,-0.11571,0.01358,-0.020419,-0.055926,0.000458,0.045363,0.011397,-0.058576,0.06057,1
0.16629,0.23908,0.074175,-0.05306,0.010685,0.011791,0.01869,0.005262,-0.003552,0.002256,1
-0.14016,-0.10102,-0.045541,-0.033564,-0.004194,-0.006525,-0.04919,-0.015372,0.03264,0.0771,-1
-0.052063,-0.221,0.022591,0.042982,0.013523,0.073302,0.029826,-0.046249,0.015274,0.023119,-1
-0.13281,-0.051217,0.08431,-0.00343,-0.053814,0.075994,0.049994,0.017993,-0.013716,0.006056,-1
-0.17268,-0.21764,-0.066106,-0.083041,0.15531,0.025432,-0.089297,0.19553,0.097095,-0.015971,-1
0.17428,0.18739,0.069857,-0.024077,0.039212,-0.029256,0.00035,-0.0181,-0.022532,0.002924,-1
-0.14882,-0.060324,0.039493,-0.02501,-0.060712,0.056305,0.045951,0.022174,-0.012438,0.031857,-1
0.12779,0.22278,0.033749,-0.035874,0.072421,-0.059645,0.01627,-0.008268,-0.090958,-0.11505,-1
0.061022,-0.19252,0.057731,0.17776,-0.035396,0.003261,-0.008562,0.099319,-0.088462,-0.1085,-1
0.12837,0.23284,0.071486,-0.047408,0.033387,-0.008449,0.010534,0.00895,-0.016222,0.015014,-1
-0.098662,-0.084891,0.075255,0.086677,-0.069744,0.081935,-0.057954,-0.035835,-0.004624,-0.013091,-1
0.48129,-0.007888,-0.11926,-0.01133,0.034716,-0.038933,0.011705,0.048361,-0.084185,0.080891,-1
0.19878,0.18498,-0.013117,0.066962,0.003,-0.022706,-0.020339,0.057098,-0.006014,0.038683,1
0.13625,0.20802,0.043757,-0.017869,0.01865,-0.026007,0.000218,-0.024186,-0.027289,-0.015645,-1
-0.13317,-0.057562,0.06566,-0.014414,-0.040367,0.065925,0.042473,0.021079,-0.015709,0.018206,-1
-0.12466,-0.11274,0.017584,0.004908,-0.064746,0.028688,0.025428,-0.026339,0.009981,-0.019973,-1
0.15119,0.25086,0.07531,-0.049649,0.01485,0.009017,0.017255,0.009286,-0.011551,0.002637,-1
0.18206,0.2314,0.011417,0.008691,-0.024456,0.002787,0.000754,0.024811,0.013581,0.003199,-1
0.14747,0.21177,0.005084,-0.027687,-0.016262,-0.033852,-0.007458,-0.037356,0.032676,-0.030818,-1
0.23466,0.086477,0.063806,0.13947,0.044478,-0.23326,-0.028888,-0.077199,-0.005502,0.006642,-1
0.34582,0.078981,-0.058502,-0.022182,0.000905,0.021422,0.068365,-0.082289,0.045267,-0.028276,-1
0.16645,0.23758,0.066339,-0.058429,0.018509,0.011482,0.004152,0.007084,0.002461,0.014587,-1
-0.088043,-0.099612,0.057418,0.10933,-0.052086,0.039868,0.020735,0.024251,-0.03352,-0.010112,-1
-0.12126,-0.13036,-0.16978,-0.10409,0.047553,-0.033119,-0.064451,0.045105,-0.008488,0.10538,-1
-0.14256,-0.18801,-0.29709,-0.095891,-0.015849,-0.049843,0.054823,0.013768,-0.07485,0.086298,-1
0.11056,0.12658,0.052508,0.092567,0.093869,-0.24128,-0.023611,-0.10462,-0.010879,0.018366,-1
0.20231,0.23317,0.001131,-0.10099,0.028774,0.012209,-0.064895,-0.022762,0.11551,0.047219,1
0.14592,0.11714,-0.28548,-0.087262,-0.11068,-0.079385,0.052658,-0.087629,0.028133,-0.03452,-1
-0.11513,-0.080055,-0.007872,-0.042031,-0.040277,0.048356,0.030622,0.019381,-0.008417,0.031516,-1
-0.13626,-0.080202,0.061111,0.006817,-0.046661,0.037198,0.037568,-0.002198,-0.000765,-0.019713,-1
-0.005504,-0.1854,0.061002,0.067523,0.019405,0.084236,0.086751,-0.055952,-0.040974,-0.024003,-1
-0.16535,-0.089132,0.051011,-0.019041,-0.032688,0.11841,-0.10507,-0.06714,0.045914,0.049543,-1
