@relation S_TCAed_data_dim10_PDE_for_LC_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.061677,-0.030357,-0.036379,0.14803,-0.12579,-0.15335,0.11242,-0.017776,-0.034038,0.040887,-1
0.15551,0.047291,-0.011238,-0.035895,0.003606,-0.004848,-0.04512,-0.061658,-0.021766,-0.049883,-1
-0.13928,-0.021278,-0.074047,-0.030164,0.024236,0.040908,-0.01927,0.009528,0.031923,0.043936,-1
-0.053939,-0.061877,-0.062771,-0.014678,0.005851,0.016659,-0.022389,0.042595,0.036196,0.050687,1
-0.20895,-0.098907,0.093402,-0.16063,-0.10629,0.011467,0.030935,0.002836,0.019333,0.027883,-1
-0.21344,-0.060144,0.002029,0.021212,0.058241,0.059218,0.012625,0.072792,0.027671,0.045059,1
-0.15108,-0.06624,-0.079592,-0.018993,0.030613,-0.019081,-0.008407,-0.013169,0.026192,0.075086,1
0.18078,-0.066344,-0.034642,-0.014064,0.01688,-0.028207,-0.009595,-0.012247,0.006252,-0.002045,-1
0.10604,-0.015976,-0.017136,-0.015313,0.01898,0.019298,-0.060196,0.012444,0.006261,0.009122,-1
0.18934,-0.078547,-0.025611,-0.00602,0.022022,-0.030227,-0.002518,0.017902,0.029095,0.027241,-1
0.19812,-0.066387,-0.001244,0.011639,0.026665,-0.023635,0.00235,0.013158,0.022869,0.022706,-1
0.1373,-0.07238,-0.042258,-0.010423,0.015945,-0.018899,-0.00414,-0.01213,0.01576,0.004908,1
0.19268,-0.036897,-0.10737,0.20303,-0.28643,-0.071022,0.037917,0.039914,0.01026,0.013085,-1
-0.042365,0.19411,0.002389,-0.063748,-0.023657,0.068542,-0.069001,-0.026035,-0.081939,-0.078448,-1
-0.24741,-0.010172,-0.003038,0.000614,0.016957,0.045607,0.006504,-0.014283,-0.052529,-0.011332,1
-0.13737,-0.0605,-0.03614,-0.027759,0.005861,-0.06505,0.014762,-0.012543,0.04511,0.038885,-1
0.15776,0.029596,0.015856,-0.047771,0.031838,-0.027701,0.025621,-0.001807,-0.023149,-0.021761,-1
0.17323,-0.052952,0.018928,-0.02096,0.003662,-0.033949,-0.007297,0.006652,0.009268,-0.034981,1
-0.06452,-0.15232,0.20178,-0.30074,-0.19915,-0.006736,0.032753,-0.005452,0.036021,0.058621,-1
-0.54519,0.041655,-0.11812,0.11578,-0.099874,0.010416,0.082773,-0.078971,0.11071,0.090284,1
0.12098,-0.005723,0.048131,-0.018726,0.10114,0.026266,0.10773,0.04979,-0.089947,0.01947,1
0.034339,-0.060112,-0.042384,-0.010281,0.011106,0.039971,-0.039956,0.030154,0.024562,0.030349,-1
0.045525,-0.02962,-0.021258,-0.020242,0.004097,-0.011356,-0.027166,-0.025531,-0.022884,-0.026702,-1
0.10791,-0.038954,-0.013507,-0.01258,0.013554,-0.002322,-0.013424,-0.017223,0.011573,-0.013098,-1
0.16868,-0.032273,-0.049136,0.008,-0.30969,-0.081821,0.045218,-0.039303,-0.1546,-0.11905,-1
0.22135,-0.12897,0.18469,-0.36519,-0.31383,0.08789,0.074698,-0.076312,-0.094646,0.076644,-1
0.11234,-0.072529,-0.033643,-0.013674,0.016452,0.00043,-0.014004,0.035255,0.020309,0.036225,-1
-0.35123,0.10732,-0.016142,0.014399,0.009846,0.20236,-0.09742,-0.016433,-0.12669,-0.02709,-1
0.16653,-0.0769,-0.032598,-0.010148,0.025393,-0.0347,-0.001518,0.011642,0.0384,0.03428,-1
-0.061424,-0.077677,-0.035354,-0.003386,0.008664,-0.078507,-0.009069,0.007395,0.08463,0.10523,-1
0.16129,-0.067989,-0.007954,0.002257,0.019764,-0.018444,-0.002806,0.019966,0.019132,0.014258,-1
0.094764,-0.057787,-0.01869,0.009417,0.03578,-0.033911,0.020742,0.013821,0.066892,0.053565,-1
-0.36082,-0.008969,0.027587,-0.044537,-0.010248,0.01065,-0.002939,0.047469,0.088899,0.080053,-1
0.10003,-0.083554,-0.010186,0.012928,0.023322,-0.054577,0.001555,0.009805,0.061053,0.034346,1
0.15027,-0.074027,-0.032358,-0.007225,0.020076,-0.018772,-0.002001,0.024499,0.026888,0.029682,-1
0.013944,-0.048923,-0.025898,0.001147,0.01411,0.015574,0.014286,-0.005141,0.013256,0.005774,-1
-0.093803,-0.15541,0.21943,-0.3138,-0.25609,0.094855,-0.023809,0.047624,-0.021959,-0.036946,-1
-0.13045,-0.06743,-0.010085,0.016879,-0.002903,-0.052097,-0.066757,0.045765,0.068085,0.0797,-1
-0.027189,-0.05345,-0.029599,0.005983,0.020942,-0.003386,0.030036,-0.039775,0.031407,0.017409,-1
0.070852,-0.044897,-0.033682,0.005569,0.016215,0.028112,-0.01424,0.04513,0.000191,0.033497,1
0.18529,-0.044416,0.047886,0.031919,0.025232,0.005868,0.040796,-0.017836,-0.055587,-0.020592,-1
0.17881,-0.06332,0.004547,0.013254,0.035463,-0.027092,0.009646,0.017527,0.035929,0.034651,1
-0.15945,-0.08425,0.009429,-0.048392,-0.02141,-0.10382,-0.002881,0.022362,0.056817,0.091103,-1
0.012103,0.076009,0.011415,-0.030436,0.021556,0.031035,0.022734,-0.035571,-0.086793,-0.065315,-1
-0.08072,-0.02905,0.088507,0.095704,0.027832,0.068231,0.045027,-0.053549,-0.028605,-0.019135,-1
-0.1427,-0.032149,0.098565,-0.059122,-0.03618,-0.048183,0.006189,0.076142,0.0575,-0.086705,-1
0.11631,0.42303,0.1911,-0.02214,0.033376,0.036112,-0.087077,-0.12889,-0.088996,-0.13929,-1
0.17752,-0.080147,-0.029152,-0.010263,0.024209,-0.034981,-0.010699,0.017102,0.032839,0.026152,-1
-0.007424,-0.016777,-0.066996,-0.034555,-0.005284,0.018046,-0.032879,-0.025772,0.000616,-0.011761,1
0.05796,-0.052693,-0.031175,-0.007561,0.022766,-0.02119,-0.023176,0.018465,0.031014,0.037483,-1
0.073976,-0.0386,0.034959,0.027026,0.025088,-0.019241,-0.013205,-0.020587,-0.019124,-0.009935,-1
-0.044333,0.013534,-0.005815,-0.005818,0.028408,-0.005902,0.043921,-0.038813,-0.006818,-0.01214,-1
0.079592,-0.074532,-0.046294,-0.017476,0.008081,0.013149,-0.02692,0.03056,0.011,0.02585,-1
0.036151,-0.057416,-0.02902,-0.000538,0.029004,-0.03766,-0.040647,0.028442,0.009788,0.031191,1
-0.04199,-0.00086,0.004427,0.001798,0.034748,0.006964,0.043484,-0.010674,0.007516,0.020921,-1
-0.09805,0.22056,0.020101,-0.063462,-0.021831,0.061077,0.010001,-0.012485,-0.086703,-0.057644,-1
0.12833,0.015441,0.008698,-0.072661,-0.00554,-0.006859,0.014664,-0.051966,-0.051928,-0.035776,-1
0.15307,-0.030078,-0.092675,0.12759,-0.23139,-0.070095,0.011964,0.003192,-0.026317,0.002189,-1
0.13776,0.13365,0.076431,-0.002669,0.011638,0.009726,-0.040443,-0.082167,-0.034176,-0.067074,-1
0.11367,-0.074062,-0.032773,-0.007695,0.006688,-0.00417,-0.013808,0.021533,0.026552,0.019721,1
-0.24869,-0.038488,-0.081162,-0.000369,-0.001659,0.052005,-0.033165,-0.031258,-0.032147,-0.038367,-1
0.14097,-0.059085,-0.029462,-0.012225,0.018249,-0.007649,-0.021679,0.026256,0.029709,0.026,-1
0.088759,-0.080623,-0.040478,0.003486,0.023968,0.006455,-0.012791,0.018308,0.046837,0.030863,-1
-0.16012,0.006633,-0.089702,-0.013017,0.0373,0.17779,-0.11513,0.053265,-0.016054,0.015499,-1
-0.48796,-0.066478,-0.013579,0.049158,0.023705,0.002681,0.048345,0.021176,0.15105,0.048534,1
-0.031658,-0.052328,-0.090688,-0.021612,-0.017121,0.087516,-0.081293,0.085098,-0.048873,0.0147,-1
-1.006,-0.012302,-0.10301,0.053212,0.036913,0.088398,0.046944,-0.008004,0.25981,0.13601,1
-0.39854,0.095047,-0.021739,0.033186,0.015341,0.16391,-0.012919,-0.099513,-0.11678,-0.043652,-1
-0.097508,-0.062463,-0.041781,0.021305,0.028397,0.054171,-0.011137,0.012051,0.061526,0.033431,-1
0.17269,-0.031734,-0.0283,-0.026233,0.007456,-0.027447,-0.013904,-0.036604,-0.009332,-0.02631,-1
0.20215,-0.068829,-0.008479,0.013995,0.022941,-0.024498,0.00413,0.001261,0.021981,0.019291,-1
-0.014765,-0.072065,-0.041298,0.013759,0.022639,0.019471,-0.016817,0.02155,0.051721,0.023802,-1
0.1289,-0.071242,-0.065402,-0.017733,0.019578,-0.010511,-0.027118,0.044401,0.015884,0.047182,-1
-0.73748,0.011742,-0.045569,0.060922,0.10313,0.092424,0.12005,0.023659,0.043177,0.059183,1
0.1937,-0.066795,-0.02252,-0.00128,0.024947,-0.029277,-0.006087,0.017533,0.034202,0.026757,-1
0.16679,-0.039853,-0.052646,0.096878,-0.15019,-0.09,0.007206,0.000897,-0.009613,0.025901,-1
0.1399,-0.03953,-0.063222,-0.048894,-0.014959,-0.016781,-0.030509,-0.12783,-0.089225,-0.11133,-1
0.16738,-0.0556,-0.034799,-0.021654,0.019523,-0.033594,-0.012238,-0.008576,0.013655,0.010444,-1
0.1938,-0.013092,-0.15687,0.18389,-0.33419,-0.07727,0.079663,0.081631,-0.023764,0.009099,-1
-0.95947,0.055417,0.011504,0.040538,0.091877,-0.005471,0.1959,-0.1161,0.051019,-0.012139,-1
0.008794,-0.08436,0.028278,-0.008913,0.01101,-0.094272,-0.060462,0.039753,0.030507,0.018823,-1
-0.44171,0.0942,-0.008458,0.031725,0.023699,0.22535,-0.14193,-0.027377,-0.14194,-0.046683,-1
-0.47423,0.090005,0.008696,0.022998,0.047168,0.16265,-0.075399,-0.030015,-0.086335,-0.034752,-1
-0.33323,-0.049204,-0.021626,-0.017651,0.02643,0.052748,0.019474,0.094901,0.047384,0.056743,1
0.006333,0.13193,0.04472,-0.007814,0.002535,0.069131,-0.063868,-0.052582,-0.053007,-0.057103,-1
-0.076408,-0.029131,0.052591,0.052117,0.040242,0.000722,0.10978,0.038702,0.002269,0.12506,1
0.15795,-0.077095,-0.016545,-0.011471,0.0101,-0.020554,-0.017984,0.033247,0.030954,0.011186,-1
0.020168,-0.024698,-0.031503,-0.012468,0.020358,0.00397,-0.004237,-0.06363,-0.005468,-0.018831,-1
0.16966,-0.077938,-0.033552,-0.005894,0.023087,-0.017057,-0.013994,0.023869,0.028796,0.026747,-1
