@relation T_TCAed_data_dim10_EQ_for_ML_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.14664,-0.26266,-0.1081,-0.097994,-0.059767,-0.013682,-0.008357,-0.072441,-0.00107,-0.062612,1
-0.37027,-1.2558,-0.051953,-0.36432,-0.42352,0.002684,-0.25441,-0.38979,0.038771,-0.30632,1
0.12778,-0.19602,-0.15139,-0.055998,-0.036877,0.012544,0.14185,-0.22779,-0.00967,0.027896,-1
-0.1359,-0.63689,-0.025577,-0.3046,-0.23822,0.010083,-0.11394,-0.18246,0.089518,-0.14355,1
0.22413,-0.10883,-0.050793,-0.013073,-0.059336,-0.02995,0.019061,0.021254,0.006829,0.032612,1
0.32767,0.006294,-0.055071,0.026227,0.030473,-0.027395,-0.054666,-0.03875,0.020536,-0.004921,-1
0.14107,-0.23758,0.3789,-0.097276,-0.18374,-0.3965,0.13506,-0.19579,-0.067267,-0.089547,1
0.32524,-0.002595,-0.056458,0.011699,0.028866,-0.027112,-0.041611,-0.029382,0.018883,-0.002541,-1
-0.083569,-0.63284,-0.1208,-0.18016,-0.31723,0.009268,-0.037727,-0.089102,0.009528,-0.12789,1
0.22323,-0.18538,-0.074335,-0.065511,-0.024158,-0.006732,0.091424,0.049821,-0.022939,-0.007301,1
0.22869,-0.041651,-0.10871,0.072377,-0.06914,-0.00295,0.085966,-0.08374,-0.01349,0.023904,-1
0.17458,-0.084137,0.12754,0.008192,-0.058069,-0.1469,0.027482,-0.03635,0.09353,0.028886,1
0.31558,-0.025083,-0.053907,0.007811,0.023306,-0.029325,-0.024291,-0.024871,0.007222,-0.005764,-1
0.32246,-0.004866,-0.057608,0.014356,0.029248,-0.027463,-0.041273,-0.029796,0.016061,-0.005019,-1
0.35633,-0.008042,-0.23144,0.55759,-0.68616,0.14844,0.18138,0.10827,-0.049933,-0.024031,-1
0.32524,-0.002595,-0.056458,0.011699,0.028866,-0.027112,-0.041611,-0.029382,0.018883,-0.002541,-1
0.12529,-0.30917,0.097171,-0.061559,-0.10596,-0.12867,-0.040495,-0.1368,0.060069,0.000942,1
0.32361,-0.004855,-0.055202,0.012127,0.028123,-0.028407,-0.041194,-0.028856,0.016264,-0.003591,-1
-0.12625,-0.51891,0.018202,-0.075401,-0.19262,-0.21086,0.01963,-0.19963,0.039981,-0.065608,1
0.32767,0.006294,-0.055071,0.026227,0.030473,-0.027395,-0.054666,-0.03875,0.020536,-0.004921,-1
0.26608,-0.096097,-0.064867,-0.066382,0.009117,-0.026265,0.047556,0.028459,-0.023751,0.022006,-1
0.23714,-0.11235,-0.087195,-0.042317,-0.050199,-0.003515,-0.015498,-0.053575,-0.005314,-0.013681,-1
0.22998,-0.14454,0.053781,-0.044817,-0.024313,-0.048605,0.016749,0.025033,0.05254,0.011709,1
0.32767,0.006294,-0.055071,0.026227,0.030473,-0.027395,-0.054666,-0.03875,0.020536,-0.004921,-1
0.28476,-0.064828,-0.074641,-0.054109,0.014387,-0.028284,0.029974,0.019584,-0.010639,-0.004093,-1
0.24782,-0.033884,-0.06525,-0.043926,0.008104,-0.059452,0.017818,0.012715,0.016243,0.026273,-1
0.31724,-0.011574,-0.066236,-0.017487,0.007287,-0.014495,-0.04878,-0.032312,0.024644,-0.019763,-1
0.32536,0.002627,-0.056919,0.021218,0.030683,-0.026653,-0.047869,-0.034672,0.020155,-0.0053,-1
0.26933,-0.075485,-0.031521,-0.057867,0.008685,-0.024498,-0.001341,-0.006461,-0.0222,0.023253,1
0.04111,-0.65519,0.00367,-0.2813,-0.20858,-0.040541,0.063748,-0.097851,0.012036,-0.11056,1
0.32361,-0.004855,-0.055202,0.012127,0.028123,-0.028407,-0.041194,-0.028856,0.016264,-0.003591,-1
0.32536,0.002627,-0.056919,0.021218,0.030683,-0.026653,-0.047869,-0.034672,0.020155,-0.0053,-1
0.17948,-0.30274,-0.088351,-0.082908,0.005449,-0.01727,0.065696,0.004959,0.000684,-0.009583,-1
0.32361,-0.004855,-0.055202,0.012127,0.028123,-0.028407,-0.041194,-0.028856,0.016264,-0.003591,-1
0.32426,0.003165,-0.014551,0.008967,0.025085,-0.015721,-0.039238,-0.005426,0.01738,-0.000854,-1
0.25611,-0.003646,-0.069978,0.010034,0.015168,-0.049973,-0.034904,-0.050748,0.028524,0.025272,-1
0.15828,-0.1375,-0.12106,-0.012938,0.033418,0.004796,0.13427,-0.16317,-0.009057,0.034534,1
0.22444,-0.096099,-0.063589,-0.025922,-0.014858,-0.029884,-0.057178,-0.058321,-0.018334,0.0101,1
0.32361,-0.004855,-0.055202,0.012127,0.028123,-0.028407,-0.041194,-0.028856,0.016264,-0.003591,-1
0.24358,-0.11952,-0.058966,-0.10627,-0.036727,-0.066767,0.028357,-0.056222,-0.04177,-0.095423,1
0.25251,-0.091102,-0.043401,-0.06844,-0.008434,-0.053952,0.01805,0.002103,-0.018047,-0.016425,1
-0.16261,-0.70293,-0.076264,-0.22963,-0.21877,-0.030257,-0.12225,-0.11124,0.040596,-0.13374,1
0.12123,-0.15917,-0.11357,-0.053275,0.009048,-0.007984,0.10143,-0.11786,-0.00413,0.03239,1
0.2529,-0.16141,-0.078571,-0.076558,-0.002057,-0.017053,0.079305,0.061756,0.003232,0.0035,-1
