@relation T_TCAed_data_dim10_JDT_for_EQ_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-1.731,1.2234,-0.020533,0.033171,-0.31419,0.13254,0.55789,0.054058,-0.007436,-0.28529,-1
-1.9854,1.383,-0.061414,-0.070801,0.013846,-0.12527,-0.039099,0.012993,-0.011294,-0.018724,-1
-1.573,1.7943,0.12817,0.084032,-0.17522,-0.13734,0.025991,-0.10404,-0.082923,-0.017417,-1
0.32745,3.5318,-0.019836,0.11788,0.14766,0.22082,0.12323,-0.022452,-0.039261,0.12843,1
2.0542,1.9593,0.006837,0.020457,-0.056115,0.006963,0.019708,0.049318,0.011193,-0.10323,-1
0.26317,3.3022,-0.037199,-0.016269,0.13099,-0.02928,0.31522,0.041579,-0.031595,0.097048,1
-2.0027,1.2842,-0.02856,0.041952,0.068062,0.021891,0.018043,-0.06207,0.065417,0.081101,1
-1.8448,1.3143,-0.04993,-0.077158,0.038397,-0.14691,0.021868,0.036521,0.048303,0.066493,-1
-1.8862,1.3446,-0.055217,-0.053469,-0.013027,-0.047999,-0.010866,-0.04319,0.019421,0.035314,1
0.068756,0.13826,0.055861,0.027907,-0.040032,-0.044283,-0.002228,-0.074947,0.008531,0.000768,1
2.2634,2.2418,0.057257,-0.031778,-0.099948,0.019682,-0.007797,-0.034062,-0.009328,-0.002758,-1
-1.5286,1.8692,0.15209,0.12891,-0.146,-0.17319,0.033701,-0.14351,-0.14164,0.072288,1
-1.327,1.7474,0.71231,-0.70168,0.075429,0.23677,-0.012452,-0.12,0.004174,-0.01777,-1
-1.4029,2.0607,0.17838,0.13751,-0.073268,-0.23544,-0.043641,-0.089386,-0.018977,0.009604,-1
-1.5589,1.7308,-0.25096,-0.12966,-0.10565,0.001908,-0.075917,0.000968,-0.027976,-0.018331,-1
-1.5259,1.7423,-0.26868,-0.12865,-0.10313,0.033638,-0.09003,0.031068,-0.020241,-0.004738,-1
-2.0076,1.4005,-0.063381,-0.076331,-0.0026,-0.12888,-0.035246,0.005888,0.00366,-0.005285,-1
0.38824,3.6575,-0.040388,-0.033215,-0.047289,-0.009064,-0.012269,0.014952,0.038404,0.020682,-1
-0.023927,0.003248,-0.009861,-0.003168,-0.026008,-0.029032,0.01171,-0.047403,0.030984,0.003756,-1
