@relation T_TCAed_data_dim10_JDT_for_ML_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.46348,-0.13016,-0.011941,-0.32748,-0.16658,0.059461,0.065974,0.010551,0.089047,-0.026684,-1
-0.011304,-0.001374,-0.016052,0.006554,-0.025037,0.085949,0.012433,0.002965,-0.005353,-0.004096,-1
0.78241,0.29889,0.010612,-0.091846,-0.085734,0.082103,0.059367,0.034681,0.033245,-0.020875,-1
4.6111,-0.01336,-0.27956,-0.082448,0.005303,0.026181,-0.068331,-0.029471,0.005161,-0.043285,1
4.2687,-0.63721,-0.013464,-0.064597,0.045194,0.048331,0.035051,-0.011907,-0.02399,0.003741,-1
4.4189,0.15272,-0.09555,0.14872,-0.03737,0.12075,0.003386,0.011867,0.098593,0.001064,1
-0.10642,0.019953,-0.089431,-0.069681,0.017828,0.098207,0.025552,-0.075917,-0.000649,-0.06993,1
-0.010393,-0.015745,0.025359,0.043349,-0.019388,0.047965,0.064378,0.026392,0.017824,-0.025317,-1
-0.025434,-0.031051,-0.029588,-0.047689,-0.02344,0.08415,0.006264,-0.018481,-0.001631,-0.003736,1
0.13518,0.20473,0.1131,-0.053721,0.090724,0.038983,-0.003057,0.021038,-0.009963,-0.026279,1
4.5041,0.12401,0.10248,-0.010434,0.020773,-0.068544,-0.004832,0.028928,-0.017358,0.018513,-1
0.85971,0.53865,0.014038,-0.071626,-0.093644,0.1292,0.010192,0.023868,0.086965,-0.042862,1
0.13832,0.1489,-0.043833,-0.21159,-0.02266,0.001805,0.15916,0.009536,-0.15084,0.18417,-1
1.1745,0.81918,0.093112,0.046195,-0.045449,0.086736,0.027841,0.060322,0.054198,-0.04733,-1
0.86509,-0.36254,-0.050733,-0.15765,-0.084608,0.067691,0.034339,0.015081,0.007607,-0.00789,-1
