@relation T_TCAed_data_dim10_JDT_for_PDE_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-1.3387,0.4623,-0.20462,0.006796,0.095543,0.044041,0.19924,0.053999,0.034373,-0.071198,-1
-1.5752,0.40116,-0.18029,0.023649,-0.050818,0.011895,-0.021384,-0.024843,-0.032914,0.019789,-1
-1.2994,0.73708,-0.1836,0.13139,0.061821,0.008321,0.12053,-0.085184,0.060933,-0.018399,-1
-0.45425,2.1767,0.36558,-0.04801,-0.11212,0.049669,-0.02177,0.057302,-0.080427,-0.1309,1
0.9967,1.6496,-0.042141,0.01579,0.007751,0.023937,0.002347,-0.022446,-0.031312,0.025195,-1
-0.59182,2.2151,0.068584,0.021403,-0.097106,-0.009677,0.056914,0.22614,-0.089711,0.004411,1
-1.6153,0.35814,0.028861,0.068391,0.020572,-0.020515,-0.063804,0.048853,-0.078132,-0.00887,1
-1.4102,0.37421,-0.24094,0.002388,-0.071291,-0.000987,-0.032099,-0.006423,-0.016351,-0.005828,-1
-1.4793,0.3697,-0.1314,0.025133,-0.036361,0.018282,-0.037735,0.005429,0.004886,-0.00739,1
0.054924,0.089501,-0.035289,0.091834,0.019327,-0.012969,-0.01287,0.009784,0.01137,-0.000317,1
1.0148,1.896,-0.026293,-0.008074,-0.008613,-0.021992,0.023173,-0.013002,0.054607,-0.010378,-1
-1.3625,0.88362,-0.08634,0.18378,0.064218,0.015968,0.15267,-0.013976,0.057446,0.008341,1
-1.3483,0.55905,-0.10015,-0.25657,-0.12865,-0.55424,-0.005717,0.08714,0.16102,0.087358,-1
-1.2703,1.0445,-0.11957,0.19532,0.095591,-0.027159,0.061317,-0.049372,-0.048282,0.066958,-1
-1.4218,0.6536,-0.18164,-0.097322,-0.009291,0.10235,-0.029187,-0.020657,0.031691,0.017905,-1
-1.4029,0.62863,-0.166,-0.14218,-0.013439,0.13043,-0.022806,0.010218,0.028305,0.025949,-1
-1.6005,0.41752,-0.21449,0.015405,-0.043693,0.014353,-0.019475,-0.009945,-0.023005,0.024384,-1
-0.47174,2.3427,-0.076126,-0.042801,-0.044379,0.001342,-0.005459,-0.019297,-0.012558,0.01013,-1
0.003539,-0.012431,-0.064258,0.057047,0.000472,0.002073,-0.045548,0.011354,-0.009848,0.026801,-1
-1.5453,0.52292,0.4014,0.20303,0.027003,-0.045298,-0.038226,0.048687,-0.010489,-0.030381,1
1.0027,1.9146,-0.029118,0.028867,-0.040886,-0.016849,-0.003903,0.076789,-0.070504,0.022051,-1
-1.5623,0.32479,-0.16561,0.015024,-0.02732,0.004698,-0.025977,0.000867,-0.073484,-0.002458,-1
-0.099186,-0.26043,0.34551,0.006692,-0.003484,0.062753,-0.057071,0.022541,0.030917,0.086937,-1
0.035028,-0.014658,-0.14435,0.053941,0.01593,-0.010913,-0.055816,0.025044,-0.022186,0.002537,-1
-1.5253,0.36519,-0.11206,0.03635,0.041271,0.007621,-0.017296,-0.001974,-0.037779,-0.021001,-1
0.027706,0.001897,-0.10649,0.056111,0.02671,-0.018401,-0.065522,0.040423,0.045134,-0.006102,-1
0.022428,-0.020172,-0.073919,0.037593,0.026832,0.001951,-0.041076,0.019903,0.02926,0.022622,-1
-1.2175,0.99352,-0.06341,0.18889,0.3673,-0.23656,0.27118,-0.16222,0.004131,0.080859,1
-0.53075,2.3225,0.16718,-0.021769,-0.08266,0.021811,-0.025747,0.038571,-0.10903,-0.052691,-1
-1.4173,0.64849,-0.17006,-0.095822,-0.008381,0.094766,-0.030047,-0.017327,0.01794,0.004895,1
0.00377,0.18862,-0.009881,-0.2976,0.21586,0.097778,-0.046533,-0.018965,-0.029899,-0.14077,-1
