@relation T_TCAed_data_dim10_LC_for_EQ_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.19,0.27073,-0.13282,0.037649,-0.079735,0.10963,0.04345,0.030412,0.01083,-0.031943,-1
-0.002682,-0.008936,-0.052801,-0.11358,-0.049955,0.054461,0.00708,-0.018377,0.026812,0.019632,-1
0.023458,0.084105,-0.003859,0.039298,-0.11342,-0.14296,0.14633,-0.028743,0.022197,-0.14939,-1
0.020314,0.039026,0.021656,-0.05977,-0.37687,-0.34838,0.2397,0.03644,-0.016162,0.012205,-1
0.000562,0.045577,-0.000548,-0.056039,-0.10035,-0.033423,-0.078584,-0.032308,-0.014022,0.000782,-1
0.91513,1.0091,0.76571,-0.00067,-0.0664,0.077975,-0.013959,-0.034211,-0.004951,-0.007671,-1
-0.15902,0.38183,-0.082148,0.042424,-0.079613,-0.03552,-0.074683,0.040066,0.017012,-0.033307,1
-0.010192,0.016392,-0.074135,-0.12386,-0.10852,0.031081,0.043656,-0.10929,0.028834,0.093171,-1
-0.11762,0.29753,-0.14005,-0.089231,0.017431,0.068781,0.043221,-0.025766,0.030085,0.000238,-1
-0.70029,0.29592,-0.03168,0.4129,-0.18737,0.21496,0.080455,-0.099138,0.1127,0.091287,-1
-0.11981,0.062417,-0.15151,0.27068,-0.13921,-0.17243,-0.24864,0.10768,-0.13159,-0.015388,-1
-0.037585,0.014904,-0.10838,-0.072265,-0.11811,0.019857,0.063973,-0.17096,0.037234,0.13371,-1
0.027437,-0.024467,-0.00228,-0.087382,-0.11876,-0.065175,-0.072206,0.020386,-0.023038,-0.008002,-1
-0.005655,-0.007459,-0.041077,-0.10241,-0.070136,0.035108,0.029327,-0.003933,0.01925,0.007793,-1
-0.50925,0.99848,-0.5475,0.16722,-0.085303,-0.10025,-0.13664,0.30093,0.50269,0.003721,-1
-0.05653,0.34702,0.005916,0.021677,-0.077198,-0.15803,-0.11134,-0.00591,-0.07927,-0.028982,1
0.23447,0.79599,0.31504,0.057435,-0.026423,-0.07545,-0.064321,0.20114,0.055878,0.087161,-1
-0.046162,0.24588,0.014164,-0.002478,-0.087906,-0.0523,-0.078246,0.000963,-0.009901,-0.01418,-1
-0.063005,0.33379,-0.17851,0.005093,-0.045849,0.033722,0.042439,-0.29112,0.05698,-0.042469,-1
-0.16926,0.79302,-0.20253,0.008416,0.048215,-0.091693,-0.12619,-0.1322,-0.012874,-0.14375,-1
-0.11409,0.35553,-0.12096,-0.064613,-0.077947,0.037562,0.074038,-0.12305,0.020687,0.054019,-1
-0.01015,0.042679,-0.019862,-0.067316,-0.079733,-0.028457,-0.061651,-0.039412,-0.005764,-0.012875,-1
-0.50262,-0.014361,-0.085613,0.36957,-0.36204,0.16385,0.007149,0.020989,0.16226,0.048265,-1
-0.044478,0.25915,-0.13284,-0.044646,0.043679,0.029763,0.036289,-0.12073,0.026446,-0.1184,-1
-0.055914,0.15638,-0.10123,-0.01935,-0.056378,-0.00037,0.080453,-0.10003,0.018066,0.053492,-1
0.93296,1.0034,0.77438,0.016874,-0.072859,0.057066,-0.001042,-0.051564,-0.005011,-0.031613,-1
-0.002518,0.043499,-0.009719,-0.07482,-0.082998,-0.020543,-0.074314,-0.031007,-0.006965,-0.012031,-1
-0.11399,0.24914,-0.15906,-0.056594,-0.045533,0.025587,0.085665,-0.14182,0.040106,0.099654,-1
-0.32356,-0.084635,-0.037708,0.21655,-0.05145,0.1566,0.072269,-0.15168,-0.061841,-0.006906,-1
-0.50647,0.3288,-0.11205,0.18616,-0.19909,0.17506,0.15097,-0.1222,-0.048993,0.097827,1
-0.4122,0.36485,0.13088,0.30222,-0.25193,0.20621,-0.047148,-0.013434,-0.14851,-0.11617,1
-0.14282,-0.11934,-0.21168,0.63258,-0.27869,-0.058801,-0.15665,0.039876,0.51396,0.077586,1
-0.11106,0.22857,-0.14117,-0.090887,-0.022987,0.060237,0.034426,-0.006001,0.037353,0.009162,-1
-0.30931,0.28455,-0.10038,0.27841,-0.18512,0.21442,0.074689,0.005591,-0.1456,-0.1182,-1
-0.11784,0.30587,-0.141,0.009908,-0.036157,-0.078048,-0.000646,-0.16596,-0.033108,0.070875,-1
-0.060643,0.43912,-0.14139,0.015387,-0.057591,-0.1603,-0.14157,-0.17657,-0.011135,-0.081565,-1
-0.44046,-0.20593,-0.049042,0.07102,-0.15805,0.08497,0.013653,0.023008,-0.21046,0.10624,1
0.007821,-0.0422,-0.030974,-0.10551,-0.087425,0.01699,0.024967,0.029274,-0.000262,0.018654,-1
-0.17671,0.10257,-0.049626,0.17453,-0.031568,-0.087902,-0.026517,-0.089213,-0.13523,0.41422,-1
-0.002589,-0.013701,-0.043861,-0.10656,-0.055933,0.050144,0.012578,-0.011512,0.019845,0.011586,-1
0.9487,0.98391,0.80632,0.05077,-0.061309,0.041327,0.01074,-0.044904,-0.019204,-0.039264,-1
0.94384,0.98862,0.79542,0.11569,-0.030034,0.044697,0.014822,-0.066636,-0.028846,-0.045353,-1
-0.28694,0.24565,-0.23242,0.33881,-0.20586,0.044331,-0.045916,0.020789,0.231,-0.091806,-1
-0.64183,0.39069,-0.062813,0.31399,-0.34157,0.10554,0.022878,0.064298,-0.019669,-0.023483,-1
-0.0826,0.1522,-0.14002,-0.098345,-0.071255,0.043293,0.065649,-0.11592,0.035763,0.098191,-1
-0.066915,0.1308,-0.10188,-0.081708,0.009615,0.058601,0.021284,-0.01723,0.024503,0.018439,-1
-0.099382,0.28255,-0.099921,-0.071434,-0.081405,-0.067135,-0.023326,0.013345,-0.012324,0.02093,-1
-0.084407,0.20774,-0.11731,-0.053222,-0.008267,0.037649,0.035881,0.003839,0.041887,-0.008728,-1
-0.21019,0.12997,-0.18024,0.52625,-0.15544,0.023559,0.010496,0.006007,-0.059904,0.4097,1
-0.68664,0.47647,-0.50044,0.15622,-0.05807,0.073544,0.10306,0.079684,-0.23976,0.096197,1
0.001636,0.03935,-0.006233,-0.05102,-0.24387,-0.1802,-0.1151,-0.06638,-0.050918,0.091318,-1
-0.03818,0.15085,-0.051978,-0.059587,-0.03809,-0.079166,-0.067356,0.00184,-0.007387,0.024532,-1
-0.037991,-0.041317,-0.029102,0.64443,0.25642,-0.092291,-0.016249,-0.24552,0.030485,0.13772,1
-0.10427,0.30906,-0.12074,-0.10128,0.004875,0.063048,0.043352,-0.01401,0.024218,-0.005942,-1
-0.08817,0.25156,-0.10363,-0.088033,0.001429,0.047258,0.055898,-0.004305,0.021195,-0.014631,-1
-0.075294,0.30166,-0.059053,-0.041269,-0.069538,-0.051509,-0.020253,-0.031515,-0.007695,-0.013919,-1
-0.11193,0.27266,-0.16119,-0.1016,-0.085322,0.006463,0.089206,-0.060361,0.013511,0.099675,-1
-0.42357,1.1474,-0.49742,-0.086319,0.13046,0.022948,0.21877,0.027239,0.050415,0.002464,-1
-0.018842,0.00917,-0.049294,0.015673,-0.069909,-0.046145,-0.12643,-0.13421,0.061779,0.048708,1
-0.39586,0.24601,0.089558,0.43074,-0.26751,0.25041,-0.042219,0.16776,-0.12356,-0.15574,-1
-0.071722,0.25481,-0.084345,-0.10227,-0.021593,0.05428,0.041685,-0.003797,0.011247,-0.016843,-1
-0.22153,0.37684,-0.13971,0.16109,-0.093738,0.011636,0.14228,-0.21968,0.011639,0.090051,-1
-0.10184,0.39751,-0.09024,-0.083354,-0.05861,-0.025735,-0.042257,-0.02388,-0.00474,-0.027847,-1
-0.0045,-0.024688,-0.03057,-0.10629,-0.048227,0.060576,-0.006989,0.011339,0.01462,0.004704,-1
-0.57823,0.064093,0.054098,0.25245,-0.060888,0.080565,-0.009115,-0.083946,-0.020511,-0.033078,-1
-0.27174,0.80419,-0.30562,-0.12976,0.072601,-0.002224,0.041442,0.069687,-0.000592,-0.043667,-1
-0.13955,0.32095,-0.11161,-0.07586,-0.036034,0.085098,0.044635,-0.004929,0.008887,-0.025788,-1
-0.099288,0.32485,-0.14487,-0.076074,-0.033585,0.049401,0.083871,-0.15683,0.036976,0.060478,-1
-0.96012,0.54503,0.17867,-0.2809,0.081833,-0.088744,0.016663,-0.1233,-0.1104,0.17181,1
0.009036,-0.033448,-0.030064,-0.11,-0.071837,0.025236,0.016129,0.030092,0.005842,0.008959,-1
-0.12266,0.32637,-0.15734,-0.079468,-0.069074,0.027362,0.085652,-0.11788,0.034745,0.082696,-1
-0.009526,0.049909,-0.010254,-0.073078,-0.1031,-0.036767,-0.070362,-0.034576,-0.007171,-0.004039,-1
0.000118,-0.000265,-0.042156,-0.10594,-0.044766,0.055784,0.00709,-0.020396,0.022069,0.018633,-1
-0.14878,0.28332,-0.15067,-0.070956,-0.090115,-0.037424,-0.053206,-0.13592,-0.031234,0.085767,-1
-2.114,0.033427,1.0972,-0.32048,0.10088,-0.27602,-0.025171,-0.14155,0.26298,0.13998,1
-0.42168,1.1694,-0.45093,-0.12224,0.16667,0.070978,0.17669,0.078923,0.040123,-0.036042,-1
-0.20105,0.26885,-0.10006,0.18879,0.03052,-0.16375,0.009487,-0.15098,-0.028513,0.1084,-1
-0.19134,0.43577,-0.1439,0.16709,0.00319,-0.049068,0.15944,-0.25572,0.044039,0.067558,1
-0.010928,-0.042611,-0.062542,-0.10495,-0.055392,0.043728,0.018385,0.004259,0.020806,0.023062,-1
-0.007975,-0.023736,-0.056563,-0.11973,-0.06389,0.040062,0.029964,-0.004635,0.02203,0.010449,1
-0.097771,0.42635,-0.14597,0.003483,-0.18839,-0.16684,-0.10015,-0.2402,0.008472,0.080267,-1
-0.13352,0.31782,-0.17415,-0.073717,-0.039168,0.045989,0.080529,-0.13667,0.038797,0.090536,-1
-0.22445,0.29811,-0.094753,0.022201,-0.013976,0.047634,-0.000011,0.051058,0.024676,-0.006857,-1
