@relation T_TCAed_data_dim10_LC_for_JDT_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.33762,0.082751,-0.035971,0.12451,-0.018708,-0.068431,0.057445,-0.030382,0.00985,-0.023625,-1
-0.34505,0.16632,-0.006248,0.039854,-0.00365,0.03562,0.003807,-0.005646,0.0392,-0.004491,-1
-0.3289,0.099864,0.065809,-0.013031,0.090112,0.10996,0.13063,0.17573,-0.51814,-0.17279,-1
-0.34061,0.16922,-0.017531,-0.018381,0.056248,0.040106,0.083518,0.054118,-0.2235,-0.044083,-1
-0.30878,0.15905,-0.011173,0.037627,0.008622,0.029067,-0.003465,-0.002281,0.03203,0.006762,-1
-0.17396,0.28839,-0.053273,-0.003184,0.42809,-0.15532,-0.11271,0.01681,0.059261,-0.014363,-1
-0.30079,0.075438,-0.030298,0.096251,-0.012332,-0.056725,-0.014784,-0.028055,0.040431,0.019684,1
-0.34899,0.13755,-0.003768,0.004539,-0.007632,0.026575,0.028569,0.023459,0.016905,-0.038839,-1
-0.35282,0.14719,-0.024549,0.047802,-0.031263,-0.029547,-0.025881,-0.013753,0.01787,-0.036435,-1
-0.37102,-0.1713,-0.10468,0.30307,0.035197,-0.15703,0.1975,0.019691,0.062703,0.028676,-1
-0.19205,-0.09205,-0.000291,0.21815,-0.033079,-0.046998,-0.040431,-0.040962,-0.004396,0.018663,-1
-0.34745,0.10269,-0.000997,-0.001339,-0.008968,0.017244,0.04274,0.0333,0.005954,-0.068249,-1
-0.29183,0.14769,-0.011767,0.043157,0.015419,0.0408,-0.000368,0.000625,-0.014852,0.004054,-1
-0.34231,0.16458,-0.011836,0.038767,0.004822,0.038732,0.010985,-0.002552,0.01802,-0.011852,-1
-0.40148,-0.025359,0.04149,0.12814,-0.091455,-0.20507,-0.060975,-0.004869,-0.035908,0.14458,-1
-0.25702,0.10765,-0.013374,0.03303,-0.00287,-0.027633,-0.0366,-0.029698,-0.051829,0.0058,1
-0.1806,0.15585,-0.072634,0.076926,0.15253,-0.11692,-0.087266,0.014414,-0.001775,-0.009049,-1
-0.29336,0.11604,-0.028797,0.02298,0.014212,-0.003439,0.005441,-0.014127,-0.006272,-0.001393,-1
-0.3565,0.037561,0.030982,0.12591,-0.059147,-0.025787,-0.001411,0.083363,0.030758,-0.16194,-1
-0.33177,0.061341,0.001247,0.19924,-0.13778,-0.074697,-0.18909,0.31166,0.065927,-0.076113,-1
-0.35681,0.11253,-0.024877,-0.011255,-0.015444,-0.025295,0.030391,0.037559,-0.081,-0.087937,-1
-0.30866,0.16933,-0.014024,0.042805,0.019278,0.035233,-0.002374,-0.002188,0.016069,0.012738,-1
-0.35711,-0.10577,-0.045166,0.29009,0.065786,-0.10088,0.27761,0.01349,0.059104,0.046213,-1
-0.35176,0.080857,0.002853,0.14776,-0.029518,0.004006,-0.086256,0.049262,0.028308,-0.13703,-1
-0.3315,0.076965,-0.00519,0.032095,-0.010039,-0.00033,0.016648,0.009142,-0.012264,-0.083202,-1
-0.1653,0.26955,-0.050992,0.002347,0.4447,-0.1446,-0.10168,0.031536,0.009825,-0.043066,-1
-0.31614,0.17435,-0.014965,0.040059,0.01303,0.033127,-0.00367,-0.00072,0.031774,0.01913,-1
-0.35129,0.093848,-0.01349,0.010775,-0.030156,-0.025728,0.01463,0.021198,-0.010441,-0.08333,-1
-0.31381,-0.10038,0.039944,0.38456,-0.13317,0.078422,-0.039034,0.58027,0.085766,-0.076726,-1
-0.35806,-0.042085,-0.098722,0.17095,-0.018833,-0.14222,0.18609,0.011906,0.067876,-0.092343,1
-0.23347,-0.21422,-0.17516,0.40526,0.061373,-0.24053,0.41585,-0.052461,0.11521,-0.023347,1
-0.22294,-0.39699,0.27186,0.51085,-0.046251,0.10111,-0.077342,0.49551,0.054406,0.31551,1
-0.35602,0.13428,-0.021579,0.066942,-0.021829,-0.017202,-0.041469,0.01251,0.037744,-0.016409,-1
-0.2835,-0.11604,-0.058172,0.30606,0.000252,-0.20048,0.29897,-0.079078,0.019499,-0.049851,-1
-0.3023,0.039343,-0.006753,0.035427,-0.043328,-0.056304,-0.052506,0.001229,0.012426,-0.081029,-1
-0.32708,0.074167,-0.000997,0.10634,-0.05365,-0.027359,-0.078521,0.099305,0.043299,-0.10728,-1
-0.25447,0.059671,-0.064553,0.10554,0.005449,-0.030536,0.089679,-0.030889,0.049465,-0.004983,1
-0.32865,0.1577,-0.009916,0.025307,0.010223,0.047226,0.02494,-0.004227,-0.034108,-0.007792,-1
-0.26084,-0.04339,0.04131,-0.03821,-0.020877,-0.011764,-0.003891,-0.004003,0.02673,0.000973,-1
-0.34139,0.16518,-0.008869,0.032959,0.004953,0.041418,0.017037,-0.0001,0.008204,-0.012633,-1
-0.15158,0.24201,-0.034073,-0.004086,0.46515,-0.12207,-0.1059,0.045157,-0.026037,-0.052243,-1
-0.14858,0.2206,-0.010899,0.066403,0.46241,-0.12126,-0.15461,0.079865,0.0311,-0.041287,-1
-0.30928,-0.12475,0.065453,0.27852,-0.000524,-0.092188,0.080334,-0.016106,-0.011419,0.006187,-1
-0.3218,-0.073629,-0.11845,0.27943,0.029332,-0.18428,0.20673,-0.010812,0.033334,0.008446,-1
-0.35806,0.12014,-0.016851,0.018176,-0.032713,-0.01166,0.006812,0.016996,0.04699,-0.053749,-1
-0.34216,0.14315,-0.017019,0.05793,-0.020385,0.005612,-0.018065,-0.008834,0.043181,-0.029707,-1
-0.31856,0.13959,-0.023269,0.018017,-0.025184,-0.029696,-0.014717,-0.00997,-0.035681,-0.008947,-1
-0.3459,0.1197,-0.010486,0.077433,-0.008042,0.000204,-0.021393,0.039129,-0.011226,-0.022339,-1
-0.25986,-0.17437,0.009681,0.15687,-0.044491,-0.1106,0.11039,-0.011121,-0.000243,0.10964,1
-0.32519,-0.093771,-0.15783,0.21168,-0.12354,-0.25816,0.14117,0.05887,-0.018869,-0.16891,1
-0.2797,0.13258,-0.017306,-0.001361,0.005195,0.007204,0.012585,0.020544,-0.007217,0.020097,-1
-0.29502,0.12096,0.000884,0.048283,-0.016106,0.000589,-0.039658,-0.037111,0.000376,0.031476,-1
-0.23339,-0.46092,0.25756,0.43251,-0.018361,0.20996,-0.14318,0.55698,-0.015579,0.079466,1
-0.35376,0.1484,-0.023001,0.038825,-0.028844,-0.026657,-0.018934,-0.007866,0.003042,-0.040031,-1
-0.35229,0.15937,-0.026422,0.046901,-0.016567,-0.014625,-0.008567,-0.002919,-0.00572,-0.043275,-1
-0.33123,0.15381,-0.018098,0.004178,0.000731,-0.009203,0.017738,0.022056,-0.084302,-0.026504,-1
-0.35498,0.10629,-0.020776,0.00665,-0.047823,-0.04678,-0.004675,0.00282,-0.009143,-0.046687,-1
-0.45487,0.078249,-0.088569,0.07434,-0.17081,-0.23919,-0.11341,0.037164,0.030242,-0.15272,-1
-0.28122,0.079174,-0.03112,0.055525,0.026687,0.059319,-0.050648,0.044807,0.016089,-0.014625,1
-0.22483,-0.14133,-0.1388,0.40621,0.084495,-0.16884,0.343,-0.037289,0.073112,0.034504,-1
-0.355,0.15586,-0.024292,0.02582,-0.015194,-0.003942,0.003212,0.00445,-0.027134,-0.033981,-1
-0.31969,-0.042499,-0.007361,0.086746,-0.010726,-0.086055,0.071907,0.008901,-0.040308,-0.11178,-1
-0.33674,0.16193,-0.032481,0.024379,-0.01742,-0.039773,-0.011584,0.016742,-0.035751,-0.029577,-1
-0.34867,0.16489,-0.013166,0.039962,-0.007081,0.044993,0.001763,-0.010158,0.038385,0.006222,-1
-0.33421,-0.14587,0.060311,0.3648,-0.048929,0.0407,-0.041483,0.55308,0.1068,0.12514,-1
-0.38033,0.14707,-0.081343,0.043184,-0.10955,-0.12899,-0.041825,0.047239,0.033575,-0.095079,-1
-0.36024,0.14298,-0.036868,0.063033,-0.020312,-0.046491,0.019018,0.001522,-0.014183,-0.039506,-1
-0.35549,0.094893,-0.016847,0.025621,-0.040363,-0.047086,-0.033553,0.012492,0.036669,-0.087655,-1
-0.28494,-0.10313,-0.64326,-0.16347,-0.12768,-0.039483,-0.16465,0.020709,0.000316,-0.098876,1
-0.32405,0.16229,-0.00817,0.028534,0.017147,0.051765,0.023511,-0.001732,-0.045941,-0.011839,-1
-0.36304,0.10933,-0.018762,0.007572,-0.037994,-0.040557,0.001055,0.017594,-0.009428,-0.06731,-1
-0.31355,0.16637,-0.016853,0.042679,0.010996,0.027106,-0.003182,0.00045,0.032587,0.007695,-1
-0.34661,0.16598,-0.005162,0.036528,-0.004442,0.037556,0.005128,-0.007415,0.038708,0.000974,-1
-0.3008,0.12182,-0.027764,0.020813,-0.050056,-0.058586,-0.019521,0.017244,0.030472,-0.052052,-1
-0.44666,-0.35983,-1.7438,-0.16637,0.024322,0.24708,-0.15081,0.024251,-0.018985,0.12674,1
-0.43462,0.11798,-0.08914,0.058633,-0.16894,-0.23336,-0.10092,0.007795,0.019955,-0.11504,-1
-0.28032,-0.053653,0.011417,0.0919,-0.042206,-0.022519,-0.064124,-0.051016,0.014779,-0.040643,-1
-0.30364,-0.080306,-0.01871,0.065691,-0.012126,-0.037158,-0.045859,0.051742,-0.086811,-0.19538,1
-0.33734,0.15893,-0.009103,0.043294,-0.00265,0.036263,0.002684,-0.013373,0.032893,-0.000901,-1
-0.33966,0.16437,-0.011249,0.045386,0.001471,0.038731,0.001534,-0.009588,0.035851,-0.005898,1
-0.33756,0.084183,-0.029163,-0.004286,-0.013995,-0.055117,-0.005502,0.10158,-0.054328,-0.091391,-1
-0.36087,0.10547,-0.018765,0.014255,-0.041508,-0.044377,-0.001825,0.014241,0.0116,-0.073989,-1
-0.33697,0.045534,-0.031652,0.095457,-0.020697,-0.003129,-0.024432,0.026998,0.059386,0.027801,-1
-0.34468,0.16185,-0.006957,0.036472,0.002265,0.038721,0.011398,-0.004457,0.020651,-0.005992,1
-0.3287,0.13351,-0.017184,0.033149,0.009228,0.001837,0.052538,0.004692,-0.12736,-0.044332,-1
-0.3297,0.16275,-0.009204,0.048278,-0.027546,-0.037331,-0.051015,-0.009154,0.026779,-0.009021,-1
-0.32002,0.16676,-0.012668,0.031984,0.008555,0.029754,0.002134,0.002891,0.031441,0.016109,-1
-0.33796,0.17007,-0.006172,0.009319,0.012845,0.053066,0.039796,0.00662,-0.059751,-0.008898,-1
-0.3227,0.1687,-0.035871,0.049021,-0.041868,-0.061447,-0.042298,-0.001525,0.015712,-0.01323,-1
-0.31539,0.12829,-0.012366,0.030439,0.00421,0.017871,0.002225,0.027923,0.032147,-0.019574,-1
-0.34823,0.00067,-0.1006,0.22461,0.018904,-0.09129,0.20391,0.025937,0.021914,-0.060368,-1
-0.32553,0.13376,-0.030947,0.062145,-0.008496,-0.030997,-0.037637,0.016398,-0.011159,-0.049753,-1
-0.34111,0.064766,0.005853,0.20007,-0.14083,-0.081683,-0.17969,0.32072,0.060052,-0.091701,-1
-0.33424,0.1529,-0.012783,0.046907,-0.001952,0.045474,0.000061,-0.024721,0.012104,0.006417,-1
-0.30831,-0.021749,0.13339,0.065175,-0.049319,-0.001548,-0.067664,0.060441,0.070556,-0.000139,1
-0.072575,-0.849,0.066595,0.85359,0.15826,-0.3652,0.63674,-0.11859,0.026772,0.26176,1
-0.32677,0.16058,-0.027815,0.020556,-0.006382,-0.014004,-0.002133,0.017213,-0.031995,-0.023633,-1
-0.30673,0.1602,-0.032176,0.036398,-0.013856,-0.046173,-0.037039,0.007527,0.023613,-0.001858,-1
-0.35884,0.14537,-0.036098,0.067913,-0.024152,-0.038129,-0.026095,-0.010252,0.024533,-0.038251,-1
-0.29665,0.17138,-0.034083,0.051572,-0.036415,-0.044133,-0.038032,-0.003328,0.020601,-0.016456,-1
-0.35156,0.15193,-0.025412,0.049329,-0.021577,-0.017737,-0.000196,-0.00346,0.003869,-0.033794,-1
-0.33184,0.13923,-0.030915,0.045459,-0.038253,-0.066909,-0.052433,-0.024462,0.004546,-0.002776,-1
-0.13943,0.19489,-0.004001,0.13249,0.41318,-0.145,-0.14036,0.14176,0.04562,0.061099,-1
-0.26944,-0.22012,0.21349,0.39776,-0.13704,0.034113,0.078066,0.53501,-0.072733,0.17246,-1
-0.20566,0.022056,-0.065552,0.077299,-0.29228,-0.32867,-0.20522,0.015226,0.030903,-0.17584,-1
-0.35577,0.14178,-0.029496,0.05028,-0.034537,-0.051891,-0.046354,-0.029736,0.011981,-0.020693,-1
-0.35539,0.006213,-0.096792,0.20256,0.017216,-0.11454,0.20297,0.008136,0.014112,-0.065175,-1
-0.31713,0.18339,-0.018147,-0.073972,0.087754,0.020428,0.14229,0.11614,-0.46894,-0.12913,-1
-0.33822,-0.012275,-0.072571,0.1766,0.021435,-0.069478,0.087648,-0.019888,-0.026916,-0.081705,-1
-0.33903,0.11265,-0.028198,0.062171,-0.0107,-0.01021,-0.023032,-0.000573,-0.023103,-0.07679,-1
-0.2973,-0.27191,0.083233,0.18656,0.028127,0.025037,-0.055067,0.1702,0.025249,0.077083,1
-0.26822,-0.007717,-0.13465,0.093225,-0.29918,-0.34835,-0.16236,0.070144,0.007686,-0.24219,-1
-0.33384,0.088661,-0.025084,0.035805,-0.030019,-0.050369,-0.02917,0.031526,0.028582,-0.075637,-1
-0.42178,0.13087,-0.085566,0.051267,-0.15408,-0.18511,-0.071794,0.021021,0.033025,-0.10939,-1
-0.35219,0.15197,-0.026734,0.055729,-0.022631,-0.019817,-0.005177,-0.007157,0.01562,-0.033376,-1
-0.29346,0.15022,-0.027841,0.03204,-0.008634,-0.02901,-0.02715,0.007611,-0.004477,0.005951,-1
-0.35413,0.14713,-0.023583,0.044523,-0.032684,-0.028318,-0.023965,-0.013324,0.017934,-0.035838,-1
-0.13766,0.22846,-0.15859,0.052017,0.29025,-0.092423,-0.058869,0.016796,0.036469,0.024639,-1
-0.33818,0.12666,-0.017796,0.045974,0.007023,0.027025,-0.011138,0.053919,0.025925,-0.033659,-1
-0.4422,0.077424,-0.084937,0.027755,-0.18385,-0.25072,-0.082765,0.031809,0.035256,-0.1497,-1
-0.30489,0.11837,-0.058658,0.068469,-0.007501,-0.00902,-0.099586,0.039348,0.029864,0.008283,-1
-0.29006,-0.00982,-0.01132,0.15443,0.021998,-0.004833,0.043129,-0.011544,-0.068322,-0.12139,-1
-0.32147,0.077198,-0.020063,0.055708,-0.015145,-0.022763,-0.02303,-0.026097,0.005942,-0.023389,-1
-0.26891,-0.25676,-0.043472,0.1963,-0.004458,-0.13436,0.11416,0.1169,0.072276,-0.21171,-1
-0.37134,-0.046578,-0.67674,0.038888,0.019818,0.039189,0.053606,0.005304,0.024112,-0.017824,-1
-0.3156,0.16771,-0.01507,0.037868,0.010456,0.027476,-0.000036,0.005248,0.034195,0.005999,-1
-0.28305,0.039654,-0.046552,0.1221,-0.009103,-0.012135,0.085249,0.12045,0.037635,0.019197,-1
-0.31867,0.15643,-0.023359,0.038171,-0.009576,0.000114,-0.013993,0.00042,0.033567,-0.006197,-1
-0.31408,-0.030704,0.028949,0.19565,0.007766,-0.10535,0.085836,-0.037668,-0.002961,0.097212,-1
-0.29824,0.12728,-0.028133,0.055441,-0.01482,-0.04666,-0.034139,0.021056,-0.005049,-0.025533,-1
-0.35637,0.14443,-0.023374,0.043882,-0.03775,-0.02724,-0.026253,-0.017654,0.033484,-0.031649,-1
-0.38086,0.17768,-0.040375,0.028561,0.006598,-0.025629,0.008688,0.018112,-0.1038,-0.064854,-1
-0.14258,0.28736,-0.049709,-0.002483,0.43331,-0.17247,-0.11138,0.022965,0.04465,0.009544,-1
-0.32819,-0.031232,0.026583,0.088271,-0.052503,-0.019469,-0.062217,0.059425,0.039042,-0.19475,-1
-0.28885,0.13532,-0.013636,0.039743,0.014556,0.023149,-0.00415,-0.000386,-0.054203,-0.014431,-1
-0.28979,0.14251,-0.025526,0.029067,-0.009843,-0.026981,-0.025558,0.004746,-0.003495,0.003943,-1
-0.29561,0.10583,-0.05203,0.027948,-0.10726,-0.18177,-0.071385,0.017041,-0.00011,-0.065486,-1
-0.36627,0.096848,-0.017049,0.017766,-0.047588,-0.05092,-0.011325,0.008495,0.037715,-0.069397,-1
-0.34799,0.1381,0.074624,0.028206,-0.018113,0.043919,-0.036748,-0.037216,0.017878,0.038095,-1
-0.41175,-0.42343,-2.1381,-0.094327,0.072182,0.18799,0.070448,0.018136,0.07969,0.005755,-1
-0.34224,0.16628,-0.00327,0.041019,-0.0036,0.036794,0.000551,-0.008029,0.039529,-0.002938,-1
-0.29956,0.13323,-0.014953,0.049091,0.012979,0.031619,-0.018433,-0.015467,0.024425,0.032268,-1
-0.29773,-0.005843,0.013327,0.08933,-0.038892,-0.11993,-0.036334,-0.012918,-0.049342,0.071161,-1
-0.33834,0.15997,-0.010228,0.045183,-0.000144,0.034727,0.00247,-0.007832,0.039884,-0.010423,-1
-0.30661,0.092182,-0.027712,0.016585,-0.02564,-0.065977,-0.021231,0.037258,0.007463,-0.053579,-1
-0.30965,0.15017,-0.016495,0.031688,-0.013894,-0.003046,-0.018755,-0.020424,0.0123,0.020279,-1
-0.34583,0.17916,-0.020404,-0.031127,0.071254,0.046845,0.10414,0.067381,-0.28416,-0.057058,-1
-0.31756,0.076771,-0.016894,0.061931,-0.01584,-0.026355,-0.02668,0.001439,0.017694,-0.057689,-1
-0.29155,-0.17353,-0.21267,0.45372,0.055214,-0.25581,0.42924,-0.04503,0.065432,-0.059037,-1
-0.34341,0.17668,-0.008683,0.043222,-0.001572,0.038963,0.000254,-0.008104,0.03899,0.002229,-1
-0.35189,0.10058,-0.048879,0.10642,-0.024179,-0.063966,0.043895,-0.017339,0.037085,-0.035989,-1
-0.28104,-0.059828,-0.15281,0.23541,0.049699,-0.1031,0.1927,-0.03353,0.078011,-0.03173,1
-0.36733,0.11086,-0.022831,0.019625,-0.0481,-0.049371,-0.012905,0.010817,0.041516,-0.063838,-1
-0.32378,0.062781,0.008237,0.1909,-0.12923,-0.067573,-0.17167,0.29496,0.038122,-0.076897,-1
-0.36579,0.16155,-0.028666,0.046276,-0.035346,-0.033036,-0.027486,-0.009099,0.028781,-0.028836,-1
-0.30131,0.14194,-0.016397,0.024839,0.014539,0.011192,0.009798,-0.005461,-0.090291,0.009003,-1
-0.34042,0.16826,-0.03245,0.04025,-0.02241,-0.04332,-0.029095,0.007178,0.008911,-0.014181,-1
-0.14065,0.10986,-0.032309,0.24955,0.4717,-0.27968,0.12453,-0.029425,0.068903,-0.018486,-1
-0.35162,0.12949,-0.015683,0.069555,-0.028283,-0.02333,-0.019987,0.003966,0.026539,-0.04093,-1
-0.34129,0.17123,-0.018595,-0.017859,0.056296,0.040663,0.083877,0.054447,-0.22445,-0.044464,-1
-0.2809,-0.20529,-0.030864,0.2649,-0.070775,-0.2192,0.065272,0.012741,-0.021144,0.091182,-1
-0.34467,0.16704,0.002975,0.03746,-0.005727,0.03823,-0.000603,-0.011519,0.037804,0.00521,-1
-0.36595,0.14731,-0.019738,0.041319,-0.045756,-0.024881,-0.023539,-0.013295,0.043326,-0.023982,-1
-0.42278,0.056422,-0.12834,0.14321,-0.14504,-0.25912,0.022815,0.020725,0.040153,-0.12757,-1
-0.34726,0.055269,-0.008994,0.026104,-0.032606,-0.033425,0.005334,0.028669,0.01465,-0.11333,-1
-0.28299,-0.004271,0.024429,-0.065251,-0.019366,-0.016444,-0.005282,0.009715,0.025973,-0.005497,-1
-0.35226,0.14923,-0.027656,0.050981,-0.02128,-0.020068,0.007441,-0.002774,0.004775,-0.033416,-1
0.047232,-0.001538,-0.14245,0.2081,0.109,-0.36279,-0.31279,0.051163,-0.035233,-0.14867,1
-0.32504,0.066503,-0.02137,0.016179,-0.019126,-0.024106,0.004583,-0.002679,-0.088565,-0.091909,-1
-0.35475,0.10241,-0.054787,0.12909,-0.018782,-0.081096,0.056848,-0.011922,0.035578,-0.036581,-1
-0.29828,0.1376,-0.061468,0.036913,-0.10825,-0.16796,-0.07047,-0.002946,-0.065741,-0.03307,-1
-0.30229,0.013907,-0.00644,0.010048,-0.012858,-0.03201,-0.005437,0.022834,-0.044924,-0.12964,-1
-0.37901,0.15317,-0.083422,0.02995,-0.089509,-0.11845,-0.015156,0.062423,-0.050494,-0.11526,-1
-0.34611,0.16616,-0.005355,0.037448,-0.004324,0.036772,0.004808,-0.006876,0.038834,-0.000772,-1
-0.31385,0.17729,-0.016256,0.041751,0.012323,0.031324,-0.004099,0.000393,0.033135,0.014741,-1
-0.16776,0.27053,-0.051662,0.001727,0.44651,-0.14478,-0.1006,0.032246,0.004654,-0.043626,-1
-0.36045,0.14339,-0.023402,0.041255,-0.043167,-0.027361,-0.026148,-0.016939,0.03194,-0.03278,-1
-0.33979,0.11252,-0.024064,0.00927,-0.041816,-0.055482,-0.014045,0.017344,0.030969,-0.042578,-1
-0.34289,0.16809,0.001634,0.041426,-0.005101,0.035506,-0.001855,-0.008848,0.038725,-0.001978,-1
-0.24091,-0.23688,-0.098488,0.45225,0.087954,-0.19304,0.45284,0.000747,-0.13069,-0.10674,-1
-0.38415,0.17958,-0.027403,-0.04052,0.10832,0.063382,0.13678,0.097099,-0.42636,-0.08385,-1
-0.32541,0.13203,-0.031327,0.067446,-0.011237,-0.033075,-0.043685,0.012259,0.00358,-0.047012,-1
-0.33026,0.12333,-0.052246,0.035407,-0.058941,-0.097483,-0.047934,0.051346,0.043989,-0.053781,-1
-0.33215,0.15966,-0.010568,0.027816,0.013105,0.047825,0.025076,0.00088,-0.028202,-0.015188,-1
-0.29156,0.18529,-0.020171,0.032905,0.019982,0.022202,-0.005437,0.01445,0.026677,0.031906,-1
-0.34364,0.14168,-0.019356,0.053344,-0.030273,-0.013676,-0.023281,-0.019003,0.033986,-0.03425,-1
-0.13605,0.23574,-0.071032,0.055423,0.27822,-0.10289,-0.049737,0.016523,0.040281,0.005462,-1
-0.32838,-0.065803,0.028042,0.1914,-0.091338,-0.095459,-0.087876,0.20113,-0.010243,-0.28692,-1
-0.30966,-0.087694,-0.050971,0.22842,0.001748,-0.074346,0.1227,-0.035858,0.001185,-0.014997,1
-0.32241,0.14875,-0.038656,0.050303,0.011841,0.072407,-0.021682,0.00158,0.010683,0.007621,-1
-0.31191,0.16232,-0.013244,0.042392,0.012072,0.027167,-0.001869,0.002123,0.034126,0.004423,-1
-0.33666,0.06494,-0.013394,0.025234,-0.030294,-0.047407,0.03426,0.000058,-0.029004,-0.081462,-1
-0.13805,-0.36342,-0.11798,0.41805,0.087316,-0.32135,0.52615,-0.036325,0.038442,-0.058698,-1
-0.32648,0.076441,-0.02375,0.081561,0.004113,-0.0011,-0.029456,0.010841,-0.056526,-0.11108,-1
-0.27846,0.10504,-0.043676,0.015094,-0.062753,-0.1097,-0.052574,0.006596,0.001864,-0.010052,-1
-0.29594,-0.20998,0.016336,0.17604,-0.000439,0.078022,-0.0896,0.080575,-0.079759,-0.014162,1
-0.30687,0.16007,-0.032918,0.03913,-0.012855,-0.047521,-0.037808,0.008189,0.023311,-0.00253,-1
-0.34488,0.10457,-0.03166,0.082,-0.017702,-0.045305,-0.062808,0.009647,-0.032704,-0.038723,-1
-0.31417,-0.1334,0.13198,0.046835,0.012932,-0.10379,0.041448,0.004413,0.002127,0.18641,-1
-0.34645,0.10639,-0.038243,0.085499,-0.018603,-0.018898,-0.069117,-0.013639,0.032289,-0.04193,-1
-0.31211,0.17039,-0.014677,0.03101,0.012701,0.03265,0.006499,0.005386,0.015943,0.009194,-1
-0.35477,0.09788,-0.016449,0.020014,-0.044002,-0.045064,-0.009475,0.005761,0.027908,-0.073106,-1
-0.34779,0.060869,-0.002441,0.024724,-0.046543,-0.027497,-0.021091,-0.010936,0.036061,-0.074075,-1
-0.3428,0.16486,-0.007001,0.04316,-0.003084,0.034657,0.001532,-0.005881,0.039527,-0.008278,-1
-0.32388,0.16913,-0.034603,0.047454,-0.042961,-0.061732,-0.04143,-0.00197,0.01541,-0.011471,-1
-0.28461,-0.46031,0.2743,0.41806,-0.1635,0.055942,-0.052957,0.52893,0.065527,0.22519,1
-0.19728,0.16565,0.10194,0.092884,0.61917,-0.17438,-0.16779,0.31793,-0.081222,-0.059946,1
-0.34789,-0.000499,-0.017184,0.048518,-0.032892,-0.04056,-0.030547,0.02169,0.034819,-0.1381,-1
-0.35511,0.1495,-0.02905,0.056159,-0.015996,-0.024064,-0.020189,0.002767,-0.027474,-0.062467,-1
