@relation T_TCAed_data_dim10_LC_for_ML_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.21103,-0.038598,0.058814,-0.036229,0.030743,-0.040467,0.021111,-0.01046,-0.051663,0.047179,-1
0.26522,0.014664,0.062298,0.001562,0.062143,0.015615,0.03419,0.015629,-0.002885,0.001775,-1
0.2075,-0.10184,0.13803,-0.005924,-0.25316,0.17504,0.000242,-0.045622,-0.050581,-0.07327,-1
0.24844,-0.067096,0.050496,-0.001993,-0.31293,0.20664,-0.029612,-0.060793,0.033147,-0.02596,-1
0.26841,-0.020395,0.044829,0.016961,0.002078,0.008741,0.025433,0.02305,0.023213,0.011731,-1
0.30201,-0.09803,-0.09948,0.001705,-0.019716,-0.036758,0.01862,0.077233,0.12092,0.15533,-1
0.1769,-0.073114,0.030405,-0.088378,-0.03045,-0.069638,0.02141,0.04438,-0.005857,0.025134,1
0.2502,0.017844,0.060852,0.00717,0.044389,0.021205,0.035372,0.006441,-0.016716,0.00546,-1
0.24893,0.000454,0.032429,-0.001075,0.04781,-0.02605,0.017418,0.045013,-0.042766,0.002652,-1
0.073711,-0.1831,0.13675,-0.022918,0.089892,-0.097479,0.036548,-0.084769,-0.043136,0.062078,-1
0.092054,-0.40804,-0.058185,-0.011642,0.06116,0.071521,-0.30031,0.061234,-0.19048,0.10722,-1
0.25173,0.003601,0.058927,0.026762,0.043854,0.009503,0.03798,0.018107,-0.021319,-0.00427,-1
0.28922,-0.030542,0.013407,0.021742,-0.027409,0.013278,0.016543,0.018581,0.044638,0.022205,-1
0.26499,0.003782,0.073327,0.006839,0.0241,0.041744,0.027857,0.007912,-0.011445,-0.001969,-1
0.13635,-0.19737,-0.099904,-0.033708,-0.0052,-0.17532,0.025826,-0.10337,0.022245,-0.097331,-1
0.19682,-0.089363,-0.002433,0.002764,-0.10376,-0.05342,0.017641,0.061684,0.015162,0.050821,1
0.29689,-0.16298,-0.058726,0.019416,-0.048999,-0.13832,-0.089356,0.039979,0.083656,0.10982,-1
0.21288,-0.039682,0.045486,-0.10008,-0.04938,-0.045277,0.023428,0.06951,0.008844,-0.004257,-1
0.21091,-0.007646,0.03476,0.000131,0.036311,-0.032759,0.049108,0.043145,-0.047986,0.015193,-1
0.20091,-0.13359,-0.046558,0.015022,-0.017491,-0.13541,0.054658,0.025519,0.012404,-0.015213,-1
0.21633,-0.029257,0.07741,-0.001623,-0.036551,0.000818,0.025392,0.022588,-0.080769,0.004425,-1
0.26505,-0.012444,0.040374,0.018916,0.039659,0.016557,-0.041175,0.011048,0.041719,-0.003338,-1
0.20663,-0.11526,0.11877,-0.047473,0.076351,0.012657,0.051887,-0.087107,0.002312,0.034011,-1
0.18907,-0.039998,0.044615,0.013563,0.033104,-0.027763,0.051251,0.076436,-0.063196,0.001973,-1
0.22654,-0.028685,0.067536,0.026953,-0.006568,-0.00908,0.029497,0.039647,-0.038487,-0.017965,-1
0.29511,-0.10866,-0.094799,0.001622,-0.03719,-0.031857,0.016825,0.084991,0.1135,0.15344,-1
0.26511,-0.011539,0.031819,0.014987,0.027123,0.010007,-0.003181,0.010848,0.035209,0.008585,-1
0.22129,-0.014748,0.029667,0.020785,0.015308,-0.025806,0.037665,0.047703,-0.053456,-0.011088,-1
0.14213,-0.16159,0.15568,0.048786,0.11651,0.0278,0.13556,-0.060303,0.010334,-0.058509,-1
0.2252,-0.046059,0.052538,-0.022571,0.027701,-0.048399,0.039593,-0.009866,-0.063299,0.042958,1
-0.055983,-0.004454,0.25124,-0.68716,-0.012105,-0.15307,-0.026248,0.003268,-0.06833,0.1383,1
-0.24345,-0.55498,0.34737,0.048078,0.13129,-0.022937,0.019852,-0.10168,0.023977,-0.00435,1
0.2305,-0.042246,0.059382,0.000935,0.064602,-0.018204,-0.004405,0.031086,-0.017393,-0.013567,-1
0.08368,-0.10603,0.12029,-0.12964,-0.028357,-0.093405,-0.016122,-0.15468,-0.1851,0.24994,-1
0.15981,-0.09749,-0.079687,0.018685,-0.001368,0.016104,0.027733,0.098491,-0.074517,0.001278,-1
0.20144,-0.080217,-0.02146,0.01808,-0.055352,-0.09031,0.016508,0.018946,0.029654,-0.015014,-1
0.20518,-0.17123,-0.091013,-0.04197,0.13976,0.18444,-0.009612,0.022196,-0.12166,-0.019799,1
0.26966,-0.012542,0.078894,0.006446,-0.000639,0.041672,0.020519,0.005431,-0.010272,0.003003,-1
0.10291,-0.043837,-0.008419,0.028586,-0.009756,-0.040068,0.022099,0.042652,0.035524,0.039879,-1
0.27041,0.009311,0.065988,0.007509,0.048031,0.02331,0.031732,0.010673,-0.009096,0.001637,-1
0.26122,-0.1293,-0.07761,0.009659,-0.068602,-0.020627,0.018424,0.09667,0.10519,0.14688,-1
0.19207,-0.19577,-0.044356,0.022671,-0.036071,-0.031911,0.013045,0.13006,0.091365,0.15869,-1
0.078943,-0.19005,0.10672,-0.038904,0.005901,-0.042926,0.042726,-0.057875,-0.053015,0.057791,-1
0.20002,-0.14766,0.066753,-0.062251,-0.001246,-0.047828,-0.029651,-0.064723,0.000383,0.070733,-1
0.24518,0.007695,0.033788,0.015769,0.04616,-0.0097,0.037674,0.019265,-0.031216,-0.003256,-1
0.24588,-0.000293,0.040084,0.013952,0.047774,-0.011123,0.034989,0.040476,-0.027683,-0.012394,-1
0.27052,-0.028715,-0.014838,0.009046,-0.028785,-0.050251,0.022769,0.031167,0.007991,0.029434,-1
0.22263,-0.059197,0.06007,-0.000632,0.026222,-0.009814,0.029642,0.036908,-0.033089,-0.012657,-1
-0.08504,-0.19438,0.039176,0.006224,-0.057723,-0.003423,0.071446,-0.11644,0.018954,0.029163,1
0.18529,-0.31084,-0.33568,-0.1501,0.06422,0.15285,0.004011,-0.049828,-0.30607,-0.11199,1
0.28427,-0.058688,-0.01846,0.035158,-0.094998,0.006202,0.004345,0.002796,0.079795,0.035261,-1
0.23097,-0.057377,0.019054,-0.028593,-0.024662,-0.034912,0.00392,0.053353,0.02974,0.0516,-1
-0.24467,-0.48706,0.26597,0.25792,0.10066,-0.098277,-0.26634,0.005284,-0.068032,-0.035664,1
0.2483,-0.001657,0.032252,-0.002447,0.025586,-0.026311,0.038113,0.041921,-0.050545,0.008658,-1
0.24166,-0.006627,0.042977,0.003482,-0.014126,0.016353,0.028502,0.032867,-0.051031,-0.015026,-1
0.25121,-0.042736,0.010095,0.002446,-0.034017,-0.039898,0.027007,0.017729,-0.003847,0.012866,-1
0.24598,-0.027498,0.028123,0.007632,-0.019709,-0.021352,0.029472,0.025549,-0.043078,0.017659,-1
0.20776,-0.077114,-0.089753,-0.013966,-0.030125,-0.19016,0.003104,0.010228,-0.11041,-0.067004,-1
0.25331,-0.0597,0.063329,0.048235,0.024665,-0.005079,0.012466,0.038588,0.035073,-0.021813,1
-0.061079,-0.13307,0.26817,-0.56867,-0.050087,-0.088614,-0.021943,-0.029806,-0.061556,0.080377,-1
0.23924,-0.01575,0.060122,-0.007947,-0.00333,0.00245,0.021344,0.012085,-0.048878,0.001645,-1
0.1169,-0.10264,0.11476,-0.001985,-0.048961,-0.026777,0.047168,0.062093,-0.12496,0.036272,-1
