@relation T_TCAed_data_dim10_ML_for_JDT_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.19701,0.16787,-0.18546,-0.22379,-0.26264,-0.058723,0.072123,-0.021388,0.0087,0.029744,-1
-0.94805,-0.32407,-0.14727,0.29506,0.16243,0.024903,0.012075,-0.034365,0.015141,0.038902,1
-0.19389,0.29501,-0.11836,0.050588,-0.026246,0.008731,0.006291,0.016023,-0.011042,-0.02392,1
-0.64045,-0.10606,-0.030677,-0.02513,-0.11335,-0.018928,-0.20205,0.15885,0.016689,0.001137,-1
-0.51182,-0.094946,0.051938,0.040831,-0.039128,-0.014092,-0.079077,0.025881,0.011052,0.001225,-1
-0.43634,0.12331,0.12734,0.083297,-0.0552,-0.024669,0.037296,0.045869,-0.016346,-0.010526,-1
-0.76911,-0.35607,-0.17686,-0.29269,-0.39719,-0.10472,0.25094,-0.1169,-0.022621,-0.06707,-1
-0.22662,0.2525,-0.1346,0.037897,-0.036451,-0.005587,-0.055195,-0.00255,-0.001775,0.007762,-1
-0.57964,0.00221,0.038447,0.12801,0.0121,-0.004397,0.040916,0.019502,-0.012379,-0.006361,-1
-0.31221,0.16649,-0.19465,0.089716,-0.025648,0.000661,-0.016892,-0.028325,-0.034722,-0.044983,-1
-0.39945,0.038712,0.1059,0.11041,-0.091565,-0.038587,0.031277,-0.005621,0.028138,0.064573,-1
-0.25035,0.2697,-0.099298,0.048657,-0.03699,0.003072,0.00342,0.007717,-0.01855,-0.037851,-1
-0.36084,0.1661,0.20513,0.069119,-0.11125,0.14386,0.013884,-0.017925,-0.033367,-0.001043,-1
-0.019306,0.22961,-0.094249,-0.046899,0.018768,-0.001202,-0.042581,0.0035,0.026617,0.012066,-1
-0.21302,0.20697,-0.10286,0.024378,-0.02642,-0.006511,-0.007075,-0.009805,-0.004768,-0.036076,1
-0.20312,0.26404,-0.11195,0.030461,-0.022004,-0.005913,-0.029591,-0.018644,-0.012934,-0.011358,-1
-0.47215,0.10332,0.11168,0.072065,-0.055021,-0.01886,0.030801,0.037127,-0.025167,-0.027646,-1
-0.48981,0.042356,0.1053,0.062049,-0.053728,-0.015354,-0.017356,0.011531,-0.012733,-0.049272,-1
-0.20407,0.29554,-0.12387,0.050796,-0.030269,0.00707,0.006479,0.016535,-0.016453,-0.024059,-1
-0.19578,0.24544,-0.12428,0.052261,-0.000573,0.008685,0.010391,0.002648,-0.013001,-0.030304,-1
-0.25167,0.24132,-0.14577,0.058188,-0.011526,0.003581,-0.037067,-0.012287,-0.010155,-0.0222,-1
-0.19221,0.26995,-0.084767,0.076466,-0.065578,-0.051515,-0.14669,-0.15114,-0.054909,-0.025083,-1
-0.10344,0.25331,-0.096965,-0.019642,0.011367,0.008723,-0.031626,-0.016753,0.036819,0.040295,-1
-0.19914,0.27299,-0.13012,0.028737,-0.042317,0.008744,-0.02408,0.044139,-0.00683,-0.026343,-1
-0.43087,0.11847,0.13026,0.09668,-0.071482,-0.027584,-0.002587,-0.000151,0.002338,0.030146,-1
-0.8102,-0.2188,-0.16542,0.021516,-0.080467,-0.019108,-0.12724,0.10241,0.003021,0.024183,-1
-0.91944,-0.26988,-0.13464,0.12652,0.14253,0.006436,0.016817,-0.075263,-0.0317,0.007907,-1
-0.30104,0.23874,-0.096353,0.050066,-0.11135,-0.056596,-0.18781,-0.10904,-0.060812,-0.047699,-1
-0.3045,0.15644,-0.23998,-0.071,-0.15729,0.040463,-0.22362,0.21933,0.036149,-0.031791,1
-0.50147,-0.084838,-0.29695,0.087532,0.10774,0.044368,-0.042447,-0.040761,0.000966,-0.062135,-1
-0.63438,-0.034721,0.014664,0.13033,0.014905,0.005908,0.029111,0.005069,-0.020602,-0.045021,-1
-0.43429,0.14142,0.12522,0.058355,-0.097281,-0.042187,0.012027,0.024963,-0.032136,-0.013917,-1
-0.45119,0.025329,0.1082,0.099523,-0.0404,-0.020561,-0.01518,-0.016336,0.005311,0.027938,-1
-0.45223,0.046268,0.15121,-0.065416,-0.20515,0.10391,-0.14098,0.19342,0.012918,-0.032797,-1
-0.5345,-0.010509,0.021367,0.11532,-0.055417,-0.024871,0.009813,-0.022997,-0.037815,0.014534,-1
-0.5155,-0.00865,0.083706,0.012928,-0.086213,-0.012036,-0.024713,0.036185,-0.029741,-0.091955,-1
-0.55744,0.014459,0.055399,0.11497,-0.015001,-0.021052,0.018154,-0.024619,-0.01433,0.001171,-1
-0.50862,0.061584,0.088852,0.11553,-0.041323,-0.026594,-0.002898,-0.02306,-0.006627,0.019862,-1
-0.44676,0.14011,0.12151,0.098417,-0.066279,-0.02199,0.034405,0.053738,-0.017695,-0.00785,-1
-0.45596,0.12077,0.15845,0.07978,-0.092065,-0.044487,-0.002547,0.009155,-0.012513,0.001662,-1
-0.66645,-0.1087,-0.024609,0.014125,-0.074895,-0.010145,0.072748,-0.010555,-0.042457,-0.085509,-1
-0.19975,0.2962,-0.12208,0.057709,-0.030241,0.008506,0.007779,0.017794,-0.017791,-0.021477,-1
-0.12969,0.22989,-0.11633,0.044392,0.005093,0.009116,0.002197,-0.005354,0.014547,0.000231,1
-0.19389,0.29501,-0.11836,0.050588,-0.026246,0.008731,0.006291,0.016023,-0.011042,-0.02392,1
-0.72825,-0.1851,-0.032413,0.11838,0.061887,0.012068,-0.01999,-0.08592,0.018041,0.041495,-1
-0.4652,0.10996,0.12191,0.10516,-0.053737,-0.026041,-0.007109,0.017996,-0.013023,-0.006809,-1
-0.64439,-0.1912,-0.034437,0.1251,0.037984,0.000363,0.078568,-0.027068,-0.022751,-0.022169,1
-0.29088,-0.00924,0.12066,0.056149,-0.080178,-0.023906,0.005776,-0.01523,0.079106,0.13559,-1
-0.53532,0.032549,0.089633,0.11801,-0.008779,-0.021298,0.010292,-0.013113,-0.008573,0.009732,-1
-0.26418,0.21377,-0.14447,0.0583,0.006524,0.011578,-0.029854,-0.036957,0.000134,-0.014549,-1
-0.20204,0.29474,-0.12269,0.054679,-0.029477,0.008076,0.007403,0.016875,-0.016389,-0.023445,-1
-0.44808,0.11479,0.11468,0.097961,-0.053201,-0.019438,0.024073,0.047943,-0.021859,-0.033829,1
-0.44541,0.12776,0.11883,0.076379,-0.08806,-0.034799,-0.022231,0.052139,-0.015752,-0.003658,-1
-0.21261,0.31584,-0.14191,0.043325,0.045794,0.006001,0.018139,0.12635,-0.4194,0.2637,1
-0.65776,-0.087787,0.011536,0.14382,0.025261,-0.007366,-0.016714,-0.008941,0.011371,0.025169,-1
-0.17598,0.27343,-0.14604,-0.040279,-0.10407,-0.021175,0.07971,-0.015852,-0.024568,-0.016436,-1
-0.52791,0.075882,0.078711,0.10594,-0.067504,-0.019937,-0.019893,0.036257,-0.018318,-0.011297,-1
-0.49813,0.022153,0.086361,0.12403,-0.028053,-0.015067,-0.005865,-0.043665,0.023074,0.058422,-1
-0.44936,0.1286,0.11615,0.078439,-0.088376,-0.028645,-0.022591,0.050641,-0.015132,-0.001241,-1
-0.46754,0.018547,0.085707,0.081029,-0.029016,-0.02961,-0.048271,0.01137,0.022805,0.031105,-1
-0.22322,0.26898,-0.13568,0.060344,-0.011765,0.012019,0.012851,0.012431,-0.01218,-0.023238,-1
-0.61828,-0.12417,0.007485,0.096964,0.020071,0.01044,0.027309,0.00456,-0.00158,-0.06455,-1
-0.22351,0.17794,-0.11319,-0.050984,-0.028656,0.020362,-0.009692,0.017017,-0.005624,-0.095694,-1
-0.65808,-0.09075,0.007898,0.091987,0.009026,0.016155,0.025165,0.017706,-0.023915,-0.081128,-1
-0.49651,0.04179,0.087648,0.10393,-0.020661,-0.026032,-0.019608,-0.005362,0.009455,0.030707,-1
-0.7236,-0.078249,-0.017457,0.10607,-0.074084,-0.031513,0.083349,-0.083283,-0.034254,0.005652,-1
-0.47164,0.071217,0.11275,0.094507,-0.028251,-0.026079,-0.010036,-0.003017,-0.006389,0.018437,-1
-0.27877,0.24492,-0.16334,0.090718,-0.002627,0.0164,0.010757,0.011185,-0.014651,-0.017842,1
-0.53143,0.030047,0.10025,-0.053122,-0.19314,-0.00285,-0.001125,0.096867,-0.005713,-0.090764,-1
-0.25631,0.21509,-0.10728,0.000996,-0.16057,-0.083212,-0.14969,-0.137,-0.056313,-0.02674,-1
-0.16831,0.27102,-0.091429,0.02788,0.024461,0.017418,-0.019524,0.043183,-0.008758,-0.11034,1
-0.48684,0.033558,0.050759,-0.022868,-0.13373,-0.022905,-0.097085,0.10884,-0.007319,-0.002647,-1
-0.39165,-0.032038,0.025397,-0.16674,-0.12779,-0.014765,0.02854,0.059138,-0.001224,-0.060343,-1
-0.25818,0.2305,-0.078283,0.05603,-0.095279,-0.058089,-0.16928,-0.13903,-0.054256,-0.031968,-1
-0.53501,-0.024435,0.041097,0.006896,-0.071083,0.005291,-0.050027,0.098563,-0.013285,-0.11009,-1
-0.26549,0.16196,-0.20777,-0.12236,-0.14874,-0.006542,0.078726,-0.005107,-0.019386,-0.065357,-1
-0.23232,0.2911,-0.094617,0.083626,-0.072913,-0.052018,-0.14112,-0.14363,-0.067658,-0.036505,-1
-0.2343,0.21754,-0.1425,0.04052,-0.012263,-0.000734,-0.030136,-0.052908,-0.001257,0.01193,-1
-0.50562,0.13643,0.15977,0.1173,-0.16063,-0.13064,-0.25781,-0.25964,-0.1516,-0.080293,1
-0.46447,0.11694,0.12282,0.093887,-0.0633,-0.024121,0.001913,0.006688,-0.023149,-0.009236,-1
-0.44688,0.10151,0.10372,0.040711,-0.14489,-0.053638,0.063702,-0.017032,-0.023279,0.007048,-1
-0.19216,0.24424,-0.11319,0.034866,0.027065,0.017781,0.014414,0.003499,-0.021579,-0.049035,1
-1.1897,-0.84978,-0.47107,0.30209,0.25281,0.085919,0.12732,-0.04204,0.10933,0.18676,-1
-0.48373,0.089601,0.093869,0.11684,-0.055509,-0.012121,0.036333,0.022507,-0.012464,-0.004871,-1
-0.48496,0.16592,0.16328,0.11718,-0.13142,-0.090897,-0.13836,-0.12618,-0.089627,-0.025934,-1
-0.20198,0.29486,-0.12442,0.054564,-0.029431,0.008248,0.007225,0.018013,-0.01976,-0.020246,-1
-0.20109,0.29104,-0.11994,0.052587,-0.025859,0.008255,0.009985,0.01341,-0.016129,-0.025579,-1
-0.086243,0.23912,-0.080437,-0.029126,0.017912,0.008668,-0.025418,-0.032259,0.046993,0.049137,-1
-0.21562,0.28034,-0.13275,0.059938,-0.017504,0.011961,0.003212,0.015024,-0.010618,-0.021854,1
-0.45334,0.12594,0.13431,0.086411,-0.066796,-0.034438,-0.001095,0.005084,-0.020749,0.003869,-1
-0.18576,0.21035,-0.12848,-0.00387,-0.027097,0.024652,-0.014458,0.0347,-0.004952,-0.088348,-1
-0.31092,0.14576,-0.1931,0.12774,0.011621,0.004057,-0.006589,-0.042106,-0.01831,-0.014048,-1
-0.16666,0.28388,-0.11298,0.044738,-0.004323,-0.0053,0.004048,0.019654,-0.011368,-0.047443,1
-0.23368,0.29957,-0.14096,0.05576,0.016318,0.008567,0.01444,0.077634,-0.23637,0.13673,-1
-0.92133,-0.26194,-0.17094,0.14786,0.042505,0.00671,0.1013,-0.049123,-0.040441,-0.029608,1
-0.31883,0.20233,-0.11276,0.050391,-0.049825,-0.011248,-0.042269,0.013912,-0.011525,-0.042293,1
-0.66102,-0.098284,-0.01682,0.14756,0.011886,-0.005245,-0.001072,0.062451,0.008286,0.013204,-1
-0.19973,0.26624,-0.13369,0.064837,-0.021381,0.009235,0.007036,0.003219,0.000654,0.00055,-1
-0.21109,0.2898,-0.1129,0.050632,-0.035016,-0.002448,-0.032367,-0.023405,-0.016421,-0.012248,-1
-0.2543,0.26554,-0.16204,0.077693,-0.015281,0.013207,0.006312,0.020285,-0.034497,0.001348,-1
-0.6681,-0.11624,-0.033278,-0.08861,-0.061658,-0.052449,0.035613,-0.06868,-0.043455,0.001763,-1
-0.68925,-0.22973,-0.086564,0.13611,0.032878,-0.003617,0.078535,-0.000504,-0.01502,-0.023989,1
-0.34347,0.18213,0.32146,-0.0199,-0.19664,0.71238,0.023226,-0.14032,-0.11549,-0.067414,-1
-0.60667,0.006368,0.046257,0.12479,-0.021755,-0.007461,0.000168,-0.014731,-0.017857,0.009166,-1
-0.81419,-0.18429,-0.10351,0.13648,0.003624,-0.004446,0.10099,-0.031725,-0.031447,-0.012573,1
-0.1952,0.29403,-0.11912,0.04649,-0.02547,0.007819,0.00513,0.015702,-0.011697,-0.024759,1
-0.45364,0.11484,0.12563,0.091552,-0.074212,-0.022321,-0.001165,0.006394,-0.012914,0.003686,-1
-0.5032,0.013633,0.08882,0.050671,-0.014915,-0.025695,-0.078284,0.064479,0.014005,-0.037599,-1
-0.31864,-0.16463,0.074086,0.033938,-0.031734,-0.002009,0.1083,0.020672,0.049433,0.040718,-1
-0.22391,0.27104,-0.12772,0.063606,-0.017883,0.007381,-0.041424,-0.003701,-0.010585,-0.03645,-1
-0.062427,0.20208,-0.075317,-0.049364,0.048859,0.016074,-0.043945,0.041878,0.002364,-0.082208,-1
-0.53305,0.031201,0.077702,0.07589,-0.064557,-0.012034,-0.027529,0.017372,-0.024747,-0.050269,-1
-0.26634,0.20446,-0.18463,0.012976,-0.050824,0.016585,-0.069198,0.083915,0.004826,-0.03059,-1
-0.6207,-0.11994,-0.028613,0.076075,-0.067814,-0.009699,0.09723,-0.011263,-0.050737,-0.060686,-1
-0.48233,0.072622,0.1256,0.051564,-0.090386,0.1327,0.024001,0.012307,-0.038353,-0.053398,-1
-0.25107,0.033781,-0.33848,-0.53699,-0.54167,-0.12431,0.4003,-0.14498,-0.030784,-0.018436,-1
-0.19178,0.21042,-0.13956,0.035961,0.02878,0.014573,-0.001793,0.019039,-0.010436,-0.066703,-1
-0.18729,0.24937,-0.047191,0.00467,-0.050025,0.14186,-0.00273,-0.016679,-0.0091,-0.027465,-1
-0.47444,0.12871,0.11809,0.099216,-0.071341,-0.019983,0.034122,0.042155,-0.023119,-0.013813,-1
-0.45642,0.13145,0.11626,0.11041,-0.078626,-0.022716,0.012636,0.011978,-0.030596,-0.00156,1
-0.27989,0.26279,-0.074706,0.073766,-0.074143,-0.060012,-0.15175,-0.14681,-0.067177,-0.05057,-1
-0.99304,-0.30906,-0.19895,0.24512,0.098902,0.030874,0.06459,-0.013572,-0.002877,0.03377,-1
0.006716,0.22843,-0.049225,-0.10302,0.06129,0.022641,-0.023375,-0.028408,0.0928,0.12132,-1
-0.52248,0.064338,0.10265,0.11688,-0.030775,-0.011803,0.001951,-0.021621,-0.009765,0.007981,-1
-0.50118,-0.15042,-0.001898,0.035218,-0.069667,-0.018512,-0.000215,0.005238,0.060988,0.12158,-1
-0.44802,0.096533,0.12138,0.10272,-0.058078,-0.026749,-0.008722,-0.008877,0.006701,0.034709,-1
-0.2604,0.23789,-0.10979,0.028547,-0.042311,0.012806,-0.005153,0.022404,-0.013243,-0.066877,-1
-0.55123,0.030551,0.055745,0.062358,-0.078195,-0.021119,-0.048645,0.06275,-0.008348,-0.021084,-1
-0.25277,0.23138,-0.075499,0.046679,-0.086842,-0.059163,-0.17123,-0.13569,-0.052734,-0.045084,-1
-0.51503,0.045705,0.092758,0.10649,-0.029518,-0.02646,-0.002933,0.003256,-0.006784,0.008875,-1
-0.36713,0.15217,0.12758,0.062781,-0.067388,-0.019669,0.029909,0.032723,-0.013711,-0.008859,-1
-0.16748,0.28162,-0.11624,0.04686,-0.022792,0.006276,0.006202,0.001858,0.002936,-0.001837,-1
-0.31745,0.24331,-0.097904,0.10256,-0.15807,-0.09563,-0.2811,-0.26972,-0.13321,-0.09213,-1
-0.99983,-0.48504,-0.2723,0.14391,0.18162,0.018199,-0.016993,-0.054743,-0.029957,-0.007791,1
-0.48853,0.10212,0.099848,0.098731,-0.050774,-0.016925,0.036772,0.036335,-0.019023,-0.011561,-1
-0.38876,0.16858,0.1241,0.070673,-0.070198,-0.017812,0.031465,0.044191,-0.027967,-0.027028,1
-0.92536,-0.32775,-0.14659,0.19909,0.10525,0.035118,-0.026346,-0.022513,-0.008411,-0.052964,-1
-0.47443,0.12969,0.15387,0.12329,-0.11118,-0.084036,-0.12767,-0.12405,-0.073185,-0.01479,-1
-0.49027,0.1127,0.14302,0.11164,-0.12268,-0.08126,-0.13404,-0.11921,-0.073961,-0.026719,-1
-0.70574,-0.11782,-0.035005,0.17057,0.070281,0.016436,0.039513,0.006161,-0.000963,-0.016771,-1
