@relation T_TCAed_data_dim10_PDE_for_LC_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.015069,0.13948,-0.063394,-0.091752,-0.29407,-0.10012,-0.014491,-0.04112,-0.10712,-0.11071,-1
-0.26801,-0.014779,-0.17187,0.15117,-0.020609,-0.020633,-0.07843,-0.065077,-0.013755,-0.02061,-1
-0.0122,0.33931,0.021724,0.21269,-0.050382,-0.013599,-0.072321,-0.029858,0.045149,0.06333,-1
0.086366,0.22053,0.10017,0.17626,-0.069783,-0.048573,-0.066457,-0.047921,0.052634,0.000562,1
0.10019,0.36354,0.10995,0.053134,0.12743,-0.30966,-0.13644,-0.020899,-0.003956,0.04483,-1
0.067968,0.31715,0.10248,0.11409,0.006696,0.030894,-0.032281,0.027737,-0.001602,0.037481,1
0.094252,0.3183,0.10211,0.15528,-0.06516,-0.034582,-0.060737,-0.091222,0.051863,-0.016191,1
0.059734,-0.06966,-0.040045,0.1412,-0.048336,-0.04768,-0.039703,-0.053073,-0.010634,-0.027593,-1
-0.094103,0.009867,-0.009785,0.14074,-0.015558,0.002258,-0.067362,-0.025659,0.04801,-0.021916,-1
0.098352,-0.10012,0.048065,0.13182,-0.047159,-0.042277,-0.025642,-0.04494,0.00903,-0.020718,-1
0.051214,-0.10673,0.047384,0.11125,-0.042395,-0.033522,-0.009026,-0.04406,0.027858,-0.017081,-1
0.076618,0.001728,-0.029476,0.14823,-0.05091,-0.044505,-0.042017,-0.060005,-0.006358,-0.010904,1
0.11347,-0.083891,0.019754,-0.072975,-0.30896,-0.076314,-0.14878,-0.04771,-0.002117,0.002438,-1
-0.56549,0.19991,-0.17944,0.17761,-0.014492,-0.028377,-0.11521,-0.006587,-0.027511,0.053658,-1
-0.071219,0.41593,-0.086869,0.12179,-0.032615,-0.027427,-0.011244,0.022696,-0.000605,0.028268,1
0.1104,0.27772,0.11939,0.12325,-0.029108,-0.13576,-0.027966,-0.085151,-0.013631,-0.03889,-1
-0.21083,-0.047048,-0.088241,0.14912,-0.042425,-0.080403,-0.011978,-0.023818,-0.013847,-0.019153,-1
-0.026704,-0.080996,-0.026347,0.1115,-0.027761,-0.066015,-0.033162,-0.052706,0.009605,-0.033782,1
0.09617,0.13068,0.10958,0.019306,0.14391,-0.41429,-0.15518,-0.033945,0.031235,0.032758,-1
-0.000612,0.92403,0.17817,0.063269,-0.28183,-0.13147,-0.027718,-0.14875,-0.039962,-0.027064,1
-0.12996,0.003038,-0.045904,0.13152,-0.039985,-0.078422,0.092188,0.060272,0.063601,0.042704,1
0.061893,0.098658,0.063199,0.15704,-0.02617,0.003218,-0.073882,-0.027869,0.066119,0.048911,-1
-0.048459,0.095432,-0.093727,0.13545,-0.036166,-0.055762,-0.060959,-0.052195,-0.018926,-0.039915,-1
-0.025213,0.024188,-0.026017,0.14275,-0.027631,-0.032654,-0.043769,-0.070577,0.041784,0.017032,-1
0.017107,-0.11274,-0.2889,-0.15154,-0.08595,-0.4238,-0.29229,0.038491,-0.009349,0.098423,-1
0.056546,-0.2558,0.000883,-0.14317,0.36931,-0.67842,-0.26656,0.1235,0.11601,0.26256,-1
0.10405,-0.020798,0.062037,0.14692,-0.045848,-0.030416,-0.040206,-0.026371,0.018604,0.005905,-1
-0.41144,0.59447,-0.22746,0.139,0.030327,0.1157,-0.14186,0.084999,0.082421,0.09003,-1
