@relation T_TCAed_data_dim10_PDE_for_ML_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.20765,0.1309,-0.11119,0.047823,0.15332,0.017582,-0.02157,0.066894,-0.046464,-0.052528,-1
0.33134,0.13879,0.015783,0.12241,-0.02803,-0.001946,-0.039742,0.077705,0.031521,0.043597,-1
0.26491,0.12666,-0.21469,-0.037072,-0.1131,0.016648,0.063059,-0.050258,0.024948,-0.023998,-1
0.1683,0.19249,-0.1342,-0.088274,-0.03775,0.021587,0.034394,-0.038484,-0.012191,-0.006282,1
0.13597,0.10991,-0.23891,-0.11723,-0.016151,0.12829,-0.33275,-0.30683,-0.11006,-0.034128,-1
0.13115,0.13364,-0.23632,-0.10197,-0.099382,-0.019074,0.046784,-0.080081,0.082371,-0.038145,1
0.15667,0.19358,-0.17639,-0.1052,-0.024564,0.008426,0.03064,-0.030154,-0.025994,0.005984,1
0.1857,0.2307,0.034748,0.010732,0.00509,0.010991,-0.007223,0.033725,-0.006821,0.018312,-1
0.22039,0.19352,-0.03451,0.004795,-0.039551,0.010748,0.012188,0.0066,0.025593,-0.010046,-1
0.14952,0.24322,0.062595,-0.054906,0.016541,0.009226,0.012894,0.009626,-0.01467,0.006952,-1
0.16245,0.23683,0.060435,-0.045836,0.016246,0.019638,0.012709,0.012323,-0.027866,-0.000975,-1
0.18733,0.22135,0.003854,0.006531,-0.003574,0.008872,0.000494,0.026855,-0.01913,0.018515,1
0.18151,0.2311,0.018902,-0.011083,0.05009,-0.013884,0.007499,0.04359,-0.070328,-0.088473,-1
0.59998,-0.074235,-0.068421,0.097968,-0.11123,0.020618,-0.065349,0.051979,0.076047,0.023109,-1
0.303,0.10953,-0.32753,0.068768,-0.041406,0.03824,0.033985,-0.017739,0.013347,-0.0142,1
0.16068,0.1716,-0.19235,-0.12657,0.029384,0.027134,-0.066229,-0.059084,-0.064853,0.021902,-1
0.35647,0.10882,0.047346,0.065428,0.039766,0.03784,0.005881,0.021067,0.014847,0.039627,-1
0.20847,0.20645,0.035231,0.011206,0.007466,0.016183,-0.014627,0.03644,-0.018096,0.022385,1
0.1032,0.15149,-0.080085,-0.1059,-0.002162,0.18355,-0.38445,-0.30624,-0.10229,-0.029545,-1
0.22658,-0.017635,-0.68271,-0.13414,0.046981,-0.084359,0.10071,-0.006301,-0.34468,0.11396,1
0.337,0.0789,-0.006448,0.081793,0.10321,0.089721,0.079183,-0.086954,0.021422,0.000191,1
0.17472,0.2148,-0.085897,-0.064877,-0.078582,0.013571,0.042684,-0.044549,0.034466,-0.049487,-1
0.24855,0.18051,-0.082897,0.059203,-0.021517,0.022611,-0.033967,0.045012,-0.005209,0.014846,-1
0.20815,0.20213,-0.018537,0.005611,-0.021435,0.023933,-0.006204,0.02232,-0.000366,0.008792,-1
0.18501,0.14713,0.015871,0.21594,-0.018633,0.19893,-0.49804,-0.22001,-0.095032,-0.10894,-1
-0.041113,0.09607,0.16094,-0.025161,-0.082966,0.47457,-0.88038,-0.66907,-0.15118,-0.12892,-1
0.15017,0.2261,0.013335,-0.06669,-0.004835,0.002866,0.015896,-0.004359,0.001116,-0.001313,-1
0.44513,0.022214,-0.48985,0.20468,-0.21448,-0.009726,0.050282,-0.069664,0.13821,-0.051687,-1
0.15354,0.24058,0.03898,-0.063826,0.01083,0.018343,0.019754,0.004138,-0.025771,0.005956,-1
0.16685,0.21247,-0.081754,-0.099467,0.011553,0.015895,0.025965,-0.003753,-0.040693,0.008635,-1
0.15753,0.23094,0.035351,-0.050524,0.004388,0.020809,0.004366,0.006309,-0.015127,-0.002702,-1
0.16441,0.22531,0.007337,-0.074161,0.021627,0.00289,0.022551,0.004598,-0.029018,0.018975,-1
0.20937,0.10589,-0.3543,-0.14557,-0.028876,0.012982,-0.031244,-0.10314,-0.037249,0.002062,-1
0.15214,0.23213,0.010036,-0.073135,0.03803,0.001536,0.008448,0.017246,-0.024301,0.002862,1
0.1449,0.23199,0.04461,-0.056776,0.005285,0.011316,0.006849,0.00328,-0.006825,0.005548,-1
0.21367,0.16117,-0.082659,-0.00374,-0.032213,0.029294,0.007084,0.019253,-0.048593,-0.006685,-1
0.084851,0.15985,-0.12304,-0.086873,-0.097606,0.17061,-0.42001,-0.33298,0.029816,-0.041606,-1
0.17724,0.2239,-0.13989,-0.11283,-0.009994,-0.019963,0.009203,-0.00249,0.047879,-0.039512,-1
0.22192,0.16398,-0.11461,-0.011143,-0.024714,0.022151,0.025247,0.028357,-0.085148,0.027504,-1
0.16104,0.20783,-0.05219,-0.062823,-0.052159,0.024813,0.013783,-0.03576,0.020094,-0.029395,1
0.2555,0.18555,0.03174,0.069921,0.027067,0.076021,0.006456,0.03811,-0.057155,-0.019857,-1
0.16654,0.24465,0.05517,-0.054142,0.022608,0.020268,0.018203,0.010993,-0.048534,0.020222,1
0.16115,0.18357,-0.14958,-0.11453,0.032372,0.035636,-0.10351,-0.081583,-0.049134,-0.013711,-1
0.37711,0.095323,-0.15138,0.18533,0.033309,0.11908,-0.002303,0.019334,0.028039,0.02098,-1
0.25892,0.13371,-0.19701,0.061109,-0.045823,0.074078,0.010939,0.032437,-0.12706,-0.048746,-1
0.19422,0.13633,-0.21793,-0.12698,0.017414,0.032229,-0.14277,-0.10609,-0.062498,0.051132,-1
0.701,-0.075272,-0.095605,0.43776,-0.029794,0.096257,-0.082547,0.15541,0.056302,0.07879,-1
0.1471,0.24272,0.042568,-0.062687,0.013004,0.013835,0.01299,0.005513,-0.017878,0.013133,-1
0.26114,0.15997,-0.11005,0.037378,-0.055301,0.00402,-0.016791,0.024066,0.019958,0.018352,1
0.17003,0.21757,-0.052027,-0.084371,-0.021024,0.005764,0.023042,-0.020651,0.018815,-0.026387,-1
0.22369,0.18579,-0.043781,0.021719,0.000269,0.038646,-0.021193,0.035929,-0.035644,-0.004299,-1
0.34547,0.075343,-0.1331,0.054132,0.004915,0.064571,0.001075,0.021971,-0.07242,0.024404,-1
0.16235,0.23024,-0.021285,-0.070179,-0.043509,0.016593,0.011742,-0.022261,0.031268,-0.019738,-1
0.17062,0.21551,-0.047378,-0.081187,-0.000438,0.002259,0.008844,-0.005907,0.00276,-0.000749,1
0.28913,0.097078,-0.11225,-0.003281,-0.006023,0.06426,0.041952,-0.006,-0.061461,-0.002909,-1
0.69403,-0.16852,-0.075658,-0.032769,-0.076618,0.045851,-0.048257,0.029694,-0.016729,0.008108,-1
0.34313,0.096686,0.007203,0.1314,0.000276,0.060984,-0.085354,0.008085,0.001947,0.029528,-1
0.22982,0.19974,0.000154,0.045107,0.021756,-0.024039,-0.012068,0.055098,-0.041482,-0.076985,-1
0.48706,0.01163,0.033108,0.14749,-0.053613,-0.01798,-0.07301,0.097062,0.011597,0.034021,-1
0.16043,0.23622,0.022483,-0.066997,-0.007995,0.00979,0.00733,-0.004849,0.008202,-0.001099,1
0.21479,0.11893,-0.30534,0.043791,-0.073228,-0.020859,-0.030071,-0.000914,0.002885,0.047809,-1
0.16176,0.23339,0.023069,-0.064221,-0.013222,0.01255,0.01778,-0.009654,0.017203,-0.00874,-1
0.15298,0.22487,-0.020053,-0.063621,-0.021655,0.005525,0.030062,-0.017343,-0.002613,-0.006824,-1
0.19439,0.17081,-0.42532,-0.1135,-0.27162,-0.028877,0.10566,-0.13911,0.17627,-0.12711,-1
0.18823,0.08497,-0.44238,-0.17303,0.010523,-0.012368,0.054315,-0.033587,-0.14877,0.094705,1
0.17223,0.23416,-0.1632,-0.080178,-0.15917,-0.006874,0.038588,-0.089051,0.16417,-0.08441,-1
0.13864,0.010404,-0.80907,-0.22202,-0.12811,-0.085304,0.10396,-0.182,-0.098243,0.089827,1
0.44814,-0.001174,-0.51065,0.21136,-0.10498,0.005235,0.03426,-0.006564,-0.002269,-0.012438,-1
0.17454,0.18029,-0.18398,-0.087722,-0.056117,-0.002714,0.053847,-0.047199,-0.029317,-0.007891,-1
0.26807,0.17438,0.045616,0.049801,-0.013675,-0.00104,-0.032511,0.062045,-0.001487,0.028565,-1
0.16111,0.23842,0.064645,-0.042211,0.015011,0.020794,0.017727,0.013241,-0.035635,-0.001535,-1
0.17405,0.20583,-0.11411,-0.07131,-0.026698,0.021104,0.022084,-0.029062,-0.035043,0.007247,-1
0.1415,0.22729,0.013076,-0.062295,-0.008517,0.009616,0.017552,-0.007589,-0.006479,-0.000938,-1
0.21893,-0.13518,-0.58092,-0.007061,-0.036099,0.011912,0.15456,-0.16726,0.080586,-0.034435,1
0.16038,0.24161,0.062139,-0.055873,0.016746,0.009076,0.01507,0.008166,-0.015357,0.008118,-1
0.18206,0.21622,-0.005121,-0.00596,0.065081,-0.01033,0.010267,0.034731,-0.09093,-0.042638,-1
0.31208,0.18158,-0.046154,0.28417,-0.032111,0.004225,-0.086631,0.14129,0.022349,0.067491,-1
0.20889,0.2091,0.033894,-0.00505,-0.002967,0.011845,-0.003494,0.030224,-0.018371,0.017506,-1
0.20779,0.23202,0.005533,0.010753,0.089426,0.040505,0.032942,0.010432,-0.019621,-0.093443,-1
0.41237,-0.11384,-0.92354,0.057699,0.047646,0.068427,0.12003,-0.026873,-0.21643,0.070847,-1
0.15753,0.21721,-0.040694,-0.091172,0.042895,0.008486,-0.005555,0.009047,-0.017842,0.018248,-1
0.4546,0.007615,-0.58081,0.20228,-0.23559,-0.039043,0.062113,-0.059082,0.1429,-0.06039,-1
