@relation S_TCAed_data_dim10_Safe_for_Zxing_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.17698,-0.30187,0.10417,0.40242,-0.20304,-0.054519,-0.020367,0.013774,0.070207,0.019697,-1
0.73906,0.73991,0.13009,-0.26737,-0.09239,-0.11603,0.11269,0.03578,-0.08335,-0.13102,1
-0.24836,-0.24109,0.016834,0.10515,0.023231,-0.023507,-0.16428,-0.15737,0.12568,-0.17988,-1
0.28884,0.38,0.076989,-0.14888,-0.046372,0.001064,0.1069,-0.062414,0.027372,0.006425,1
0.45468,0.18856,0.093537,-0.008146,-0.090244,0.02019,0.082857,-0.036838,-0.068316,0.008728,1
0.88734,0.059116,0.056306,0.19459,0.15697,0.013672,0.15607,0.11319,-0.006201,0.015645,1
0.85714,0.90009,0.12246,-0.45794,-0.014886,0.060244,0.1411,-0.2071,0.021778,0.075963,1
0.12308,0.094666,0.038495,0.33958,0.3955,-0.14171,0.15261,0.20271,-0.028337,0.21623,1
0.99631,0.094899,0.029484,0.11927,0.010618,-0.057998,0.015558,0.05844,-0.052129,0.061328,1
0.46788,0.48168,0.071113,-0.23614,-0.005627,0.009427,0.14692,-0.059063,0.051495,-0.072431,1
-0.18552,-0.073565,0.04513,0.004209,0.085938,-0.053655,-0.031946,-0.006851,0.048931,-0.04509,1
0.34447,0.20579,0.075314,-0.01367,-0.052452,-0.036306,0.10831,0.025142,0.035128,-0.015936,-1
0.13854,-0.012591,0.088819,0.023743,-0.038546,0.040207,0.09219,0.001736,0.10577,-0.034593,1
0.19739,-0.027873,0.027332,-0.006264,-0.18256,-0.055102,-0.13,0.008991,-0.24475,0.09966,-1
0.13617,-0.20688,-0.008806,0.011949,-0.1273,0.11306,-0.18806,0.004762,-0.1016,0.13465,-1
-0.43861,-0.37297,0.12526,-0.10443,-0.030859,0.044142,-0.029671,-0.025609,0.071809,-0.019662,1
-0.69453,-0.059872,0.052562,-0.060171,-0.036734,0.069682,-0.063343,-0.005046,0.066273,-0.013677,1
-0.060744,-0.063983,0.061706,0.003134,0.13474,0.062986,-0.050629,-0.023396,0.059245,0.002758,-1
-0.31125,-0.13462,-0.83811,-0.014184,-0.06975,0.12416,-0.004168,-0.000887,-0.026269,-0.093982,-1
-0.39296,-0.32044,0.098645,-0.008189,0.058154,0.014723,-0.005913,0.027779,-0.038255,0.031763,-1
-0.50529,-0.39394,0.10641,-0.072044,-0.042762,-0.002514,-0.021409,-0.02454,0.004237,-0.000251,-1
0.435,-0.21483,0.10132,-0.10957,0.017576,0.069154,0.029707,0.14636,-0.083202,-0.012185,-1
-0.48481,-0.35949,0.11041,-0.074856,-0.048566,-0.001305,-0.033677,-0.00413,0.008948,-0.002878,-1
-0.22198,-0.23627,0.026205,-0.026504,0.077376,0.098664,-0.021307,0.001126,-0.056582,0.11113,-1
-0.33718,-0.099303,-0.013546,-0.059057,0.11917,-0.073398,-0.074485,0.032308,0.050629,-0.030651,-1
-0.2953,-0.23267,0.090915,0.084367,0.10071,-0.045007,0.017749,0.063135,0.052134,0.08131,-1
0.59249,-0.4344,0.050694,0.14675,-0.1124,-0.068099,-0.19264,0.065735,-0.19726,-0.14314,-1
-0.55006,0.16694,-1.0018,0.056545,-0.095905,0.18379,0.012094,0.056439,-0.038173,-0.089719,-1
0.91987,0.71598,0.058782,-0.029833,-0.08983,-0.10067,0.08455,-0.16016,0.012146,-0.062237,1
-0.81134,-0.1335,0.14167,-0.023372,-0.037957,-0.020007,-0.063861,-0.001731,-0.010004,0.002064,-1
-0.4792,-0.38482,0.11401,-0.065802,-0.035676,0.00841,-0.028163,-0.014388,-0.001946,0.003407,-1
-0.77897,-0.091782,-0.014136,-0.011281,-0.045965,0.006656,-0.049806,0.007793,-0.0138,-0.015944,-1
-0.78337,-0.10379,0.049529,-0.020436,-0.042169,0.004219,-0.055582,0.003125,-0.003556,-0.010315,-1
1.7436,1.0542,0.080645,-0.20986,-0.055599,-0.23023,0.003137,-0.15623,-0.022172,0.27359,1
-0.19544,-0.27532,0.041783,0.05656,0.019444,0.1168,-0.016094,-0.00058,-0.014682,0.074992,-1
-0.38377,-0.32125,-0.17434,-0.021489,-0.021425,0.10461,-0.009548,-0.001223,-0.03233,-0.002701,-1
-0.31673,-0.36809,0.05006,0.017935,-0.069658,0.12132,-0.025138,-0.032383,0.030163,0.014728,-1
-0.80142,-0.1301,0.14434,-0.02834,-0.036215,-0.01258,-0.064849,-0.001952,0.000475,-0.001101,-1
1.7475,1.1809,0.098546,-0.22326,-0.16144,-0.0834,0.20086,0.036058,-0.14464,-0.25223,1
-0.22236,-0.24295,0.10092,-0.004001,-0.025302,0.035435,0.003106,0.005006,0.06216,-0.003051,1
-0.003339,0.061162,0.082453,-0.080886,0.21683,0.089662,0.009177,-0.006426,0.029266,-0.040088,-1
-0.42882,-0.28271,0.035203,-0.030212,0.049706,-0.032122,-0.031631,0.004425,-0.014864,-0.018713,-1
-0.36438,-0.27993,0.049203,-0.024167,0.046836,0.011786,-0.008803,0.024443,-0.029449,0.035758,-1
-0.73826,-0.080364,0.01982,-0.035844,-0.040365,0.040615,-0.060315,0.000249,0.028572,-0.012369,-1
-0.32232,0.2872,-1.4659,0.040226,-0.12529,0.33684,-0.077588,0.014957,-0.042302,0.075928,1
0.85646,0.76507,0.09624,-0.1462,0.047907,0.033633,0.25851,-0.15062,0.10858,-0.11123,1
0.079969,-0.06156,0.081128,0.13608,-0.17419,-0.040081,-0.075719,-0.060374,0.01418,-0.0519,1
-0.092477,-0.04374,0.08032,-0.089666,0.022548,0.039496,0.046138,-0.070172,0.092204,-0.049938,1
-0.33944,-0.19874,0.063254,-0.029125,0.097157,-0.014661,0.010199,0.05773,0.031848,0.037605,-1
0.015465,-0.049877,0.099836,0.031385,-0.08088,0.029266,0.04025,-0.014703,0.056894,-0.012723,1
-0.43998,-0.32077,0.11772,-0.090568,-0.047808,0.021364,-0.041926,0.00884,0.040075,-0.014491,1
-0.27483,-0.016252,0.051669,0.17993,0.62435,-0.070393,-0.19986,0.008992,-0.13824,-0.16507,-1
0.13307,0.010214,0.011559,0.62083,0.29565,-0.2045,0.006727,0.14443,0.27047,0.25805,-1
-0.035705,-0.00849,0.15383,-0.097313,-0.067382,-0.073254,-0.079851,0.11891,-0.075555,-0.046824,-1
0.57904,-0.084395,0.03683,0.33101,-0.36266,-0.23107,0.13491,-0.054391,-0.011241,0.088949,-1
-0.37158,-0.12129,-0.143,0.023416,0.20979,-0.083149,-0.051712,0.046211,0.002528,0.025666,-1
