@relation S_TCAed_data_dim10_Zxing_for_Apache_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric 
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.047568,0.077886,-0.17925,-0.021322,-0.00020926,-0.00020926,-0.002258,-0.019244,-0.008508,0.034207,-1
-0.094173,-0.026974,-0.005557,-0.028473,0.0001873,0.0001873,-0.013139,-0.025208,-0.002125,0.001709,1
0.008503,-0.039333,0.022609,-0.012624,0.00068346,0.00068346,-0.016671,0.042684,0.001647,-0.071728,-1
-0.013111,-0.015226,-0.077012,-0.031047,0.0030192,0.0030192,-0.004983,-0.029388,0.031994,-0.011212,-1
0.26681,-0.058531,-0.024097,-0.029948,-0.020135,-0.020135,0.15446,-0.050408,0.025577,0.13729,1
-0.034704,-0.042342,0.004559,-0.009145,0.00112,0.00112,-0.006151,0.013089,0.015187,-0.024783,1
0.12406,0.088269,0.054272,-0.015037,-0.0010876,-0.0010876,0.013167,0.007419,-0.02187,-0.049941,-1
0.055359,0.056083,0.037631,-0.067026,-0.0013483,-0.0013483,0.043992,-0.006791,-0.007915,-0.071876,-1
0.045757,0.057629,0.033964,-0.06853,-0.0022445,-0.0022445,0.044376,-0.01967,-0.022335,-0.063373,-1
0.007342,-0.006986,0.054207,0.017283,-0.000527,-0.000527,0.00366,0.00537,0.002665,0.012735,-1
0.01735,0.032547,0.049379,-0.022384,-0.00021104,-0.00021104,-0.018959,-0.010669,0.001679,-0.008739,-1
-0.026761,0.002367,0.024279,0.001983,0.0010765,0.0010765,-0.007922,-0.010221,-0.003045,0.00312,-1
-0.081351,-0.008142,-0.064505,-0.020738,0.00035956,0.00035956,0.011441,-0.006868,0.010025,-0.001638,-1
0.005181,-0.005493,0.057685,-0.024828,-0.001232,-0.001232,0.022725,0.001771,0.00079,-0.023023,1
-0.1222,-0.062556,0.033189,-0.035562,-0.0013544,-0.0013544,0.00981,-0.041627,-0.014469,0.013407,-1
-0.11447,-0.057327,0.033531,-0.030659,-0.00078338,-0.00078338,0.009978,-0.033313,-0.006591,0.005888,-1
-0.11448,-0.058672,0.03265,-0.02978,-0.00081288,-0.00081288,0.006727,-0.028939,-0.010042,0.004726,-1
0.86062,0.67331,0.41003,0.24153,-0.021019,-0.021019,-0.19349,-0.009826,-0.23335,0.23288,-1
-0.11884,-0.04308,-0.009751,-0.034767,-0.001229,-0.001229,0.009663,-0.040644,-0.017274,0.015372,-1
-0.065786,-0.027207,-0.040717,-0.022891,0.0015338,0.0015338,0.009735,-0.006618,0.019002,-0.010287,1
-0.11457,-0.062738,0.030075,-0.030577,-0.0010618,-0.0010618,0.0068,-0.035062,-0.013221,0.007722,-1
0.013058,0.046169,-0.035799,-0.029225,-0.00073015,-0.00073015,0.005015,-0.005477,0.002462,0.005362,-1
-0.1204,-0.058685,0.030978,-0.02721,-0.00051151,-0.00051151,0.002283,-0.01833,-0.014155,-0.001032,-1
-0.11884,-0.04308,-0.009751,-0.034767,-0.0012301,-0.0012301,0.009663,-0.040644,-0.017274,0.015372,-1
-0.11884,-0.043079,-0.009751,-0.034767,-0.0012301,-0.0012301,0.009663,-0.040643,-0.017274,0.015372,-1
0.047434,-0.002227,-0.10408,0.010782,0.00096704,0.00096704,-0.021925,0.086575,0.002333,-0.027145,-1
-0.083579,-0.033885,0.050982,-0.012049,-0.001625,-0.001625,0.014029,-0.036066,-0.014148,0.021831,-1
0.055746,0.042369,-0.10935,0.00654,0.00049429,0.00049429,-0.030744,0.031323,0.006042,-0.003154,1
-0.005135,-0.036343,-0.024826,-0.043577,-0.003996,-0.003996,0.052147,0.011015,0.030865,-0.003554,1
-0.072203,-0.011841,-0.009734,-0.01677,0.0013068,0.0013068,-0.008141,-0.012917,0.020075,-0.013365,-1
-0.11338,-0.063568,0.030126,-0.031965,-0.0013392,-0.0013392,0.008137,-0.039344,-0.013107,0.010479,-1
0.13084,-0.00893,0.044046,0.035966,-0.00045019,-0.00045019,-0.01975,0.03278,0.007133,-0.009066,-1
-0.11186,-0.063582,0.022512,-0.024976,-0.00045592,-0.00045592,0.004786,-0.014256,-0.00369,-0.004495,1
0.32849,0.16294,0.057713,0.25123,0.0011795,0.0011795,-0.045448,0.082119,-0.059797,0.088079,1
-0.099942,0.02684,-0.15202,-0.030646,0.00022959,0.00022959,0.013982,-0.021761,-0.007151,0.012367,-1
0.24519,0.1264,0.077987,0.1866,0.0010109,0.0010109,0.00244,0.084734,-0.0184,0.042613,-1
0.52582,0.088208,0.036758,0.15994,0.011809,0.011809,-0.075076,0.19973,0.070435,-0.019333,-1
0.41483,0.033321,-0.040867,0.1041,0.0080304,0.0080304,-0.10017,0.20775,0.008645,-0.11731,-1
0.001643,-0.027278,-0.020894,0.005854,-0.00033001,-0.00033001,0.006697,-0.001104,0.004599,-0.003357,1
-0.10503,-0.06332,0.02531,-0.025786,-0.00055415,-0.00055415,0.005267,-0.016109,-0.001252,-0.000634,1
-0.089411,-0.050537,0.023264,-0.017157,0.0035124,0.0035124,0.009327,0.017389,0.040882,-0.030323,-1
-0.083241,-0.024902,-0.007377,-0.016372,0.00061451,0.00061451,0.011723,-0.013898,0.013155,-0.010069,-1
0.20796,0.053531,0.095315,0.073138,-0.0028952,-0.0028952,0.006973,0.028308,-0.015366,0.026929,-1
0.029045,0.097691,-0.14628,-0.02399,0.00090245,0.00090245,0.029108,0.027384,0.008979,-0.021127,1
0.4591,0.30945,0.15643,0.22732,-0.0022223,-0.0022223,-0.075303,-0.01056,-0.10401,0.10396,-1
-0.008895,-0.033361,-0.080566,0.033796,-0.0019464,-0.0019464,0.003371,0.083029,0.013867,-0.025695,-1
0.050321,0.12766,-0.11427,0.053402,-0.00047996,-0.00047996,-0.050874,-0.000937,-0.036601,0.06458,-1
-0.10807,-0.061355,0.028273,-0.026838,-0.0010823,-0.0010823,0.007755,-0.030277,-0.010231,0.00433,-1
0.31217,0.10978,0.081132,0.014489,0.0040362,0.0040362,0.016373,0.021285,0.03456,-0.028851,1
0.10869,0.071773,-0.001384,0.033011,0.00067483,0.00067483,0.006222,0.046882,0.015897,0.011262,1
0.99211,0.53924,0.39534,0.12998,-0.014551,-0.014551,0.12049,0.081863,0.037513,0.02305,1
-0.11473,-0.063434,0.029274,-0.0303,-0.0012646,-0.0012646,0.007398,-0.036243,-0.013396,0.008428,-1
-0.071063,0.022788,-0.072075,-0.011707,-0.0011859,-0.0011859,0.013815,-0.018436,-0.012469,0.026882,-1
-0.10521,-0.068498,0.018923,-0.029606,-0.00013181,-0.00013181,0.006253,-0.014783,0.003428,-0.003042,-1
-0.10362,-0.057962,0.03135,-0.026791,-0.00060589,-0.00060589,0.007322,-0.029685,-0.005311,0.002384,-1
-0.1222,-0.062555,0.03319,-0.035562,-0.0013553,-0.0013553,0.00981,-0.041627,-0.014469,0.013407,-1
-0.10596,-0.061114,0.025028,-0.026886,-0.00050298,-0.00050298,0.009107,-0.018735,-0.000047,-0.001897,1
-0.11502,-0.057642,0.033852,-0.03106,-0.00077851,-0.00077851,0.010373,-0.03473,-0.006901,0.00669,-1
0.013787,0.045083,0.08998,0.097851,-0.00029755,-0.00029755,0.01166,-0.072964,-0.059791,0.11309,-1
