@relation T_TCAed_data_dim10_Safe_for_Apache_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.48204,-0.008593,0.13185,-0.036185,0.010704,-0.024815,0.04471,0.036706,-0.041504,0.03731,-1
-0.013761,-0.21345,0.077913,-0.07163,-0.12532,0.01502,0.080784,0.048057,0.03077,0.068932,1
-0.53743,-0.009466,0.038407,0.09255,-0.039624,0.065752,0.049128,0.065256,-0.099339,0.041779,-1
-0.1965,-0.15662,0.063251,-0.062556,-0.058725,-0.02382,0.029628,0.034297,0.019811,0.010112,1
-0.20795,-0.13294,0.064057,-0.051288,-0.052091,-0.057555,0.038086,0.027781,0.008944,0.009496,1
-0.17516,0.056368,0.093824,-0.098655,-0.057779,-0.051568,0.025526,0.006001,0.076027,0.021884,1
0.27104,-0.1662,0.03896,-0.053232,-0.15315,-0.07547,-0.02555,0.021776,0.006925,-0.001256,1
-0.38158,0.073013,0.12196,-0.13893,-0.010503,-0.020614,-0.014708,-0.02007,0.20419,0.031556,1
-0.2067,-0.015409,0.059077,-0.045748,-0.046833,-0.060058,0.027241,0.01224,0.032746,0.011223,1
-0.046598,-0.17612,0.069084,-0.062469,-0.12507,-0.03321,0.017154,0.026259,0.031271,0.019312,1
-0.47695,-0.10835,0.087685,0.01008,-0.046712,0.014833,0.033606,0.021314,0.023954,0.006819,1
-0.27395,-0.10314,0.097196,-0.078547,-0.046878,-0.015876,0.033444,0.033048,0.020113,0.030811,-1
-0.30852,-0.10394,0.11851,-0.053521,-0.074975,-0.054332,0.013672,0.021067,0.023166,0.016496,1
-0.29539,-0.21484,-0.001856,-0.074756,0.00512,-0.07701,0.034121,0.034667,0.015206,-0.03651,-1
-0.47933,-0.1369,-0.10178,-0.020207,0.013766,-0.051359,0.029999,0.024525,-0.030952,-0.033342,-1
-0.56168,-0.17253,0.12445,-0.013623,-0.04627,0.004952,0.038278,0.022512,-0.001268,-0.026346,1
-0.58776,-0.21712,0.029687,-0.009288,-0.030214,-0.012386,0.023599,0.02188,0.025741,-0.001231,1
-0.41037,-0.086515,0.04972,-0.010164,-0.062836,-0.006629,0.013511,0.0179,0.029075,-0.002415,-1
-0.66196,-0.03449,-0.81785,-0.005993,0.015856,-0.006616,-0.003972,-0.001221,0.011411,0.044521,-1
-0.62201,-0.1307,0.10352,-0.026745,0.005666,0.014134,0.050177,0.015161,0.030769,-0.029861,-1
-0.66154,-0.16447,0.12123,-0.004338,0.003458,0.024123,0.055494,0.023091,-0.006953,-0.033593,-1
-0.47091,-0.10135,0.094237,-0.063081,0.001383,-0.000959,0.072186,0.016088,0.021682,-0.027987,-1
-0.66083,-0.16949,0.12098,-0.005366,0.002967,0.029319,0.059672,0.023318,-0.00713,-0.031508,-1
-0.54783,-0.10154,-0.007234,-0.041716,0.005485,-0.009209,0.021285,0.008232,0.032431,-0.03821,-1
-0.55902,-0.13585,0.041661,0.017961,-0.037509,0.027559,0.029648,0.012494,0.043099,-0.001818,-1
-0.53808,-0.074974,0.12884,-0.057347,-0.021108,0.013529,0.023458,0.009345,0.06079,-0.004842,-1
-0.43703,-0.12133,0.057802,0.083207,-0.030103,-0.079915,0.090349,0.022977,-0.028364,-0.010348,-1
-0.69282,-0.060393,-1.0143,-0.03582,0.034824,-0.029728,-0.02018,-0.006271,0.053339,0.081817,-1
0.02172,-0.075808,0.058484,-0.01987,-0.09641,-0.012596,0.032046,0.059018,-0.038586,0.068113,1
-0.6928,-0.22006,0.12893,0.0051,0.014558,0.017296,0.052883,0.024885,0.022861,-0.010319,-1
-0.661,-0.16212,0.11994,-0.008009,0.004468,0.02657,0.057051,0.023139,-0.005339,-0.033107,-1
-0.69559,-0.19853,-0.024722,-0.000256,0.017999,0.011654,0.044264,0.020938,0.027159,0.002875,-1
-0.6839,-0.2085,0.037186,0.000725,0.011729,0.011242,0.045532,0.022584,0.025383,-0.00232,-1
0.39253,-0.047008,0.022173,-0.084903,-0.13283,-0.012605,-0.009507,0.028782,0.003971,0.031921,1
