@relation T_TCAed_data_dim10_Zxing_for_Apache_flag_4

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.67166,0.17163,-0.11552,-0.028265,0.01628,-0.040227,0.028046,0.010182,0.020941,0.00338,-1
0.8267,-0.11768,-0.048526,-0.011005,0.036722,-0.025708,0.013759,-0.011859,0.010605,-0.003075,1
0.71303,-0.18909,-0.04851,-0.047899,0.04195,0.057065,-0.015344,-0.022475,0.018522,0.006685,-1
0.68622,-0.032664,-0.10475,-0.0182,0.028001,-0.025013,0.034328,-0.02993,-0.002502,-0.015466,-1
0.37439,-0.10195,0.07528,-0.040261,-0.058578,-0.049987,0.10517,0.003249,-0.093928,-0.063393,1
0.76755,-0.15557,-0.051988,-0.045735,0.033103,0.009272,0.020164,-0.016957,0.002626,-0.005039,1
0.58623,-0.077783,0.075882,-0.039288,0.0076,0.024973,-0.014025,-0.036148,0.006824,-0.001217,-1
0.65108,-0.084143,0.037265,-0.006062,-0.03758,0.045072,0.000686,-0.05559,0.030025,0.012404,-1
0.66386,-0.077186,0.037017,-0.001527,-0.039509,0.032761,-0.010964,-0.052638,0.036468,0.014233,-1
0.72834,-0.15947,0.030314,-0.061092,0.015354,-0.002863,0.03616,0.014521,0.028551,0.003577,-1
0.70377,-0.11241,0.038518,-0.007076,0.030073,-0.003771,0.029855,-0.005299,0.036173,0.011739,-1
0.74104,-0.12626,0.009763,-0.040965,0.04673,-0.015581,0.005896,-0.011117,-0.019487,-0.01144,-1
0.77804,-0.040059,-0.080751,-0.038253,0.016609,-0.010562,0.024908,-0.014829,-0.000728,-0.008425,-1
0.74548,-0.16598,0.014051,-0.03519,-0.008338,0.011494,0.023153,-0.014954,0.023267,0.000974,1
0.8918,-0.18863,-0.033532,-0.010212,0.011335,-0.03752,0.006442,-0.012223,0.008961,-0.005186,-1
0.87732,-0.18504,-0.030524,-0.016958,0.013943,-0.028722,0.011765,-0.015532,0.005901,-0.007204,-1
0.87512,-0.18766,-0.033636,-0.017296,0.016139,-0.027638,0.007701,-0.012999,0.008586,-0.004371,-1
-0.10954,0.17905,0.73128,-0.06321,0.13019,-0.20012,0.006259,0.27508,0.28536,0.061226,-1
0.8647,-0.12687,-0.056602,-0.014099,0.011561,-0.038387,0.004576,-0.009963,0.011393,-0.002934,-1
0.77007,-0.086232,-0.078911,-0.035445,0.016073,-0.011335,0.029079,-0.022507,-0.002042,-0.008162,1
0.87872,-0.18964,-0.03835,-0.016024,0.015663,-0.031865,0.005162,-0.011854,0.011538,-0.003083,-1
0.66813,-0.010281,-0.018877,-0.01875,0.003096,-0.001452,0.034047,0.003017,0.028046,0.008979,-1
0.86969,-0.19109,-0.038928,-0.019664,0.01995,-0.024745,0.002151,-0.011359,0.013226,0.001428,-1
0.8647,-0.12687,-0.056602,-0.014099,0.011561,-0.038387,0.004576,-0.009963,0.011393,-0.002934,-1
0.8647,-0.12687,-0.056602,-0.014099,0.011561,-0.038387,0.004576,-0.009963,0.011393,-0.002934,-1
0.5896,-0.022989,-0.12876,-0.074644,0.028801,0.01941,0.021665,0.014559,0.028807,0.023398,-1
0.84335,-0.17507,0.008379,-0.03054,0.007261,-0.034044,0.017239,-0.001019,0.021137,-0.002635,-1
0.59939,0.048335,-0.087714,-0.05481,0.044503,0.009361,0.024712,0.015392,0.02051,0.001316,1
0.75832,-0.10752,-0.082107,-0.055844,-0.019259,0.001431,0.045302,-0.010538,0.032454,-0.004823,1
0.78675,-0.097856,-0.039974,-0.02729,0.039188,-0.007969,0.029922,-0.022375,-0.000297,-0.012711,-1
0.87916,-0.18918,-0.0371,-0.014056,0.01425,-0.033226,0.005769,-0.011474,0.010148,-0.005056,-1
0.58898,-0.16931,0.017737,-0.077627,0.036061,0.02378,0.025244,0.017693,0.029499,0.003908,-1
0.85838,-0.19041,-0.048665,-0.02548,0.020207,-0.01864,0.012508,-0.012876,0.010854,0.001413,1
0.29929,-0.030395,0.19809,-0.24506,0.13586,-0.06915,-0.019467,0.075308,-0.041165,-0.022509,1
0.75022,0.086742,-0.12951,-0.032789,0.008828,-0.028542,0.014255,-0.008683,0.006642,-0.003992,-1
0.4102,-0.084264,0.15795,-0.21995,0.087089,-0.029894,0.003939,0.03729,-0.017542,-0.013034,-1
0.038221,-0.12108,0.099324,-0.18997,0.13427,0.099222,0.070231,0.062371,-0.060292,0.010836,-1
0.15796,-0.11164,-0.074134,-0.15165,0.12721,0.10184,-0.013027,0.021177,0.034763,0.035414,-1
0.70785,-0.11185,-0.050284,-0.058629,0.018866,-0.003476,0.028299,-0.003735,0.020198,0.001276,1
0.85813,-0.19037,-0.046099,-0.023022,0.019077,-0.019905,0.013808,-0.012586,0.008111,-0.001203,1
0.80601,-0.17805,-0.04286,-0.04351,0.02498,0.01782,0.043873,-0.025921,-0.010577,-0.009758,-1
0.80559,-0.11326,-0.042426,-0.03862,0.01921,-0.007163,0.024704,-0.022321,-0.002636,-0.01429,-1
0.53426,-0.14992,0.11403,-0.11012,0.002086,-0.009685,0.050381,0.039458,0.069162,0.020191,-1
0.5875,0.14947,-0.08993,-0.057128,-0.01697,0.021673,0.032545,-0.009488,0.01569,-0.004196,1
0.18319,0.039426,0.39447,-0.1733,0.14763,-0.099503,-0.056864,0.058529,-0.035306,-0.024754,-1
0.65358,-0.081683,-0.12786,-0.086437,0.038389,0.019474,0.009688,-0.001285,0.016712,0.011893,-1
0.57492,0.14882,-0.023595,-0.064269,0.07647,-0.068997,0.009941,0.046651,0.023855,-0.000651,-1
0.86644,-0.18809,-0.037953,-0.02096,0.016919,-0.027715,0.007254,-0.012997,0.010471,-0.003481,-1
