@relation S_TCAed_data_dim10_EQ_for_PDE_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.11674,0.045802,-0.048368,-0.015499,0.040315,0.093921,0.045893,-0.029902,0.002624,0.004653,1
1.5317,0.05311,0.058205,-0.077228,0.34719,0.037706,-0.11948,-0.58315,-0.036128,0.25835,1
0.11092,0.044158,0.028518,0.045551,-0.059128,0.13358,-0.00647,-0.074773,-0.028302,0.050069,-1
0.90626,0.10969,0.012653,-0.078358,0.17211,0.10921,-0.005018,-0.26837,0.02197,0.14396,1
-0.045888,0.021452,0.015937,0.007067,0.003527,-0.027411,0.035677,0.025435,0.001916,0.015287,1
-0.26858,0.068201,-0.002499,-0.04036,0.059707,0.015689,0.021474,-0.056142,0.011993,0.055967,-1
0.071396,-0.05221,-0.031713,0.047335,0.088885,0.086061,-0.038821,-0.14872,-0.071806,-0.000128,1
-0.24921,0.064575,0.002195,-0.02799,0.062679,0.02069,0.002922,-0.03797,0.011846,0.048408,-1
0.91151,0.064327,0.087137,-0.050935,0.21631,0.059495,-0.039415,-0.15496,-0.11614,0.037143,1
0.053854,0.051637,0.057858,0.034111,0.026248,0.069192,-0.097831,0.11174,0.047686,0.00732,1
-0.10645,0.076293,0.024848,-0.011635,-0.052819,0.076579,0.045601,0.004714,-0.029385,-0.039094,-1
0.012439,-0.19579,0.098728,0.030443,-0.087629,-0.14697,0.19727,0.12858,-0.005176,0.29427,1
-0.22685,0.068036,0.003186,-0.033309,0.068985,0.010764,-0.020355,-0.029608,0.006718,0.045579,-1
-0.25224,0.071907,-0.000346,-0.031386,0.058884,0.018672,0.003791,-0.038055,0.012159,0.045838,-1
-0.1995,0.019904,-0.075492,0.002848,0.016294,-0.047202,0.051505,-0.042227,0.017368,0.029733,-1
-0.24921,0.064575,0.002195,-0.02799,0.062679,0.02069,0.002922,-0.03797,0.011846,0.048408,-1
0.11768,0.011601,0.006725,-0.18526,-0.010043,-0.008004,0.017634,-0.054418,0.031678,0.030236,1
-0.2494,0.067477,0.00117,-0.029664,0.06205,0.021175,0.002271,-0.03771,0.011165,0.047388,-1
0.58464,0.026578,-0.074682,-0.010799,0.017708,0.054803,0.081766,0.014899,0.06589,0.080663,1
-0.26858,0.068201,-0.002499,-0.04036,0.059707,0.015689,0.021474,-0.056142,0.011993,0.055967,-1
-0.063234,0.078512,0.024471,0.01307,0.043151,0.018839,-0.090392,0.061223,-0.014103,0.028529,-1
0.001401,0.102,-0.004327,-0.011557,0.060507,0.049253,-0.010496,-0.037854,0.004999,0.023279,-1
-0.04496,-0.013901,0.04063,0.028295,0.007927,-0.070249,0.026056,0.000699,0.033659,-0.006609,1
-0.26858,0.068201,-0.002499,-0.04036,0.059707,0.015689,0.021474,-0.056142,0.011993,0.055967,-1
-0.14163,0.084106,0.02164,0.012799,0.03944,0.012145,-0.068701,0.060479,-0.000343,0.032962,-1
-0.12106,0.038273,0.054856,0.019591,-0.008569,-0.049076,0.021181,0.097779,-0.025136,0.15271,-1
-0.23876,0.063918,-0.018309,-0.028293,0.07934,0.02451,0.002377,-0.068877,0.00541,0.063896,-1
-0.26305,0.06891,-0.000332,-0.036517,0.059008,0.016696,0.014073,-0.047498,0.012356,0.051203,-1
-0.076986,0.078541,-0.041519,0.009026,0.082596,0.043052,-0.077653,0.005416,-0.035847,0.026284,1
0.77323,0.014227,0.051383,-0.014533,0.08758,-0.09055,-0.22292,-0.12972,0.14096,0.092864,1
-0.2494,0.067477,0.00117,-0.029664,0.06205,0.021175,0.002271,-0.03771,0.011165,0.047388,-1
-0.26305,0.06891,-0.000332,-0.036517,0.059008,0.016696,0.014073,-0.047498,0.012356,0.051203,-1
0.1401,0.079436,0.053452,0.009658,0.003288,0.092417,-0.030324,0.10508,0.041109,-0.11028,-1
-0.2494,0.067477,0.00117,-0.029664,0.06205,0.021175,0.002271,-0.03771,0.011165,0.047388,-1
