@relation S_TCAed_data_dim10_JDT_for_ML_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.4637,-0.13015,0.011702,0.32743,-0.1666,-0.059452,-0.065973,0.010553,-0.089055,-0.026682,-1
0.011118,-0.001366,0.016054,-0.006555,-0.025045,-0.085947,-0.012432,0.002969,0.00535,-0.004093,-1
-0.7824,0.2989,-0.010758,0.091813,-0.085692,-0.082108,-0.059361,0.034657,-0.033241,-0.020876,-1
-4.6086,-0.013329,0.27939,0.08256,0.005298,-0.026176,0.068327,-0.02949,-0.005149,-0.043287,1
-4.2657,-0.63722,0.013349,0.064606,0.045238,-0.048342,-0.035051,-0.011937,0.024011,0.003736,-1
-4.416,0.15273,0.095512,-0.14869,-0.037322,-0.12075,-0.003384,0.011839,-0.098596,0.001068,1
0.10674,0.019952,0.089463,0.069741,0.017722,-0.098189,-0.025565,-0.075866,0.000641,-0.06992,1
0.010255,-0.015742,-0.025343,-0.043368,-0.019371,-0.047969,-0.064374,0.026395,-0.017835,-0.025312,-1
0.025373,-0.031047,0.029579,0.047699,-0.023478,-0.084144,-0.006267,-0.018465,0.001627,-0.003732,1
-0.13497,0.20471,-0.11313,0.053691,0.090743,-0.039001,0.003064,0.02101,0.009965,-0.026282,1
-4.5009,0.12399,-0.10262,0.010386,0.020878,0.06853,0.004839,0.028885,0.017372,0.018506,-1
-0.85945,0.53866,-0.014144,0.071595,-0.093638,-0.1292,-0.010188,0.023856,-0.086977,-0.042854,1
-0.13851,0.14891,0.043683,0.21161,-0.022681,-0.001802,-0.15916,0.00958,0.15085,0.18416,-1
-1.1739,0.81918,-0.093188,-0.04625,-0.045381,-0.086745,-0.02783,0.060292,-0.054206,-0.047326,-1
-0.86474,-0.36253,0.050626,0.15765,-0.084635,-0.067684,-0.034339,0.015095,-0.007615,-0.007886,-1
-0.86619,-0.38079,0.066973,0.16102,-0.081585,-0.027399,-0.032876,0.021709,-0.037916,0.016745,-1
0.026198,-0.027782,0.00315,-0.006497,-0.037914,-0.080342,-0.026365,0.004676,-0.005542,-0.0042,-1
-4.7113,0.010463,0.062292,0.014167,-0.085388,-0.01585,-0.012656,-0.013966,0.0126,-0.009996,-1
0.006493,-0.021736,-0.099024,0.063665,0.088732,-0.053687,0.009555,0.008684,0.019697,-0.024134,-1
-0.094897,0.13322,0.22475,0.17779,0.064951,-0.17819,0.1317,-0.014174,0.031006,-0.023435,1
