@relation S_TCAed_data_dim10_LC_for_PDE_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.1389,0.11285,0.16439,-0.065086,0.018308,-0.023814,-0.002595,0.060773,0.011738,0.035352,-1
-0.20596,0.055986,-0.013909,-0.002678,0.030226,-0.036056,0.003261,0.017467,0.039897,-0.029907,-1
0.12402,0.072339,-0.043965,-0.071892,-0.008097,0.10785,-0.19716,0.12467,-0.066235,-0.021018,-1
-0.071094,-0.023887,-0.023964,0.01485,0.00758,0.14446,-0.2689,0.26309,-0.099487,-0.058192,-1
-0.16854,0.034475,-0.029699,0.012242,0.018541,-0.025453,-0.006185,-0.002179,0.010119,-0.003113,-1
-0.27373,0.000074,-0.13709,-0.44559,-0.51732,0.015691,0.04879,0.037869,-0.038685,0.022739,-1
-0.077526,0.11205,0.17937,-0.06961,0.010166,-0.010467,-0.024851,-0.015071,-0.050641,0.009346,1
-0.18406,0.070372,0.010341,-0.0265,0.073507,0.006429,0.028521,0.060876,0.030095,-0.036606,-1
-0.18465,0.10463,0.087696,-0.098092,0.041131,0.028211,0.005013,-0.002363,0.001906,-0.028524,-1
0.21787,0.25184,0.35316,-0.028232,-0.06669,-0.22858,0.017725,0.18219,0.042658,0.009002,-1
0.26395,-0.0219,0.090942,0.045651,0.092523,-0.046621,0.094857,0.092507,-0.14134,0.075402,-1
-0.15643,0.078849,0.034071,-0.032301,0.10091,0.000769,0.059957,0.081975,0.049635,-0.054817,-1
-0.16274,-0.015169,-0.000133,0.004713,0.020983,-0.008558,-0.029128,-0.00652,0.031255,0.007812,-1
-0.18162,0.052656,-0.018146,0.002441,0.021037,-0.014212,-0.028813,0.040666,0.025046,-0.026039,-1
0.16642,0.29773,0.62751,-0.35404,0.23219,-0.49749,-0.41242,-0.19345,-0.33597,-0.28822,-1
-0.049868,0.007274,0.029881,-0.086843,0.012308,0.06333,-0.016391,-0.030581,-0.051465,0.016274,1
-0.074316,0.062047,0.10619,-0.32222,-0.19397,-0.062461,-0.011952,-0.007405,-0.045507,-0.047735,-1
-0.11315,0.064826,0.11591,0.002176,-0.020843,0.049412,-0.001632,-0.001317,-0.034962,0.007799,-1
-0.084821,0.17776,0.19294,-0.15195,0.11801,0.01844,0.097163,0.012521,0.091678,0.066887,-1
-0.079405,0.19913,0.27443,-0.29587,0.085813,0.097296,0.043916,-0.1439,0.050293,0.10377,-1
-0.10677,0.10744,0.1063,-0.10972,0.070118,0.075725,0.033038,0.059413,-0.027803,-0.021052,-1
-0.16737,0.058978,-0.035569,0.02066,0.009821,-0.003348,-0.028146,-0.00738,-0.003813,-0.000713,-1
0.1091,0.20456,0.30792,0.136,0.028816,-0.38816,-0.13819,0.1676,-0.045972,0.049671,-1
-0.10124,0.13624,0.12676,-0.16051,0.087637,0.048864,0.05079,-0.044269,0.048589,0.03697,-1
-0.090242,0.084419,0.060453,-0.071918,0.070104,0.014154,0.030454,0.070215,0.055765,-0.051852,-1
-0.24168,0.003255,-0.1341,-0.44997,-0.52204,0.027471,0.041175,0.046234,-0.03735,0.031231,-1
-0.17751,0.05712,-0.034662,0.020386,0.010773,-0.011597,-0.024107,-0.010202,-0.000575,0.001622,-1
-0.1318,0.11325,0.094091,-0.10457,0.095915,0.048523,0.042056,0.059006,0.023199,-0.059641,-1
0.047144,0.16565,0.14872,-0.059536,0.066594,-0.01171,0.129,0.015792,0.26796,0.19495,-1
-0.067499,0.17969,0.28444,-0.020798,0.036343,0.016085,0.075368,0.20496,0.062611,0.095011,1
0.047511,0.30837,0.5775,0.21113,-0.2664,-0.001101,0.089888,0.27525,0.16497,0.3141,1
0.7393,0.18508,0.2327,-0.070175,0.19256,-0.69217,-0.27876,-0.083398,-0.14995,-0.11369,1
-0.15753,0.09534,0.082414,-0.085133,0.044956,-0.006981,0.007171,0.011915,0.011927,-0.040811,-1
-0.025806,0.19785,0.35152,-0.002806,-0.049587,-0.010522,-0.00447,0.21933,0.12238,0.23821,-1
-0.051906,0.084499,0.066273,-0.1025,0.11371,0.088831,0.078406,0.064802,-0.052211,-0.042922,-1
-0.051472,0.13421,0.14848,-0.17082,0.10941,0.049596,0.048382,-0.069501,0.058858,0.033087,-1
-0.050093,0.028233,-0.059609,0.20566,0.073756,0.032617,0.14222,0.15835,-0.023549,0.03847,1
-0.16383,0.005445,-0.003848,0.00555,0.018775,-0.011859,-0.030139,0.039443,0.032014,-0.02438,-1
0.010762,0.018949,0.0785,-0.067998,0.05812,-0.037997,0.041881,-0.020549,0.049169,-0.044106,-1
