@relation S_TCAed_data_dim10_ML_for_EQ_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.1389,-0.044321,-0.040991,-0.10079,0.083152,0.002306,-0.12694,0.098544,0.11678,0.012243,-1
-2.4725,-0.79839,-0.19452,-0.08678,0.16298,-0.015344,0.042032,-0.1031,-0.12303,0.1002,1
-0.023091,0.054668,-0.037171,-0.050872,0.13035,-0.007548,-0.03059,-0.012143,-0.011118,0.017156,1
-2.165,-0.095977,-0.1122,-0.10385,-0.003087,-0.040565,-0.13875,0.19099,-0.064693,-0.082967,-1
-2.1584,0.051305,-0.038053,-0.094031,-0.011415,-0.01023,-0.042487,0.045263,-0.029292,0.004708,-1
-2.1864,0.32922,-0.042184,-0.001462,0.086761,-0.02644,-0.017417,0.003575,-0.025711,0.040565,-1
-2.0587,-0.29093,-0.1681,-0.024161,0.081857,0.018891,-0.07873,0.052496,0.26778,-0.10483,-1
-0.047433,-0.002592,-0.053677,-0.14663,0.10844,-0.010825,-0.040334,0.008638,-0.031011,0.015576,-1
-2.2662,-0.026199,-0.11104,0.018722,0.087142,-0.019548,0.013837,-0.02978,-0.001257,-0.012588,-1
-0.17,-0.20629,0.19094,-0.19095,0.12817,0.004308,-0.007708,-0.036471,-0.046239,-0.010836,-1
-2.226,0.18537,0.4276,-0.24113,0.1251,-0.041172,-0.00392,-0.035272,-0.078767,-0.048643,-1
-0.010984,0.038693,-0.071033,-0.087862,0.13694,0.005908,-0.050509,-0.000493,0.01661,-0.02743,-1
-2.095,0.47304,0.00144,-0.030118,0.1175,0.17852,0.007823,-0.009755,-0.051407,0.03268,-1
0.1293,0.051773,0.12844,-0.1152,-0.009346,-0.015824,-0.007933,0.007225,-0.1159,0.055884,-1
0.029107,-0.017739,-0.038017,-0.11965,0.11431,-0.006472,-0.048081,-0.011192,0.0141,-0.051315,1
-0.03173,0.035222,-0.069077,-0.10844,0.071135,0.004094,-0.015138,0.00179,0.004396,0.006639,-1
-2.2149,0.29,-0.047436,-0.000626,0.072244,-0.019616,-0.016073,0.007696,0.003935,0.007219,-1
-2.189,0.21972,-0.060733,-0.080785,0.04824,0.01613,-0.023439,0.007969,0.011551,-0.018077,-1
-0.027073,0.055729,-0.044772,-0.047512,0.12919,-0.006938,-0.026378,-0.004136,-0.009161,0.020566,-1
