@relation S_TCAed_data_dim10_ML_for_LC_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.061896,0.12806,-0.038041,-0.080469,0.12686,0.067297,0.087219,-0.10071,0.001592,-0.003621,-1
1.4953,0.016355,-0.032333,0.00986,-0.16002,-0.007628,0.032137,0.07616,-0.025007,-0.047282,1
0.03121,-0.1296,-0.087196,-0.024518,0.002768,-0.013668,0.062346,0.005823,-0.038478,-0.060305,1
1.5323,0.043386,-0.029438,0.065072,0.052398,0.03012,-0.085584,0.009554,-0.063626,-0.044635,-1
1.5404,0.013706,0.011541,0.053574,0.005478,-0.005658,-0.048932,0.011148,-0.034687,0.072891,-1
1.5962,-0.20991,-0.072024,-0.023601,0.031478,0.005271,0.040522,-0.003426,-0.026795,-0.012992,-1
1.5062,0.32534,-0.088328,-0.097817,0.056072,0.17638,0.19864,-0.10309,0.13781,-0.000872,-1
0.006335,-0.097436,-0.023181,-0.023927,0.000172,0.019627,0.018537,0.011377,-0.048819,-0.045976,-1
1.5902,-0.093869,-0.069376,-0.013175,-0.042876,-0.018405,0.045087,-0.000144,0.005479,-0.037871,-1
-0.013419,-0.028382,0.012627,-0.12597,0.012272,-0.091597,0.036722,0.088199,-0.041963,-0.10232,-1
1.447,-0.11568,0.23504,-0.20108,0.082107,-0.14453,-0.040899,0.024415,-0.039191,-0.00566,-1
0.043726,-0.08922,-0.0922,-0.008757,-0.03284,-0.004364,0.071913,0.013872,-0.01681,-0.058966,-1
1.5563,-0.20232,0.000783,-0.004743,0.057638,0.009686,-0.026012,-0.013685,-0.057336,-0.009427,-1
-0.087427,0.11306,0.059311,-0.080189,-0.051774,-0.079097,-0.004027,-0.021105,-0.12402,0.011315,-1
0.017657,0.01213,-0.008234,-0.003176,-0.079918,-0.022368,0.060228,0.009164,-0.021212,-0.011107,1
0.021512,-0.090729,-0.057572,-0.006963,-0.003733,0.012691,0.013274,0.007616,-0.028061,-0.027814,-1
1.6177,-0.15401,-0.079375,-0.016845,0.002186,0.003888,0.046749,0.002004,-0.015161,-0.022975,-1
1.5875,-0.08274,-0.020865,0.045859,-0.006812,-0.030891,0.002451,-0.02963,-0.042997,-0.002269,-1
0.034448,-0.13538,-0.10383,-0.035274,-0.001248,-0.002934,0.060347,0.011214,-0.02643,-0.062961,-1
0.027504,-0.067825,-0.05051,0.01451,-0.014813,-0.041639,0.052228,0.001324,-0.047876,-0.028344,-1
0.0214,-0.062465,-0.055005,0.053154,0.026237,-0.026631,0.009855,-0.027753,-0.10089,-0.022948,-1
-0.040671,-0.081064,0.14474,-0.026346,-0.081391,0.043435,-0.024747,-0.10367,-0.091421,-0.10723,-1
-0.14732,-0.019812,0.064389,-0.003662,0.015306,-0.077351,-0.019257,-0.068043,-0.10226,0.033489,-1
0.024532,-0.10482,-0.091334,-0.009942,0.00995,-0.015245,0.050354,0.013566,-0.064398,-0.061526,-1
1.5829,-0.18266,0.028984,-0.034081,0.020992,0.01652,0.003608,-0.015159,-0.018698,0.032379,-1
1.5356,0.18527,-0.078131,0.016354,0.03115,0.047616,-0.046967,0.012092,-0.034778,-0.080959,-1
1.6262,0.35635,-0.071046,0.006824,-0.15916,-0.024949,0.014972,0.017585,0.041083,-0.054505,-1
-0.004362,-0.050842,0.089108,-0.012186,-0.090006,0.088762,-0.017815,-0.064436,-0.040995,-0.1331,-1
-0.096753,-0.016854,-0.10319,0.078782,0.11463,-0.053248,-0.037436,-0.031474,-0.18082,-0.069531,1
-0.035985,0.25212,-0.043399,0.10098,-0.16145,-0.16729,0.030847,0.015858,0.076254,-0.15232,-1
1.6542,0.014367,-0.074661,0.030807,-0.095123,-0.054008,0.045963,-0.001422,-0.002979,-0.056533,-1
1.5839,-0.18147,-0.045157,-0.007557,0.057802,0.014836,0.014003,-0.025588,-0.03979,-0.015109,-1
1.5463,-0.11527,0.02022,-0.01851,-0.003244,0.012187,-0.00126,0.005206,0.014577,0.070816,-1
1.4733,-0.12217,-0.070156,0.085097,0.14159,0.042227,-0.12536,0.088655,-0.049866,-0.060553,-1
1.5021,-0.004886,0.083023,-0.17212,0.063972,-0.055,-0.025358,0.03157,-0.023795,-0.062529,-1
1.5035,-0.070886,-0.08426,-0.000428,-0.028099,-0.019091,-0.066812,0.000117,-0.038257,0.031141,-1
1.5723,-0.054339,-0.020498,-0.008471,-0.040847,0.007792,0.026488,-0.008883,0.033425,-0.002336,-1
1.5938,-0.1099,0.031382,-0.034062,-0.037191,0.009787,0.015662,-0.020076,-0.005225,-0.004958,-1
1.601,-0.22468,-0.073663,-0.016263,0.058138,-0.002579,0.026319,-0.007866,-0.041155,-0.022559,-1
1.5939,-0.16395,0.018287,-0.028686,0.001212,0.019966,0.018918,-0.035364,0.000752,0.006449,-1
1.6462,0.10444,-0.11279,0.008902,-0.086736,-0.012516,0.086844,0.017523,0.023467,-0.056483,-1
0.039811,-0.13606,-0.11323,-0.045812,-0.009622,-0.005965,0.05557,0.012903,-0.039749,-0.063086,-1
-0.081908,-0.049302,0.048819,0.018749,0.008424,-0.089974,0.023513,-0.048035,-0.09092,0.000583,1
0.03121,-0.1296,-0.087196,-0.024518,0.002768,-0.013668,0.062346,0.005823,-0.038478,-0.060305,1
1.5874,0.15394,0.074582,0.058193,-0.12399,-0.020204,-0.003299,0.028625,0.037303,0.10971,-1
1.5916,-0.17403,-0.030511,0.030782,0.055008,-0.009327,-0.010836,-0.045152,-0.084965,0.016068,-1
1.5428,0.1692,0.04144,-0.15219,-0.098533,-0.1389,0.049154,0.10967,0.007031,-0.077383,1
1.3079,-0.11141,0.35935,-0.2253,0.096893,-0.1785,-0.083948,-0.047333,-0.08504,0.09507,-1
1.5706,-0.14962,-0.013558,-0.002231,-0.014936,0.013522,0.021633,-0.000714,0.004382,0.001752,-1
0.046425,-0.017006,-0.038568,0.01931,-0.038832,-0.008857,0.034378,0.015078,-0.019287,-0.006439,-1
0.040679,-0.1353,-0.10614,-0.037858,-0.003358,-0.00251,0.061642,0.014741,-0.037636,-0.059876,-1
1.6114,-0.14611,-0.082126,-0.004104,-0.004566,-0.017637,0.034844,-0.002485,-0.043977,-0.034149,1
1.5891,-0.20548,-0.036944,-0.003862,0.061539,0.011767,-0.003446,-0.025915,-0.062847,-0.019135,-1
-0.019249,-0.20562,-0.3365,-0.26714,-0.13277,-0.058576,-0.27152,-0.11231,-0.006554,0.016545,1
1.5462,-0.030709,-0.010217,0.017918,-0.069546,-0.000747,0.003493,0.019577,-0.001057,-0.003175,-1
0.018325,-0.040632,-0.12225,-0.048603,0.069022,0.025868,0.082258,-0.025335,-0.049416,-0.046716,-1
1.6045,-0.15543,-0.04714,0.00541,0.017527,0.003591,0.001645,-0.014694,-0.040065,-0.043613,-1
1.5607,-0.086697,0.11017,-0.029342,-0.040933,-0.013543,-0.009274,-0.024576,0.008131,0.053638,-1
1.5874,-0.20875,-0.037514,-0.004545,0.062566,0.008023,-0.002205,-0.029734,-0.070949,-0.015269,-1
1.5112,-0.069075,0.10232,0.028438,0.032263,-0.062769,-0.054993,-0.10809,-0.093059,0.03497,-1
0.036124,-0.11435,-0.098312,-0.009644,0.008703,-0.01674,0.061581,0.009223,-0.048745,-0.050006,-1
1.6181,0.072065,-0.014912,0.052698,-0.115,-0.089944,0.04398,0.003817,0.02845,-0.021242,-1
0.005725,0.13997,-0.059544,0.12589,0.017687,-0.13266,0.012945,-0.10029,-0.18451,0.005069,-1
1.6261,0.023541,-0.085362,0.050927,-0.094431,-0.057013,0.054802,0.024364,0.016129,-0.046621,-1
1.5588,-0.10221,0.040671,-0.005746,0.000501,-0.001709,-0.011798,-0.033507,-0.04075,0.04543,-1
1.5908,0.041581,-0.040568,-0.04001,-0.08041,0.034615,0.074543,0.001112,0.057713,-0.055453,-1
1.5637,-0.12919,0.029514,0.018837,0.031537,-0.021703,-0.018364,-0.052659,-0.074908,0.029623,-1
0.037916,-0.11801,-0.099523,-0.01622,-0.004484,-0.015515,0.066347,0.015605,-0.049589,-0.0613,1
1.5596,-0.048702,-0.081932,0.00357,0.065231,-0.015033,0.032541,-0.03258,-0.008316,-0.035641,-1
-0.057359,-0.007435,0.1382,-0.041094,-0.077394,0.090844,-0.004535,-0.099252,-0.037842,-0.10908,-1
0.014019,-0.01903,-0.055064,0.17429,0.040229,-0.16944,-0.010722,-0.066896,-0.020092,-0.073712,1
1.5828,-0.044385,-0.068716,-0.00121,0.076465,0.038571,-0.035162,0.002017,-0.076677,-0.0454,-1
1.5474,0.2378,-0.081632,0.013949,0.09729,-0.009227,0.030113,-0.11006,-0.15062,0.066809,-1
-0.030451,-0.037019,0.15084,-0.010508,-0.09845,0.049142,-0.025194,-0.10231,-0.055201,-0.10959,-1
1.6116,0.052016,-0.090466,0.11583,-0.013531,-0.090264,0.000245,-0.023372,-0.040712,-0.039356,-1
-0.019621,0.080623,-0.12464,-0.011953,0.092237,0.006473,0.08989,-0.052139,-0.097103,-0.027774,-1
-0.008111,-0.10496,0.082431,-0.038772,-0.079091,0.07917,-0.002577,-0.076965,-0.072305,-0.12995,-1
0.007608,-0.033747,-0.001636,-0.04069,-0.026066,0.033797,0.035808,0.009952,-0.01088,0.000888,-1
1.5597,-0.12578,0.19149,-0.014381,-0.12876,0.184,-0.088718,-0.14462,-0.083358,-0.1709,1
1.6153,-0.15827,-0.03544,0.027229,0.038295,-0.010735,0.002713,-0.035726,-0.083922,0.011334,-1
1.582,-0.14736,-0.010453,-0.057784,0.037697,0.033286,0.044716,-0.033833,-0.001729,-0.016246,-1
0.039607,-0.041198,-0.074624,0.077868,-0.001149,-0.071808,0.041426,-0.002126,-0.09587,-0.015629,1
1.2765,0.45843,0.17141,-0.26539,-0.043139,-0.31033,-0.004463,0.20197,-0.028059,0.085231,-1
1.6153,-0.16019,-0.036187,-0.036336,-0.015009,-0.013079,0.040207,-0.005997,-0.0011,-0.033546,-1
1.5812,-0.2378,0.089902,-0.053046,-0.041275,0.13247,-0.030389,-0.088705,-0.045444,-0.10413,-1
0.038338,-0.13697,-0.11873,-0.049761,-0.009502,-0.004828,0.047792,0.008752,-0.035728,-0.058743,-1
0.043246,-0.12929,-0.099346,-0.030367,-0.006143,-0.000828,0.071193,0.023367,-0.039256,-0.057391,-1
-0.12378,-0.05643,0.1049,-0.013374,0.008426,-0.060682,0.01007,-0.059932,-0.024603,0.060377,-1
0.024252,-0.1259,-0.083815,-0.014777,0.003172,-0.019262,0.056835,0.002336,-0.038881,-0.06206,1
1.5975,-0.20812,-0.02072,-0.02635,0.020775,0.03822,0.020579,-0.004923,-0.007395,0.004951,-1
-0.015405,0.009957,-0.062681,0.099231,0.018331,-0.11125,0.016772,-0.040968,-0.15257,-0.023023,-1
-0.057789,-0.050915,0.034719,-0.13621,-0.006225,-0.089,0.039357,0.080614,-0.041475,-0.10563,-1
0.000947,-0.063287,-0.10436,0.026233,-0.010041,-0.007836,0.064079,0.001728,-0.06154,-0.021499,1
0.011348,-0.17832,-0.24257,-0.17485,-0.084116,-0.038701,-0.1359,-0.060415,-0.020896,-0.020559,-1
1.5921,0.21547,-0.10953,0.033956,-0.11289,-0.047515,0.071276,0.007179,0.019493,-0.083707,1
0.036759,-0.038761,-0.053482,0.035979,-0.014863,-0.015179,0.035646,-0.008977,-0.032718,-0.035373,1
1.583,-0.087486,-0.068278,0.011323,-0.02609,-0.011618,0.01168,0.039415,-0.011087,-0.059167,-1
0.007927,-0.12203,-0.040503,-0.045206,-0.004469,-0.017389,0.055701,-0.005049,-0.046821,-0.044363,-1
0.026175,-0.12205,-0.047992,-0.026785,-0.012735,0.029715,0.044884,0.009651,-0.02306,-0.036879,-1
0.016583,-0.14217,-0.17608,-0.10356,-0.04181,-0.015493,-0.013856,-0.01832,-0.030587,-0.059384,-1
1.6077,0.37387,-0.062599,-0.012519,-0.020274,0.047933,0.015701,-0.029126,0.032,0.028051,-1
1.4882,0.26767,0.065217,-0.11731,-0.05566,-0.20059,-0.00648,0.054419,-0.038895,-0.078926,1
1.4763,-0.13672,-0.043255,0.088553,0.094851,0.088738,-0.13886,0.10051,-0.003327,-0.077004,-1
