@relation S_TCAed_data_dim10_PDE_for_EQ_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.042925,0.17155,0.005967,-0.50399,0.17184,-0.049039,-0.02138,0.10795,0.033575,-0.11093,-1
0.39123,-0.005984,0.15656,-0.007675,0.13307,-0.16311,-0.008025,0.10271,0.025157,0.021492,-1
0.10679,0.10697,0.12927,-0.089934,-0.073991,0.009714,0.066989,0.059553,-0.11428,0.060973,-1
-0.035731,0.035197,0.063721,-0.057189,-0.058013,0.052297,0.001403,0.05706,-0.13783,0.014205,1
0.12929,0.12549,0.28772,0.020606,0.40185,0.64902,0.17771,0.025841,-0.000574,0.061946,-1
0.028567,0.037391,0.08265,-0.090128,-0.11621,0.1219,0.020137,0.044179,-0.13674,0.012099,1
-0.10968,0.066287,0.056374,-0.05101,-0.040346,0.011,-0.020211,0.042734,-0.12341,0.067658,1
0.039099,0.029042,0.075119,0.005636,0.10392,-0.091436,-0.000257,0.060557,-0.028058,0.002986,-1
0.14067,-0.019549,0.050214,0.001389,0.041326,-0.043261,0.019923,0.039465,-0.059095,0.010114,-1
-0.072048,0.000627,-0.013957,0.038124,0.070275,-0.045734,0.012585,0.033942,-0.037226,-0.002578,-1
-0.035225,-0.021023,-0.02439,0.041022,0.06104,-0.037538,0.017032,-0.001855,-0.041228,-0.012582,-1
0.034603,0.037433,0.089209,-0.01388,0.076136,-0.080531,0.011786,0.064403,-0.046594,0.006855,1
-0.39449,-0.014753,-0.28132,-0.70149,0.43331,-0.11343,0.012518,0.085262,-0.041106,0.035396,-1
0.68232,0.046308,0.24442,-0.050603,0.057997,-0.10775,0.009037,0.086364,-0.055298,0.048963,-1
0.26824,0.1794,0.20947,-0.1556,-0.055476,-0.026344,0.035943,-0.005319,-0.081306,0.031057,1
-0.074003,0.069561,0.081587,-0.096267,0.001846,0.12971,-0.036794,0.059192,-0.051408,-0.01052,-1
0.32343,0.13825,0.051939,0.009792,0.098623,-0.088343,-0.030772,0.057029,-0.048227,-0.013905,-1
0.06914,-0.035757,0.059451,0.01681,0.084959,-0.0419,-0.096126,0.026138,-0.037667,-0.035265,1
0.091882,0.12678,0.42909,0.06553,0.65237,0.90893,0.04243,0.094815,-0.07811,0.032907,-1
0.028102,0.092592,0.14546,-0.39759,-0.21919,0.062252,-0.16897,0.073026,0.17305,0.018695,1
0.31304,0.37637,-0.079272,0.016398,0.019713,-0.009961,-0.001223,-0.13475,-0.10235,-0.061273,1
-0.043398,0.001114,0.029456,-0.012392,-0.014809,0.012576,0.038274,0.004875,-0.09251,0.016846,-1
0.20515,0.046871,0.17859,-0.076139,0.068227,-0.07984,-0.020032,0.063784,-0.069579,-0.00627,-1
0.09941,-0.003195,0.084253,-0.012802,0.05371,-0.047452,-0.000347,0.035097,-0.082328,-0.000027,-1
0.32011,0.19671,0.35126,-0.2947,0.70432,0.26605,0.068882,0.074005,0.12361,-0.035839,-1
0.18841,0.21925,0.60895,0.3056,1.2576,1.3756,0.33695,0.030573,0.1358,0.084834,-1
-0.057855,0.012861,0.013899,0.013662,0.030863,-0.017196,0.021808,0.040708,-0.090545,0.01302,-1
0.67875,0.1207,0.3101,-0.19824,-0.10119,-0.044609,0.05021,-0.04634,-0.052409,0.085103,-1
-0.059476,0.012323,-0.001255,0.018024,0.051276,-0.028757,0.017785,0.047283,-0.083135,-0.002462,-1
-0.076976,0.070398,0.031225,-0.062751,-0.10064,0.035212,0.046776,0.1075,-0.23832,0.099375,-1
-0.041904,-0.016107,-0.002113,0.030669,0.051227,-0.015025,-0.010117,-0.000977,-0.061592,-0.015413,-1
-0.009218,0.012594,-0.003979,-0.013392,-0.001586,0.002946,0.03674,0.079445,-0.082566,0.009287,-1
0.11158,0.063614,0.11347,-0.12003,-0.10361,0.31384,-0.028843,0.09636,-0.13428,0.046803,-1
-0.084284,0.019728,0.005421,-0.00952,0.008442,-0.008676,0.033082,0.070131,-0.06878,0.004627,1
-0.074045,0.015344,-0.001296,0.024191,0.056989,-0.035033,0.006665,0.039223,-0.059836,0.002682,-1
0.072431,0.072329,0.13797,-0.056436,0.015863,-0.024984,0.022192,0.028498,-0.1458,0.001481,-1
0.049409,0.06731,0.47368,0.10168,0.69942,0.94557,-0.067665,0.045328,-0.00559,0.035218,-1
-0.090496,0.026242,0.04684,-0.10481,-0.1224,0.027746,0.086756,0.1022,-0.10533,0.052484,-1
0.059117,0.063682,0.12672,-0.066445,0.029664,-0.054716,0.028871,0.030902,-0.10967,0.012465,-1
-0.028416,0.00426,0.020883,0.002433,-0.001907,0.013239,-0.002124,0.000539,-0.091553,0.00802,1
0.13606,0.030003,0.076672,0.009366,0.096276,-0.074289,0.025289,-0.10031,-0.072534,-0.039056,-1
-0.010763,0.001606,-0.013734,0.017359,0.056936,-0.030933,0.016117,0.001354,-0.062394,-0.000094,1
-0.016458,0.11022,0.11199,-0.054355,0.005211,0.24445,0.070704,0.096509,-0.17194,0.11237,-1
