@relation S_TCAed_data_dim10_PDE_for_ML_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.20765,-0.1309,0.1112,0.047815,-0.15332,-0.017581,-0.021569,-0.066887,0.046452,-0.052542,-1
0.33134,-0.13879,-0.015772,0.12241,0.028022,0.001944,-0.039745,-0.077706,-0.03152,0.0436,-1
0.26489,-0.12665,0.2147,-0.037065,0.11311,-0.016648,0.063059,0.050252,-0.024942,-0.023983,-1
0.16829,-0.1925,0.1342,-0.088277,0.037757,-0.021585,0.034389,0.038485,0.012199,-0.006258,1
0.13595,-0.10987,0.2389,-0.11721,0.016171,-0.12829,-0.33274,0.30685,0.11007,-0.034105,-1
0.13113,-0.13361,0.23632,-0.10196,0.099403,0.019076,0.046785,0.080088,-0.082373,-0.038141,1
0.15665,-0.19358,0.17639,-0.1052,0.024574,-0.008424,0.030637,0.030156,0.025997,0.005994,1
0.18569,-0.23071,-0.034736,0.010729,-0.005091,-0.010992,-0.007225,-0.033724,0.006822,0.018315,-1
0.22038,-0.19352,0.034521,0.004799,0.039554,-0.010749,0.012187,-0.006599,-0.025593,-0.010044,-1
0.14952,-0.24323,-0.062585,-0.054907,-0.016536,-0.009225,0.012893,-0.009623,0.014669,0.006952,-1
0.16245,-0.23685,-0.060424,-0.045838,-0.016242,-0.019638,0.012709,-0.012321,0.027865,-0.000977,-1
0.18732,-0.22136,-0.003845,0.006528,0.003574,-0.008872,0.00049,-0.026854,0.019133,0.018526,1
0.18151,-0.23111,-0.01889,-0.011088,-0.050088,0.013884,0.007496,-0.043587,0.07032,-0.088485,-1
0.59997,0.074252,0.068421,0.097982,0.11123,-0.02062,-0.065353,-0.051975,-0.076051,0.023115,-1
0.30298,-0.10951,0.32754,0.068773,0.041409,-0.03824,0.033984,0.017739,-0.013347,-0.014194,1
0.16066,-0.17158,0.19236,-0.12656,-0.02938,-0.027136,-0.066218,0.059082,0.06485,0.021886,-1
0.35647,-0.10884,-0.047337,0.065421,-0.039771,-0.03784,0.005881,-0.021067,-0.014844,0.039632,-1
0.20847,-0.20647,-0.03522,0.0112,-0.007469,-0.016183,-0.014629,-0.036441,0.018099,0.022387,1
0.10318,-0.15149,0.080086,-0.10589,0.002171,-0.18355,-0.38444,0.30626,0.10231,-0.02951,-1
0.22655,0.017679,0.6827,-0.13415,-0.04698,0.084359,0.10072,0.006282,0.34468,0.11392,1
0.337,-0.078908,0.006457,0.081788,-0.10321,-0.089718,0.07919,0.086955,-0.021421,0.000191,1
0.17471,-0.21481,0.085905,-0.064873,0.078592,-0.01357,0.042682,0.044551,-0.034463,-0.049474,-1
0.24854,-0.18052,0.082906,0.059201,0.021512,-0.022612,-0.033971,-0.045013,0.005211,0.014855,-1
0.20815,-0.20214,0.018546,0.00561,0.021435,-0.023933,-0.006206,-0.022319,0.000368,0.008796,-1
0.18499,-0.14711,-0.015862,0.21596,0.018628,-0.19894,-0.49803,0.22003,0.095034,-0.10893,-1
-0.041125,-0.096027,-0.16093,-0.025117,0.082975,-0.47459,-0.88033,0.6691,0.1512,-0.1289,-1
0.15016,-0.2261,-0.013327,-0.066686,0.004844,-0.002865,0.015895,0.004363,-0.001119,-0.001313,-1
0.44511,-0.022182,0.48986,0.20469,0.21448,0.009726,0.050278,0.069664,-0.1382,-0.051664,-1
0.15353,-0.2406,-0.03897,-0.063829,-0.010827,-0.018343,0.019752,-0.004137,0.025773,0.005961,-1
0.16683,-0.21249,0.081754,-0.099475,-0.011547,-0.015891,0.025954,0.003757,0.040701,0.00867,-1
0.15752,-0.23094,-0.035341,-0.050524,-0.004383,-0.020808,0.004365,-0.006306,0.015126,-0.002703,-1
0.16441,-0.22533,-0.007327,-0.074169,-0.021624,-0.002888,0.022548,-0.004596,0.029022,0.018986,-1
0.20936,-0.10588,0.3543,-0.14557,0.028881,-0.012982,-0.031242,0.10314,0.037259,0.002077,-1
0.15214,-0.23214,-0.010026,-0.07314,-0.038027,-0.001536,0.008446,-0.017245,0.024301,0.002865,1
0.14489,-0.23199,-0.0446,-0.056774,-0.005279,-0.011315,0.006849,-0.003276,0.006823,0.005547,-1
0.21366,-0.16117,0.082664,-0.00374,0.032214,-0.029293,0.007079,-0.019253,0.048595,-0.006671,-1
0.08484,-0.15983,0.12304,-0.086852,0.097621,-0.17061,-0.42,0.33301,-0.029804,-0.041595,-1
0.17723,-0.2239,0.1399,-0.11283,0.010006,0.019965,0.009197,0.002499,-0.047879,-0.039491,-1
0.22191,-0.16398,0.11462,-0.011144,0.024716,-0.02215,0.025243,-0.028358,0.085149,0.027509,-1
0.16103,-0.20783,0.052197,-0.062815,0.052169,-0.024812,0.013782,0.035764,-0.020094,-0.02939,1
0.2555,-0.18556,-0.031729,0.069918,-0.02707,-0.076021,0.006456,-0.038109,0.057151,-0.019864,-1
0.16653,-0.24466,-0.05516,-0.054146,-0.022604,-0.020267,0.0182,-0.010991,0.048534,0.020227,1
0.16114,-0.18358,0.14958,-0.11453,-0.032365,-0.035634,-0.10352,0.081593,0.049141,-0.013679,-1
0.3771,-0.09532,0.15139,0.18533,-0.033321,-0.11908,-0.002299,-0.019336,-0.028039,0.02098,-1
0.2589,-0.1337,0.19702,0.061111,0.04582,-0.074078,0.010935,-0.032439,0.12706,-0.04875,-1
0.19423,-0.13636,0.21794,-0.12699,-0.017419,-0.032233,-0.14277,0.10608,0.062515,0.051139,-1
0.70101,0.07526,0.095613,0.43775,0.02976,-0.096262,-0.082552,-0.15542,-0.056296,0.078796,-1
0.14709,-0.24274,-0.042558,-0.06269,-0.013,-0.013834,0.012989,-0.005511,0.017879,0.013136,-1
0.26113,-0.15997,0.11006,0.037382,0.055302,-0.004019,-0.016797,-0.024064,-0.019956,0.018369,1
0.17002,-0.21757,0.052038,-0.084369,0.021031,-0.005764,0.023043,0.020653,-0.018815,-0.026387,-1
0.22368,-0.18579,0.04379,0.021718,-0.000272,-0.038647,-0.021194,-0.035929,0.035642,-0.004304,-1
0.34547,-0.075354,0.1331,0.054123,-0.004926,-0.064571,0.001073,-0.021977,0.072428,0.024418,-1
0.16234,-0.23024,0.021293,-0.070173,0.04352,-0.016591,0.011739,0.022266,-0.031269,-0.019733,-1
0.17062,-0.21551,0.047388,-0.081186,0.000445,-0.002259,0.008845,0.00591,-0.002762,-0.000753,1
0.28912,-0.09708,0.11225,-0.003283,0.006023,-0.064259,0.041951,0.005997,0.061462,-0.002902,-1
0.69402,0.16852,0.075656,-0.032761,0.076621,-0.045853,-0.048259,-0.029693,0.016725,0.008104,-1
0.34313,-0.096689,-0.007195,0.1314,-0.000284,-0.060986,-0.085353,-0.008083,-0.001944,0.029538,-1
0.22981,-0.19974,-0.000144,0.045106,-0.021756,0.024039,-0.012071,-0.055096,0.041474,-0.076995,-1
0.48706,-0.011633,-0.0331,0.14749,0.053602,0.017977,-0.073013,-0.097064,-0.011597,0.03402,-1
0.16042,-0.23622,-0.022474,-0.066992,0.008004,-0.009789,0.00733,0.004853,-0.008205,-0.0011,1
0.21477,-0.11889,0.30534,0.043806,0.07323,0.020858,-0.030069,0.000911,-0.002887,0.047801,-1
0.16175,-0.2334,-0.023059,-0.064219,0.01323,-0.012549,0.017779,0.009657,-0.017203,-0.008739,-1
0.15297,-0.22488,0.020062,-0.063621,0.021661,-0.005524,0.03006,0.017345,0.002616,-0.006816,-1
0.19438,-0.17079,0.42533,-0.11348,0.27164,0.028876,0.10566,0.13911,-0.17626,-0.12709,-1
0.18822,-0.084961,0.44238,-0.17304,-0.010519,0.012369,0.054314,0.03358,0.14878,0.094713,1
0.17221,-0.23413,0.16321,-0.080154,0.15919,0.006874,0.038589,0.089058,-0.16417,-0.084411,-1
0.13861,-0.010346,0.80907,-0.22201,0.12813,0.085306,0.10397,0.18199,0.098254,0.08984,1
0.44812,0.001206,0.51065,0.21137,0.10497,-0.005238,0.034263,0.006555,0.002271,-0.012442,-1
0.17452,-0.18028,0.18398,-0.087716,0.056129,0.002715,0.053846,0.0472,0.029318,-0.007885,-1
0.26806,-0.17439,-0.045606,0.0498,0.013671,0.001039,-0.032514,-0.062045,0.001488,0.028569,-1
0.16111,-0.23843,-0.064633,-0.042213,-0.015008,-0.020794,0.017727,-0.01324,0.035634,-0.00154,-1
0.17404,-0.20583,0.11412,-0.071313,0.026701,-0.021103,0.022082,0.02906,0.03505,0.007259,-1
0.14149,-0.22729,-0.013069,-0.062293,0.008524,-0.009615,0.01755,0.007591,0.00648,-0.000931,-1
0.21892,0.13522,0.58091,-0.007057,0.036118,-0.011907,0.15456,0.16727,-0.080578,-0.034405,1
