@relation T_TCAed_data_dim10_EQ_for_JDT_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.062283,-0.040208,-0.02745,-0.027861,-0.06972,-0.043671,-0.041036,-0.002228,-0.062121,-0.012632,1
-0.061973,-0.16216,0.026719,-0.26635,-0.39115,-0.44484,-0.10985,0.056796,-0.31489,-0.048041,1
-0.040688,-0.17893,-0.047681,-0.027649,-0.017268,-0.053096,0.064155,0.006162,-0.24401,0.2553,-1
-0.14709,0.026724,0.082021,-0.20144,-0.19377,-0.21974,-0.037306,0.042241,-0.13696,-0.026427,1
-0.029016,0.025718,0.025462,-0.004955,0.030353,-0.023867,0.010606,-0.064426,-0.006605,-0.006876,1
0.000478,-0.017633,-0.020231,0.045245,0.039292,0.064504,0.011906,-0.012719,0.052225,0.00558,-1
0.16351,0.14924,-0.084813,-0.048724,-0.078354,-0.054163,-0.020985,0.005858,-0.12109,-0.004532,1
0.003287,-0.019026,-0.019363,0.042571,0.036052,0.060473,0.012299,-0.012723,0.053219,0.006447,-1
-0.016625,-0.043911,-0.008531,-0.14669,-0.14439,-0.19769,-0.040512,0.036114,-0.15158,-0.040542,1
-0.006253,-0.04486,-0.018642,-0.018087,-0.010137,-0.020335,-0.007167,0.001813,-0.014711,-0.004921,1
-0.063868,-0.1629,-0.021985,0.007201,-0.006639,0.01438,0.10902,0.023833,-0.079042,0.11093,-1
-0.024492,-0.017088,0.09672,-0.064347,0.13837,-0.048179,-0.005448,0.02768,0.014686,-0.065787,1
-0.01215,-0.028673,-0.015348,0.045972,0.040952,0.060675,0.007324,-0.013226,0.052437,0.005311,-1
-0.000882,-0.014148,-0.018687,0.042373,0.033379,0.062911,0.012314,-0.014745,0.049953,0.003985,-1
0.14364,-0.006827,0.021331,0.024317,0.029737,0.038256,-0.025924,-0.02253,0.040533,-0.012607,-1
0.003287,-0.019026,-0.019363,0.042571,0.036052,0.060473,0.012299,-0.012723,0.053219,0.006447,-1
0.1043,0.13825,0.16214,0.048745,-0.048418,-0.080191,-0.015332,0.24937,0.075789,0.083139,1
0.000198,-0.015906,-0.019822,0.041932,0.03451,0.059928,0.011645,-0.012299,0.051344,0.005618,-1
0.026096,0.17244,0.080149,-0.14442,-0.16028,-0.12396,0.005947,-0.018892,-0.097554,-0.075225,1
0.000478,-0.017633,-0.020231,0.045245,0.039292,0.064504,0.011906,-0.012719,0.052225,0.00558,-1
-0.034594,-0.012338,-0.007346,0.004275,-0.001618,0.033013,-0.001582,-0.020109,-0.002603,-0.028232,-1
-0.035098,0.045511,-0.008636,-0.047133,-0.050697,0.005285,0.029339,-0.045697,0.01105,0.009968,-1
0.031771,0.013538,0.033138,0.042226,0.09428,-0.066814,-0.025377,-0.039983,-0.001044,0.011255,1
0.000478,-0.017633,-0.020231,0.045245,0.039292,0.064504,0.011906,-0.012719,0.052225,0.00558,-1
-0.005696,0.00033,-0.004172,0.020333,0.007161,0.054547,0.004215,-0.024247,0.022118,-0.02024,-1
-0.054789,0.004796,0.038453,-0.017774,0.03236,0.046157,0.011742,-0.022216,0.011106,-0.045552,-1
-0.00491,-0.02583,-0.017682,0.033468,0.027502,0.056793,0.010339,-0.012188,0.051117,0.006243,-1
0.001031,-0.017822,-0.019884,0.044423,0.038055,0.064543,0.011138,-0.014449,0.052084,0.004518,-1
