@relation T_TCAed_data_dim10_EQ_for_PDE_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.0469,0.089496,0.002164,-0.04826,-0.074182,0.046396,0.012519,0.027704,-0.012344,-0.007359,1
-0.086735,0.13121,0.174,-0.38745,-0.70966,0.2458,0.14557,0.091909,0.46218,0.23956,1
-0.022668,-0.002262,0.076544,-0.036812,0.015311,0.17635,-0.071356,0.044134,-0.032343,-0.02793,-1
-0.000321,0.095293,0.13991,-0.25267,-0.40852,0.19581,0.021706,0.027343,0.16681,0.091194,1
0.13191,0.02455,0.098963,-0.033188,0.03731,-0.03777,0.005889,0.000545,-0.077926,-0.009399,1
-0.053324,-0.038113,-0.054472,0.065255,0.073427,-0.054119,0.008563,0.018044,0.005281,-0.008173,-1
0.1143,0.11522,0.073276,-0.021491,0.000237,-0.016134,0.085084,0.094794,0.019208,0.044412,1
-0.044688,-0.041062,-0.053987,0.064388,0.06629,-0.047818,0.008991,0.017478,0.001903,-0.004041,-1
-0.015774,0.051342,0.11615,-0.2302,-0.4011,0.16401,0.10046,0.088326,0.099323,0.1677,1
-0.007918,-0.045587,-0.009787,-0.004118,-0.054259,0.056699,-0.047694,-0.031512,-0.036294,0.014699,1
-0.056197,-0.022862,0.034061,0.013795,0.10005,0.093756,-0.017797,0.015352,-0.030704,-0.015158,-1
0.48299,-0.16328,-0.023221,-0.005579,-0.10227,0.064905,0.011931,-0.39115,-0.095705,-0.10294,1
-0.045238,-0.036967,-0.044739,0.056994,0.063113,-0.052955,0.006882,0.013806,-0.000909,0.002815,-1
-0.056428,-0.034971,-0.04825,0.063268,0.071718,-0.051675,0.008028,0.016325,0.00246,-0.005439,-1
0.12691,0.11548,0.00638,0.035464,0.12067,-0.11612,-0.03135,-0.044959,0.041728,0.028239,-1
-0.044688,-0.041062,-0.053987,0.064388,0.06629,-0.047818,0.008991,0.017478,0.001903,-0.004041,-1
0.026909,0.028375,-0.037689,-0.20228,-0.007296,-0.01676,-0.01453,-0.073005,0.17944,-0.098637,1
-0.048399,-0.040022,-0.053092,0.064551,0.067159,-0.048699,0.009827,0.016524,0.003345,-0.004855,-1
0.032214,0.23071,0.045456,-0.15677,-0.22641,0.1319,-0.06838,-0.059117,-0.027107,0.0467,1
-0.053324,-0.038113,-0.054472,0.065255,0.073427,-0.054119,0.008563,0.018044,0.005281,-0.008173,-1
-0.026287,-0.015354,0.018117,0.013655,0.011785,0.002168,0.02237,-0.008359,-0.052789,0.013273,-1
-0.078756,0.031645,0.028567,-0.013613,-0.007041,0.020744,0.024224,0.044779,0.008873,-0.004764,-1
0.28388,-0.010486,0.1291,-0.032564,0.058813,-0.085454,-0.012859,-0.001056,-0.009708,-0.005353,1
-0.053324,-0.038113,-0.054472,0.065255,0.073427,-0.054119,0.008563,0.018044,0.005281,-0.008173,-1
-0.052504,-0.026257,-0.002859,0.041755,0.044999,-0.024333,0.015241,-0.029986,-0.029041,0.003058,-1
0.041753,-0.081189,0.011369,0.035987,0.011344,0.010676,0.029149,-0.17369,-0.086183,-0.034869,-1
-0.045924,-0.020045,-0.060502,0.066909,0.05128,-0.056369,0.03067,0.013024,0.020897,-0.001968,-1
-0.054108,-0.038127,-0.051758,0.065014,0.073315,-0.053854,0.008943,0.016972,0.003484,-0.006798,-1
-0.033944,0.025399,-0.021643,0.023766,0.016471,-0.00726,0.032175,0.03713,-0.051281,0.029104,1
0.11641,0.1509,0.22419,-0.29337,-0.2924,-0.01546,-0.035905,-0.04987,0.29597,0.034493,1
-0.048399,-0.040022,-0.053092,0.064551,0.067159,-0.048699,0.009827,0.016524,0.003345,-0.004855,-1
-0.054108,-0.038127,-0.051758,0.065014,0.073315,-0.053854,0.008943,0.016972,0.003484,-0.006798,-1
-0.10475,-0.007513,0.045951,-0.066028,-0.079753,0.060105,-0.02858,0.049928,-0.022257,-0.000677,-1
-0.048399,-0.040022,-0.053092,0.064551,0.067159,-0.048699,0.009827,0.016524,0.003345,-0.004855,-1
0.029456,0.001619,0.053351,0.027675,0.11788,-0.11202,0.000208,0.044514,0.010491,0.00018,-1
0.000708,-0.048326,-0.029106,0.047341,0.044153,-0.025701,0.023272,-0.059277,-0.059607,-0.016896,-1
-0.008118,0.005461,0.021045,0.025888,0.05398,0.17266,-0.11822,0.002609,-0.065118,-0.031825,1
-0.03851,-0.038243,0.018004,-0.016042,-0.039616,0.011059,0.059946,0.069754,-0.006133,-0.061915,1
-0.048399,-0.040022,-0.053092,0.064551,0.067159,-0.048699,0.009827,0.016524,0.003345,-0.004855,-1
0.039826,-0.09584,-0.04267,0.055844,-0.013493,0.03704,0.019775,-0.063739,-0.013829,0.010568,1
0.059552,-0.089123,-0.048958,0.052823,-0.002262,0.022441,0.03354,-0.057075,-0.027151,0.001615,1
0.048592,0.12651,0.12524,-0.197,-0.3559,0.12776,0.12507,0.054139,0.12598,0.19987,1
-0.085294,-0.006676,0.037301,-0.008359,0.018046,0.10249,-0.088658,0.010679,-0.017177,0.01083,1
-0.023226,-0.033946,0.001123,0.023129,-0.037699,0.02342,-0.01183,-0.045547,-0.036127,0.032616,-1
-0.044315,0.04346,0.049693,-0.11815,-0.19083,0.091313,0.068524,0.052389,0.022755,0.008572,-1
-0.044112,-0.043911,-0.039256,0.060821,0.055629,-0.041846,0.015446,0.006844,-0.003307,0.004996,-1
-0.061913,-0.038301,-0.040582,0.055127,0.06013,-0.052597,0.022384,0.015612,-0.00239,0.00341,-1
0.27208,-0.041055,0.094528,0.017722,0.085666,-0.099389,-0.007447,0.06555,0.016612,0.019324,1
-0.051167,-0.018463,0.025568,-0.072183,-0.082318,0.076219,-0.104,-0.071037,-0.12039,-0.000201,-1
-0.10803,-0.040725,0.07755,-0.11776,-0.16567,0.064412,0.084988,0.080915,0.089535,-0.11526,1
-0.021663,-0.020779,-0.000877,0.020912,-0.004337,0.013149,0.012804,0.007585,-0.057418,0.010726,-1
-0.023827,-0.003124,0.023295,-0.054587,-0.074229,0.04382,0.043933,-0.013071,-0.068594,0.017946,-1
-0.046796,-0.015531,-0.020726,0.032841,0.0422,-0.005113,-0.04337,0.044275,-0.047396,-0.006567,1
-0.051989,-0.017454,-0.031117,0.051787,0.064044,-0.04345,-0.008578,0.007214,0.00657,0.009436,-1
-0.055249,-0.037682,-0.002906,0.053976,0.062763,-0.043572,0.01915,-0.061189,-0.032588,-0.013314,1
-0.021299,0.018518,-0.048674,0.00607,-0.095129,0.018983,0.036944,-0.031468,0.071262,-0.009821,-1
-0.041081,0.030993,0.068012,-0.080474,-0.16758,0.12539,0.043007,-0.035571,-0.015573,0.084487,-1
-0.022979,-0.06128,0.056662,-0.089824,-0.10939,0.10191,0.017394,0.10917,0.013917,-0.095164,1
-0.054108,-0.038127,-0.051758,0.065014,0.073315,-0.053854,0.008943,0.016972,0.003484,-0.006798,-1
