@relation T_TCAed_data_dim10_ML_for_LC_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.2563,0.20429,0.087593,-0.005609,-0.043408,0.004212,-0.095913,-0.11221,-0.096058,0.01746,-1
0.20315,-0.11182,0.002048,-0.072397,-0.014728,-0.082051,0.003032,0.10019,0.036171,0.028941,1
-0.27802,-0.019672,0.059293,-0.005246,-0.049186,0.03357,-0.031318,0.007795,0.008122,-0.000667,1
0.22336,0.015492,0.08456,0.056258,0.039877,-0.052227,0.031354,-0.11306,0.096041,-0.086933,-1
0.2269,0.004508,-0.10648,0.020686,0.026109,0.04024,0.051547,0.00726,0.11425,-0.053139,-1
0.096576,-0.16083,-0.019743,-0.013395,-0.052594,0.049046,-0.021478,-0.021022,-0.003219,-0.013539,-1
0.28617,0.13901,0.058439,-0.09639,-0.098904,-0.032665,-0.16466,-0.046463,-0.097982,0.099388,-1
-0.26022,0.021876,0.02845,0.021339,-0.02728,-0.031871,-0.017927,-0.005052,0.027427,-0.020272,-1
0.14246,-0.13763,0.026011,-0.047727,-0.023351,0.006507,0.006462,0.005286,0.001902,0.016202,-1
-0.26101,0.04296,0.010304,-0.010961,-0.033812,-0.043926,-0.021112,0.065191,-0.010011,-0.061626,-1
0.01254,0.00394,-0.25218,-0.004074,0.1213,-0.048325,0.02709,0.003148,-0.20654,-0.18161,-1
-0.26367,-0.013898,0.066693,-0.018931,-0.058745,0.01201,-0.036959,0.009343,0.015571,-0.000018,-1
0.098065,-0.13525,-0.050085,0.12046,0.020092,0.006996,0.001928,-0.004345,-0.049243,-0.003578,-1
-0.26648,0.24946,-0.063485,-0.063851,0.066511,-0.003342,0.12199,0.050806,-0.13331,-0.088838,-1
-0.24874,0.05219,0.003077,-0.042354,0.017608,-0.037012,-0.025208,0.050662,-0.046931,-0.019004,1
-0.22883,0.002743,0.047525,0.012615,-0.025706,-0.015875,-0.014577,0.010291,0.041994,0.000944,-1
0.10835,-0.13195,-0.006295,-0.017734,-0.053868,0.0366,-0.023564,-0.001743,0.000463,-0.010259,-1
0.14041,-0.086992,-0.016243,-0.010936,0.042446,0.014671,-0.007692,0.008778,0.040517,-0.004104,-1
-0.27504,-0.02635,0.06516,-0.006719,-0.064215,0.031659,-0.028424,0.004691,0.010085,0.002909,-1
-0.2532,0.016627,0.037505,-0.018458,0.0013,0.020774,-0.025988,0.048162,-0.006579,-0.002027,-1
-0.22546,0.030568,0.085599,0.006147,0.035557,0.013803,-0.011981,0.001301,0.071791,0.007915,-1
-0.30196,0.07676,-0.15307,0.004748,0.11262,-0.13844,0.028369,-0.052478,-0.034347,0.06025,-1
-0.2793,0.12149,-0.007682,-0.017399,0.08555,0.03406,0.033929,0.023512,0.01187,-0.036583,-1
-0.26627,-0.001994,0.071083,0.007145,-0.047713,0.026463,-0.03154,-0.001636,0.019317,-0.017588,-1
0.079728,-0.10881,-0.090271,0.000887,0.008927,-0.026587,-0.012252,-0.003131,-0.017367,-0.037702,-1
0.29441,0.14207,0.13569,0.009305,-0.007565,-0.054049,0.008466,-0.085271,0.053006,-0.057625,-1
0.36416,0.14714,0.11291,-0.11107,0.032128,-0.08895,0.040257,0.14837,0.041243,0.056816,-1
-0.24823,0.066076,-0.083394,0.019515,0.036963,-0.15424,0.008492,-0.071751,0.032369,0.067165,-1
-0.26047,0.087616,0.16827,0.073281,0.02826,0.055771,-0.015228,-0.091071,0.062515,-0.059056,1
-0.047579,0.13395,0.12989,-0.089697,0.18545,0.033106,0.024486,0.13127,0.070386,0.066102,-1
0.15891,-0.061242,0.028526,-0.049084,-0.000147,0.017748,-0.007933,0.047491,0.010302,0.018084,-1
0.10967,-0.11189,-0.021125,0.000884,-0.021254,0.029441,-0.01465,-0.032888,0.006639,-0.004532,-1
0.13391,-0.043323,-0.1859,0.001825,-0.021459,0.07119,0.022042,0.042303,0.0524,-0.012536,-1
0.18022,-0.11618,0.079977,0.21964,0.002989,0.030956,0.001255,-0.085981,0.0262,-0.089945,-1
0.12689,0.063443,-0.060431,-0.007433,0.005865,-0.060252,0.033633,0.020752,-0.10375,-0.080845,-1
0.16693,-0.05961,0.040665,-0.006459,-0.023332,-0.002597,0.11486,0.020386,0.076094,-0.033052,-1
0.17447,-0.058557,-0.018616,-0.041937,-0.006451,-0.013216,-0.011185,0.031748,0.015202,0.021448,-1
0.10602,-0.080636,-0.085226,-0.022949,0.011713,-0.043901,-0.005815,0.004571,-0.027317,-0.010433,-1
0.095168,-0.15588,-0.012284,0.00737,-0.043489,0.060386,-0.018883,-0.02547,-0.004469,-0.015445,-1
0.089967,-0.11199,-0.085249,-0.01976,0.002,-0.012365,-0.011656,-0.029632,-0.037176,-0.017732,-1
0.19768,-0.009989,0.06257,-0.054864,-0.051199,0.007246,-0.042337,0.067424,0.003941,0.021056,-1
-0.27809,-0.02644,0.061996,-0.005288,-0.076501,0.026109,-0.024748,0.009188,0.005163,0.000396,-1
-0.30765,0.085039,-0.046746,-0.010944,0.1522,0.051056,0.010412,0.019114,-0.11185,-0.044553,1
-0.27802,-0.019672,0.059293,-0.005246,-0.049186,0.03357,-0.031318,0.007795,0.008122,-0.000667,1
0.19866,0.058649,-0.043516,-0.050923,0.092057,-0.12246,-0.008314,0.15474,0.043322,-0.034195,-1
0.11279,-0.11942,-0.019986,0.004994,0.0216,0.026735,-0.004575,-0.024586,0.040108,-0.004979,-1
0.1761,0.074618,-0.043907,-0.074799,-0.011188,-0.060292,0.006356,0.1374,-0.10213,-0.09177,1
-0.047287,0.11829,-0.44141,0.013628,0.077691,0.032083,0.065739,0.013506,-0.17539,-0.19933,-1
0.12645,-0.12988,-0.04981,-0.022063,-0.008855,-0.005754,-0.014481,0.002363,0.026113,-0.004061,-1
-0.21895,0.039399,0.054052,-0.003425,-0.001171,-0.031098,-0.027057,0.05788,0.060419,0.001816,-1
-0.2757,-0.025896,0.062572,-0.004613,-0.073323,0.026245,-0.030003,0.009403,0.008395,-0.000382,-1
0.094182,-0.12569,-0.003146,-0.010758,-0.033543,0.04542,-0.015648,0.001202,0.006858,-0.007973,1
0.094463,-0.12539,-0.029347,0.016052,-0.008898,0.029994,-0.005943,-0.059161,0.018154,-0.029011,-1
-0.33241,-0.056049,0.13915,-0.04811,-0.22412,0.040453,0.51331,-0.038297,-0.066006,0.026244,1
0.17601,-0.069731,-0.008905,-0.043824,0.014317,-0.054633,-0.000366,0.017066,0.045563,-0.018627,-1
-0.24911,0.063845,0.10674,-0.001445,-0.080513,0.04134,-0.057053,-0.022159,-0.016359,0.023197,-1
0.10249,-0.11071,-0.011851,0.005138,-0.01014,0.013745,-0.00399,-0.04392,0.025578,-0.023221,-1
0.079169,-0.044185,-0.13814,-0.022463,0.082845,-0.072394,0.005662,0.034621,-0.060082,-0.051782,-1
0.089794,-0.1287,-0.028722,0.017564,-0.015195,0.031681,-0.009419,-0.049937,0.016606,-0.023436,-1
0.10478,-0.047107,-0.072542,-0.024593,0.14989,-0.038022,0.043033,-0.042333,-0.048555,-0.032757,-1
-0.25479,-0.015699,0.075329,-0.005848,-0.05198,0.034514,-0.031892,0.014041,0.017986,-0.000662,-1
0.1916,-0.02649,-0.014148,-0.062558,0.084293,0.031222,-0.000769,0.085036,-0.018468,-0.001231,-1
-0.19022,0.14979,0.13682,-0.031446,0.14071,0.074632,-0.003388,0.03228,0.007031,0.009573,-1
0.18143,-0.066562,0.040338,-0.048294,0.004883,0.031339,-0.018965,0.071034,0.033402,0.001619,-1
0.11673,-0.094762,-0.052764,-0.021218,0.051344,-0.051191,0.01417,0.001133,0.001759,-0.01829,-1
0.17165,0.002302,-0.005208,-0.06252,-0.046775,-0.04691,-0.044358,0.034016,-0.007149,0.032778,-1
0.12207,-0.10548,-0.052144,-0.010071,0.068939,-0.018846,0.015416,-0.012778,-0.003856,-0.013209,-1
-0.26681,-0.014475,0.07052,-0.010548,-0.057669,0.029526,-0.031298,0.01983,0.01727,0.001103,1
0.19764,-0.041977,0.038131,0.000833,-0.01397,0.08088,-0.040613,-0.038888,-0.017783,-0.008572,-1
-0.27506,0.1255,-0.13193,-0.002532,0.090517,-0.15232,0.011657,-0.085136,-0.043685,0.059848,-1
-0.23378,0.036494,0.10752,0.003085,0.22045,0.17626,0.002183,0.026512,0.089446,0.043923,1
0.15781,0.002678,0.044266,0.058424,-0.026356,0.005925,-0.000598,-0.08756,0.034144,-0.070011,-1
0.24338,0.16481,0.08464,-0.018306,0.024353,0.035757,-0.038245,0.007692,-0.056852,0.004792,-1
-0.27997,0.096088,-0.14152,-0.002658,0.11449,-0.15212,0.027746,-0.067529,-0.026945,0.050899,-1
0.19335,-0.025893,0.087358,-0.004951,0.078323,0.079988,-0.005065,0.022869,0.065661,-0.005055,-1
-0.18777,0.12584,0.14348,-0.003056,-0.053513,0.060422,-0.074791,-0.01913,-0.019782,0.038183,-1
-0.27689,0.043114,-0.10049,0.007787,0.03078,-0.14079,0.009532,-0.059489,0.019179,0.079078,-1
-0.24165,0.065465,0.005783,-0.003498,-0.014342,-0.064368,-0.02317,0.039393,0.002108,-0.010205,-1
0.11509,-0.032958,-0.27224,0.025746,0.091506,-0.25928,0.054495,-0.11903,0.076603,0.1678,1
0.11761,-0.10885,-0.019345,0.003405,0.009975,0.021395,-0.009531,-0.007653,0.037135,-0.003617,-1
0.083743,-0.081876,-0.070731,-0.01238,-0.00963,0.008759,-0.027753,-0.035697,-0.060066,-0.00662,-1
-0.21943,0.021058,0.080523,-0.004862,0.022451,0.061904,-0.027822,0.066626,0.049958,0.008424,1
0.28735,0.58417,-0.56928,0.00522,-0.13197,0.36729,0.077161,0.26127,0.085919,-0.14792,-1
0.082032,-0.12165,-0.048571,-0.022677,-0.022961,0.015082,-0.013481,-0.003341,-0.045537,-0.022398,-1
0.072448,-0.11585,-0.18512,0.020316,-0.000458,-0.1245,0.019586,-0.10031,0.045722,0.08777,-1
-0.27657,-0.026565,0.065018,-0.005713,-0.078739,0.027814,-0.019004,0.007341,0.00511,0.002469,-1
-0.27205,-0.024594,0.059534,-0.005223,-0.072416,0.023114,-0.036974,0.017009,0.011999,-0.002741,-1
-0.29612,0.087989,-0.081682,-0.003743,0.060651,0.026316,0.002641,0.036265,-0.019013,-0.039858,-1
-0.27658,-0.017203,0.063361,-0.002759,-0.035577,0.040861,-0.028885,0.007309,0.013392,0.00337,1
0.095252,-0.14247,-0.061664,-0.000474,-0.035303,-0.000213,-0.018516,-0.01387,0.019929,-0.008249,-1
-0.23047,0.061057,0.101,-0.007912,0.098604,0.060059,-0.011227,0.030068,0.020491,-0.010191,-1
-0.26899,0.01988,-0.006914,-0.025352,-0.022829,-0.057135,-0.016501,0.05091,-0.021548,-0.054082,-1
-0.22784,-0.003035,0.09022,-0.020454,-0.021031,0.045448,-0.04034,0.02079,0.05146,0.015227,1
-0.30519,-0.044315,0.10609,-0.0317,-0.15783,0.033889,0.26971,-0.01899,-0.038596,0.018725,-1
0.25986,0.060267,0.12869,-0.10331,0.000276,-0.007096,-0.006385,0.092977,0.022767,0.056013,1
-0.20971,0.024834,0.061627,-0.012685,-0.002549,0.00889,-0.026129,0.007088,0.047969,0.002127,1
0.16848,-0.10693,0.020616,-0.019672,-0.02664,0.009748,0.000812,-0.039214,0.029664,-0.056386,-1
-0.29448,0.000441,0.020878,-0.014023,-0.030124,0.002669,-0.023287,0.00822,-0.039089,-0.019828,-1
-0.27453,-0.00638,0.025403,0.006832,-0.046404,-0.025092,-0.031114,0.012842,0.035104,0.006647,-1
-0.28348,-0.026966,0.080678,-0.016501,-0.10255,0.032137,0.033188,-0.003735,-0.00909,0.016674,-1
0.37469,0.30287,0.12809,-0.073595,-0.011421,-0.042098,-0.000422,0.070076,0.011263,0.035199,-1
0.19111,0.21614,-0.077294,-0.069583,0.044113,0.041901,0.053322,0.11314,-0.10522,-0.080428,1
0.2142,-0.16118,0.097461,0.54842,0.02333,-0.014049,0.01452,0.081111,-0.066715,0.10558,-1
0.14049,-0.095394,-0.015602,-0.007202,-0.032107,-0.038134,0.002794,0.009825,0.017453,0.009504,-1
0.20451,-0.043606,0.061203,-0.09035,-0.058459,-0.016986,-0.021249,0.052427,-0.005829,0.045197,1
-0.27847,-0.019589,0.061195,-0.006492,-0.047677,0.032942,-0.030964,0.004937,0.00897,-0.000229,1
0.064123,-0.10978,-0.082783,-0.002663,0.012797,0.016842,-0.007857,-0.011342,-0.026401,-0.023692,-1
0.15267,-0.016092,0.045167,-0.034919,0.29271,0.073218,0.078546,-0.073933,0.041151,-0.007151,-1
0.067995,0.53705,-0.70574,0.1772,-0.061905,0.54428,0.047137,0.20139,0.077667,-0.20388,-1
-0.24301,0.035015,0.094557,0.01,0.049628,0.021467,-0.009498,0.00353,0.071186,0.014772,-1
-0.15995,0.14261,0.10053,-0.014486,0.16887,0.10177,0.046584,0.062539,0.063879,-0.025167,-1
0.13167,-0.090174,-0.023391,0.003294,0.006911,0.007244,-0.013546,0.020442,0.044882,-0.008345,-1
-0.24005,0.034255,0.097809,0.015365,-0.016229,0.041361,-0.026391,-0.008101,0.041889,-0.0251,-1
