@relation T_TCAed_data_dim10_PDE_for_JDT_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.048897,0.031006,-0.044557,0.089293,-0.098766,0.12316,0.022996,0.063224,-0.046302,-0.13522,-1
-0.041146,0.003792,0.10464,0.002974,0.054828,0.015002,-0.033145,-0.020317,0.068588,-0.03314,-1
0.001621,0.025096,-0.091917,-0.012575,-0.049029,-0.019864,-0.017969,0.016452,-0.00819,0.034102,-1
0.05594,0.001521,-0.048138,-0.022046,-0.058665,-0.015652,-0.015992,0.006811,-0.032185,0.040933,1
-0.008626,0.001524,-0.098689,0.054404,-0.12366,-0.080142,0.28081,-0.25576,-0.060335,0.03155,-1
0.14668,-0.11257,-0.11493,0.001245,-0.097212,-0.053986,0.013615,0.03811,-0.013576,0.089936,1
0.053324,0.014127,-0.13453,-0.076894,-0.019295,0.023756,-0.073261,-0.034839,0.008665,0.019052,1
-0.018343,0.00263,0.11613,-0.050928,-0.000263,0.009486,-0.034127,-0.016889,0.008928,-0.021576,-1
-0.003112,-0.028418,0.070835,-0.025322,0.02508,-0.001469,-0.037565,-0.015805,0.010107,0.011535,-1
-0.020541,-0.014644,0.12871,-0.056037,0.00068,0.004533,-0.048328,-0.021569,-0.020274,-0.000176,-1
-0.016916,-0.012372,0.12929,-0.056673,0.012502,0.005413,-0.043497,-0.018983,-0.022319,-0.002077,-1
-0.009103,0.00325,0.091407,-0.041801,-0.014252,0.005251,-0.021152,-0.003085,-0.002785,-0.013624,1
-0.056587,0.019645,0.12786,0.086622,-0.085427,0.2193,-0.030619,-0.03302,-0.014707,-0.048993,-1
-0.004797,0.099037,-0.093882,0.062002,0.047663,-0.022191,0.005442,-0.000896,0.11141,0.018772,-1
-0.015456,-0.001507,-0.10738,0.00883,-0.032374,0.005876,0.036908,0.056389,0.028989,0.016283,1
-0.020628,-0.018336,-0.061564,0.021224,-0.069374,-0.027535,0.017377,-0.031646,-0.061171,-0.005891,-1
-0.043849,0.046338,0.089192,-0.028987,0.04926,0.005132,-0.007733,-0.001547,0.013266,-0.011448,-1
-0.040473,-0.022345,0.11198,-0.036224,0.015347,-0.001738,-0.02294,-0.018327,0.006732,-0.007612,1
-0.057513,-0.027973,0.000054,0.032882,-0.1211,-0.093915,0.37063,-0.32526,-0.097905,0.016926,-1
0.012424,-0.14137,-0.3245,0.20108,-0.19083,0.053612,0.072016,0.20794,-0.079409,-0.077324,1
-0.040196,0.056648,0.046586,-0.10707,0.062942,0.008825,0.023968,0.023842,-0.003068,0.030745,1
0.008173,-0.011859,0.028913,-0.033605,-0.028248,-0.006953,-0.026567,-0.003986,-0.000095,0.058027,-1
-0.004565,0.001245,0.026966,-0.005043,-0.010088,-0.00203,-0.005273,0.009593,0.033435,-0.014078,-1
-0.007343,0.00274,0.050189,-0.035903,-0.003739,0.000527,-0.025483,-0.014325,0.016911,0.006614,-1
-0.010579,0.067753,0.13784,0.085315,-0.072228,0.05417,0.35704,-0.34961,0.030426,-0.1159,-1
-0.05471,-0.020223,0.17742,0.012971,-0.081838,-0.14325,0.72687,-0.75983,-0.11325,-0.019987,-1
-0.012918,-0.038336,0.074977,-0.048814,-0.012757,-0.00434,-0.041865,-0.013752,-0.010113,0.028717,-1
0.012514,-0.065111,-0.19751,0.069954,0.016472,-0.036889,0.050614,0.070325,0.15721,0.1078,-1
-0.01909,-0.009712,0.10044,-0.05661,-0.01122,0.005916,-0.039409,-0.012958,-0.033999,0.002147,-1
