@relation S_TCAed_data_dim10_Zxing_for_Safe_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.26578,0.30804,-0.040787,0.014192,-0.097887,0.045416,-0.076114,0.041555,0.009787,0.004348,-1
0.44932,0.3503,0.087488,-0.053667,0.013811,0.033522,-0.056205,0.024111,0.004628,0.040519,1
0.30452,0.18931,0.12022,-0.10379,0.021709,0.065695,-0.043238,-0.064258,-0.14138,0.021216,-1
0.13389,0.086545,0.072148,-0.10964,0.016798,0.043156,-0.048096,0.057077,0.10409,-0.046864,-1
-0.22235,-0.058575,0.17477,-0.11566,0.085318,0.3002,0.044079,0.028556,0.037017,0.056604,1
0.31752,0.29533,0.1242,-0.06465,-0.002283,0.084083,-0.023573,-0.004527,0.00135,0.011866,1
-0.13325,0.42145,0.030428,0.022106,0.11604,-0.050602,0.01773,-0.05366,-0.036058,-0.051955,-1
0.17354,0.24491,0.074824,0.16639,0.042002,-0.007828,0.01123,-0.05017,-0.061207,-0.091305,-1
0.23304,0.24421,0.059304,0.14233,0.020019,-0.033909,0.012821,-0.037656,-0.092095,-0.090939,-1
0.14315,0.38248,0.16945,0.099568,-0.1036,0.17289,-0.021429,0.031826,-0.04644,0.005994,-1
0.18255,0.32161,0.1253,0.14469,0.009994,0.085032,-0.071858,0.034002,-0.024515,0.044942,-1
0.010655,0.51461,0.061341,-0.074798,0.03911,0.014858,-0.031374,-0.034936,-0.006536,0.027086,-1
0.36186,0.34743,0.059927,-0.039672,-0.02037,0.077709,-0.029985,-0.004562,0.020806,-0.002829,-1
0.23242,0.32745,0.12399,0.031993,-0.027906,0.044502,0.002671,-0.017352,-0.005669,-0.030849,1
0.50478,0.39849,0.10859,-0.070759,-0.042449,-0.007936,-0.024648,0.024129,-0.000217,-0.003069,-1
0.47919,0.39729,0.11742,-0.056906,-0.023854,0.022217,-0.023575,0.0188,0.009609,-0.005887,-1
0.4783,0.38636,0.11768,-0.067838,-0.033419,0.012313,-0.030576,0.014698,-0.004263,-0.002182,-1
-1.762,0.79078,-0.022442,0.30779,0.10867,-0.1421,-0.24766,0.34523,-0.12598,0.26576,-1
0.49002,0.37086,0.074304,-0.077444,-0.045656,-0.003978,-0.027373,0.015872,-0.012308,0.006998,-1
0.26908,0.26109,0.087954,-0.05593,-0.016769,0.062432,-0.021915,-0.002642,0.054493,-0.013376,1
0.4786,0.36414,0.11059,-0.079217,-0.044788,0.005794,-0.029223,0.011584,-0.01697,0.005346,-1
0.12209,0.31833,0.060489,0.13058,-0.07751,0.063579,-0.055878,0.012394,-0.020095,0.000005,-1
0.4567,0.34681,0.12161,-0.084075,-0.044691,0.000225,-0.044756,-0.001308,-0.020792,0.002779,-1
0.49002,0.37086,0.074304,-0.077444,-0.045656,-0.003978,-0.027373,0.015872,-0.012308,0.006998,-1
