@relation T_TCAed_data_dim10_Apache_for_Zxing_flag_5

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.2189,-0.22251,0.073128,-0.037789,0.12377,0.04667,-0.028802,-0.16458,-0.076741,0.081055,1
-0.8908,-0.25988,-0.10036,-0.13894,0.17947,0.007174,0.095639,-0.16479,-0.036039,0.024677,-1
0.9178,-0.2345,-0.17457,0.061761,0.039332,0.016204,0.028544,-0.011769,0.028454,0.000487,1
0.32464,-0.14341,-0.099847,-0.03591,0.003283,-0.016697,-0.016446,0.047194,0.0161,0.021796,-1
-0.66402,0.13697,-0.095901,-0.032145,-0.018766,0.026485,-0.00747,-0.016077,0.023169,-0.009663,-1
0.14524,2.3942,-0.77805,0.11377,0.10654,0.070822,-0.010213,-0.062763,-0.034533,-0.003915,-1
-0.34369,1.187,-0.42678,0.088733,0.018635,0.05177,-0.033411,0.011563,-0.00281,-0.001955,-1
-0.56806,-0.10128,-0.012818,0.016812,0.017699,-0.07395,0.019511,0.06513,0.017593,-0.001001,-1
-0.50277,0.05028,-0.080211,-0.009833,-0.095314,0.017434,-0.033749,-0.053589,0.047459,-0.012142,-1
-0.56151,-0.10441,-0.065482,0.052342,-0.018845,-0.030755,-0.012087,0.010934,0.040572,-0.020111,-1
-0.2971,0.075741,0.1485,-0.049838,-0.11134,0.044115,-0.014608,-0.007748,0.014529,0.004454,1
0.0769,-0.031616,0.1064,-0.054183,-0.008525,0.006545,-0.11051,-0.039553,0.10228,-0.034589,1
-0.28197,0.50147,0.048652,-0.26222,-0.24099,0.073226,-0.013265,-0.006431,0.1375,-0.073603,-1
-0.85062,-0.29966,-0.10138,-0.22616,0.31734,0.007947,0.19024,-0.32711,-0.091907,0.049428,1
-0.23771,0.063738,0.52365,0.30023,-0.05323,0.19269,0.060468,-0.10089,-0.044505,0.04836,-1
0.98416,-0.29833,-0.39186,0.10203,0.004318,-0.058051,-0.058426,0.087316,0.051477,-0.009683,1
-0.32892,0.25012,0.11082,-0.16951,-0.15018,0.050989,0.06234,0.041986,0.029535,-0.016417,1
2.7052,-0.58213,-0.71564,0.24541,0.024257,0.086718,0.14746,0.064522,0.076924,-0.056439,1
-0.005349,-0.093805,-0.1348,0.054008,-0.064682,-0.12494,0.032248,0.01732,0.04992,0.012637,1
0.20947,0.2899,0.86074,0.16053,0.31307,-0.034625,0.04447,-0.11526,0.39698,-0.13825,-1
-0.92414,-0.22687,-0.09952,-0.066565,0.065058,0.006533,0.017137,-0.030095,0.010322,0.004138,-1
-0.92648,-0.22436,-0.099921,-0.060996,0.056749,0.006848,0.011139,-0.020178,0.013843,0.002917,-1
-0.72993,0.038984,-0.085445,0.017659,0.00671,0.005445,-0.007486,0.042151,0.000122,0.008989,1
-0.71011,-0.018241,-0.038348,0.02449,0.009249,0.010346,-0.001568,0.019192,0.021153,0.000399,-1
-0.51715,-0.051373,0.05915,0.10243,-0.044028,0.034288,0.0282,0.009187,-0.012586,0.004788,-1
0.073835,0.29673,0.58628,-0.16434,0.12314,-0.023861,0.13067,0.023274,0.33966,-0.11358,-1
