@relation S_TCAed_data_dim10_EQ_for_JDT_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.69307,0.24876,-0.057169,-0.10876,0.094717,-0.004481,-0.029159,-0.028292,0.005411,-0.03059,1
2.5677,0.85119,-0.010657,-0.23775,0.048597,-0.073599,0.1654,-0.072536,0.13663,-0.094536,1
0.57035,0.20951,-0.061626,-0.16235,0.099391,-0.03198,0.02206,0.021852,-0.015928,-0.046527,-1
1.4146,0.35629,0.007613,-0.17456,0.049821,0.028406,0.10591,0.051472,0.091687,-0.04248,1
0.44778,0.18192,-0.11438,-0.061959,0.15105,-0.052498,-0.016614,0.007576,-0.036094,-0.018921,1
0.035949,0.057904,-0.048243,-0.013853,0.038597,-0.032553,-0.007694,-0.002838,0.009834,-0.011649,-1
0.69042,0.45301,-0.065922,-0.13782,0.11705,-0.030407,0.020955,-0.018138,0.051963,-0.0231,1
0.15039,0.070277,-0.044052,-0.019721,0.045696,-0.029847,-0.006213,-0.00496,0.007438,-0.01173,-1
1.0324,0.32187,-0.044974,-0.11547,0.11798,0.020286,0.1068,0.066669,-0.006973,-0.068829,1
1.0523,0.29854,-0.06533,-0.040481,0.12172,-0.003737,-0.007776,-0.030666,-0.037021,-0.014661,1
0.5301,0.15073,-0.066139,-0.054201,0.11707,-0.027369,-0.015565,0.009716,-0.034298,-0.019045,-1
0.28559,0.097633,-0.22644,-0.013385,0.028569,-0.00951,0.025872,-0.023306,-0.020571,0.064176,1
0.23166,0.044769,-0.053834,-0.023799,0.035,-0.045669,-0.02439,-0.013026,-0.001499,-0.005436,-1
0.13478,0.075717,-0.041664,-0.012571,0.048776,-0.032419,-0.007992,-0.003959,0.008527,-0.011668,-1
0.068683,0.2213,-0.11509,-0.067092,0.13186,-0.080224,-0.047784,0.00727,-0.10041,-0.055554,-1
0.15039,0.070277,-0.044052,-0.019721,0.045696,-0.029847,-0.006213,-0.00496,0.007438,-0.01173,-1
0.54367,0.26616,-0.077458,-0.17697,0.082172,-0.016392,0.043792,-0.031199,0.010883,-0.12758,1
0.13812,0.078366,-0.043376,-0.01693,0.046621,-0.028578,-0.004408,-0.003218,0.009103,-0.012446,-1
0.98382,0.3677,-0.01172,-0.02721,0.13806,0.011544,0.044809,-0.009731,0.004055,0.024876,1
0.035949,0.057904,-0.048243,-0.013853,0.038597,-0.032553,-0.007694,-0.002838,0.009834,-0.011649,-1
0.60263,0.19665,-0.06461,-0.039497,0.091747,-0.032774,-0.025624,-0.009091,-0.013888,-0.01194,-1
0.5572,0.19342,0.005827,-0.084363,0.079813,-0.024233,-0.004446,0.009573,0.011589,-0.023899,-1
0.5959,0.22576,-0.17888,-0.065937,0.13924,-0.056727,-0.000676,-0.03074,-0.009057,-0.013806,1
0.035949,0.057904,-0.048243,-0.013853,0.038597,-0.032553,-0.007694,-0.002838,0.009834,-0.011649,-1
0.5955,0.17957,-0.037706,-0.026614,0.10167,-0.034627,-0.019758,-0.005494,-0.012929,-0.010441,-1
0.4442,0.12571,-0.074999,-0.053311,0.086326,-0.026871,-0.016792,0.009563,-0.021173,0.010668,-1
0.15024,0.068641,-0.031421,-0.038842,0.046234,-0.018411,0.003933,-0.00053,0.015177,-0.016796,-1
