@relation S_TCAed_data_dim10_EQ_for_LC_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.527,-0.32756,-0.013325,-0.011369,-0.005114,-0.070397,-0.026648,0.063212,-0.066576,-0.020573,1
5.4782,0.54724,0.11496,-0.38828,-0.069937,-0.15755,0.033186,0.048685,0.28331,0.031951,1
1.4017,-0.29364,0.042314,-0.071107,0.012672,-0.20504,0.01466,-0.026066,-0.016257,0.017841,-1
3.2489,-0.033312,0.060716,-0.14179,-0.072805,-0.14945,0.094771,0.015153,0.086055,0.088039,1
1.2281,-0.41958,-0.11592,-0.162,-0.0351,-0.052575,-0.060866,0.074546,0.028392,0.009152,1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
1.9137,-0.41385,0.062249,0.005288,-0.090507,-0.11924,0.038951,-0.042495,-0.054289,-0.15945,1
0.39869,-0.1708,-0.022998,-0.060937,-0.019883,-0.021704,-0.000778,0.023815,0.001735,-0.020643,-1
3.1171,-0.32002,0.00411,-0.087279,-0.12659,-0.15442,0.012821,-0.12828,0.16052,-0.003189,1
2.6179,-0.59439,-0.11882,0.009283,-0.020563,-0.013353,-0.063482,0.024886,-0.001259,-0.013105,1
1.2835,-0.37414,-0.067966,-0.020672,0.016145,-0.076314,-0.019421,0.039769,0.031186,-0.020736,-1
0.87144,-0.57245,-0.21526,-0.57627,-0.001197,0.056486,0.020896,-0.044328,-0.003637,0.13847,1
0.55816,-0.14787,0.07743,-0.068857,0.010568,-0.015914,-0.020022,0.060339,-0.014977,-0.017017,-1
0.36773,-0.16101,-0.025298,-0.051793,-0.013208,-0.017727,-0.005119,0.039908,0.005125,-0.020881,-1
0.24446,-0.15266,-0.10529,-0.21995,-0.10103,-0.22926,-0.61959,-0.078792,0.041044,-0.042546,-1
0.39869,-0.1708,-0.022998,-0.060937,-0.019883,-0.021704,-0.000778,0.023815,0.001735,-0.020643,-1
1.2637,-0.18852,-0.000989,-0.1846,-0.070588,-0.18355,-0.005174,-0.023215,-0.076147,0.004508,1
0.38171,-0.17119,-0.029061,-0.062337,-0.018213,-0.018645,-0.000594,0.027722,0.002862,-0.019875,-1
2.2548,-0.375,0.018359,0.046068,-0.027196,-0.026861,0.039861,-0.026888,0.1714,0.04848,1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
1.6653,-0.40842,0.019546,-0.007967,-0.015288,-0.057191,-0.02209,0.059616,0.018118,-0.030816,-1
1.4647,-0.34299,0.019764,0.043651,-0.055388,-0.10618,0.000464,0.048562,-0.002917,-0.017571,-1
1.3494,-0.49606,-0.15234,-0.31298,-0.052126,-0.000488,-0.00831,0.051564,0.004161,-0.003489,1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
1.6203,-0.45467,-0.049947,0.035182,-0.034203,-0.042042,-0.016576,0.076118,0.004407,-0.011748,-1
1.3206,-0.48454,-0.074455,-0.14207,-0.035853,-0.062477,-0.006106,0.062124,0.01635,0.082094,-1
0.3551,-0.1368,-0.035196,-0.068973,-0.017723,-0.04564,0.003056,0.027524,-0.024504,-0.029478,-1
0.21089,-0.12199,-0.028957,-0.064192,-0.006645,-0.016043,-0.007452,0.037496,0.007063,-0.022114,-1
1.4918,-0.32473,0.039552,-0.015574,-0.081178,-0.11005,0.045277,0.002163,-0.007524,0.001167,1
5.7528,0.90833,-0.38758,-0.33958,-0.096274,-0.078793,0.091299,0.051427,-0.061168,0.017447,1
0.38171,-0.17119,-0.029061,-0.062337,-0.018213,-0.018645,-0.000594,0.027722,0.002862,-0.019875,-1
0.21089,-0.12199,-0.028957,-0.064192,-0.006645,-0.016043,-0.007452,0.037496,0.007063,-0.022114,-1
2.8978,-0.52272,-0.10892,0.072224,0.025014,-0.051523,-0.03189,0.062454,-0.038261,-0.054182,-1
0.38171,-0.17119,-0.029061,-0.062337,-0.018213,-0.018645,-0.000594,0.027722,0.002862,-0.019875,-1
0.27346,-0.18851,-0.042187,-0.10502,-0.020794,-0.059662,-0.012867,0.087101,0.016038,-0.046265,-1
0.29799,-0.20527,-0.066061,-0.17201,-0.004041,-0.051513,-0.004706,0.017652,0.015461,0.031879,-1
1.6051,-0.43016,-0.05624,0.047997,0.012254,-0.029418,-0.035332,0.046572,0.050521,0.012019,1
0.81236,-0.2092,0.060475,-0.046121,-0.047908,-0.16898,0.020067,0.022557,-0.066496,-0.036187,1
0.38171,-0.17119,-0.029061,-0.062337,-0.018213,-0.018645,-0.000594,0.027722,0.002862,-0.019875,-1
1.5924,-0.56591,-0.023765,-0.14109,-0.056522,-0.020333,-0.022336,-0.021801,-0.024194,0.012311,1
1.5739,-0.50052,-0.051958,-0.14708,-0.033142,-0.022583,-0.012523,-0.019177,-0.00691,0.014548,1
4.46,-0.6721,0.094472,-0.002486,-0.081221,-0.15297,0.027057,-0.037912,0.17356,-0.083174,1
1.8627,-0.39628,-0.09681,0.045327,0.021014,-0.10118,-0.041873,0.014696,0.011476,-0.022226,1
2.5531,-0.53416,-0.066029,0.001555,0.018657,0.003075,-0.040821,0.088457,0.012458,-0.033601,-1
3.5148,-0.31927,-0.016215,-0.12229,-0.069429,-0.092831,-0.036522,-0.034188,0.14087,-0.051502,-1
1.2012,-0.35073,-0.030016,-0.013563,-0.006772,-0.004661,-0.011869,0.053785,-0.007126,-0.027134,-1
0.56778,-0.2104,-0.013783,-0.052839,-0.03856,-0.057841,0.0147,0.010287,-0.003576,-0.019962,-1
2.0785,-0.68234,-0.12707,-0.24286,-0.017786,0.002627,0.006649,0.041089,0.004921,-0.081919,1
1.0983,-0.27128,-0.003373,-0.08708,-0.03907,-0.088022,-0.003732,0.01288,0.016162,0.02504,-1
3.9249,-0.39685,-0.078228,0.000854,-0.054869,-0.086278,0.007058,0.078637,-0.016385,-0.023114,1
2.196,-0.47775,-0.034785,-0.018555,-0.072835,-0.087585,-0.023476,0.009076,-0.007514,-0.010375,-1
1.4465,-0.34946,0.024811,-0.048437,-0.060535,-0.15823,-0.005956,-0.009124,-0.034474,-0.007251,-1
0.809,-0.26341,-0.018277,-0.028149,0.006056,-0.036576,-0.01425,0.053121,-0.007464,-0.015555,1
1.4942,-0.40994,0.041759,0.002054,-0.034824,-0.052422,-0.12774,0.035913,-0.018266,-0.024043,-1
0.5799,-0.24697,-0.030484,-0.069232,-0.037998,-0.07866,0.006876,0.056718,0.010626,0.022666,1
1.3003,-0.27937,-0.044548,-0.13663,-0.023293,-0.049,-0.018437,0.041207,0.016544,0.025814,-1
4.334,-0.23785,-0.1551,-0.13251,-0.14427,-0.1689,-0.034825,-0.09945,0.18793,-0.014958,-1
2.0401,-0.48352,-0.0224,-0.022729,-0.12774,-0.072235,0.041207,-0.050947,-0.043152,-0.013785,1
0.21089,-0.12199,-0.028957,-0.064192,-0.006645,-0.016043,-0.007452,0.037496,0.007063,-0.022114,-1
0.42911,-0.3145,-0.090101,-0.31137,-0.033406,-0.069391,0.026665,0.015239,0.010755,-0.013485,-1
0.3551,-0.1368,-0.035196,-0.068973,-0.017723,-0.04564,0.003056,0.027524,-0.024504,-0.029478,-1
0.40073,-0.23154,-0.022888,-0.078204,-0.061524,-0.094432,0.002168,0.008371,0.024538,0.025946,1
1.249,-0.28136,0.038047,-0.15102,-0.083378,-0.18329,0.020977,-0.026109,-0.05034,-0.020601,-1
0.28058,-0.12365,-0.11645,-0.17381,-0.051803,-0.10647,-0.34887,0.022752,0.015191,0.0561,1
5.8654,0.75414,-0.067172,-0.37313,-0.056568,-0.13558,0.028377,-0.020178,0.14356,-0.038852,1
1.919,-0.33371,-0.047532,-0.032597,-0.009547,-0.12755,-0.009426,0.055988,-0.032297,-0.056891,1
4.3763,0.21481,-0.73063,-0.03183,0.16149,0.16754,-0.12729,0.16256,-0.092434,0.050166,1
0.85379,-0.30257,-0.02407,-0.03006,-0.037825,-0.057866,-0.010473,0.033652,-0.004655,-0.006043,-1
1.3661,-0.5656,0.003384,-0.29689,-0.049617,-0.078443,0.008024,0.034073,-0.056601,-0.038946,1
0.81019,-0.2694,-0.029892,-0.02392,-0.020075,-0.040577,0.001921,0.034135,0.003957,-0.028423,1
1.4765,-0.46931,-0.091391,-0.17136,-0.023335,-0.040905,-0.07976,0.067196,0.043955,-0.077963,1
1.3065,-0.26537,0.11192,-0.064677,-0.020723,-0.037046,0.009729,0.013825,0.045078,-0.02311,-1
4.3319,-0.3286,0.043474,-0.13964,-0.12175,-0.12594,0.024212,-0.021851,0.033722,0.000912,1
0.20727,-0.14026,-0.04796,-0.12695,-0.017137,-0.047654,-0.021784,0.017204,0.019346,0.017511,-1
1.2361,-0.53722,-0.12243,-0.31676,-0.0398,-0.058098,-0.010645,0.033952,-0.005734,-0.057188,1
2.3557,-0.58395,0.039884,0.11133,0.023734,-0.096503,-0.013651,-0.008602,0.066088,0.024548,-1
0.29216,-0.15204,-0.10276,-0.1782,-0.090929,-0.20401,-0.58832,-0.060383,0.024257,0.026056,1
4.4172,-0.36675,-0.31586,-0.054337,-0.11782,-0.03247,0.024623,0.045328,-0.053955,-0.03864,1
0.51486,-0.20955,-0.034712,-0.060201,-0.008849,-0.01304,-0.007545,0.051252,0.007642,-0.008772,1
0.39632,-0.22578,-0.046838,-0.12134,-0.008215,-0.009104,-0.015814,0.014322,0.00717,-0.001954,-1
1.1256,-0.3834,-0.033491,-0.10567,-0.017262,0.016184,0.004479,-0.011237,-0.017438,-0.022797,-1
1.3147,-0.16982,0.059974,-0.048085,-0.027736,-0.11833,0.037168,0.027395,0.045721,-0.02683,1
1.1094,-0.24162,-0.021618,-0.024395,-0.037994,-0.043153,-0.001984,0.028232,0.009314,-0.054761,1
2.7375,-0.62465,-0.10947,0.12607,-0.042196,-0.003637,-0.076775,0.10414,0.008974,-0.033615,1
0.56849,-0.22549,-0.020936,-0.058754,-0.045768,-0.049152,0.013446,0.009809,-0.002388,-0.011344,-1
2.3149,-0.47698,0.083385,-0.0697,-0.11791,-0.14167,-0.036298,-0.020727,0.004062,0.004853,1
1.752,-0.4629,0.055438,-0.002417,-0.0752,-0.17845,-0.031293,-0.000226,0.034241,0.023538,1
0.68221,-0.25919,-0.053578,-0.087926,-0.005802,-0.043096,-0.020598,0.075187,-0.000166,-0.043993,-1
0.62119,-0.30482,-0.064711,-0.1138,0.12175,-0.093514,-0.010027,-0.02308,0.013876,-0.018604,1
2.5992,-0.38605,0.13715,-0.001614,-0.12435,-0.14165,0.087545,-0.080515,0.068885,-0.072125,1
0.40251,-0.17799,-0.024565,-0.064451,-0.02894,-0.031986,0.007641,0.020725,-0.004478,-0.015895,-1
0.55559,-0.32796,-0.048087,-0.18255,-0.058171,-0.11003,-0.00095,0.10139,0.006266,-0.054609,-1
0.22097,-0.12878,-0.027448,-0.079845,-0.014503,-0.047293,-0.016516,0.03573,0.014852,-0.0065,-1
1.6221,-0.39896,-0.050641,-0.031434,-0.037065,-0.026425,-0.038343,0.049149,-0.044162,-0.004506,-1
1.5743,-0.43517,-0.088386,-0.013245,-0.001151,0.013496,-0.032382,0.053033,0.00944,-0.036198,-1
2.2729,-0.32824,0.006779,-0.12405,-0.053832,-0.18702,0.009258,0.015456,-0.047329,-0.047627,1
1.2258,-0.38247,-0.040229,-0.014069,-0.029205,-0.063716,-0.026191,0.048136,0.012918,-0.000486,1
0.22443,-0.12765,-0.025822,-0.070256,-0.012691,-0.01824,-0.002794,0.031087,0.004441,-0.019789,-1
0.55494,-0.23097,-0.032138,-0.11125,-0.032332,-0.046157,0.008427,-0.007058,0.004318,-0.013982,-1
0.72656,-0.2409,-0.001973,-0.057614,-0.025658,-0.096053,-0.05189,0.060851,-0.033698,0.028365,1
1.8558,-0.48387,-0.044689,-0.02161,-0.088111,-0.063469,0.033728,-0.023319,-0.035161,-0.027898,1
0.4748,-0.28979,-0.081474,-0.15458,0.13042,-0.13969,-0.086433,-0.020705,-0.016244,0.016425,1
0.75069,-0.27907,-0.005076,-0.059118,-0.021591,-0.11409,-0.009057,0.011427,-0.005784,-0.002506,1
0.38171,-0.17119,-0.029061,-0.062337,-0.018213,-0.018645,-0.000594,0.027722,0.002862,-0.019875,-1
1.6191,-0.25226,0.041312,-0.064988,-0.080299,-0.10767,0.067291,-0.057881,0.027488,-0.091195,-1
0.54269,-0.29335,-0.046559,-0.11291,-0.010973,-0.057691,-0.042291,0.021797,0.010639,0.021757,1
0.070066,-0.08518,-0.027899,-0.07928,-0.001883,-0.019398,-0.005361,0.031333,0.01016,-0.022073,-1
1.6589,-0.40137,0.090072,-0.036269,-0.000261,-0.12416,0.012409,0.066471,-0.012926,-0.001326,1
2.9828,-0.38872,0.068223,-0.3283,-0.024444,-0.12878,0.00904,-0.084648,-0.081758,0.071763,1
3.5391,-0.28261,0.000002,-0.065524,-0.062561,-0.033324,0.034253,-0.012406,0.025265,0.02223,1
2.0043,-0.42151,0.047616,-0.092611,-0.074799,-0.14069,0.025399,-0.023852,0.026622,0.032151,1
0.90879,-0.27706,0.016895,-0.060808,-0.092447,-0.13456,0.041447,-0.036508,-0.04542,0.004549,-1
0.21089,-0.12199,-0.028957,-0.064192,-0.006645,-0.016043,-0.007452,0.037496,0.007063,-0.022114,-1
1.2468,-0.34394,-0.033182,0.018268,-0.076597,-0.021357,-0.021238,-0.03817,-0.008912,0.041341,1
0.21089,-0.12199,-0.028957,-0.064192,-0.006645,-0.016043,-0.007452,0.037496,0.007063,-0.022114,-1
1.1438,-0.37124,-0.024899,-0.026929,-0.014469,-0.038716,-0.025746,0.05107,-0.018235,-0.026806,-1
0.38171,-0.17119,-0.029061,-0.062337,-0.018213,-0.018645,-0.000594,0.027722,0.002862,-0.019875,-1
0.53847,-0.23634,-0.041698,-0.10056,-0.003268,0.015706,-0.019019,0.016955,0.000612,-0.009887,-1
2.4477,-0.32621,-0.034759,0.092036,-0.16413,-0.050363,-0.009887,-0.045688,-0.035323,-0.057634,1
1.6817,-0.42435,-0.096949,-0.16639,-0.071284,-0.071839,-0.015435,0.007413,-0.017496,0.020541,1
1.5921,-0.45767,-0.014733,-0.005239,0.11732,-0.13251,-0.019903,0.038805,0.000568,-0.008534,1
3.7826,-0.49065,-0.40458,-0.057441,-0.029685,0.1489,-0.068061,0.14931,-0.020487,0.12415,1
1.6006,-0.44506,-0.01058,-0.005017,-0.049996,-0.087592,0.007744,0.009965,0.021561,-0.030272,-1
1.5537,-0.37609,-0.009776,-0.14562,-0.040111,-0.073935,-0.004032,0.038331,-0.026347,0.019093,-1
1.0883,-0.37241,-0.05878,-0.005616,0.11705,-0.10054,-0.042902,0.030918,-0.024333,-0.025725,-1
2.0592,-0.65341,-0.056149,-0.29908,-0.076462,-0.085576,0.030486,0.000716,-0.012615,-0.000811,1
1.2179,-0.38863,-0.039057,-0.00306,0.039603,-0.062772,-0.03075,0.043002,0.021153,-0.012384,-1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
3.0205,-0.57502,-0.045683,0.072764,-0.15071,-0.1961,0.062586,-0.061184,-0.027264,0.009478,-1
0.22651,-0.11887,-0.060991,-0.15359,-0.1371,-0.35713,-0.9764,-0.20298,0.028434,-0.045157,-1
2.2434,-0.50678,0.044542,-0.026071,-0.014388,-0.029608,-0.028485,0.054404,-0.008996,0.012656,1
2.5196,-0.82356,-0.1529,-0.41088,-0.074172,0.061569,0.003632,-0.17872,-0.074587,-0.077895,1
2.7084,-0.5127,-0.099827,0.082223,-0.091836,-0.04001,-0.003347,0.046408,0.056264,-0.023493,-1
0.70246,-0.17772,-0.12053,-0.052327,-0.052203,0.057948,-0.02935,0.026807,0.055412,0.01112,-1
1.036,-0.34009,0.031716,-0.038112,-0.017671,-0.11563,-0.011069,0.030194,-0.000787,0.002311,1
0.82804,-0.33085,0.008653,-0.13308,-0.043457,-0.092266,0.002645,0.060345,0.006175,-0.024374,1
0.3551,-0.1368,-0.035196,-0.068973,-0.017723,-0.04564,0.003056,0.027524,-0.024504,-0.029478,-1
2.8625,-0.42148,0.029528,-0.015167,-0.090088,-0.10527,-0.053867,-0.018479,0.019948,-0.069843,-1
1.3022,-0.35475,-0.058393,0.02441,-0.007933,-0.012064,-0.020551,0.069331,0.016173,-0.01907,-1
0.38171,-0.17119,-0.029061,-0.062337,-0.018213,-0.018645,-0.000594,0.027722,0.002862,-0.019875,-1
0.3986,-0.16722,-0.010464,-0.052943,-0.017478,-0.029213,-0.003497,0.036111,-0.003626,-0.021033,-1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
1.5492,-0.41685,-0.084329,-0.081784,-0.028222,0.023253,-0.016095,0.021053,0.041406,-0.008128,1
0.67907,-0.23904,-0.021179,-0.037303,-0.000245,-0.063321,0.004601,0.019098,-0.006279,-0.036704,-1
2.86,-0.66655,-0.067769,-0.046338,-0.089405,-0.10427,0.017478,0.034258,-0.03117,-0.028975,1
1.0555,-0.2618,0.027856,-0.039711,-0.048079,-0.082388,-0.017999,0.022712,0.002551,0.007607,1
0.88059,-0.32657,-0.055818,-0.17299,-0.020357,-0.059366,0.019182,-0.011049,-0.008674,0.042229,-1
2.6641,-0.47905,-0.14628,0.11133,-0.00856,0.009379,-0.042504,0.12997,0.02753,-0.027347,-1
1.0248,-0.37046,-0.078868,-0.17991,-0.043435,-0.020802,0.008776,0.055536,0.035714,-0.008116,-1
0.36747,-0.10957,-0.016218,-0.059146,0.000198,-0.023192,-0.005155,0.037918,0.014624,-0.022234,-1
1.0313,-0.275,0.037777,-0.006268,-0.045548,0.023002,-0.020362,0.022454,-0.020796,-0.005318,-1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
0.90657,-0.23947,0.001416,-0.05028,-0.003383,-0.029547,-0.028661,0.055555,0.002276,-0.010591,-1
0.21089,-0.12199,-0.028957,-0.064192,-0.006645,-0.016043,-0.007452,0.037496,0.007063,-0.022114,-1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
1.126,-0.29798,-0.13136,-0.16616,-0.046492,0.00814,-0.047233,0.07819,0.058029,0.038894,1
0.21089,-0.12199,-0.028957,-0.064192,-0.006645,-0.016043,-0.007452,0.037496,0.007063,-0.022114,-1
1.4541,-0.462,-0.037777,-0.12371,-0.077302,-0.10593,0.0101,0.055875,0.011171,-0.015339,-1
0.38171,-0.17119,-0.029061,-0.062337,-0.018213,-0.018645,-0.000594,0.027722,0.002862,-0.019875,-1
0.99502,-0.32314,0.009936,-0.051177,-0.023688,-0.054429,-0.020217,0.031477,0.019333,0.010685,1
0.53195,-0.23815,-0.034801,-0.087845,-0.016364,-0.028782,-0.012642,0.02348,0.017497,-0.010141,-1
0.52476,-0.27322,-0.057195,-0.21983,-0.030272,-0.10556,-0.007241,0.017784,-0.019797,-0.024468,-1
0.86145,-0.26813,0.026635,-0.051888,0.012914,-0.070809,0.000758,0.036631,0.006721,-0.001058,-1
1.2471,-0.43004,-0.065746,-0.093237,-0.021268,-0.02922,-0.00792,0.068096,0.009801,-0.059156,1
1.3547,-0.3522,-0.041556,-0.011628,-0.002785,0.006196,-0.013238,0.0523,-0.007239,-0.022329,-1
1.581,-0.3271,0.063444,-0.033009,-0.073053,-0.12519,0.027754,-0.032798,-0.041279,-0.028273,1
1.9641,-0.46473,-0.066403,0.053298,-0.019649,0.016774,-0.023099,0.059674,0.064257,-0.021165,-1
2.1079,-0.41783,0.034141,-0.056767,-0.079376,-0.13558,0.024579,0.005532,-0.04013,-0.021881,-1
0.67438,-0.32526,-0.062435,-0.11923,0.022434,-0.077585,-0.072414,0.017342,0.000596,0.023324,1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
0.71274,-0.28761,-0.008619,-0.049735,-0.029831,-0.050663,-0.002592,0.038812,-0.004208,0.013848,1
1.266,-0.35524,-0.016012,-0.063006,-0.10287,-0.049566,0.004318,0.018018,0.044703,0.039797,1
0.38795,-0.17067,-0.025147,-0.062167,-0.018281,-0.019668,-0.000863,0.027358,0.001332,-0.019713,-1
4.124,-0.56862,-0.073445,-0.13161,-0.14289,-0.025497,0.040874,-0.092369,0.07974,-0.10284,1
2.4955,-0.42963,-0.053233,0.073641,-0.04797,-0.026876,0.005065,0.070356,0.071442,-0.002917,-1
0.74749,-0.25901,-0.003516,-0.1837,-0.042777,-0.15034,0.02356,0.04534,-0.033815,-0.065226,1
1.0217,-0.31286,0.010317,-0.073426,0.002011,-0.024452,-0.028706,0.047077,0.025849,-0.022543,1
0.54239,-0.15769,-0.013994,-0.06596,-0.051971,-0.06542,0.024762,0.005429,-0.031211,-0.018936,-1
1.1439,-0.42488,-0.059938,-0.089301,-0.033373,-0.047967,-0.031058,0.075245,0.020813,-0.038671,-1
0.4059,-0.17814,-0.024367,-0.063965,-0.029601,-0.032657,0.007726,0.019302,-0.004033,-0.016315,-1
2.4321,-0.50432,0.019892,-0.008628,-0.09065,-0.13725,0.000769,-0.000411,-0.091344,0.028492,1
0.40129,0.004028,-0.045015,-0.16648,-0.058247,-0.18386,-0.49732,-0.13524,0.018261,-0.073073,1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
1.5532,-0.43116,-0.009228,-0.053619,-0.008016,-0.081702,0.019467,0.013622,0.053965,-0.01532,-1
6.1463,0.45557,-0.091406,-0.42201,-0.15033,-0.23807,-0.044803,-0.060325,0.066621,-0.014362,1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
0.97175,-0.32443,-0.015769,-0.032368,-0.031353,-0.044177,-0.02077,0.043028,-0.004674,-0.006794,1
2.774,-0.64554,-0.014537,-0.037959,-0.12499,-0.084641,0.054314,-0.041791,-0.047739,0.001968,1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
0.22443,-0.12765,-0.025822,-0.070256,-0.012691,-0.01824,-0.002794,0.031087,0.004441,-0.019789,-1
0.23539,-0.13119,-0.024048,-0.071129,-0.018328,-0.025052,0.001398,0.027031,0.00118,-0.018003,-1
0.56921,-0.23933,-0.034617,-0.093963,-0.028279,-0.010932,0.009713,-0.004164,-0.009752,-0.015619,-1
0.73484,-0.2461,0.020362,-0.048095,-0.039834,-0.098717,0.011286,0.015145,-0.018803,-0.01716,-1
0.8631,-0.33204,-0.076494,-0.19069,-0.026758,-0.014786,-0.003345,0.013392,-0.012102,-0.026806,-1
0.36964,-0.16691,-0.027857,-0.062245,-0.011376,-0.011431,-0.005178,0.034176,0.003964,-0.020722,-1
0.22443,-0.12765,-0.025822,-0.070256,-0.012691,-0.01824,-0.002794,0.031087,0.004441,-0.019789,-1
0.23539,-0.13119,-0.024048,-0.071129,-0.018328,-0.025052,0.001398,0.027031,0.00118,-0.018003,-1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
1.0608,-0.30191,-0.032738,-0.012102,-0.00781,-0.02932,-0.011553,0.05364,0.017221,-0.034296,1
0.38108,-0.1966,-0.065304,-0.2078,0.001222,-0.032238,-0.004108,0.005819,-0.023461,0.000155,-1
0.066773,-0.082843,-0.025066,-0.07782,-0.008179,-0.018307,-0.004686,0.032229,0.007637,-0.020407,-1
2.3067,-0.58009,-0.089634,-0.31624,-0.016722,0.023478,0.030093,-0.122,-0.021802,-0.02021,1
2.462,-0.22458,-0.045596,-0.097384,0.00298,-0.015068,-0.1062,0.034347,0.22204,-0.054103,1
0.52713,-0.26104,-0.0678,-0.2149,-0.031727,-0.1117,-0.014556,0.024532,-0.019614,-0.011153,-1
2.8976,-0.60381,-0.071912,0.11741,-0.083016,-0.088364,-0.049796,-0.012419,-0.006189,-0.056242,-1
4.2782,-0.24368,-0.35218,-0.098421,-0.1088,-0.040097,-0.033458,0.035918,-0.055352,-0.013178,1
