@relation S_TCAed_data_dim10_EQ_for_ML_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-1.4313,-0.16229,0.15411,-0.051581,0.021224,-0.010554,-0.01217,-0.011156,-0.061635,0.039874,1
-4.7241,0.038915,0.059729,-0.051178,-0.40716,-0.31455,0.14648,-0.024235,-0.10807,0.05634,1
-1.1717,-0.19149,0.16697,-0.060016,-0.062971,-0.056058,0.048311,-0.10702,-0.041781,0.001774,-1
-3.1873,-0.26336,0.20662,-0.091355,-0.16632,-0.12284,0.038441,-0.024943,-0.091782,-0.011989,1
-1.0513,-0.15112,0.17301,-0.19449,0.036459,0.004384,-0.014283,-0.008777,-0.083075,0.037039,1
-0.019868,-0.024982,0.021059,-0.085858,-0.007472,-0.007089,0.007367,-0.001953,-0.041675,0.007279,-1
-1.6245,-0.11471,0.11245,-0.044784,-0.1194,-0.026858,0.030761,0.004058,-0.002208,-0.061589,1
-0.29985,-0.044092,0.038937,-0.082184,-0.009575,0.001173,0.013257,-0.001416,-0.039405,0.001225,-1
-2.928,-0.20787,0.2182,-0.008045,-0.23497,-0.10933,0.067887,-0.024031,-0.016694,0.05997,1
-2.3744,-0.077799,0.2394,-0.097253,0.047197,0.060286,-0.014197,-0.006384,-0.027698,0.003636,1
-1.2055,-0.12336,0.11452,-0.091099,0.060154,-0.000433,0.008726,-0.05215,-0.054819,0.010389,-1
-0.61372,-0.20076,0.13928,-0.48417,-0.074758,0.080003,0.016399,0.001988,0.019754,0.01912,1
-0.46847,-0.10589,0.11722,-0.055458,-0.006611,0.014207,0.014634,0.001529,-0.046371,0.017301,-1
-0.29306,-0.044652,0.041119,-0.07952,0.003514,0.004115,0.007317,0.000786,-0.044049,0.002815,-1
-0.092092,0.77436,1.0556,-0.26151,0.037415,-0.098752,0.020344,-0.014494,-0.041359,0.018342,-1
-0.29985,-0.044092,0.038937,-0.082184,-0.009575,0.001173,0.013257,-0.001416,-0.039405,0.001225,-1
-0.98895,-0.15391,0.15334,-0.095372,-0.08551,-0.069691,-0.055757,-0.026238,-0.03326,-0.016004,1
-0.29668,-0.043675,0.039429,-0.084461,-0.005314,0.00308,0.006983,0,-0.039369,-0.001807,-1
-2.2068,-0.19521,0.17601,-0.054987,-0.060806,-0.068477,-0.005898,-0.001494,-0.01512,0.039389,1
-0.019868,-0.024982,0.021059,-0.085858,-0.007472,-0.007089,0.007367,-0.001953,-0.041675,0.007279,-1
-1.4962,-0.14948,0.14406,-0.047536,-0.00419,0.023001,0.012166,-0.004324,-0.05338,0.025988,-1
-1.3326,-0.078502,0.086493,-0.045666,0.009423,-0.05293,0.004282,-0.014474,-0.075919,-0.027849,-1
-1.1809,-0.19755,0.16982,-0.3027,-0.00369,0.037687,-0.002832,-0.00341,-0.085078,0.008682,1
-0.019868,-0.024982,0.021059,-0.085858,-0.007472,-0.007089,0.007367,-0.001953,-0.041675,0.007279,-1
-1.4338,-0.13222,0.12757,-0.063109,0.039541,0.041005,0.00952,0.008152,-0.059937,0.006991,-1
-1.1133,-0.17339,0.13874,-0.17825,0.022676,0.028246,0.010941,-0.004178,-0.054129,0.020944,-1
-0.31154,-0.047762,0.045342,-0.07754,-0.013932,0.003155,0.008254,-0.000861,-0.044421,-0.009053,-1
-0.15124,-0.032325,0.028593,-0.083935,0.001392,-0.000122,0.008517,-0.00244,-0.042812,0.007601,-1
-1.3518,-0.14663,0.12966,-0.046846,-0.062591,-0.006429,0.017289,-0.012198,-0.049135,-0.039055,1
-5.5558,0.37512,-0.2527,-0.15693,-0.15365,-0.3491,0.030437,-0.00173,-0.11685,-0.045061,1
-0.29668,-0.043675,0.039429,-0.084461,-0.005314,0.00308,0.006983,0,-0.039369,-0.001807,-1
-0.15124,-0.032325,0.028593,-0.083935,0.001392,-0.000122,0.008517,-0.00244,-0.042812,0.007601,-1
-2.7127,-0.11489,0.13908,-0.034107,0.063754,0.041002,-0.013488,-0.041186,-0.05057,-0.005839,-1
-0.29668,-0.043675,0.039429,-0.084461,-0.005314,0.00308,0.006983,0,-0.039369,-0.001807,-1
-0.18071,-0.058099,0.053265,-0.14776,0.002968,-0.016488,0.017846,-0.005793,-0.098158,0.013826,-1
-0.1833,-0.079856,0.056366,-0.15272,-0.00347,-0.019355,0.001903,-0.030182,-0.033719,0.024279,-1
-1.4295,-0.11099,0.10733,-0.083266,0.091057,0.015345,-0.026754,-0.020187,-0.040244,0.037493,1
-0.67462,-0.13619,0.1159,-0.059436,-0.048689,-0.044854,0.003716,-0.029267,-0.070187,-0.014688,1
-0.29668,-0.043675,0.039429,-0.084461,-0.005314,0.00308,0.006983,0,-0.039369,-0.001807,-1
-1.2705,-0.13314,0.097116,-0.16796,-0.0235,0.008462,0.007936,0.0105,-0.000469,0.033415,1
-1.3314,-0.14899,0.12718,-0.157,-0.027432,0.03056,-0.00921,0.007737,-0.000112,0.019903,1
-3.7422,-0.005438,0.042917,-0.061902,-0.1426,-0.12103,0.025267,0.016294,-0.018721,0.086911,1
-1.7269,-0.15597,0.14452,-0.079013,0.057254,-0.011574,-0.005683,-0.075303,-0.052984,0.006057,1
-2.3334,-0.12655,0.19475,-0.092511,0.052295,0.077162,0.011903,-0.001197,-0.054703,0.020237,-1
-3.473,-0.17783,0.24964,-0.041257,-0.064674,-0.030993,0.063409,-0.003826,-0.033473,0.003247,-1
-1.07,-0.10171,0.097529,-0.072136,0.025613,0.041177,0.009713,0.001892,-0.041612,-0.000781,-1
-0.46061,-0.060856,0.055975,-0.068253,-0.026996,-0.006919,0.009249,-0.008669,-0.040086,-0.01975,-1
-1.8282,-0.20644,0.18937,-0.2833,-0.022208,0.069149,0.008813,0.003151,-0.073901,-0.004482,1
-0.99907,-0.13585,0.13919,-0.10132,-0.010492,-0.025095,0.009973,-0.025499,-0.056993,0.01557,-1
-3.6263,-0.12204,0.14878,-0.026292,-0.021553,-0.049748,-0.001285,-0.000852,-0.049272,-0.0224,1
-2.0602,-0.19645,0.19373,-0.075001,-0.002208,0.034813,-0.009413,0.007997,-0.030712,-0.001363,-1
-1.2439,-0.12756,0.12917,-0.10344,-0.053076,-0.067124,-0.029983,-0.029739,-0.052679,-0.009324,-1
-0.69602,-0.076869,0.068447,-0.075515,0.018328,0.016849,0.003697,-0.027298,-0.054026,0.003575,1
-1.331,-0.019494,0.24325,-0.061957,0.022969,0.022749,0.012086,0.018198,-0.051389,-0.001269,-1
-0.46627,-0.081219,0.066626,-0.11158,0.005062,0.000003,0.009861,-0.008213,-0.061095,0.005631,1
-1.2263,-0.10055,0.14233,-0.11256,0.00274,-0.004221,0.031542,0.008099,-0.026009,0.059585,-1
-4.2248,-0.12521,0.19625,-0.015642,-0.21808,-0.11504,0.062111,0.012952,-0.027597,0.037852,-1
-1.7836,-0.15368,0.14289,-0.056613,-0.066221,-0.011557,-0.028608,-0.010744,-0.033119,-0.068244,1
-0.15124,-0.032325,0.028593,-0.083935,0.001392,-0.000122,0.008517,-0.00244,-0.042812,0.007601,-1
-0.2239,-0.11552,0.085801,-0.27322,-0.059568,0.004389,0.002111,-0.017893,-0.066628,-0.000884,-1
-0.31154,-0.047762,0.045342,-0.07754,-0.013932,0.003155,0.008254,-0.000861,-0.044421,-0.009053,-1
-0.33891,-0.089572,0.079437,-0.1139,-0.012995,-0.070359,-0.013636,-0.011966,-0.059098,-0.001725,1
-0.87376,-0.13918,0.13236,-0.11355,-0.095003,-0.065959,-0.062802,-0.029019,-0.044594,-0.038061,-1
-0.14293,0.27708,0.3434,-0.15471,0.035913,-0.091042,0.021946,-0.023519,-0.016177,0.032975,1
-5.2031,0.81009,-0.52126,-0.21956,-0.42485,-0.51137,0.29196,0.039589,0.024821,0.16406,1
-1.848,-0.17191,0.19045,-0.091759,0.011353,0.010785,-0.018627,-0.037855,-0.091305,0.006836,1
-4.5411,0.16351,-0.072441,-0.18851,0.20016,0.06451,-0.076692,-0.005297,-0.004272,-0.015403,1
-0.70038,-0.096239,0.085606,-0.073942,0.010279,-0.006239,-0.010588,-0.00749,-0.050859,-0.005533,-1
-1.0095,-0.18025,0.16126,-0.26686,-0.080275,-0.003276,-0.014578,-0.015224,-0.077932,-0.028573,1
-0.70239,-0.08167,0.075228,-0.068299,0.000636,0.016124,0.015644,-0.011146,-0.044879,-0.004437,1
-1.357,-0.13491,0.21476,-0.22463,-0.00952,-0.008756,-0.001443,0.005221,-0.079,0.01219,1
-1.1662,-0.13787,0.13155,-0.027156,-0.066844,0.000046,0.044393,0.00573,-0.027507,0.024844,-1
-4.1458,-0.24682,0.29177,-0.082149,-0.091983,-0.049082,-0.008257,0.012307,-0.048423,-0.059562,1
-0.13989,-0.07962,0.064252,-0.11488,0.007595,-0.036939,-0.015514,-0.015755,-0.043123,0.021096,-1
-0.95994,-0.17985,0.14989,-0.30448,-0.033696,0.025747,-0.021636,-0.019584,-0.083743,0.013565,1
-2.1716,-0.1899,0.19074,-0.048217,-0.002249,-0.007416,0.049515,-0.043048,-0.047965,0.044283,-1
-0.11715,0.7024,0.8491,-0.20834,0.053798,-0.12006,0.021408,-0.025095,-0.007691,0.015098,1
-4.2257,-0.067977,0.1101,-0.14111,-0.027184,-0.028798,-0.024408,0.024035,-0.071589,-0.060824,1
-0.42603,-0.060097,0.053264,-0.095016,0.013691,0.016177,0.012681,0.002111,-0.045621,0.009045,1
-0.27047,-0.06435,0.050799,-0.12263,-0.002454,0.003243,-0.006454,-0.002204,-0.027186,0.018023,-1
-0.94534,-0.11331,0.10239,-0.10758,-0.029327,0.04831,-0.002115,0.006554,-0.006676,-0.010391,-1
-1.1686,-0.13321,0.12835,-0.042859,-0.062735,-0.024652,-0.012064,-0.018938,-0.054052,-0.005513,1
-1.0241,-0.11586,0.11908,-0.064277,-0.004005,0.012302,-0.008114,-0.001539,-0.060643,-0.004031,1
-2.4685,-0.086182,0.12093,-0.053898,0.12887,0.01333,0.007535,-0.001329,-0.066994,0.006181,1
-0.45078,-0.068107,0.0602,-0.077384,-0.022998,-0.005744,-0.001736,-0.003563,-0.039539,-0.019076,-1
-2.0136,-0.12975,0.15536,-0.082216,-0.04512,-0.058132,-0.017831,-0.009995,-0.049522,-0.00512,1
-1.5354,-0.25103,0.22885,-0.064278,-0.033518,-0.065144,-0.019694,-0.013912,-0.069613,0.028648,1
-0.59557,-0.073191,0.086762,-0.16025,0.002736,0.005087,0.023002,0.00123,-0.070593,-0.000081,-1
-0.51972,-0.10368,0.071288,-0.13724,0.013621,0.005206,0.009483,-0.10079,-0.029099,0.036235,1
-2.2531,-0.20913,0.2085,0.038749,-0.16815,-0.000825,0.043902,0.004544,-0.007151,-0.04119,1
-0.31085,-0.050872,0.045453,-0.082147,-0.014989,-0.000424,0.004145,-0.001619,-0.039973,-0.013112,-1
-0.37384,-0.11051,0.09877,-0.22555,-0.026138,-0.030791,0.011891,-0.013699,-0.14094,-0.004623,-1
-0.17163,-0.034589,0.069854,-0.096244,0.002275,-0.010406,0.008383,-0.008487,-0.048874,0.011309,-1
-1.4133,-0.12143,0.12986,-0.084752,0.030343,0.036227,-0.010739,0.012604,-0.034677,-0.009738,-1
-1.4059,-0.11374,0.10709,-0.097146,0.061412,0.042257,-0.012516,0.005456,-0.038551,0.016869,-1
-2.2011,-0.19579,0.17754,-0.13355,-0.050139,-0.039189,0.033821,-0.02418,-0.07978,-0.002816,1
-1.0766,-0.12887,0.11679,-0.077646,0.04303,-0.004433,-0.014707,-0.013267,-0.058133,0.007296,1
-0.15893,-0.036249,0.031988,-0.084919,-0.005853,-0.001253,0.006235,-0.00082,-0.040716,0.00241,-1
-0.46332,-0.099352,0.08096,-0.10591,-0.022506,-0.007101,-0.013232,-0.006236,-0.029591,-0.005164,-1
-0.53411,-0.083616,0.060286,-0.10461,0.030803,-0.042777,0.01427,-0.023786,-0.058469,0.029968,1
-1.6291,-0.1378,0.14899,-0.069091,-0.037519,0.02117,-0.010279,0.000714,-0.030374,-0.066209,1
-0.38399,-0.093806,0.075052,-0.15062,0.01137,0.002779,0.037246,-0.1202,-0.040687,0.059992,1
-0.60648,-0.12034,0.1013,-0.07992,-0.007366,-0.027979,-0.022237,-0.036684,-0.05632,-0.00012,1
-0.29668,-0.043675,0.039429,-0.084461,-0.005314,0.00308,0.006983,0,-0.039369,-0.001807,-1
-1.4597,-0.19005,0.15141,-0.043863,-0.1045,-0.066123,-0.012151,-0.036473,-0.05942,-0.031972,-1
-0.40678,-0.085585,0.066699,-0.13436,0.01439,-0.014094,-0.002409,-0.018348,-0.046023,0.027847,1
-0.017191,-0.025129,0.020706,-0.086537,-0.005678,-0.008204,0.009835,-0.009512,-0.040596,0.008561,-1
-1.438,-0.1797,0.15828,-0.066987,-0.007871,-0.007716,0.008454,-0.030248,-0.059241,0.035203,1
-2.6585,-0.28483,0.22834,-0.30562,-0.16796,0.000631,-0.000034,-0.027941,0.07421,0.009342,1
-3.3569,-0.18147,0.18193,-0.065158,-0.04745,-0.051213,0.005761,-0.01019,-0.021311,-0.012399,1
-1.8912,-0.25929,0.22762,-0.074717,-0.043714,-0.053234,0.01005,-0.027336,-0.04133,-0.022554,1
-0.68866,-0.093971,0.077192,-0.069335,-0.081788,-0.040772,0.013526,-0.017308,-0.039997,-0.053593,-1
-0.15124,-0.032325,0.028593,-0.083935,0.001392,-0.000122,0.008517,-0.00244,-0.042812,0.007601,-1
-1.1329,-0.097459,0.12167,-0.040865,-0.007894,-0.016188,-0.020216,0.000484,-0.013114,-0.026601,1
-0.15124,-0.032325,0.028593,-0.083935,0.001392,-0.000122,0.008517,-0.00244,-0.042812,0.007601,-1
-0.95197,-0.12256,0.10932,-0.081623,0.015465,0.028494,0.007347,-0.003482,-0.051377,0.017234,-1
-0.29668,-0.043675,0.039429,-0.084461,-0.005314,0.00308,0.006983,0,-0.039369,-0.001807,-1
-0.401,-0.056735,0.04716,-0.11344,-0.000537,0.020765,-0.015754,-0.009209,-0.027195,0.014408,-1
-2.2351,-0.16288,0.17505,-0.001933,0.009298,-0.007388,-0.041516,-0.00658,-0.050184,-0.055844,1
-1.6947,-0.18148,0.19221,-0.21053,-0.046401,0.012877,0.065902,0.004099,-0.008031,-0.058137,1
-1.4288,-0.16718,0.14046,-0.078278,0.044227,0.022642,0.032967,-0.10442,-0.058408,0.034677,1
-3.6895,0.011723,0.032374,-0.25423,0.23721,0.083669,-0.079218,0.052296,-0.047126,0.014088,1
-1.373,-0.11308,0.11189,-0.050186,-0.015861,0.002449,0.024045,-0.018299,-0.046155,-0.025046,-1
-1.3572,-0.19804,0.17683,-0.11376,-0.014077,0.000403,-0.000487,-0.026035,-0.06253,0.019364,-1
-1.0138,-0.11245,0.098919,-0.091722,0.050263,0.031822,0.032257,-0.092175,-0.055938,0.042399,-1
-1.7815,-0.257,0.22395,-0.27405,-0.04947,-0.027534,-0.055308,-0.033071,-0.081785,-0.026792,1
-1.0267,-0.10778,0.096355,-0.075612,0.056178,0.005491,0.001394,-0.059041,-0.048011,0.021338,-1
-0.019868,-0.024982,0.021059,-0.085858,-0.007472,-0.007089,0.007367,-0.001953,-0.041675,0.007279,-1
-2.6614,-0.19574,0.19489,-0.082336,-0.10526,-0.072856,-0.047006,-0.037108,-0.061872,-0.078595,-1
-0.02068,1.4763,1.794,-0.29097,0.073269,-0.12985,0.019936,-0.022128,0.000172,-0.023898,-1
-1.956,-0.16587,0.168,-0.080573,0.041202,-0.009719,0.053167,-0.023556,-0.053666,0.013172,1
-2.1882,-0.23872,0.23647,-0.4108,-0.13608,0.088511,-0.055266,0.019437,0.09509,-0.098101,1
-2.5038,-0.15339,0.17143,-0.0478,0.010167,0.043078,0.026809,0.022573,-0.058955,-0.002128,-1
-0.64675,-0.11436,0.09096,-0.10339,0.018207,0.03056,0.007954,0.0155,-0.036822,0.032402,-1
-0.85568,-0.14874,0.12832,-0.068034,-0.003949,-0.010535,-0.027502,-0.038751,-0.057167,0.018413,1
