@relation S_TCAed_data_dim10_EQ_for_PDE_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.5827,0.082097,-0.39886,-0.059971,0.001786,0.048719,-0.065728,0.066229,-0.007107,0.005984,1
5.2289,-0.13229,0.84458,0.18375,-0.31289,0.003428,0.033491,0.082491,-0.028357,0.062909,1
1.3776,0.077824,-0.26384,-0.000059,-0.12472,0.062403,-0.029646,0.055036,0.043945,0.063913,-1
3.5634,0.0223,-0.1559,0.10374,-0.24635,-0.034035,-0.032913,-0.013123,0.024512,0.026862,1
1.205,0.14383,-0.37539,-0.1179,-0.03326,0.04342,-0.00705,0.02063,-0.013182,-0.017962,1
0.030726,0.039817,-0.010655,-0.042737,-0.034009,-0.001057,-0.001904,0.007081,-0.008969,0.008426,-1
1.9164,0.16445,-0.34933,-0.042514,-0.053742,0.065619,-0.051127,-0.009949,-0.062752,0.085904,1
0.36718,0.055561,-0.083641,-0.034181,-0.034011,-0.003701,0.005227,0.004912,-0.008122,0.01038,-1
3.429,0.048445,-0.22938,0.16629,-0.20097,0.038716,0.11492,-0.056288,0.016575,0.013357,1
2.616,0.163,-0.52979,-0.11173,0.068004,0.00148,-0.011227,0.014266,-0.001764,-0.008784,1
1.3004,0.09801,-0.40483,-0.10081,0.006245,0.010227,-0.021233,0.019608,0.019121,0.017347,-1
0.55364,0.54831,-0.1544,-0.13233,-0.087521,-0.019376,0.021649,-0.040188,0.058441,-0.076195,1
0.66786,0.050772,-0.074792,0.028273,-0.097699,-0.015095,0.004592,0.10088,-0.025894,0.004789,-1
0.34037,0.043404,-0.10401,-0.049057,-0.022368,-0.002691,0.002152,0.007728,-0.011175,0.009592,-1
0.050562,0.090177,-0.059851,-0.091298,-0.053572,0.12927,0.039545,0.000213,-0.015065,-0.005736,-1
0.36718,0.055561,-0.083641,-0.034181,-0.034011,-0.003701,0.005227,0.004912,-0.008122,0.01038,-1
1.2067,0.10773,-0.2624,0.005816,-0.076201,0.068567,-0.062117,0.014235,-0.008367,0.03892,1
0.34144,0.055745,-0.099152,-0.044853,-0.023236,-0.002299,0.003002,-0.000018,-0.008431,0.010799,-1
2.5347,0.032798,-0.40227,-0.021866,-0.045783,0.038514,-0.011258,-0.07952,0.003108,-0.028586,1
0.030726,0.039817,-0.010655,-0.042737,-0.034009,-0.001057,-0.001904,0.007081,-0.008969,0.008426,-1
1.6654,0.066415,-0.38799,-0.037477,-0.042492,0.012155,-0.000942,0.03322,-0.007615,-0.003112,-1
1.4846,0.011595,-0.32108,-0.051948,-0.05534,0.005941,-0.019283,-0.019317,0.000041,0.022296,-1
1.3306,0.2859,-0.36849,-0.13926,-0.056452,0.000037,0.007429,0.002772,-0.012883,0.003767,1
0.030726,0.039817,-0.010655,-0.042737,-0.034009,-0.001057,-0.001904,0.007081,-0.008969,0.008426,-1
1.5868,0.054684,-0.42484,-0.088322,0.018316,0.001891,0.002712,0.018914,-0.016515,-0.006163,-1
1.1884,0.12837,-0.3197,-0.097766,-0.040931,0.002497,-0.009724,0.012633,0.013551,-0.039973,-1
0.3376,0.048993,-0.092208,-0.036027,-0.025896,-0.00132,0.002823,-0.005278,-0.005598,0.019838,-1
0.17913,0.042872,-0.059654,-0.048449,-0.025873,-0.001984,0.000361,0.008165,-0.009276,0.009354,-1
