@relation S_TCAed_data_dim10_JDT_for_EQ_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.338,-0.35821,-0.38697,-0.067326,-0.056228,-0.014852,0.016441,0.02223,-0.017747,-0.005775,-1
-0.543,-0.13381,-0.049628,-0.056201,-0.091707,0.025191,0.053865,0.023135,0.014452,-0.003642,-1
-0.17199,-0.45107,-0.18295,-0.10685,-0.18698,-0.085884,0.050644,0.04953,0.047444,0.051583,-1
-1.0659,-1.9704,-0.070237,-0.29738,-0.078919,0.035569,0.017399,-0.015077,0.072842,-0.0324,1
0.18059,-1.3761,-0.021558,0.070132,0.031276,0.042568,0.032281,-0.032815,0.009756,-0.050461,-1
-0.47051,-1.5747,0.1258,-0.14103,0.074068,0.050283,-0.001628,0.035725,-0.025909,-0.023804,1
-0.53337,-0.1889,-0.064548,-0.10559,-0.11648,0.040331,0.01726,0.030117,-0.056948,-0.017067,1
-0.48418,-0.10874,-0.047245,-0.037885,-0.04188,0.012928,0.03578,0.032427,0.072678,-0.005506,-1
-0.78281,-0.23198,-0.11273,-0.11973,-0.15177,0.007278,0.087424,0.013014,-0.006573,-0.02389,1
-0.36714,-0.25539,-0.060311,-0.10118,-0.1363,-0.059547,-0.008709,0.02155,0.005342,-0.010508,1
-0.054138,-1.771,-0.12317,-0.033106,-0.14147,-0.10457,-0.001481,-0.003938,-0.000956,-0.027836,-1
-0.40658,-0.59284,-0.17958,-0.16824,-0.23865,-0.094327,0.0536,0.11417,-0.030085,0.05306,1
-1.3898,-0.45052,-0.2122,-0.013753,-0.2696,-0.11866,0.04765,-0.039965,0.025192,-0.07879,-1
-0.43433,-0.58199,-0.09269,-0.055284,-0.10916,-0.030013,0.020503,0.070149,0.011358,0.10446,-1
-0.83566,-0.54502,-0.25165,-0.045627,-0.10022,0.021355,0.10365,0.030243,0.018286,-0.023627,-1
-1.0327,-0.56615,-0.2742,-0.007646,-0.067943,0.020654,0.082146,0.039316,0.028339,-0.019859,-1
-0.52916,-0.15782,-0.08076,-0.047972,-0.09495,0.013621,0.057414,0.055399,0.004697,-0.008823,-1
-0.28152,-1.7939,-0.10816,-0.14085,-0.071934,0.025671,0.013778,0.031745,0.022258,-0.033064,-1
-0.41872,-0.17551,-0.06378,-0.10482,-0.10345,-0.023644,0.02025,0.014618,-0.039119,-0.0257,-1
-2.0331,-0.52918,-0.069759,-0.1729,-0.11672,-0.044952,-0.010888,0.055531,-0.024743,-0.031459,1
0.12001,-1.5706,0.04228,-0.037507,-0.058158,0.000952,-0.000395,-0.000049,-0.037577,-0.024712,-1
-0.43756,-0.10378,-0.077466,-0.039771,-0.091559,0.017579,0.049789,0.020732,0.003815,-0.006742,-1
-1.8969,-0.42193,-0.14881,-0.28683,-0.086565,-0.057988,0.047767,0.018526,-0.032592,-0.080386,-1
-0.093335,-0.076359,-0.052833,-0.024399,-0.048928,-0.031034,0.009421,-0.001568,-0.000619,-0.0141,-1
-0.31462,-0.24232,-0.20607,-0.13588,-0.054607,0.008007,0.001061,0.064663,-0.005459,-0.023987,-1
-0.42921,-0.18202,-0.084094,-0.025528,-0.087273,-0.074723,0.01292,-0.009023,0.014642,-0.021116,-1
-0.52205,-0.19551,-0.13276,-0.08531,-0.11262,-0.062593,0.04195,-0.004682,-0.032922,-0.019958,-1
-0.36547,-0.53049,-0.46243,-0.071321,-0.056926,-0.044462,-0.071914,0.046897,0.0027,0.12864,1
-0.27756,-1.8686,-0.002803,-0.2481,-0.087541,0.080654,-0.006231,0.015525,-0.00725,-0.054952,-1
-0.81635,-0.50468,-0.25393,-0.074881,-0.10028,0.024703,0.093853,0.027232,0.007241,-0.023343,1
-0.36453,-0.70256,-0.82661,-0.063675,0.038915,-0.067701,-0.026518,-0.05292,-0.020003,-0.098481,-1
-0.59278,-0.2664,-0.15888,-0.052379,-0.14438,-0.059747,0.045384,0.01465,0.005685,-0.01873,-1
-0.55871,-0.44839,-0.12021,-0.041079,-0.099934,-0.046558,0.032825,0.018583,-0.002889,0.001197,-1
-0.67178,-0.3145,-0.041421,-0.10268,-0.13117,-0.021558,-0.040816,-0.050052,-0.023876,-0.065548,1
