@relation S_TCAed_data_dim10_JDT_for_ML_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.31487,-0.25151,0.35366,-0.087167,-0.015908,-0.02044,0.022213,-0.012014,-0.004431,0.004333,-1
-0.54386,-0.042493,0.052748,-0.13746,-0.014088,-0.008642,0.023059,0.002875,-0.010915,-0.003025,-1
-0.20552,-0.33277,0.18581,-0.19667,-0.002422,0.003745,0.079496,0.072101,-0.0266,0.025432,-1
-1.1229,-1.4933,0.061789,-0.18304,-0.1931,0.061644,0.068559,-0.009234,-0.094088,-0.020264,1
-0.064969,-1.2197,0.000761,-0.001652,0.050418,-0.035669,-0.033727,-0.04035,0.016276,-0.03176,-1
-0.57737,-1.2616,-0.11467,-0.059095,-0.12095,-0.057016,0.010659,-0.031141,-0.061398,0.0051,1
-0.57644,-0.009563,0.053466,-0.13377,-0.05808,0.0253,0.010947,-0.009244,-0.0011,-0.004159,1
-0.49476,-0.045029,0.069229,-0.10681,-0.039854,-0.017672,0.030728,0.008664,-0.027062,0.050691,-1
-0.74472,-0.067296,0.097607,-0.16245,-0.027536,-0.003038,0.04235,0.013354,-0.059083,-0.01147,1
-0.34194,-0.1151,0.059624,-0.085469,-0.021282,0.050477,0.058302,0.04741,-0.005607,0.00403,1
-0.22935,-1.4657,0.093191,-0.11981,0.032164,0.016658,0.064665,0.067745,0.016104,-0.001866,-1
-0.50099,-0.34985,0.17541,-0.21451,-0.018285,0.013925,0.073152,0.093127,-0.028668,0.025062,1
-1.346,-0.17439,0.21481,-0.24119,0.054911,0.029211,0.10495,0.078907,-0.030258,-0.015758,-1
-0.48097,-0.41561,0.086979,-0.13821,-0.006674,-0.01319,0.032771,0.050455,0.004961,0.040645,-1
-0.83424,-0.35036,0.21481,-0.13026,0.009144,-0.041001,0.019419,-0.010356,-0.003794,-0.039674,-1
-1.0042,-0.35394,0.24071,-0.111,0.031018,-0.042608,0.01471,-0.015853,-0.006318,-0.033225,-1
-0.54359,-0.06075,0.08244,-0.14524,0.000027,-0.021309,0.005527,0.014039,-0.008719,0.000457,-1
-0.37248,-1.5104,0.084549,-0.15871,-0.072041,-0.007881,0.017983,0.002979,-0.007664,0.025437,-1
-0.36801,-0.056242,0.045675,-0.065978,-0.023307,0.028665,0.014966,0.018114,-0.004837,-0.025249,-1
-2.037,-0.17703,0.088353,-0.15835,-0.12777,0.060796,0.047754,0.015299,-0.003859,0.006245,1
-0.039727,-1.3612,-0.069344,-0.067013,0.014104,-0.006335,-0.00195,0.007519,0.006607,0.000933,-1
-0.44322,-0.035912,0.066002,-0.12585,-0.002497,-0.011742,0.028082,-0.002016,-0.006925,-0.001882,-1
-1.7346,-0.072944,0.082026,-0.009537,-0.16362,0.035653,0.016142,0.043921,-0.01999,-0.034172,-1
-0.080736,-0.036108,0.046127,-0.031223,0.00098,0.009399,0.028666,0.01588,-0.002529,-0.007467,-1
-0.26998,-0.11454,0.18691,-0.11217,-0.089711,0.004994,0.004201,-0.003138,0.00608,0.007741,-1
-0.40716,-0.062751,0.085762,-0.057158,0.003779,0.015145,0.045426,0.044892,-0.009109,-0.011156,-1
-0.47371,-0.082982,0.10449,-0.064498,-0.002213,0.026175,0.042889,0.035583,-0.013731,-0.027911,-1
-0.3717,-0.45488,0.44236,-0.06625,-0.000495,0.033634,0.032071,0.020989,-0.008522,0.11971,1
-0.47569,-1.5163,-0.022953,-0.17548,-0.15896,0.05224,-0.003902,-0.020309,-0.042298,0.017568,-1
-0.7892,-0.32657,0.21421,-0.13098,-0.005724,-0.031798,0.014771,-0.011882,-0.01342,-0.038712,1
-0.21588,-0.52209,0.71274,0.050472,-0.057936,0.011283,0.028383,-0.006363,0.010317,-0.040967,-1
-0.62463,-0.12728,0.16787,-0.16851,0.002184,-0.001274,0.068303,0.039545,-0.016752,0.007957,-1
-0.54155,-0.23703,0.090881,-0.064002,0.00585,0.00892,0.032373,0.033298,0.006841,-0.026947,-1
