@relation S_TCAed_data_dim10_JDT_for_PDE_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.32852,0.31341,0.3802,-0.11917,-0.015485,0.028706,0.049539,-0.043654,0.008388,-0.032647,-1
-0.54537,0.053411,-0.001402,-0.079445,-0.032508,-0.012381,0.066315,-0.019756,-0.012027,0.000088,-1
-0.19376,0.31799,0.068623,-0.19955,-0.041494,0.056778,0.052471,-0.055384,-0.010842,-0.047091,-1
-1.127,1.5124,-0.058597,-0.10236,-0.26492,-0.022773,0.052961,0.042596,-0.044074,0.003499,1
-0.038348,1.2709,-0.071582,-0.02124,0.051062,-0.007879,0.026849,-0.018323,-0.009243,-0.010794,-1
-0.48388,1.3378,-0.21452,0.094873,-0.12256,0.006699,0.023165,0.002246,0.003844,-0.034022,1
-0.57695,0.075438,0.014104,-0.069651,-0.072078,-0.04646,0.050546,-0.015121,0.035918,0.026479,1
-0.47595,0.030844,0.019911,-0.038688,-0.041556,-0.005197,0.04717,-0.02505,-0.0351,-0.041999,-1
-0.73841,0.082777,0.030888,-0.12381,-0.067284,0.001591,0.090312,0.012474,0.000262,-0.004222,1
-0.33491,0.099657,-0.007535,-0.10953,-0.055802,0.012358,-0.008045,-0.003972,0.008714,-0.002825,1
-0.25776,1.4476,-0.043513,-0.16722,-0.014529,0.030861,-0.027209,0.014313,0.026256,0.02121,-1
-0.4653,0.3636,0.028475,-0.19791,-0.076242,0.049586,0.057167,-0.065875,0.038829,-0.042774,1
-1.3571,0.19491,0.071245,-0.25976,0.000572,0.04487,0.041694,0.029051,0.013816,0.021586,-1
-0.48611,0.38768,0.025187,-0.10064,-0.030953,0.014043,0.029919,-0.04079,0.006184,-0.012573,-1
-0.85633,0.38768,0.17899,-0.12726,-0.012627,0.003816,0.10627,-0.035748,-0.009971,0.009652,-1
-1.0034,0.37924,0.22627,-0.1221,0.013074,0.004672,0.11013,-0.018301,-0.00308,-0.012918,-1
-0.55845,0.069303,0.022518,-0.089763,-0.021673,-0.007164,0.068993,-0.027048,0.011597,-0.005364,-1
-0.42343,1.4729,-0.027371,-0.10276,-0.11001,-0.033672,0.036519,-0.017235,-0.001474,0.003416,-1
-0.39224,0.072271,0.011761,-0.082422,-0.047798,-0.00009,0.017712,0.005611,0.020656,0.026535,-1
-2.0007,0.18224,0.010156,-0.093484,-0.13671,0.024658,0.014249,-0.00546,0.032545,0.006087,1
-0.061096,1.3423,-0.16593,-0.056088,-0.02028,-0.02546,-0.006043,0.020038,0.036169,0.022032,-1
-0.4521,0.043789,0.025261,-0.081941,-0.017925,-0.007014,0.065642,-0.008747,0.008255,-0.004364,-1
-1.7774,0.14577,0.11024,-0.048939,-0.17227,0.018516,0.055489,0.026609,0.042298,0.050709,-1
-0.085466,0.033,0.027331,-0.047209,-0.010639,0.013233,0.001328,0.004779,0.004497,0.005944,-1
-0.31122,0.1553,0.17966,-0.07542,-0.085683,-0.003985,0.040549,-0.039467,0.028076,-0.010955,-1
-0.3953,0.073044,0.040811,-0.085439,-0.010699,0.038179,-0.007637,0.006563,-0.004251,0.007035,-1
-0.48641,0.080642,0.077282,-0.10673,-0.036495,0.025316,0.025951,0.013872,0.010839,0.030367,-1
-0.41117,0.45476,0.49063,-0.15053,-0.034634,0.030536,-0.002893,-0.072396,-0.005744,-0.097265,1
-0.45989,1.5185,-0.13928,-0.068794,-0.17866,-0.056058,0.048205,0.01982,0.016893,-0.024282,-1
-0.83114,0.3621,0.184,-0.12536,-0.032086,0.001708,0.10336,-0.025279,-0.005056,0.009962,1
-0.37794,0.58561,0.92057,-0.12651,-0.053326,0.040025,-0.005164,0.028019,0.030302,0.046736,-1
-0.59405,0.1367,0.087013,-0.1448,-0.014675,0.03599,0.042379,-0.016507,0.00066,-0.014842,-1
-0.55713,0.26349,0.052547,-0.090913,-0.017628,0.015471,0.015768,0.000806,0.011453,0.029016,-1
-0.62012,0.1653,-0.012352,-0.10325,-0.067262,-0.034459,-0.009116,0.036856,0.03632,0.024464,1
-2.6619,0.37928,0.017162,-0.12568,0.062493,0.008793,0.053558,0.16552,0.06023,-0.071519,1
-1.7176,-0.001037,0.079989,-0.031928,-0.086333,0.13861,0.034703,0.10055,0.023742,0.0494,-1
-0.69452,0.39457,0.23287,-0.14888,-0.009612,0.020823,0.092344,-0.035671,-0.018398,-0.012643,-1
-0.43869,0.13042,0.004626,-0.10769,-0.098453,-0.02154,0.073206,-0.026193,0.028226,-0.020512,-1
-0.15689,0.48425,0.87525,-0.002588,-0.030507,-0.011297,-0.031456,0.001098,0.023473,0.005159,-1
-0.46608,0.10223,0.004907,-0.076693,-0.063103,-0.037346,0.061638,-0.023602,0.000728,0.011189,1
-0.10714,0.07301,0.10264,-0.091175,-0.028357,0.022832,0.005084,-0.004306,0.011196,0.005035,-1
-0.72629,0.015862,-0.013479,-0.076449,-0.12337,-0.023156,0.011476,0.006763,-0.009577,-0.002191,-1
-0.69211,0.069704,0.024621,-0.085591,0.012451,0.006327,0.013156,0.023233,0.015579,0.029869,-1
-0.35085,1.485,-0.12553,-0.1349,-0.004829,0.011364,-0.032279,0.016616,0.032428,0.02187,-1
-0.47954,0.1061,0.009668,-0.091244,-0.10445,-0.014999,0.033427,-0.014634,-0.005159,-0.010872,-1
-1.2649,0.38617,0.16475,-0.12945,0.013833,-0.001344,0.11842,-0.021163,-0.025671,0.027335,-1
-0.59692,0.29156,0.011757,-0.12644,-0.065763,0.041306,-0.042541,0.027252,0.048846,-0.025424,-1
-0.7347,1.5689,0.043161,-0.1573,-0.14048,0.039007,0.023166,-0.009621,-0.001924,0.000216,1
-0.40562,1.3595,-0.18215,-0.033537,-0.18292,-0.055849,-0.000394,0.017139,0.01044,0.046335,1
-0.29958,0.26271,0.27297,-0.18416,-0.055829,0.042233,0.004543,-0.004471,0.011337,0.014176,-1
-0.76705,0.32477,0.58257,-0.062967,-0.032828,-0.031328,0.013537,0.020364,0.009534,0.035908,-1
-0.23335,1.3926,-0.090693,-0.074099,-0.032575,-0.005544,0.033653,-0.020546,-0.002347,-0.009763,-1
-2.0336,0.13821,0.030938,0.006876,-0.10936,0.15033,0.091979,0.016252,0.077492,0.03449,1
-0.55086,0.085975,0.014449,-0.064799,-0.059732,-0.018372,0.026444,0.027311,0.01041,0.002923,-1
-0.091667,0.37394,0.48389,-0.094177,-0.023632,0.039442,-0.008173,0.022782,0.019813,0.020963,-1
-2.3927,0.016036,0.071445,-0.18976,0.075796,0.010195,0.04707,0.024499,-0.003624,0.032381,-1
-0.22745,0.071234,0.02016,-0.082612,-0.049444,-0.005619,0.025955,0.001583,0.029456,0.02779,-1
-0.29426,0.046362,0.008278,-0.074673,-0.009227,0.010769,0.010473,0.01125,0.011844,0.012243,-1
-0.24346,0.11493,0.067927,-0.19852,-0.037006,0.063101,0.006615,0.000585,0.011362,0.007969,-1
-0.25235,0.38178,0.3501,-0.14297,-0.007536,0.006386,-0.001046,-0.0705,0.013993,-0.10794,-1
-0.097073,1.4904,0.041964,-0.13128,-0.040511,0.00929,0.024441,-0.021611,-0.003035,-0.009383,-1
-0.29396,0.20528,-0.001894,-0.09401,-0.026431,0.006012,-0.027841,0.028811,0.029006,0.000815,-1
-0.35707,0.054634,0.007572,-0.068145,-0.036894,0.008456,0.010331,0.008394,0.007378,0.013247,-1
-0.83619,1.4217,-0.10946,-0.056807,-0.18899,-0.047981,0.062177,-0.000164,-0.006788,-0.003683,1
-5.1869,0.51524,0.39094,-0.079164,0.39671,-0.10616,-0.04219,-0.13365,0.10965,0.080029,1
-0.15919,1.4511,-0.092469,-0.11495,-0.002703,0.00371,-0.026019,0.021282,0.018545,0.034037,-1
-0.58785,0.04117,-0.00023,-0.096023,-0.014627,-0.011589,0.017301,0.028825,0.009481,0.023253,-1
-0.087904,1.4641,-0.0012,-0.20565,-0.020532,0.051077,-0.019894,0.009758,0.028856,0.029191,-1
-0.36596,1.5262,-0.002297,-0.11373,-0.094078,0.008103,-0.03399,0.004342,0.005318,0.014009,-1
-0.73201,0.087046,0.000863,-0.067044,-0.06077,-0.023635,-0.014868,0.002193,0.000199,0.005856,-1
-0.14872,0.36855,0.45845,-0.10129,-0.02398,0.040731,-0.010371,0.020903,0.017064,0.022982,-1
-0.31752,0.35964,0.016859,-0.073595,0.007887,0.023989,-0.045242,-0.015647,0.001118,-0.009275,1
-1.8188,0.24954,0.059249,-0.14645,-0.068334,-0.072432,0.020452,-0.024284,0.019827,0.01473,1
-0.58967,0.3897,0.2407,-0.14639,-0.005416,0.022499,0.09204,-0.037336,-0.017091,-0.008096,-1
-0.71444,0.37661,0.20672,-0.11628,-0.004062,-0.001586,0.099973,-0.030083,0.001339,-0.014415,-1
-0.37699,0.075065,0.014849,-0.11884,-0.020652,0.026973,0.006656,0.009028,0.012986,0.017528,-1
-0.77564,0.072376,0.016237,-0.13526,-0.040122,0.00788,0.011091,0.021554,0.014354,0.024887,-1
0.055192,1.5144,-0.08196,-0.045998,0.024447,-0.002776,-0.029946,0.010361,0.026926,0.01957,-1
-0.38134,1.4668,-0.15533,-0.090993,-0.18461,-0.070758,0.077193,-0.000102,0.002356,-0.004937,-1
