@relation S_TCAed_data_dim10_LC_for_EQ_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.52123,-0.29563,-0.044705,0.10659,-0.031344,-0.074474,-0.007793,-0.009292,-0.018525,0.025162,-1
0.34547,-0.15406,-0.031597,0.064313,0.006074,-0.016575,-0.004673,-0.028011,-0.017084,-0.028305,-1
2.8311,-0.60246,0.17729,0.019876,0.02964,-0.070027,-0.20776,-0.078232,0.068831,-0.030954,-1
2.2163,-0.42518,0.37705,0.30151,-0.048251,0.003089,-0.032616,-0.065396,0.024125,-0.034159,-1
1.006,-0.4161,-0.050687,0.087668,0.04042,-0.040967,-0.037167,-0.074656,-0.00398,-0.040839,-1
1.085,-0.47887,-0.091893,0.15227,0.048824,-0.10918,-0.020381,-0.12751,-0.023163,0.007156,-1
1.0162,-0.45139,-0.057603,0.15462,0.008572,-0.12335,-0.001016,-0.066414,-0.028525,0.02466,1
0.68249,-0.23176,-0.013786,0.041415,0.007818,-0.023256,-0.012543,-0.039369,-0.001227,-0.022101,-1
0.47523,-0.23428,-0.029961,0.097836,0.061187,-0.10646,-0.008407,-0.023178,0.002612,0.030361,-1
0.22828,0.068258,-0.10849,0.18285,-0.005147,-0.10273,-0.17562,0.02108,0.020709,0.052949,-1
3.0728,-0.7719,-0.12689,0.14878,-0.016236,-0.051419,-0.12511,-0.069689,-0.009397,-0.015821,-1
0.44769,-0.20615,-0.008147,0.055685,0.047083,-0.055021,-0.021922,-0.014536,0.012215,-0.008646,-1
0.81668,-0.39799,-0.073048,0.24744,0.027949,0.006255,0.006236,0.021964,0.013163,-0.050098,-1
0.82467,-0.26014,0.003452,0.04699,0.009281,-0.008397,-0.013804,-0.040307,-0.007601,-0.020669,-1
1.3218,-0.48762,-0.11758,0.16708,0.026126,-0.032366,-0.014332,-0.075905,-0.005649,0.028789,-1
1.9799,-0.69949,-0.11436,0.23832,0.031039,-0.06891,-0.033263,-0.092217,-0.000217,-0.016813,1
0.92318,-0.35305,-0.092248,0.27646,0.034993,-0.040251,-0.049993,-0.079981,-0.006188,0.052724,-1
1.3232,-0.52818,-0.049232,0.12013,0.024527,-0.093142,-0.014741,-0.077735,-0.03735,-0.013863,-1
0.45113,-0.20585,-0.032801,0.092144,0.045003,-0.084123,0.003862,-0.041526,-0.002615,0.023657,-1
0.75595,-0.38173,-0.073171,0.21125,0.069182,-0.17107,0.02188,-0.14917,0.0006,-0.016261,-1
2.3837,-0.57433,-0.13372,-0.086986,0.006769,-0.011979,-0.048525,-0.15887,0.003217,0.018148,-1
0.90358,-0.31452,0.004326,0.1005,0.081529,-0.12837,-0.050053,-0.023462,-0.003442,-0.053706,-1
0.72453,-0.21642,-0.013426,0.02683,-0.018227,-0.020926,-0.013892,-0.036334,0.013788,-0.015584,-1
0.53636,-0.17205,-0.001198,0.10664,0.064642,-0.11703,0.041816,-0.008244,0.026241,-0.004138,-1
1.0294,-0.32605,-0.031149,0.048548,0.045543,-0.051093,-0.011103,-0.039229,-0.007687,0.00968,-1
1.1312,-0.4726,-0.069519,0.15834,0.056095,-0.12966,-0.013902,-0.11685,-0.006252,-0.005163,-1
0.85007,-0.30325,-0.014231,0.096258,0.056662,-0.089297,-0.019034,-0.048761,-0.016743,-0.056093,-1
0.55216,-0.24941,0.014358,0.083507,0.084056,-0.1238,0.018922,-0.014247,0.027023,0.027165,-1
0.62589,-0.24278,-0.007299,0.064125,0.033449,-0.024041,-0.002855,-0.024685,0.011093,-0.008085,-1
0.73603,-0.32359,-0.045124,0.11829,0.0306,-0.072756,-0.022291,-0.023671,-0.009241,0.045787,1
0.45585,-0.32786,-0.12131,0.10982,-0.45212,-0.35532,0.014723,0.036399,-0.051867,-0.030684,1
3.7246,-0.41737,-0.13408,-0.15506,-0.005954,0.028495,-0.13661,-0.10531,0.090203,0.044344,1
0.51109,-0.16929,-0.031811,0.072304,0.033282,-0.048217,-0.032997,-0.042327,0.010067,0.019167,-1
1.2816,-0.45979,-0.10248,0.098932,-0.2724,-0.25131,0.005864,0.031915,0.037123,0.004111,-1
0.963,-0.34042,0.060339,0.16439,0.087998,-0.14598,0.021257,-0.046313,0.007518,0.022272,-1
1.3503,-0.50057,-0.034483,0.13643,0.074955,-0.14457,-0.043649,-0.087407,-0.028918,-0.09146,-1
1.9209,-0.41752,0.024327,0.008437,0.082826,-0.076945,-0.031733,-0.032425,-0.021074,-0.06055,1
1.4643,-0.46743,-0.073101,0.066416,-0.018109,0.059222,-0.033033,-0.028704,0.014898,-0.025297,-1
0.6987,-0.38896,-0.054476,0.24318,0.064784,-0.044358,0.022125,0.072241,-0.022141,0.033383,-1
0.50208,-0.20299,-0.028118,0.051047,0.007684,-0.015705,-0.01413,-0.038756,-0.00672,-0.025074,-1
1.5598,-0.54419,-0.044864,0.15637,0.0614,-0.13518,-0.026192,-0.11942,-0.006258,-0.00203,-1
1.343,-0.46743,-0.09888,0.1724,0.03503,-0.097066,-0.01078,-0.11977,0.0093,-0.006734,-1
1.5098,-0.46861,-0.038376,0.077248,-0.050073,-0.046533,0.003126,0.00885,0.034624,0.02212,-1
1.5689,-0.4594,-0.10353,0.17737,-0.023219,-0.014711,-0.060453,-0.059423,0.015122,-0.013721,-1
0.44926,-0.19371,-0.010686,0.077836,0.038629,-0.053563,0.001474,-0.025083,0.004355,0.006359,-1
0.35908,-0.18188,-0.00315,0.088565,0.065337,-0.092606,0.024533,-0.000298,0.017385,0.003973,-1
0.67998,-0.41993,-0.088156,0.28102,0.021632,-0.032229,-0.01839,-0.022263,-0.004966,0.012327,-1
0.68846,-0.21067,-0.027416,0.070512,0.044928,-0.063737,0.011326,-0.033291,0.016318,0.00882,-1
2.2089,-0.67742,-0.10127,0.19247,0.00968,-0.085898,0.007667,0.051871,-0.03108,0.058681,1
3.1257,-0.58228,-0.19941,0.16788,-0.030592,0.066456,-0.001929,-0.012743,0.031077,-0.016336,1
1.6659,-0.68262,-0.12445,0.30143,0.023838,0.03882,-0.016501,-0.020343,0.005093,-0.062681,-1
1.1807,-0.45616,-0.10436,0.2823,0.053409,-0.050316,-0.037551,0.0608,-0.022435,-0.040647,-1
5.3401,0.65346,-0.44309,0.17063,0.13554,-0.068054,-0.025867,-0.093019,0.070766,-0.088029,1
0.6063,-0.25636,-0.024836,0.08295,0.048375,-0.087135,0.007847,-0.051848,0.001,0.036122,-1
0.90524,-0.30672,-0.002792,0.070852,0.07789,-0.099153,0.034683,-0.013286,-0.011184,0.020026,-1
1.2468,-0.41882,-0.04134,0.098928,0.048333,-0.080745,0.004364,-0.083835,-0.027985,-0.038426,-1
1.551,-0.52942,-0.09341,0.15627,0.004576,0.034931,-0.011175,-0.008195,0.013553,0.033707,-1
0.68926,-0.30891,-0.020559,0.22068,0.04472,-0.091421,-0.003387,-0.03458,-0.002216,0.098158,-1
0.78245,-0.30912,0.06548,0.10574,0.10801,-0.15907,0.011827,-0.027227,0.045089,-0.010649,1
