@relation S_TCAed_data_dim10_LC_for_JDT_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.23012,0.077132,0.064727,-0.021842,0.071459,-0.019309,-0.02385,-0.02153,-0.027361,-0.003893,-1
-0.1318,0.053366,0.053989,-0.022955,0.049659,-0.02385,0.009084,-0.002872,-0.010758,-0.001327,-1
-1.1708,0.32631,0.083686,0.038127,0.13586,-0.044346,0.070766,-0.031097,0.027509,0.094615,-1
-0.85655,0.16869,0.15695,0.1378,0.1142,-0.077263,0.021901,-0.05629,0.008743,0.042602,-1
-0.34737,0.13338,0.079553,-0.042777,0.12075,-0.057732,0.021824,0.002309,-0.011132,0.010891,-1
-0.3826,0.088977,0.10127,-0.07244,0.17105,-0.085846,0.009667,0.001373,-0.006432,0.038471,-1
-0.42831,0.1242,0.091313,-0.038769,0.15248,-0.050748,-0.021692,-0.020436,-0.024609,-0.011951,1
-0.25493,0.075716,0.057608,-0.022175,0.076559,-0.025533,0.01609,-0.009075,-0.012971,0.013269,-1
-0.16254,0.054654,0.041241,-0.017574,0.096586,-0.019744,-0.000911,0.017925,-0.011993,0.013189,-1
-0.22747,0.035181,0.073452,-0.034625,0.12408,0.010395,-0.035363,-0.009445,0.013952,0.002222,-1
-1.1954,0.30619,0.13848,-0.13376,0.19032,-0.047139,0.005956,-0.004077,-0.006179,0.020879,-1
-0.18021,0.089118,0.058763,-0.008191,0.099867,-0.018083,0.019248,0.008895,-0.021613,0.026273,-1
-0.2426,0.13697,0.12783,-0.007501,0.080649,-0.022961,-0.004794,0.017019,0.001006,0.028418,-1
-0.28718,0.075553,0.046442,-0.015866,0.063453,-0.029239,0.012375,-0.005824,-0.003597,0.007416,-1
-0.54504,0.10747,0.09707,-0.06539,0.12758,-0.044794,0.022833,-0.011556,0.017412,0.001269,-1
-0.75399,0.20896,0.16169,-0.051981,0.2196,-0.059567,0.026007,-0.006944,0.0022,0.022646,1
-0.39629,0.075158,0.14457,-0.040967,0.14275,-0.051402,0.028336,-0.003016,0.020607,0.05005,-1
-0.47301,0.12924,0.10404,-0.043741,0.13948,-0.056428,-0.017671,-0.01677,-0.023632,0.00381,-1
-0.14748,0.058069,0.050522,-0.024406,0.10228,-0.023874,0.005603,0.010975,-0.022028,0.007017,-1
-0.24102,0.1434,0.098982,-0.05844,0.18045,-0.089333,-0.000964,0.019382,-0.024938,0.005347,-1
-0.89345,0.16008,0.037454,-0.089259,0.13631,-0.05555,0.045222,-0.035712,-0.009599,0.032913,-1
-0.36617,0.11116,0.07209,-0.032588,0.12552,-0.041754,0.007798,0.017213,-0.009401,0.023618,-1
-0.31412,0.079499,0.045991,-0.034394,0.084715,-0.020332,-0.000692,-0.019029,-0.002156,0.012393,-1
-0.15129,0.042891,0.021901,-0.012098,0.10011,-0.011637,-0.024069,0.032208,-0.003373,0.027215,-1
-0.37597,0.1214,0.055929,-0.020826,0.12841,-0.009549,0.017517,0.009633,-0.018679,0.027532,-1
-0.39696,0.099601,0.10379,-0.060361,0.18256,-0.081682,0.005166,0.004889,-0.005915,0.05508,-1
-0.33065,0.10002,0.075511,-0.043152,0.10972,-0.047657,0.011979,0.010616,-0.012159,0.009861,-1
-0.17669,0.08819,0.054305,-0.00894,0.12911,-0.008569,0.004706,0.031059,-0.030738,0.032957,-1
-0.24338,0.12528,0.055433,0.019006,0.083313,-0.017884,0.012353,0.016947,-0.015555,0.037827,-1
-0.25752,0.077024,0.070922,-0.022491,0.11091,-0.016377,0.001435,0.002644,-0.026506,0.005947,1
